the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2328.632 349.8556 291.1444 -0.02348234 -0.2491142
Moved 2328.663 334.481 304.6152 -0.05907178 -0.214467
Moved 2328.694 322.4805 314.2156 -0.08685077 -0.1897747
Moved 2328.724 305.6135 327.1093 -0.1258948 -0.156612
Moved 2328.755 294.3438 338.6562 -0.1519819 -0.1269132
Moved 2328.786 283.8718 350.1282 -0.1762228 -0.0974068
Moved 2328.817 276.2101 357.79 -0.1939582 -0.07770067
Moved 2328.847 271.0642 363.9358 -0.20587 -0.06189362
Moved 2328.878 266.3415 368.3293 -0.2168021 -0.05059348
Moved 2328.909 264.0984 372.9016 -0.2219943 -0.03883354
Moved 2328.939 261.2592 377.4815 -0.2285666 -0.02705382
Moved 2328.97 260 381.6113 -0.2314815 -0.016432
Moved 2329.001 259 386.672 -0.2337963 -0.003415763
Moved 2329.032 259 387.9852 -0.2337963 -3.802923E-05
Moved 2329.063 259 391.6942 -0.2337963 0.0095015
Moved 2329.093 270.6039 397.1624 -0.2069353 0.02356568
Moved 2329.124 295 404.5 -0.150463 0.04243823
Moved 2329.155 327.601 408.1334 -0.07499779 0.05178345
Moved 2329.185 357.1519 409 -0.00659292 0.05401234
Moved 2329.216 381.1242 409 0.04889866 0.05401234
Moved 2329.247 401.5258 409 0.0961246 0.05401234
Moved 2329.277 421.8019 409 0.1430599 0.05401234
Moved 2329.308 435.6556 401 0.1751287 0.03343609
Moved 2329.339 447.0343 396.9828 0.2014683 0.023104
Moved 2329.37 456.7315 393.4229 0.2239155 0.01394758
Moved 2329.4 465.292 389.5693 0.2437314 0.00403624
Moved 2329.431 475.2311 382.0767 0.2667386 -0.01523477
Moved 2329.462 482.6541 375.3459 0.2839215 -0.03254651
Moved 2329.492 491.1416 366.5723 0.3035687 -0.05511248
Moved 2329.523 497.7961 359.8026 0.3189725 -0.07252414
Moved 2329.554 504.9487 352.0513 0.3355294 -0.09246072
Moved 2329.585 509.9368 344.0948 0.347076 -0.112925
Moved 2329.615 514.7149 336.4276 0.3581364 -0.1326451
Moved 2329.646 519.4207 327.8691 0.3690292 -0.1546578
Moved 2329.677 523.5 318.5 0.3784722 -0.1787552
Moved 2329.708 528.231 311.6536 0.3894235 -0.1963644
Moved 2329.738 531.9706 304.0441 0.39808 -0.215936
Moved 2329.769 534.854 295.4379 0.4047547 -0.2380712
Moved 2329.8 537.2764 285.6181 0.410362 -0.263328
Moved 2329.831 540.252 273.7402 0.4172499 -0.2938783
Moved 2329.861 542.1251 265.6248 0.4215859 -0.3147512
Moved 2329.892 542 261.0079 0.4212962 -0.3266257
Ended 2329.923 542 258 0.4212962 -0.3343622
Candidates 2330.015 13 will well with wool still feel week grill el fell sell roll gel
Began 2330.476 291 339 -0.1597222 -0.1260288
Stationary 2330.507 291 339 -0.1597222 -0.1260288
Moved 2330.537 304.4698 339 -0.128542 -0.1260288
Moved 2330.568 322.5 339 -0.08680557 -0.1260288
Moved 2330.599 341.8667 339 -0.04197523 -0.1260288
Moved 2330.629 354.8268 339 -0.01197502 -0.1260288
