this is too much to handle
this is too much to handle
FixStart
Radial

0.6 0.6
432 388.8
Moved 4100.98 457.0204 282 0.2245843 -0.2726338
Moved 4101.011 455.5916 282 0.221277 -0.2726338
Moved 4101.042 450.5701 291.4299 0.209653 -0.24838
Moved 4101.073 445.6119 299.5821 0.1981758 -0.2274123
Moved 4101.104 437.7252 310.4122 0.1799195 -0.1995572
Moved 4101.134 423.9785 329.025 0.1480985 -0.1516847
Moved 4101.165 402.7477 357.8785 0.09895294 -0.07747304
Moved 4101.195 382.6373 384.4836 0.05240123 -0.009044403
Moved 4101.226 364.4823 402.5176 0.01037578 0.03733953
Moved 4101.257 347.3371 417.5524 -0.02931222 0.07600909
Moved 4101.288 328.7596 429.9945 -0.07231573 0.1080105
Moved 4101.318 309.1987 444.7152 -0.1175957 0.1458723
Moved 4101.349 290.5219 460.0651 -0.1608289 0.1853525
Moved 4101.38 274.6333 473.3667 -0.1976081 0.2195645
Moved 4101.411 262.1305 486.6811 -0.2265497 0.2538094
Moved 4101.441 250.985 501.6867 -0.2523496 0.292404
Moved 4101.472 243.416 514.64 -0.2698703 0.32572
Moved 4101.503 238.207 524.1895 -0.2819283 0.3502817
Moved 4101.534 237 527.8895 -0.2847222 0.359798
Moved 4101.564 237 530.7576 -0.2847222 0.3671747
Moved 4101.595 237 535.2562 -0.2847222 0.3787452
Moved 4101.625 261.5372 539.2562 -0.2279232 0.3890333
Moved 4101.656 337.497 540 -0.05209024 0.3909464
Moved 4101.687 401.543 529.2914 0.09616435 0.3634036
Moved 4101.718 439.269 523.4552 0.1834929 0.3483929
Moved 4101.749 463.6049 518.1317 0.2398261 0.3347008
Moved 4101.779 491.392 511.536 0.3041481 0.3177366
Moved 4101.81 517.8274 504.5432 0.3653412 0.2997508
Moved 4101.841 521.3666 503.3167 0.3735339 0.2965964
Moved 4101.872 526.9126 502 0.3863717 0.2932098
Moved 4101.902 528.1624 500.8376 0.3892649 0.2902201
Stationary 4101.933 528 501 0.3888889 0.2906378
Moved 4101.964 502.2796 508.3253 0.3293509 0.3094785
Moved 4101.995 463.9695 520.4081 0.2406701 0.3405558
Moved 4102.025 420.7751 530.9266 0.1406831 0.3676096
Moved 4102.056 376.8775 541.366 0.03906826 0.3944599
Moved 4102.087 337.174 552.4983 -0.05283793 0.4230922
Moved 4102.117 301.9073 562.1278 -0.1344737 0.4478595
Moved 4102.148 274.842 569.1462 -0.1971249 0.465911
Moved 4102.179 254.3351 574.1663 -0.2445948 0.4788226
Moved 4102.209 235.0835 578.9833 -0.2891585 0.491212
Moved 4102.24 221.7533 582.8494 -0.3200156 0.5011556
Moved 4102.271 211.8457 586.7181 -0.3429498 0.5111063
Moved 4102.302 205.3076 589.2308 -0.3580842 0.5175688
Moved 4102.333 198.6971 592.101 -0.3733864 0.5249509
Moved 4102.363 195.0288 593 -0.3818778 0.5272633
Moved 4102.394 192.3527 594.6473 -0.3880726 0.5315003
Moved 4102.425 191 598.8195 -0.3912037 0.542231
Ended 4102.456 191 605.5 -0.3912037 0.5594135
Candidates 4102.578 13 handle meanwhile smile anterior allele admit admire ensure transport angle smoke about traveler
Began 4103.131 310 498 -0.1157407 0.2829217
Stationary 4103.165 310 498 -0.1157407 0.2829217
Stationary 4103.193 310 498 -0.1157407 0.2829217
Moved 4103.224 337.6306 498 -0.05178114 0.2829217
Moved 4103.254 363.0501 487.5444 0.007060468 0.2560298
Moved 4103.285 393.5487 483.8279 0.07765909 0.246471
Moved 4103.316 418.2889 479.5422 0.134928 0.235448
Moved 4103.347 426.9336 478.0222 0.1549388 0.2315384
Moved 4103.377 435.6738 476.1631 0.1751709 0.2267569
Moved 4103.408 438.5424 476 0.181811 0.2263374
Ended 4103.439 443 474 0.1921296 0.2211934
Accept 4103.531 0 handle
Began 4103.9 198 465 -0.375 0.1980452
Moved 4103.931 210.449 465 -0.3461829 0.1980452
Moved 4103.961 272.9598 465 -0.2014819 0.1980452
Moved 4103.992 365 465 0.01157403 0.1980452
Moved 4104.022 454.8739 465 0.2196155 0.1980452
Moved 4104.053 557.0226 465 0.4560708 0.1980452
Moved 4104.084 577.59 455.0586 0.5036806 0.1724757
Moved 4104.115 590.0861 452.9713 0.5326066 0.1671072
Moved 4104.146 602.5602 448.2199 0.5614819 0.1548865
Moved 4104.176 609.5162 446.7419 0.5775839 0.151085
Ended 4104.207 614 446 0.5879629 0.1491768
PhraseEnd 4104.269
