if you were not so stupid
if you were not so stupid
FixStart
Radial

0.6 0.6
432 388.8
Moved 942.48 321.8187 463 -0.08838271 0.1929011
Moved 942.5107 308.7377 463 -0.1186627 0.1929011
Moved 942.5414 293.2847 463 -0.1544335 0.1929011
Moved 942.5721 274.4109 463 -0.198123 0.1929011
Moved 942.6029 267.2033 463 -0.2148073 0.1929011
Moved 942.6335 252.8429 454.3801 -0.2480488 0.1707306
Moved 942.6643 241.7268 453.9089 -0.2737805 0.1695187
Moved 942.695 234.7563 453 -0.2899159 0.167181
Moved 942.7257 228.5065 452 -0.3043832 0.164609
Moved 942.7563 226.5 452 -0.3090278 0.164609
Moved 942.7872 224.5 452 -0.3136574 0.164609
Moved 942.8179 232.2589 465.4524 -0.2956969 0.1992087
Moved 942.8486 275.9983 511.9983 -0.1944483 0.3189256
Moved 942.8793 309.7957 542.8329 -0.1162136 0.3982326
Moved 942.9101 321.6513 553.592 -0.08877019 0.4259053
Moved 942.9408 345.6747 578.6282 -0.0331604 0.4902988
Moved 942.9715 357.2986 593.2986 -0.006253123 0.5280314
Moved 943.0023 363.4006 600.4006 0.007871787 0.5462978
Moved 943.033 366.196 603.196 0.01434267 0.5534875
Moved 943.0637 369.0651 607.0651 0.02098401 0.5634388
Moved 943.0944 379.7313 610.8925 0.04567425 0.5732831
Moved 943.1251 413.0099 615.6161 0.122708 0.5854324
Moved 943.1558 457.3875 617 0.2254341 0.5889916
Moved 943.1866 493.8029 617 0.3097289 0.5889916
Moved 943.2173 512.51 607.898 0.3530324 0.5655813
Moved 943.248 522.8744 604.7504 0.377024 0.5574854
Moved 943.2787 529.4991 602.5009 0.3923591 0.5516996
Moved 943.3094 532.374 602 0.3990139 0.5504114
Moved 943.3401 534.243 601 0.4033402 0.5478393
Moved 943.3708 535.2875 599.7125 0.405758 0.544528
Moved 943.4016 536.0812 600 0.4075955 0.5452674
Moved 943.4323 537.375 598.625 0.4105903 0.5417309
Moved 943.4631 538.1868 599 0.4124695 0.5426954
Stationary 943.4938 538.1868 599 0.4124695 0.5426954
Moved 943.5245 538 597.8274 0.4120371 0.5396793
Stationary 943.5552 538 597.8274 0.4120371 0.5396793
Moved 943.5859 539.1246 598 0.4146403 0.5401233
Moved 943.6166 543 597 0.4236111 0.5375513
Moved 943.6474 559.3809 595 0.4615298 0.5324073
Moved 943.6781 565.1407 593.3719 0.4748627 0.5282198
Moved 943.7088 578.5177 591.6205 0.505828 0.5237153
Moved 943.7396 586.7291 592 0.5248358 0.5246913
Moved 943.7703 591.2735 591 0.5353553 0.5221192
Moved 943.801 593.4782 591 0.5404589 0.5221192
Moved 943.8317 594.0422 591 0.5417643 0.5221192
Stationary 943.8624 594 591 0.5416667 0.5221192
Stationary 943.8931 594 591 0.5416667 0.5221192
Moved 943.9239 588.1726 591 0.5281773 0.5221192
Moved 943.9546 570.094 591 0.4863287 0.5221192
Moved 943.9853 547.4337 590.4292 0.4338743 0.5206511
Moved 944.0161 524.2668 584.7556 0.3802473 0.5060586
Moved 944.0468 499.0906 576.0302 0.3219689 0.4836167
Moved 944.0775 481.5948 565.4461 0.2814694 0.4563942
Moved 944.1082 469.4025 555.1219 0.2532464 0.4298403
Moved 944.1389 461.304 543.84 0.2345 0.4008228
Moved 944.1696 454.7795 532.5591 0.219397 0.3718082
Moved 944.2004 451.0193 525.0387 0.210693 0.3524657
Moved 944.2311 449.357 518.714 0.2068449 0.3361984
Moved 944.2618 448 514.2047 0.2037037 0.3246003
