a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 1220.39 352.8976 530.8799 -0.01644065 0.3674895
Moved 1220.405 378.5338 530 0.04290223 0.3652262
Moved 1220.421 411.3484 531.3195 0.1188619 0.36862
Moved 1220.436 438.4086 531 0.1815013 0.3677982
Moved 1220.451 457.4269 531 0.2255252 0.3677982
Moved 1220.467 482.4814 531 0.2835216 0.3677982
Moved 1220.482 496.42 531 0.315787 0.3677982
Moved 1220.498 507.2598 522.7402 0.3408793 0.3465538
Moved 1220.513 513.4794 523.3802 0.3552764 0.3482001
Moved 1220.528 518.1724 521.9425 0.3661399 0.3445023
Moved 1220.544 520.9924 520.5038 0.3726677 0.3408018
Moved 1220.559 522.6909 518.6182 0.3765993 0.335952
Moved 1220.574 523 514.9298 0.3773148 0.3264655
Moved 1220.59 523 504.8521 0.3773148 0.3005454
Moved 1220.605 508.795 481.1316 0.3444329 0.2395359
Moved 1220.621 490.9124 453.528 0.3030381 0.168539
Moved 1220.636 477.274 432.411 0.2714677 0.1142257
Moved 1220.651 465.3911 412.1843 0.2439608 0.06220241
Moved 1220.666 456.5 397 0.2233796 0.02314815
Moved 1220.683 447.0545 380.898 0.201515 -0.01826643
Moved 1220.7 439.9271 368.0687 0.1850164 -0.05126364
Moved 1220.718 434.0241 357.0482 0.1713521 -0.07960849
Moved 1220.729 428.5851 346.1703 0.1587619 -0.1075868
Moved 1220.744 424.5 339.5 0.1493056 -0.1247429
Moved 1220.759 422.0334 333.0836 0.1435959 -0.1412459
Moved 1220.774 419.1719 325.9297 0.136972 -0.1596459
Moved 1220.79 417.2172 323.8257 0.1324472 -0.1650572
Moved 1220.808 415.0392 319.0785 0.1274056 -0.1772673
Moved 1220.821 412.2013 314.8019 0.1208363 -0.1882667
Moved 1220.837 411.3237 312.3237 0.118805 -0.1946407
Moved 1220.852 411 309.4463 0.1180555 -0.2020415
Moved 1220.867 409.2844 307.2844 0.1140843 -0.207602
Moved 1220.883 407.8456 304.6913 0.1107538 -0.2142715
Moved 1220.897 406.8375 302.6749 0.1084201 -0.2194575
Moved 1220.913 406 301.3367 0.1064815 -0.2228996
Moved 1220.928 404.8969 299.8969 0.1039279 -0.2266026
Moved 1220.946 404.4582 298.4582 0.1029125 -0.2303031
Moved 1220.96 403.0194 297.0194 0.09958197 -0.2340036
Moved 1220.975 403 295.5807 0.09953707 -0.2377041
Moved 1220.99 401.1444 294.1444 0.09524167 -0.2413982
Moved 1221.006 401 292.0423 0.09490739 -0.2468049
Moved 1221.022 398.1864 289.1864 0.08839448 -0.2541503
Moved 1221.036 398.1538 288.1538 0.08831898 -0.2568061
Moved 1221.052 396.7145 286.7145 0.08498738 -0.2605079
Moved 1221.068 395.5475 285.2737 0.082286 -0.2642137
Moved 1221.083 393.8375 285 0.07832755 -0.2649178
Moved 1221.097 380.1561 289.827 0.04665772 -0.2525025
Moved 1221.114 358.8788 306.0505 -0.002595286 -0.2107755
Moved 1221.129 315.9252 336.8763 -0.1020251 -0.131491
Moved 1221.146 293.1406 355.7366 -0.1547671 -0.08298198
Moved 1221.16 270.9457 374.0441 -0.2061442 -0.03589481
Moved 1221.175 255.227 389.7731 -0.2425302 0.004560329
Moved 1221.191 239.0982 399.2679 -0.2798653 0.02898114
Moved 1221.206 226.1488 409.2177 -0.3098409 0.05457206
