this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Moved 659.4639 270.1471 390 -0.2079927 0.005143954
Moved 659.4801 264.5292 390 -0.2209971 0.005143954
Moved 659.4966 261.5 390 -0.2280093 0.005143954
Moved 659.5109 253.6806 383.9529 -0.2461097 -0.01040941
Moved 659.5259 243.8805 383 -0.2687952 -0.01286016
Moved 659.5446 234.0253 381.2532 -0.2916082 -0.01735303
Moved 659.5583 223.3148 381 -0.316401 -0.01800419
Moved 659.5731 213.9026 380.3171 -0.3381884 -0.01976068
Moved 659.5878 206.3783 380 -0.3556059 -0.02057613
Moved 659.6143 194.5973 380 -0.3828765 -0.02057613
Moved 659.6267 188.5085 380 -0.3969711 -0.02057613
Stationary 659.6381 188.5085 380 -0.3969711 -0.02057613
Moved 659.6502 183.7555 380 -0.4079734 -0.02057613
Moved 659.6658 179.9942 380 -0.41668 -0.02057613
Moved 659.6802 175.667 380 -0.4266967 -0.02057613
Moved 659.6959 173.2285 380 -0.4323415 -0.02057613
Moved 659.7112 172 380 -0.4351852 -0.02057613
Moved 659.7269 170.7877 380 -0.4379915 -0.02057613
Moved 659.7424 167.2934 380 -0.44608 -0.02057613
Moved 659.7576 164.4039 389.0865 -0.4527688 0.002794383
Moved 659.7733 163.2614 387 -0.4554133 -0.002572055
Moved 659.7958 161 387.6196 -0.4606481 -0.0009783992
Stationary 659.8066 161 387.6196 -0.4606481 -0.0009783992
Moved 659.819 159.943 388 -0.463095 -3.924585E-08
Stationary 659.8344 159.943 388 -0.463095 -3.924585E-08
Moved 659.8495 158.7217 388 -0.4659219 -3.924585E-08
Moved 659.8642 159 389.0392 -0.4652778 0.002672878
Stationary 659.8801 159 389.0392 -0.4652778 0.002672878
Moved 659.8965 157.625 389 -0.4684607 0.002572016
Stationary 659.9117 157.625 389 -0.4684607 0.002572016
Stationary 659.9257 157.625 389 -0.4684607 0.002572016
Ended 659.942 158 390 -0.4675925 0.005143954
Candidates 660.0792 12 da fas faa fda s sa a gas dad as had ga
Began 660.8497 420 379 0.1388889 -0.02314815
Stationary 660.8679 420 379 0.1388889 -0.02314815
Stationary 660.8822 420 379 0.1388889 -0.02314815
Ended 660.8964 420 379 0.1388889 -0.02314815
NextCandidatePanel 660.9408
Began 661.6953 405 381 0.1041667 -0.01800419
Stationary 661.7137 405 381 0.1041667 -0.01800419
Stationary 661.7299 405 381 0.1041667 -0.01800419
Stationary 661.7463 405 381 0.1041667 -0.01800419
Moved 661.759 420.0928 381 0.1391038 -0.01800419
Moved 661.776 429.5 381 0.1608796 -0.01800419
Moved 661.7933 439.6623 381 0.1844034 -0.01800419
Moved 661.8064 445.1167 381 0.1970293 -0.01800419
Moved 661.8223 455.2938 381 0.2205875 -0.01800419
Moved 661.8376 461.5739 381 0.2351248 -0.01800419
Moved 661.8542 467.4307 381 0.2486821 -0.01800419
Ended 661.868 473 381 0.2615741 -0.01800419
Accept 661.8961 6 a
Began 662.451 407 350 0.1087963 -0.09773669
Stationary 662.4694 407 350 0.1087963 -0.09773669
Stationary 662.4838 407 350 0.1087963 -0.09773669
Stationary 662.5056 407 350 0.1087963 -0.09773669
Stationary 662.515 407 350 0.1087963 -0.09773669
Moved 662.5292 407 336.0607 0.1087963 -0.1335887
Moved 662.5458 398.7569 329.1121 0.08971492 -0.1514608
Moved 662.5602 395.5 321 0.08217593 -0.1723252
Moved 662.5769 389.7784 310.5567 0.06893138 -0.1991854
Moved 662.5935 385.46 303.1 0.05893519 -0.2183641
Moved 662.6077 381.746 296.4921 0.05033801 -0.2353599
Moved 662.6225 377.8115 291.8115 0.04123032 -0.2473984
Moved 662.6381 375.9617 287.9617 0.03694842 -0.2573001
Moved 662.6544 373.0789 285.0789 0.03027509 -0.2647149
Moved 662.6688 370.1933 280.79 0.02359569 -0.275746
