travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 559.4432 316.1549 270 -0.1014932 -0.303498
Moved 559.46 327.6013 283.2017 -0.0749971 -0.269543
Moved 559.4754 341 290 -0.04398147 -0.2520577
Moved 559.4905 364.5526 306.0351 0.0105385 -0.2108151
Moved 559.5065 390.486 325.378 0.07056941 -0.1610649
Moved 559.5209 411.2343 346.2343 0.1185978 -0.1074223
Moved 559.5416 421.0261 355.8068 0.1412642 -0.08280145
Moved 559.5546 429.951 368.4265 0.1619236 -0.0503434
Moved 559.5684 434.1958 376.9896 0.1717496 -0.0283191
Moved 559.5827 436.9552 382.9105 0.1781371 -0.01309045
Moved 559.5988 437 385.0075 0.1782407 -0.007696779
Moved 559.6135 437 387.7718 0.1782407 -0.0005870002
Moved 559.6287 437 389.7703 0.1782407 0.004553108
Moved 559.645 437 390.5 0.1782407 0.006429962
Moved 559.6608 428.1194 391.2687 0.1576838 0.008407051
Moved 559.6759 423.4007 391 0.1467608 0.007715971
Moved 559.69 413.8929 391 0.1247522 0.007715971
Moved 559.7064 405.5 391 0.1053241 0.007715971
Moved 559.7209 387.668 375.4568 0.06404628 -0.03226127
Moved 559.7367 361.5755 359.4688 0.00364691 -0.07338284
Moved 559.7528 332.7352 338.668 -0.06311302 -0.1268828
Moved 559.7681 303.9687 314.7226 -0.1297021 -0.1884708
Moved 559.7838 290.7778 304.2717 -0.1602365 -0.2153507
Moved 559.7992 280.9406 293.9406 -0.1830079 -0.2419225
Moved 559.8189 271.9036 284.9036 -0.2039268 -0.2651658
Moved 559.8301 266.7654 278.7184 -0.2158209 -0.281074
Moved 559.8448 259.8222 270.3867 -0.231893 -0.3025035
Moved 559.8607 256.5802 266.5801 -0.2393977 -0.3122939
Moved 559.8763 253.6413 261.2825 -0.2462008 -0.3259194
Moved 559.8895 251.4473 258.8946 -0.2512794 -0.3320613
Moved 559.9081 250.074 256.1479 -0.2544585 -0.3391256
Moved 559.9227 249.5 255 -0.255787 -0.3420782
Ended 559.9376 250 254.6423 -0.2546296 -0.3429982
Candidates 560.0898 12 of if good off is his god odd food high goods odds
Began 560.4586 331 220 -0.06712963 -0.4320988
Stationary 560.4756 331 220 -0.06712963 -0.4320988
Stationary 560.4906 331 220 -0.06712963 -0.4320988
Stationary 560.5081 331 220 -0.06712963 -0.4320988
Stationary 560.5225 331 220 -0.06712963 -0.4320988
Moved 560.537 331 239.5957 -0.06712963 -0.3816983
Moved 560.5571 331 268.0631 -0.06712963 -0.3084797
Moved 560.5684 321.5732 318.8271 -0.08895084 -0.1779138
Moved 560.5836 318.7621 354.4504 -0.09545808 -0.08629025
Moved 560.5995 315.4089 399.298 -0.1032202 0.02905857
Moved 560.6141 315 423.9265 -0.1041667 0.0924035
Ended 560.6303 315 431 -0.1041667 0.1105966
Accept 560.6888 0 of
Began 560.7668 275 294 -0.1967592 -0.2417696
Stationary 560.785 275 294 -0.1967592 -0.2417696
Stationary 560.8008 275 294 -0.1967592 -0.2417696
Moved 560.8157 284.0705 294 -0.1757627 -0.2417696
Moved 560.8301 304.2758 286.4139 -0.1289913 -0.2612812
Moved 560.846 325.0894 283.3214 -0.08081163 -0.2692351
Moved 560.8617 350.8163 281.288 -0.02125869 -0.2744652
Moved 560.8768 376.8891 281 0.03909518 -0.2752058
Moved 560.8928 395.8561 281 0.08300016 -0.2752058
Moved 560.9123 431.5 297.5 0.1655093 -0.2327676
Moved 560.9237 442.3476 298.8136 0.1906195 -0.229389
Moved 560.9381 453.4129 302.9048 0.2162335 -0.2188662
Moved 560.9542 458.0397 305.3598 0.2269437 -0.212552
Moved 560.9698 460.0577 308.1155 0.2316151 -0.2054644
Moved 560.9849 461.4298 313.7192 0.2347912 -0.1910516
Moved 561.0001 461 324.6143 0.2337964 -0.1630292
Moved 561.016 461 336.9581 0.2337964 -0.1312806
Moved 561.0314 448.3393 349.3946 0.2044891 -0.09929373
Moved 561.0482 439.413 361.8976 0.1838264 -0.06713592
Moved 561.0635 430.75 373.3334 0.1637731 -0.03772288
Moved 561.0774 419.5991 385.826 0.1379608 -0.005591592
Moved 561.0927 408.3235 393.0546 0.11186 0.0130005
Moved 561.1082 399.83 397.585 0.09219915 0.0246526
Moved 561.1238 395.0844 399.3662 0.08121401 0.02923404
Moved 561.1431 382.5927 400 0.05229781 0.03086416
Moved 561.1555 372.9006 400 0.02986242 0.03086416
Moved 561.1709 361.849 400 0.00428011 0.03086416
Moved 561.186 336.4231 364.3077 -0.05457624 -0.06093712
Moved 561.2012 313.2954 329.7741 -0.1081124 -0.149758
Moved 561.2161 301 302.5 -0.1365741 -0.2199075
Moved 561.2333 295.6517 293.0281 -0.1489543 -0.2442692
Moved 561.2473 289.9224 278.7866 -0.1622167 -0.2808987
Moved 561.2625 287.1859 270.5576 -0.1685513 -0.302064
Moved 561.2784 287 264.0602 -0.1689815 -0.3187753
Moved 561.2939 287 258.3569 -0.1689815 -0.3334441
Moved 561.3111 287 255.9067 -0.1689815 -0.339746
Moved 561.3242 287 254.0735 -0.1689815 -0.3444613
Moved 561.3395 287 252.6863 -0.1689815 -0.3480292
Moved 561.3607 296.011 253 -0.1481227 -0.3472223
Moved 561.372 301.0102 253 -0.1365506 -0.3472223
Moved 561.3853 307.7204 253 -0.1210176 -0.3472223
Moved 561.401 314.5 265 -0.1053241 -0.3163581
Moved 561.4169 325.3246 276.1558 -0.08026709 -0.2876652
Moved 561.4323 335.144 291.3691 -0.05753716 -0.2485363
Moved 561.4468 340.4542 306.981 -0.04524484 -0.2083822
Moved 561.4624 343.5942 318.174 -0.03797635 -0.1795938
Moved 561.478 345.104 331.0403 -0.03448138 -0.1465014
Moved 561.4935 345 342 -0.03472224 -0.1183128
Moved 561.5106 345 348.3585 -0.03472224 -0.1019585
Moved 561.5247 345 355.2762 -0.03472224 -0.08416611
Moved 561.5397 339.8615 362.2116 -0.04661699 -0.06632824
Moved 561.5554 333.9162 367.0837 -0.06037911 -0.05379704
Moved 561.5773 323.5349 377.4651 -0.08441006 -0.02709589
Stationary 561.5887 323.5349 377.4651 -0.08441006 -0.02709589
Moved 561.6011 319.4457 380.7029 -0.09387573 -0.01876831
Moved 561.616 314.0394 384.7205 -0.1063904 -0.008435111
Moved 561.6324 309.4994 387.2503 -0.1168995 -0.001928345
Moved 561.6481 304.9656 391.0344 -0.1273943 0.007804353
Moved 561.6634 299.4045 395.1966 -0.1402673 0.01850976
Moved 561.6779 296.6414 396.5724 -0.1466634 0.02204828
Moved 561.6937 293.374 398.7507 -0.1542269 0.0276509
Moved 561.7101 290.5595 401.4406 -0.160742 0.03456924
Moved 561.7242 287.7848 403.6076 -0.1671649 0.04014293
Moved 561.7399 285.01 404.995 -0.1735879 0.04371137
Moved 561.7572 282.2429 407.7571 -0.1799934 0.05081561
Moved 561.7706 281.2441 408.5118 -0.1823053 0.05275655
Moved 561.7898 279.8594 409 -0.1855106 0.05401234
Moved 561.8009 280 412 -0.1851852 0.06172835
Moved 561.8159 280 412.6241 -0.1851852 0.06333351
Moved 561.8323 280 414.0115 -0.1851852 0.06690182
Moved 561.8492 280 415.4065 -0.1851852 0.07048987
Ended 561.8638 280 417 -0.1851852 0.0745884
Candidates 562.0148 12 light flight lobby lighter like lift loci johnny life lucky ought limit
Began 562.3716 325 231 -0.08101851 -0.4038066
Stationary 562.3871 325 231 -0.08101851 -0.4038066
Stationary 562.4017 325 231 -0.08101851 -0.4038066
Stationary 562.4183 325 231 -0.08101851 -0.4038066
Moved 562.4327 325 242.0104 -0.08101851 -0.3754877
Moved 562.4492 325 260.4142 -0.08101851 -0.3281528
Moved 562.4709 325 336.9025 -0.08101851 -0.1314235
Stationary 562.4812 325 336.9025 -0.08101851 -0.1314235
Moved 562.4961 325 371.039 -0.08101851 -0.04362397
Moved 562.5114 333.4431 412.8278 -0.06147434 0.06385732
Ended 562.5272 335.8934 457.2947 -0.05580222 0.1782271
Accept 562.5698 0 light
PhraseEnd 562.8029
