players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 288.1881 336.4919 511 -0.05441695 0.3163579
Moved 288.2036 339 511 -0.04861111 0.3163579
Moved 288.2191 339.6255 511 -0.04716322 0.3163579
Moved 288.2364 340.5 511 -0.0451389 0.3163579
Moved 288.2488 341.1987 511 -0.04352153 0.3163579
Stationary 288.2683 341.1987 511 -0.04352153 0.3163579
Stationary 288.2802 341 511 -0.04398147 0.3163579
Stationary 288.2954 341 511 -0.04398147 0.3163579
Moved 288.3098 333.447 499.1677 -0.0614652 0.285925
Moved 288.3262 328.9985 494.9985 -0.07176264 0.2752019
Moved 288.3425 323.2776 490.7082 -0.08500566 0.2641671
Moved 288.3584 316.8904 484.7123 -0.09979078 0.2487455
Moved 288.3736 307.5582 477.9702 -0.1213931 0.2314047
Moved 288.3895 296.2049 467.2049 -0.1476738 0.2037162
Moved 288.4041 285.1497 457.131 -0.1732644 0.1778061
Moved 288.4201 272.6829 444.6829 -0.202123 0.1457892
Moved 288.4355 264 437.5 -0.2222222 0.1273147
Moved 288.4503 250.1482 420.5788 -0.2542866 0.08379316
Moved 288.466 240.2803 409.0346 -0.277129 0.05410135
Moved 288.4803 231.1789 397.9053 -0.2981969 0.02547649
Moved 288.4965 221.8233 385.7729 -0.3198534 -0.005728207
Moved 288.513 216.3027 378.8784 -0.3326326 -0.02346094
Moved 288.5285 212.6051 372.8068 -0.3411918 -0.03907717
Moved 288.5435 209.6374 368.4561 -0.3480615 -0.05026727
Moved 288.5586 207.6349 365.4523 -0.352697 -0.05799305
Moved 288.574 206.3776 362.7551 -0.3556075 -0.0649303
Moved 288.5887 204.9968 359.9937 -0.3588036 -0.07203279
Moved 288.6035 203.617 358.617 -0.3619977 -0.07557354
Moved 288.6266 202.8523 355.8524 -0.3637677 -0.08268435
Stationary 288.6378 202.8523 355.8524 -0.3637677 -0.08268435
Moved 288.6496 203 354.5 -0.3634259 -0.08616254
Stationary 288.6652 203 354.5 -0.3634259 -0.08616254
Moved 288.6812 203 354 -0.3634259 -0.08744855
Stationary 288.6967 203 354 -0.3634259 -0.08744855
Ended 288.7116 203 354 -0.3634259 -0.08744855
Candidates 288.8639 12 layers players lawyers laura lasted played posters letters ladies lysates pays lawsuits
Began 289.3243 366 414 0.01388888 0.06687239
Stationary 289.3439 366 414 0.01388888 0.06687239
Stationary 289.3576 366 414 0.01388888 0.06687239
Stationary 289.3731 366 414 0.01388888 0.06687239
Moved 289.389 366 426.6384 0.01388888 0.09937856
Moved 289.4052 366 435.4006 0.01388888 0.1219151
Moved 289.4198 366 445.1028 0.01388888 0.1468694
Moved 289.4354 376.5 453.5 0.03819446 0.168467
Moved 289.4508 374.7592 462.0735 0.03416478 0.1905183
Moved 289.4655 376.1389 470.8333 0.0373585 0.2130484
Moved 289.4813 377 477.1195 0.03935188 0.2292168
Moved 289.4972 377.9171 481.7514 0.0414749 0.2411301
Moved 289.5125 378 487.1982 0.04166663 0.2551393
Moved 289.5348 379.0724 493.1447 0.04414896 0.2704339
Stationary 289.5454 379.0724 493.1447 0.04414896 0.2704339
