if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Moved 423.2182 483.169 413 0.2851135 0.06430033
Ended 423.2349 505 413 0.3356481 0.06430033
Accept 423.2784 2 if
Began 424.035 362 472 0.004629592 0.2160493
Stationary 424.0523 362 472 0.004629592 0.2160493
Stationary 424.0661 362 472 0.004629592 0.2160493
Stationary 424.0815 362 472 0.004629592 0.2160493
Stationary 424.0979 362 472 0.004629592 0.2160493
Stationary 424.1119 362 472 0.004629592 0.2160493
Stationary 424.1272 362 472 0.004629592 0.2160493
Moved 424.1431 372.8002 472 0.02963016 0.2160493
Moved 424.1592 377.0792 472 0.03953526 0.2160493
Moved 424.1737 386.7588 472 0.06194164 0.2160493
Moved 424.1902 395.4298 472 0.08201341 0.2160493
Moved 424.2051 406.4059 472 0.1074212 0.2160493
Moved 424.2209 416.891 472 0.1316921 0.2160493
Moved 424.2365 429.4971 472 0.1608728 0.2160493
Moved 424.2517 442.0048 472 0.1898258 0.2160493
Moved 424.2676 449.4602 472 0.2070838 0.2160493
Moved 424.2816 462.1751 472 0.2365164 0.2160493
Moved 424.2986 472.7626 472 0.2610246 0.2160493
Moved 424.3128 485.6096 481.8074 0.2907629 0.2412742
Moved 424.3296 494.8804 479.84 0.312223 0.2362139
Moved 424.3448 504.9327 480 0.3354925 0.2366254
Moved 424.3594 512.5779 481 0.3531897 0.2391974
Moved 424.3744 517.5232 481 0.364637 0.2391974
Moved 424.3907 524.4498 481 0.3806709 0.2391974
Moved 424.4123 536.6534 482 0.4089201 0.2417695
Stationary 424.4231 536.6534 482 0.4089201 0.2417695
Moved 424.4377 541.4066 483 0.4199226 0.2443414
Moved 424.4519 547.1261 484.0315 0.4331623 0.2469945
Moved 424.4674 549.9752 484 0.4397573 0.2469135
Moved 424.4849 553.3682 485 0.4476116 0.2494856
Moved 424.4971 556.0352 486.0176 0.4537852 0.2521029
Moved 424.5131 557.4592 486 0.4570816 0.2520575
Moved 424.5291 558 486.8979 0.4583333 0.2543669
Moved 424.5454 558 487.5 0.4583333 0.2559156
Moved 424.5594 558 487.7733 0.4583333 0.2566184
Stationary 424.575 558 488 0.4583333 0.2572016
Moved 424.5906 558 489.5 0.4583333 0.2610596
Moved 424.6062 547.3404 491.4639 0.4336584 0.2661106
Moved 424.6215 540.1595 493.1681 0.4170358 0.270494
Moved 424.6366 528.5337 494.6074 0.3901243 0.2741958
Moved 424.6523 515.558 495 0.3600881 0.2752057
Moved 424.6679 505.0417 496 0.3357446 0.2777777
Moved 424.6846 494.4553 496 0.3112392 0.2777777
Moved 424.6985 484.4113 496 0.287989 0.2777777
Moved 424.7129 475.6243 496 0.2676488 0.2777777
Moved 424.7304 464.5334 496 0.2419756 0.2777777
Moved 424.7448 454.4641 496 0.2186668 0.2777777
Moved 424.7603 446.9572 496 0.2012898 0.2777777
Moved 424.7758 441.0348 496 0.1875806 0.2777777
Moved 424.7914 432.5928 496 0.1680389 0.2777777
Moved 424.8067 425.3991 487.0386 0.1513869 0.2547289
Moved 424.8216 420.2403 486.848 0.1394451 0.2542387
Moved 424.8434 412.7781 485.3556 0.1221714 0.2504002
Moved 424.8535 405.5375 482.815 0.1054108 0.2438657
Moved 424.8679 398.8494 481.4623 0.0899291 0.2403865
Moved 424.884 392.1115 479.0446 0.07433216 0.2341682
Moved 424.8987 386.3344 477.5836 0.06095926 0.2304104
Ended 424.9146 377.5 473.5 0.04050931 0.2199073
Candidates 425.0376 12 you got for hot joy toy holy though foot july utility hour
Began 425.7289 410 357 0.1157407 -0.07973259
Stationary 425.7471 410 357 0.1157407 -0.07973259
Stationary 425.7615 410 357 0.1157407 -0.07973259
Stationary 425.7762 410 357 0.1157407 -0.07973259
Stationary 425.792 410 357 0.1157407 -0.07973259
Moved 425.8076 410 394.1627 0.1157407 0.01585046
Ended 425.8226 410 418 0.1157407 0.07716041
Accept 425.8827 0 you
Began 426.6559 224 424 -0.3148148 0.09259254
Stationary 426.6701 224 424 -0.3148148 0.09259254
Stationary 426.6881 224 424 -0.3148148 0.09259254
Stationary 426.7058 224 424 -0.3148148 0.09259254
Stationary 426.7173 224 424 -0.3148148 0.09259254
Stationary 426.7319 224 424 -0.3148148 0.09259254
Moved 426.7472 230.3221 424 -0.3001804 0.09259254
Moved 426.7629 238.2757 424 -0.2817693 0.09259254
Moved 426.7797 242.4282 424 -0.272157 0.09259254
Moved 426.795 252.5173 432.1724 -0.2488026 0.1136122
Moved 426.8182 268.8145 437.9382 -0.2110776 0.1284417
Stationary 426.8286 268.8145 437.9382 -0.2110776 0.1284417
Moved 426.8401 277.4714 441.7357 -0.1910384 0.1382091
Moved 426.8558 286.06 444.6866 -0.1711574 0.145799
Moved 426.8708 293.7174 447.5724 -0.153432 0.1532212
Moved 426.8868 302.417 449.8542 -0.1332939 0.1590901
Moved 426.9025 312.423 454.0385 -0.1101319 0.1698519
Moved 426.9184 319.7038 456.5679 -0.0932782 0.1763578
Moved 426.933 328.336 458.2227 -0.07329623 0.1806137
Moved 426.9482 334.6497 460.6624 -0.05868137 0.1868889
Moved 426.964 340.4007 462.1002 -0.04536877 0.1905867
Moved 426.9802 347.7167 464.0867 -0.02843355 0.1956962
Moved 426.9951 353.6333 465.7267 -0.01473765 0.1999142
Moved 427.0099 361.4135 468.1378 0.003271997 0.2061157
Moved 427.0272 367.0702 469.5176 0.01636625 0.2096645
Moved 427.0417 372.8196 470.9549 0.02967506 0.2133613
Moved 427.0564 378.5275 472.3818 0.04288763 0.2170313
Moved 427.0714 384.3505 474.6752 0.05636692 0.22293
Moved 427.0884 388.8307 475 0.06673783 0.2237653
Moved 427.1022 391 476.5 0.07175922 0.2276234
Moved 427.1183 392.8438 477 0.07602731 0.2289094
Moved 427.1344 394.2825 478.2825 0.07935763 0.2322081
Stationary 427.1479 394.2825 478.2825 0.07935763 0.2322081
Moved 427.1678 395 478 0.08101851 0.2314814
Stationary 427.1795 395 478 0.08101851 0.2314814
Stationary 427.1944 395 478 0.08101851 0.2314814
Stationary 427.2105 395 478 0.08101851 0.2314814
Stationary 427.2278 395 478 0.08101851 0.2314814
Moved 427.2418 384.7963 478 0.05739888 0.2314814
Moved 427.2564 377.6899 478 0.04094879 0.2314814
Moved 427.272 370.5089 471.7125 0.02432624 0.2153099
Moved 427.2885 363.2975 469.6595 0.007632971 0.2100295
Moved 427.3036 354.1198 467.4479 -0.01361166 0.2043412
Moved 427.3182 346.894 465.7788 -0.03033787 0.2000483
Moved 427.3335 341.9229 463.5692 -0.04184519 0.194365
Moved 427.3491 332.326 461.2652 -0.06406029 0.1884392
Moved 427.3645 325.1286 458.6514 -0.08072078 0.1817165
Moved 427.3816 318.9348 456.7739 -0.09505828 0.1768876
Moved 427.3951 312.7929 454.9482 -0.1092757 0.1721919
Moved 427.412 305.526 453.5052 -0.1260972 0.1684803
Moved 427.4274 299.3382 452.0676 -0.1404208 0.1647829
Moved 427.4435 295.889 450.963 -0.148405 0.1619418
Moved 427.457 290.0495 450 -0.1619224 0.1594649
Moved 427.4722 285.2279 449.076 -0.1730835 0.1570884
Moved 427.4885 279.4881 449 -0.1863702 0.156893
Moved 427.5038 276.5797 449 -0.1931026 0.156893
Moved 427.5257 269.6219 448 -0.2092087 0.1543209
Stationary 427.5351 269.6219 448 -0.2092087 0.1543209
Moved 427.5488 267.3249 448 -0.2145258 0.1543209
Moved 427.5654 264.5601 448 -0.2209256 0.1543209
Moved 427.5805 262.677 448 -0.2252846 0.1543209
Moved 427.5962 259.7932 448 -0.2319602 0.1543209
Moved 427.6112 258.4569 448 -0.2350534 0.1543209
Moved 427.627 257.5 448 -0.2372685 0.1543209
Ended 427.6421 256.7886 448 -0.2389152 0.1543209
Candidates 427.8405 12 says said sure aid days aids stuff asia side sue suffer surf
Began 428.7927 409 419 0.113426 0.07973251
Stationary 428.8053 409 419 0.113426 0.07973251
Stationary 428.815 409 419 0.113426 0.07973251
Stationary 428.827 409 419 0.113426 0.07973251
Stationary 428.8431 409 419 0.113426 0.07973251
Stationary 428.8589 409 419 0.113426 0.07973251
Stationary 428.8748 409 419 0.113426 0.07973251
Ended 428.8907 409 419 0.113426 0.07973251
NextCandidatePanel 428.953
Began 428.9652 398 414 0.08796295 0.06687239
Stationary 428.991 398 414 0.08796295 0.06687239
Stationary 429.0011 398 414 0.08796295 0.06687239
