that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 3210.368 385.2369 368.4216 0.05841881 -0.05035588
Moved 3210.383 386.6795 374.3973 0.06175806 -0.03498627
Moved 3210.4 387 379.3521 0.06250004 -0.02224275
Moved 3210.415 388.5 382 0.06597221 -0.01543218
Moved 3210.43 388.6729 384.6729 0.06637235 -0.00855752
Ended 3210.446 389 386.1116 0.06712963 -0.004856949
Accept 3210.487 0 is
Began 3210.704 379 241 0.04398147 -0.3780865
Stationary 3210.722 379 241 0.04398147 -0.3780865
Stationary 3210.738 379 241 0.04398147 -0.3780865
Stationary 3210.754 379 241 0.04398147 -0.3780865
Stationary 3210.771 379 241 0.04398147 -0.3780865
Stationary 3210.785 379 241 0.04398147 -0.3780865
Stationary 3210.8 379 241 0.04398147 -0.3780865
Stationary 3210.815 379 241 0.04398147 -0.3780865
Moved 3210.831 348.2847 241 -0.02711877 -0.3780865
Moved 3210.847 335.3091 230.3927 -0.05715489 -0.4053686
Moved 3210.863 320.9183 227.3837 -0.09046693 -0.4131079
Moved 3210.878 304.5521 224.5104 -0.1283516 -0.420498
Moved 3210.893 287.4745 221.5791 -0.1678832 -0.4280373
Moved 3210.908 275.3033 218.7341 -0.1960571 -0.4353547
Moved 3210.924 264.5916 217.1769 -0.2208527 -0.4393598
Moved 3210.939 250.9154 215.7915 -0.2525106 -0.442923
Moved 3210.955 240.3972 216 -0.2768584 -0.4423869
Moved 3210.969 230.2982 214.8998 -0.3002356 -0.4452167
Moved 3210.985 223.3403 215 -0.3163419 -0.4449589
Moved 3211.001 217.1118 215 -0.3307596 -0.4449589
Moved 3211.02 209.8852 215 -0.347488 -0.4449589
Moved 3211.033 207.5 213.5 -0.3530093 -0.448817
Moved 3211.049 204.0673 214 -0.3609554 -0.4475308
Moved 3211.062 201.2058 214 -0.3675792 -0.4475308
Moved 3211.077 197.3211 214 -0.3765716 -0.4475308
Moved 3211.093 195.7195 214 -0.3802789 -0.4475308
Moved 3211.11 193.2787 214 -0.3859288 -0.4475308
Ended 3211.124 191.83 214 -0.3892824 -0.4475308
Candidates 3211.291 12 a as s faa aa da fda gas ass has ga aaa
Began 3211.552 322 203 -0.08796295 -0.4758231
Stationary 3211.571 322 203 -0.08796295 -0.4758231
Stationary 3211.587 322 203 -0.08796295 -0.4758231
Stationary 3211.601 322 203 -0.08796295 -0.4758231
Stationary 3211.616 322 203 -0.08796295 -0.4758231
Stationary 3211.631 322 203 -0.08796295 -0.4758231
Stationary 3211.647 322 203 -0.08796295 -0.4758231
Moved 3211.663 322 219.0947 -0.08796295 -0.4344271
Moved 3211.678 322 232.3578 -0.08796295 -0.4003144
Moved 3211.703 322 251.8405 -0.08796295 -0.3502046
Moved 3211.716 322 262.9925 -0.08796295 -0.3215214
Stationary 3211.726 322 262.9925 -0.08796295 -0.3215214
Moved 3211.739 326.8436 269.4597 -0.07675092 -0.3048876
Moved 3211.756 331.276 276.6901 -0.06649067 -0.2862911
Moved 3211.771 332.5 283.5 -0.06365741 -0.2687758
Moved 3211.786 332.6691 286.0073 -0.06326596 -0.2623269
Ended 3211.802 333 289.2175 -0.06249999 -0.2540702
Accept 3211.831 0 a
Began 3212.108 350 261 -0.02314816 -0.3266461
Stationary 3212.125 350 261 -0.02314816 -0.3266461
Stationary 3212.14 350 261 -0.02314816 -0.3266461
Stationary 3212.159 350 261 -0.02314816 -0.3266461
Stationary 3212.174 350 261 -0.02314816 -0.3266461
Stationary 3212.19 350 261 -0.02314816 -0.3266461
Stationary 3212.202 350 261 -0.02314816 -0.3266461
Moved 3212.218 350 249.1073 -0.02314816 -0.3572344
Moved 3212.234 337.7653 243.8435 -0.0514693 -0.3707729
Moved 3212.248 332.5087 228.9156 -0.06363729 -0.4091676
Moved 3212.264 326.607 214.5175 -0.07729863 -0.4462
Moved 3212.281 321.6328 202.6876 -0.08881286 -0.4766266
Moved 3212.296 317.3042 192.3765 -0.0988328 -0.503147
Moved 3212.311 313.6523 183.9569 -0.1072864 -0.5248023
Moved 3212.326 310.7773 175.332 -0.1139413 -0.5469855
Moved 3212.342 308.6745 170.1863 -0.1188089 -0.5602205
Moved 3212.357 305.6827 162.3655 -0.1257345 -0.5803357
Moved 3212.372 303.9058 156.6232 -0.1298477 -0.5951052
Moved 3212.387 300.9273 151.391 -0.1367423 -0.6085622
Moved 3212.404 299.0223 147.067 -0.141152 -0.6196836
Moved 3212.418 297.5754 144.1508 -0.1445014 -0.6271843
Moved 3212.433 297 142.1342 -0.1458333 -0.6323711
Moved 3212.449 296.0455 140.0909 -0.1480429 -0.6376262
Moved 3212.464 296 138.6195 -0.1481481 -0.6414108
Moved 3212.48 295 137.1743 -0.150463 -0.645128
Moved 3212.496 295 136.5 -0.150463 -0.6468621
Moved 3212.511 294.2929 136 -0.1520997 -0.6481481
Moved 3212.526 294 134.8477 -0.1527778 -0.6511121
Stationary 3212.541 294 135 -0.1527778 -0.6507201
Stationary 3212.559 294 135 -0.1527778 -0.6507201
Stationary 3212.573 294 135 -0.1527778 -0.6507201
Stationary 3212.587 294 135 -0.1527778 -0.6507201
Moved 3212.602 292.7506 135 -0.1556699 -0.6507201
Moved 3212.618 291.7612 135 -0.1579603 -0.6507201
Moved 3212.634 290.0852 151.4033 -0.1618397 -0.6085306
Moved 3212.65 288.6462 166.8921 -0.1651709 -0.5686932
Moved 3212.671 283.2319 196.377 -0.177704 -0.4928577
Stationary 3212.682 283.2319 196.377 -0.177704 -0.4928577
Moved 3212.695 281.67 213.9602 -0.1813194 -0.4476333
Moved 3212.711 280.4522 231.2867 -0.1841384 -0.4030691
Moved 3212.726 280 250.9097 -0.1851852 -0.3525986
Moved 3212.741 279 269.181 -0.1875 -0.3056044
Moved 3212.759 277.9086 287.0964 -0.1900263 -0.2595259
Moved 3212.772 276.5 304 -0.193287 -0.2160494
Moved 3212.788 277 322.1938 -0.1921296 -0.1692546
Moved 3212.803 274.7533 339.357 -0.1973304 -0.1251107
Moved 3212.819 273.4379 353.9348 -0.2003752 -0.08761644
Moved 3212.834 273 366.0823 -0.2013889 -0.05637266
Moved 3212.85 271.5522 374.6868 -0.2047403 -0.03424193
Moved 3212.865 272 383.4313 -0.2037037 -0.01175076
Moved 3212.881 272 389.3011 -0.2037037 0.003346494
Moved 3212.897 270.6798 390.6404 -0.2067597 0.006791024
Moved 3212.912 271 394.7388 -0.2060186 0.01733238
Moved 3212.926 271 397.6089 -0.2060186 0.02471433
Moved 3212.943 270 399.7399 -0.2083333 0.03019509
Moved 3212.959 270 401.1873 -0.2083333 0.03391796
Moved 3212.973 270 402.6234 -0.2083333 0.0376115
Moved 3212.988 270 403.5 -0.2083333 0.03986618
Moved 3213.004 270 404.0568 -0.2083333 0.04129822
Moved 3213.018 269.4268 405 -0.2096601 0.04372424
Moved 3213.034 269 406.0119 -0.2106481 0.04632683
Stationary 3213.05 269 406.0119 -0.2106481 0.04632683
Moved 3213.066 269 407.3734 -0.2106481 0.04982874
Stationary 3213.082 269 407.3734 -0.2106481 0.04982874
Moved 3213.096 269 408.249 -0.2106481 0.05208066
Stationary 3213.111 269 408.249 -0.2106481 0.05208066
Moved 3213.127 269 409.0952 -0.2106481 0.054257
Stationary 3213.142 269 409 -0.2106481 0.05401234
