he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Moved 1841.048 549.8947 490 0.4395712 0.2623456
Moved 1841.064 556.5 490 0.4548612 0.2623456
Moved 1841.079 560.8752 490 0.4649888 0.2623456
Moved 1841.094 566.6172 490 0.4782805 0.2623456
Moved 1841.11 570.3793 490 0.486989 0.2623456
Moved 1841.125 574.0932 498.3729 0.4955861 0.2838809
Moved 1841.141 578.4291 502.4291 0.505623 0.2943135
Moved 1841.156 579.8358 504.8358 0.508879 0.3005034
Moved 1841.171 581.3644 507.7287 0.5124176 0.3079441
Moved 1841.187 582.3116 508.3116 0.5146101 0.3094433
Moved 1841.202 582 509.8691 0.513889 0.3134492
Moved 1841.217 582 510.5 0.513889 0.3150719
Moved 1841.233 582 511 0.513889 0.3163579
Moved 1841.255 565.9259 494.2531 0.4766803 0.2732845
Stationary 1841.266 565.9259 494.2531 0.4766803 0.2732845
Moved 1841.28 548.534 469.801 0.4364213 0.2103933
Moved 1841.295 532.2676 441.264 0.3987677 0.1369957
Moved 1841.311 514.2534 396.7843 0.3570681 0.02259329
Moved 1841.326 504.3622 360.3424 0.3341717 -0.07113586
Moved 1841.342 499.8994 338.4972 0.3238412 -0.1273221
Moved 1841.357 498.0071 324.0709 0.3194608 -0.1644269
Moved 1841.372 498 311.0525 0.3194444 -0.1979104
Moved 1841.387 498 296.0837 0.3194444 -0.2364101
Moved 1841.403 506.8768 282.1779 0.3399926 -0.2721761
Moved 1841.418 511.2331 270.7117 0.3500766 -0.3016676
Moved 1841.436 514.7172 262.2828 0.3581416 -0.3233467
Moved 1841.449 516.3007 258.098 0.3618071 -0.33411
Moved 1841.465 517 255.5114 0.3634259 -0.340763
Moved 1841.48 518.1331 253.8669 0.3660489 -0.3449924
Stationary 1841.495 518.1331 253.8669 0.3660489 -0.3449924
Stationary 1841.511 518 254 0.3657407 -0.3446502
Moved 1841.526 507.7728 263.0908 0.3420667 -0.3212685
Moved 1841.548 483.8208 296.2463 0.2866223 -0.235992
Stationary 1841.559 483.8208 296.2463 0.2866223 -0.235992
Moved 1841.572 470.9869 314.7967 0.2569141 -0.1882802
Moved 1841.588 458.7651 334.6884 0.228623 -0.1371186
Moved 1841.604 447.3825 351.9262 0.2022744 -0.09278253
Moved 1841.619 436.5 366 0.1770833 -0.05658444
Moved 1841.634 425.5364 381.0446 0.1517045 -0.01788944
Moved 1841.65 416.158 394.763 0.1299953 0.01739447
Moved 1841.665 406.6082 406.1238 0.1078893 0.04661477
Moved 1841.681 398.0309 417.2922 0.08803437 0.07533991
Moved 1841.696 386.7912 432.0125 0.06201674 0.1132009
Moved 1841.71 376.7032 445.3815 0.03866493 0.1475862
Moved 1841.728 369.6094 456.825 0.02224396 0.1770191
Moved 1841.743 361.1064 469.6124 0.002561013 0.2099082
Moved 1841.757 349.1405 487.7892 -0.02513771 0.2566594
Moved 1841.773 341.9083 499.3467 -0.04187897 0.2863855
Moved 1841.788 331.0143 516.2612 -0.0670965 0.3298898
Moved 1841.804 322.2367 534.8205 -0.08741508 0.3776246
Moved 1841.825 313.5085 554.4745 -0.1076193 0.4281752
Stationary 1841.837 313.5085 554.4745 -0.1076193 0.4281752
Moved 1841.849 310.1967 561.8743 -0.1152854 0.4472075
Moved 1841.865 308.4142 567.1715 -0.1194114 0.460832
Moved 1841.88 306.781 571.6569 -0.123192 0.4723685
Moved 1841.896 304.3434 575.9698 -0.1288347 0.4834614
Moved 1841.911 302.9014 581.3944 -0.1321727 0.4974135
Ended 1841.927 302.9014 581.3944 -0.1321727 0.4974135
Candidates 1842.06 12 regime stronger wine stone winner front define winter resume wonder throne some
Began 1842.91 447 462 0.2013889 0.1903292
Stationary 1842.929 447 462 0.2013889 0.1903292
Stationary 1842.943 447 462 0.2013889 0.1903292
Stationary 1842.959 447 462 0.2013889 0.1903292
Moved 1842.975 433.3116 462 0.1697029 0.1903292
Moved 1842.991 430.9486 462 0.1642329 0.1903292
Moved 1843.006 427.7573 462 0.1568456 0.1903292
Moved 1843.021 425 451.5 0.150463 0.163323
Moved 1843.043 423.7099 454 0.1474767 0.169753
Moved 1843.054 421.9165 452.9166 0.1433253 0.1669664
Moved 1843.068 420.478 453 0.1399954 0.167181
Moved 1843.086 419.0423 452.0423 0.136672 0.1647178
Moved 1843.101 418.5 451.5 0.1354167 0.163323
Moved 1843.114 418 452 0.1342593 0.164609
Moved 1843.129 416.7278 452 0.1313143 0.164609
Moved 1843.144 417 450.6826 0.1319444 0.1612206
Stationary 1843.16 417 451 0.1319444 0.162037
Stationary 1843.175 417 451 0.1319444 0.162037
Moved 1843.19 415.5 451 0.1284723 0.162037
Stationary 1843.205 415.5 451 0.1284723 0.162037
Ended 1843.22 415.5 451 0.1284723 0.162037
NextCandidatePanel 1843.264
Began 1843.758 440 438 0.1851852 0.1286007
Stationary 1843.777 440 438 0.1851852 0.1286007
Stationary 1843.798 440 438 0.1851852 0.1286007
Stationary 1843.81 440 438 0.1851852 0.1286007
Stationary 1843.822 440 438 0.1851852 0.1286007
Ended 1843.838 440 438 0.1851852 0.1286007
NextCandidatePanel 1843.897
Began 1844.327 426 430 0.1527777 0.1080246
Stationary 1844.346 426 430 0.1527777 0.1080246
Stationary 1844.361 426 430 0.1527777 0.1080246
Ended 1844.378 426 430 0.1527777 0.1080246
NextCandidatePanel 1844.421
Began 1844.454 421 427 0.1412037 0.1003086
Stationary 1844.47 421 427 0.1412037 0.1003086
Stationary 1844.485 421 427 0.1412037 0.1003086
Stationary 1844.5 421 427 0.1412037 0.1003086
