a subject one can really enjoy
a subject one can really enjoy
FixStart
0.6 0.6
432 388.8
Moved 575.2317 486 381.3801 0.2916667 -0.0170265
Moved 575.2479 486 378.4833 0.2916667 -0.02447717
Moved 575.2632 486 375.6328 0.2916667 -0.03180869
Moved 575.2782 486 373.7455 0.2916667 -0.03666293
Moved 575.2939 486 371.9339 0.2916667 -0.04132235
Moved 575.3093 486 370.8715 0.2916667 -0.04405488
Moved 575.3245 486 369.5 0.2916667 -0.04758238
Moved 575.3398 486 368.9741 0.2916667 -0.0489351
Moved 575.355 486 367.5095 0.2916667 -0.05270185
Stationary 575.3699 486 367.5095 0.2916667 -0.05270185
Moved 575.3854 486 366.6271 0.2916667 -0.05497143
Stationary 575.4012 486 366.6271 0.2916667 -0.05497143
Moved 575.4159 486 365.7505 0.2916667 -0.05722603
Stationary 575.4317 486 365.7505 0.2916667 -0.05722603
Stationary 575.4463 486 365.7505 0.2916667 -0.05722603
Stationary 575.4614 486 366 0.2916667 -0.05658444
Stationary 575.4771 486 366 0.2916667 -0.05658444
Moved 575.4927 496.8025 387.8024 0.3166724 -0.0005081946
Moved 575.509 502 399 0.3287037 0.02829214
Moved 575.524 508.6117 415.2234 0.3440085 0.07001892
Moved 575.54 516.4306 433.0048 0.3621078 0.1157529
Moved 575.5568 520.5 441 0.3715278 0.1363167
Moved 575.5709 526.7634 452.5859 0.3860263 0.1661159
Moved 575.5861 532.5175 464.035 0.3993462 0.1955631
Moved 575.6017 537.4872 472.1453 0.4108499 0.216423
Moved 575.6176 543.2407 482.1712 0.4241683 0.2422098
Moved 575.6326 545 487.5 0.4282407 0.2559156
Moved 575.6482 547.681 491.5215 0.4344468 0.266259
Moved 575.6633 550.5378 497.0756 0.4410598 0.2805442
Moved 575.6791 552.7193 500.4385 0.4461095 0.2891937
Moved 575.6949 554.1506 502.1506 0.4494228 0.2935973
Moved 575.7095 555.5926 505.1851 0.4527607 0.3014019
Moved 575.731 557.029 507.029 0.4560856 0.3061445
Moved 575.7424 557 508.4804 0.4560185 0.3098775
Moved 575.7567 557.6135 508.6135 0.4574385 0.3102198
Moved 575.7715 558 510.058 0.4583333 0.3139351
Stationary 575.7883 558 510 0.4583333 0.3137859
Moved 575.8031 558.9373 511 0.460503 0.3163579
Moved 575.8167 559 512.3726 0.4606481 0.3198884
Stationary 575.8323 559 512.3726 0.4606481 0.3198884
Moved 575.85 559 514.2484 0.4606481 0.3247128
Stationary 575.864 559 514 0.4606481 0.324074
Moved 575.8795 559 515.5 0.4606481 0.327932
Moved 575.8948 559 516.119 0.4606481 0.3295241
Moved 575.9103 553.5862 517.6767 0.4481163 0.3335305
Moved 575.9251 547.6575 520.2283 0.4343923 0.3400934
Moved 575.9412 540.2036 524.6778 0.417138 0.3515375
Moved 575.9572 531.9971 531.0024 0.3981414 0.3678045
Moved 575.9722 525.6852 533.1049 0.3835306 0.3732122
Moved 575.9882 511 539 0.349537 0.3883744
Moved 576.0046 501.3847 544.8076 0.3272794 0.4033117
Moved 576.018 491.2639 550.5635 0.3038516 0.418116
Moved 576.0338 479.3973 556.3013 0.2763828 0.4328737
Moved 576.0493 467.8121 562.0939 0.2495649 0.4477724
Moved 576.0633 455.647 567.8235 0.2214051 0.4625091
Moved 576.0793 446.9476 572.4586 0.2012675 0.4744304
Moved 576.0956 437.1816 578.0391 0.1786612 0.4887835
Moved 576.1113 428.7848 581.4051 0.1592241 0.497441
Moved 576.1257 420.1811 585.4095 0.1393081 0.5077403
Moved 576.1411 411.5041 589.1653 0.1192224 0.5174003
Moved 576.1566 400.7908 593.0784 0.09442319 0.527465
Moved 576.1764 393.7582 594.4484 0.07814397 0.5309885
Moved 576.1895 388.0093 596.6636 0.06483644 0.5366861
Moved 576.2034 383.0439 597.989 0.05334228 0.5400951
Moved 576.2178 378.725 599.425 0.04334489 0.5437884
Moved 576.2334 376.1338 600.8662 0.03734678 0.5474953
Moved 576.2482 373.3818 601 0.03097643 0.5478393
Moved 576.264 372.253 602 0.02836347 0.5504114
Moved 576.2792 369.6286 603.1857 0.02228846 0.553461
Stationary 576.298 369.6286 603.1857 0.02228846 0.553461
Moved 576.3108 368.2388 603.7612 0.0190713 0.5549412
Stationary 576.3263 368 604 0.01851857 0.5555555
Moved 576.3422 366.5 604 0.0150463 0.5555555
Moved 576.3572 367 605.0402 0.01620372 0.5582308
Stationary 576.3739 367 605.0402 0.01620372 0.5582308
Stationary 576.3868 367 605.0402 0.01620372 0.5582308
Moved 576.4023 367 606 0.01620372 0.5606995
Stationary 576.4179 367 606 0.01620372 0.5606995
Stationary 576.4331 367 606 0.01620372 0.5606995
Stationary 576.451 367 606 0.01620372 0.5606995
Moved 576.4642 375.6638 587.3447 0.03625879 0.5127177
Moved 576.48 381.1284 573.1788 0.04890849 0.4762829
Moved 576.4968 385.137 556.8766 0.05818754 0.4343533
Moved 576.5119 390.5948 534.472 0.07082134 0.3767282
Moved 576.5269 392.341 526.4653 0.07486354 0.3561349
Moved 576.5432 395.6663 506.3375 0.08256079 0.3043659
Moved 576.5583 398.2 489.8003 0.08842577 0.261832
Moved 576.5789 399.9919 464.0645 0.09257396 0.1956389
Stationary 576.5888 399.9919 464.0645 0.09257396 0.1956389
Moved 576.6035 401.4266 451.1602 0.09589502 0.1624489
Moved 576.6188 402 439.3788 0.09722222 0.1321472
Moved 576.6347 402.981 429.1707 0.09949306 0.1058917
Moved 576.6503 404.4299 417.5612 0.1028469 0.07603166
Moved 576.6646 404.8638 409.6812 0.1038514 0.05576439
Moved 576.6807 405 402.4877 0.1041667 0.03726248
Moved 576.6968 405.7412 396.035 0.1058825 0.02066596
Moved 576.7112 406 391.4601 0.1064815 0.008899508
Moved 576.7261 406 387.1351 0.1064815 -0.002224534
Moved 576.7423 406.7786 384.4427 0.1082839 -0.009149387
Moved 576.7576 407 381.7319 0.1087963 -0.01612165
Moved 576.7723 407 377.8414 0.1087963 -0.02612816
Moved 576.7882 407 373.9388 0.1087963 -0.03616576
Moved 576.8049 407 372.5408 0.1087963 -0.03976139
Moved 576.8193 407 369.2048 0.1087963 -0.04834163
Moved 576.8351 407 366.319 0.1087963 -0.05576389
Moved 576.851 407 365.5 0.1087963 -0.05787045
Moved 576.8651 407 363.1647 0.1087963 -0.06387695
Moved 576.8809 407 361.6434 0.1087963 -0.06778976
Moved 576.8975 407 360.2024 0.1087963 -0.07149591
Moved 576.912 408.237 358.763 0.1116598 -0.07519804
Moved 576.9269 408 358 0.1111111 -0.07716057
Moved 576.9512 409.5 357 0.1145834 -0.07973259
Stationary 576.9654 409.5 357 0.1145834 -0.07973259
Stationary 576.9756 409.5 357 0.1145834 -0.07973259
Moved 576.988 411.2004 357 0.1185196 -0.07973259
Moved 577.0046 413.6215 376.4858 0.1241238 -0.02961484
Moved 577.0195 417.9418 395.7285 0.1341247 0.01987783
Moved 577.0349 425.1165 421.6193 0.1507326 0.08646941
Moved 577.0521 434.1362 446.6965 0.1716116 0.1509684
Moved 577.0657 442.808 469.8212 0.1916851 0.2104455
Moved 577.0817 447.3691 486.655 0.2022434 0.2537423
Moved 577.0981 455.2593 506.1483 0.2205077 0.3038792
Moved 577.113 461.0308 524.3502 0.2338677 0.3506948
Moved 577.1285 464.3725 536.8626 0.241603 0.382877
Moved 577.1443 467.2517 546.7552 0.2482679 0.4083209
Moved 577.1585 469.5691 555.2764 0.2536322 0.4302376
Moved 577.173 471.0061 562.0308 0.2569586 0.4476099
Moved 577.1891 472.0907 565.2722 0.2594692 0.4559468
Moved 577.205 473.5618 570.1235 0.2628745 0.4684246
Moved 577.2206 475.0005 575.002 0.2662049 0.480972
Moved 577.2352 475 577.8787 0.2662037 0.4883709
Moved 577.2515 475.879 581.7581 0.2682385 0.4983487
Moved 577.2664 476 584.6487 0.2685185 0.5057835
Moved 577.2872 476 587.5223 0.2685185 0.5131747
Moved 577.2979 476.8885 588.8885 0.2705754 0.5166885
Stationary 577.3129 477 589 0.2708333 0.5169753
Ended 577.328 478.5 590.5 0.2743055 0.5208333
Candidates 577.4999 12 subject divorce select object efficiency assignment dialect deficient deficiency architect interact reject
Began 577.9443 447 468 0.2013889 0.2057612
Stationary 577.9589 447 468 0.2013889 0.2057612
Stationary 577.9741 447 468 0.2013889 0.2057612
Stationary 577.9907 447 468 0.2013889 0.2057612
Moved 578.0056 447 476.4144 0.2013889 0.2274032
Moved 578.0212 439.3762 488.6238 0.1837412 0.2588061
Moved 578.0375 438.5 503 0.181713 0.2957818
Moved 578.0546 438 523.4899 0.1805556 0.3484821
Moved 578.0682 438 533.6931 0.1805556 0.374725
Moved 578.0839 438 548.7805 0.1805556 0.4135299
Moved 578.1006 438 560.7993 0.1805556 0.4444424
Moved 578.1151 438 570.8866 0.1805556 0.4703873
Moved 578.1296 444.0266 579.0266 0.1945059 0.4913234
Moved 578.1453 446.3034 586.5172 0.1997765 0.5105892
Moved 578.1617 447 592.2302 0.2013889 0.5252834
Moved 578.1814 447 598.5782 0.2013889 0.5416107
Stationary 578.192 447 598.5782 0.2013889 0.5416107
Ended 578.2066 448 600 0.2037037 0.5452674
Accept 578.2482 0 subject
Began 578.6641 377 472 0.03935188 0.2160493
Stationary 578.6844 377 472 0.03935188 0.2160493
Stationary 578.7006 377 472 0.03935188 0.2160493
Stationary 578.7141 377 472 0.03935188 0.2160493
Stationary 578.7293 377 472 0.03935188 0.2160493
Stationary 578.7482 377 472 0.03935188 0.2160493
Stationary 578.7633 377 472 0.03935188 0.2160493
Stationary 578.7792 377 472 0.03935188 0.2160493
Moved 578.7924 387.196 472 0.06295364 0.2160493
Moved 578.8084 397.5 472 0.08680551 0.2160493
Moved 578.8224 406.6645 485.7604 0.1080196 0.2514412
Moved 578.8391 416.7354 492.9539 0.131332 0.269943
Moved 578.8551 430.3053 502.8137 0.1627438 0.2953027
Moved 578.8698 440.8779 511.6096 0.1872174 0.3179259
Moved 578.8846 454 519 0.2175926 0.3369341
Moved 578.9062 469.077 530.4267 0.2524931 0.3663237
Moved 578.9168 481.1525 538.3453 0.2804456 0.3866906
Moved 578.9316 490.8916 546.494 0.3029898 0.407649
Moved 578.9476 499.9193 552.6129 0.3238873 0.4233868
Moved 578.9616 507.9596 556.7758 0.3424991 0.4340939
Moved 578.9777 516.1561 562.1041 0.3614726 0.4477986
Moved 578.9929 523.3456 566.4073 0.3781149 0.4588665
Moved 579.0076 528.7581 569.6548 0.3906438 0.4672191
Moved 579.0235 535.9176 573.9506 0.4072166 0.4782678
Moved 579.0396 541.754 576.877 0.420727 0.4857947
Moved 579.0544 545.6083 579.7388 0.4296487 0.4931554
Moved 579.0705 548.6315 581.3157 0.4366469 0.4972112
Moved 579.0858 551.7498 583.7498 0.4438654 0.5034717
Moved 579.1012 554.3906 585.1953 0.4499784 0.5071895
Moved 579.116 555.257 586.257 0.4519837 0.50992
Moved 579.1317 556 587.7733 0.4537037 0.51382
Moved 579.147 557.2113 588 0.4565076 0.5144032
Moved 579.1628 557 589.5 0.4560185 0.5182613
Moved 579.1821 557 589 0.4560185 0.5169753
Moved 579.1943 557 590.5 0.4560185 0.5208333
Stationary 579.2079 557 590.5 0.4560185 0.5208333
Moved 579.2228 557 590 0.4560185 0.5195472
Stationary 579.2393 557 590 0.4560185 0.5195472
Stationary 579.2547 557 590 0.4560185 0.5195472
Stationary 579.2708 557 590 0.4560185 0.5195472
Moved 579.2853 548.2961 590 0.4358706 0.5195472
Moved 579.3016 544.1379 577.1263 0.4262452 0.4864358
Moved 579.3164 537.3086 568.3555 0.4104366 0.4638773
Moved 579.3323 532.5771 560.8656 0.399484 0.444613
Moved 579.3478 525.8011 546.3625 0.383799 0.407311
Moved 579.3627 520.9758 531.277 0.3726293 0.3685106
Moved 579.3781 516.5973 517.6577 0.3624937 0.3334816
Moved 579.3948 512.8879 506.5515 0.3539071 0.3049164
Moved 579.4083 509.007 493.0235 0.3449237 0.270122
Moved 579.424 507.5636 480.0728 0.3415825 0.2368127
Moved 579.4409 504.6615 469.3154 0.3348646 0.2091444
Moved 579.4609 502.0046 458.0208 0.3287145 0.1800946
Moved 579.4711 499.1435 448.0024 0.3220915 0.1543271
Moved 579.4852 498.1255 439.6278 0.3197351 0.1327875
Moved 579.5018 495.3647 425.8232 0.3133441 0.09728176
Moved 579.517 494.4961 417.2325 0.3113336 0.07518634
Moved 579.5325 494 408.9745 0.3101851 0.0539468
Moved 579.5512 492.5 404 0.306713 0.04115226
Moved 579.5632 490.5403 397.6208 0.3021765 0.02474475
Moved 579.5784 490 392.4942 0.300926 0.01155912
Moved 579.5943 487.4024 386.6094 0.2949128 -0.003576671
Moved 579.6093 487 381.8962 0.2939814 -0.01569921
Moved 579.6265 485.5266 374.6329 0.2905708 -0.03438031
Moved 579.6417 484.085 369.34 0.2872338 -0.04799391
Moved 579.6556 482.6424 362.2119 0.2838944 -0.06632761
Moved 579.6711 481.621 358.4841 0.2815301 -0.07591546
Moved 579.6865 481.057 353.171 0.2802246 -0.08958078
Moved 579.7025 479.6177 350.2354 0.2768928 -0.09713129
Moved 579.7238 479 344.7459 0.275463 -0.1112503
Stationary 579.735 479 344.7459 0.275463 -0.1112503
Moved 579.748 478 342.3081 0.2731481 -0.1175203
Moved 579.7634 476.8717 340.8716 0.2705362 -0.1212149
Moved 579.7792 477 339.8369 0.2708333 -0.1238765
Moved 579.7953 476 338.33 0.2685185 -0.1277522
Moved 579.8096 476 336.9037 0.2685185 -0.1314204
Moved 579.8259 475 336.4525 0.2662037 -0.1325812
Moved 579.8409 475 335.0165 0.2662037 -0.1362743
Moved 579.8557 473.5779 335 0.2629117 -0.1363169
Moved 579.87 474 333.5 0.2638889 -0.140175
Stationary 579.8859 474 333.5 0.2638889 -0.140175
Moved 579.9029 472.6474 334 0.2607579 -0.1388889
Moved 579.9178 467.8161 334 0.2495744 -0.1388889
Moved 579.9337 461.9921 345.2678 0.2360927 -0.1099079
