did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Moved 1682.88 349.0195 474.7059 -0.02541775 0.2230089
Moved 1682.901 355 476.5 -0.01157408 0.2276234
Moved 1682.911 370.9245 478.9233 0.02528816 0.2338562
Stationary 1682.927 370.9245 478.9233 0.02528816 0.2338562
Moved 1682.942 396.2794 484.5699 0.08398017 0.2483793
Moved 1682.957 417.9589 488.3265 0.1341642 0.2580413
Moved 1682.973 432.9667 490.0967 0.1689045 0.2625942
Moved 1682.989 445.5 493 0.1979166 0.2700616
Moved 1683.004 457.7972 492.9747 0.2263824 0.2699965
Moved 1683.02 467.2863 493 0.2483479 0.2700616
Moved 1683.034 476.8587 494 0.2705062 0.2726337
Moved 1683.05 482.1578 494 0.2827727 0.2726337
Moved 1683.068 490.8912 494 0.3029888 0.2726337
Moved 1683.082 496.5784 494 0.3161537 0.2726337
Moved 1683.097 501.0728 494 0.3265573 0.2726337
Moved 1683.111 506.3791 494.793 0.3388406 0.2746733
Moved 1683.128 508.5 495.5 0.34375 0.2764916
Moved 1683.142 512.8117 495 0.3537308 0.2752057
Moved 1683.157 516.5117 495 0.3622955 0.2752057
Moved 1683.173 519.4452 495 0.3690861 0.2752057
Moved 1683.188 522.3228 495 0.3757471 0.2752057
Moved 1683.204 525.2002 495 0.3824079 0.2752057
Moved 1683.22 526.5389 495 0.3855067 0.2752057
Moved 1683.235 527.9776 495 0.388837 0.2752057
Moved 1683.25 529.4204 495 0.392177 0.2752057
Moved 1683.275 531.9406 495 0.3980105 0.2752057
Stationary 1683.285 531.9406 495 0.3980105 0.2752057
Moved 1683.297 532.5 495 0.3993056 0.2752057
Moved 1683.312 532.8181 495 0.4000418 0.2752057
Moved 1683.329 533.5 495 0.4016204 0.2752057
Stationary 1683.345 533.5 495 0.4016204 0.2752057
Stationary 1683.359 533.5 495 0.4016204 0.2752057
Moved 1683.373 533 497.1544 0.4004629 0.2807467
Moved 1683.388 509 500 0.3449074 0.2880658
Stationary 1683.404 509 500 0.3449074 0.2880658
Moved 1683.419 472.9084 505.9456 0.2613622 0.3033578
Stationary 1683.434 472.9084 505.9456 0.2613622 0.3033578
Moved 1683.45 442.832 512.2336 0.1917407 0.3195307
Moved 1683.467 425.233 515.1379 0.1510024 0.3270006
Moved 1683.483 410.9961 517.2227 0.1180465 0.3323628
Moved 1683.497 404.2964 518.2433 0.1025381 0.3349879
Moved 1683.513 395.373 519.7712 0.08188208 0.3389176
Moved 1683.529 389.1961 520 0.06758362 0.3395061
Moved 1683.543 385.7115 521 0.05951722 0.3420781
Moved 1683.558 382.8339 521 0.05285621 0.3420781
Moved 1683.574 380.4853 522 0.04741976 0.3446501
Moved 1683.589 379.5 522 0.0451389 0.3446501
Stationary 1683.605 379.5 522 0.0451389 0.3446501
Ended 1683.622 380 523 0.04629632 0.3472221
Candidates 1683.756 12 you got for toy foot root roy spot hot door dot support
Began 1684.326 423 219 0.1458333 -0.4346708
Stationary 1684.347 423 219 0.1458333 -0.4346708
Stationary 1684.361 423 219 0.1458333 -0.4346708
Moved 1684.376 423 254.2758 0.1458333 -0.343941
Moved 1684.391 417.7718 285.4316 0.133731 -0.2638077
Moved 1684.407 414.8173 322.9338 0.1268918 -0.1673512
Moved 1684.422 415 339.2576 0.1273148 -0.1253664
Moved 1684.438 414.2014 354.1799 0.1254663 -0.08698593
Moved 1684.453 414 374.6199 0.125 -0.03441375
Moved 1684.469 414 390.7783 0.125 0.007145768
Moved 1684.483 414 404.4385 0.125 0.04227999
Moved 1684.499 414 418.8755 0.125 0.07941234
Moved 1684.516 414 427.6066 0.125 0.1018688
Moved 1684.53 414 437.5432 0.125 0.1274257
Moved 1684.544 414 442.5 0.125 0.1401748
Moved 1684.56 414 447.5865 0.125 0.1532573
Moved 1684.576 414 451.9647 0.125 0.1645183
Moved 1684.591 414 455.5506 0.125 0.1737412
Moved 1684.608 414 459.6013 0.125 0.1841597
Moved 1684.625 414 462.9188 0.125 0.1926924
Moved 1684.645 414 469 0.125 0.2083333
Stationary 1684.656 414 469 0.125 0.2083333
Moved 1684.667 414 469.6547 0.125 0.2100172
Moved 1684.684 414 471.1039 0.125 0.2137445
Ended 1684.699 414 472 0.125 0.2160493
Accept 1684.726 0 you
Began 1685.315 448 304 0.2037037 -0.2160494
Stationary 1685.331 448 304 0.2037037 -0.2160494
Stationary 1685.346 448 304 0.2037037 -0.2160494
Stationary 1685.361 448 304 0.2037037 -0.2160494
Stationary 1685.376 448 304 0.2037037 -0.2160494
Stationary 1685.392 448 304 0.2037037 -0.2160494
Stationary 1685.407 448 304 0.2037037 -0.2160494
Stationary 1685.424 448 304 0.2037037 -0.2160494
Stationary 1685.44 448 304 0.2037037 -0.2160494
Stationary 1685.457 448 304 0.2037037 -0.2160494
Stationary 1685.468 448 304 0.2037037 -0.2160494
