players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Stationary 769.8732 316 535 -0.1018519 0.3780863
Moved 769.8881 316 524.2582 -0.1018519 0.3504584
Moved 769.9042 306.3518 517.1085 -0.1241856 0.332069
Moved 769.9202 303.5682 509.1364 -0.1306291 0.3115648
Moved 769.9355 299.2185 500.4371 -0.1406979 0.28919
Moved 769.9503 294.9139 489.7416 -0.1506623 0.2616811
Moved 769.9671 288.9631 478.6052 -0.1644372 0.2330381
Moved 769.9825 281.8885 463.5546 -0.1808138 0.1943276
Moved 770.0009 273.02 451.03 -0.2013426 0.1621142
Moved 770.0135 263.2564 435.8314 -0.2239436 0.1230231
Moved 770.0292 249.6615 419.5769 -0.2554131 0.08121628
Moved 770.0435 238.125 406.1406 -0.2821181 0.04665794
Moved 770.0587 225.187 393.187 -0.3120672 0.01334108
Moved 770.075 217.0156 384.0156 -0.3309824 -0.010248
Moved 770.0895 208.9494 374.941 -0.3496541 -0.03358801
Moved 770.1046 198.8671 366.3146 -0.372993 -0.05577519
Moved 770.1199 192.5972 358.7167 -0.3875064 -0.07531727
Moved 770.1361 186.7349 352.7349 -0.4010767 -0.0907025
Moved 770.1514 183.476 348.476 -0.4086204 -0.1016563
Moved 770.1661 180.5978 345.5978 -0.4152829 -0.1090591
Moved 770.1821 179.5 344.5 -0.4178241 -0.1118828
Moved 770.196 180 344 -0.4166667 -0.1131688
Ended 770.213 180 344 -0.4166667 -0.1131688
Candidates 770.3478 12 players layers lawyers laura posters parties played lasted issues pairs letters posted
Began 770.8574 383 328 0.05324075 -0.1543211
Stationary 770.8752 383 328 0.05324075 -0.1543211
Stationary 770.8896 383 328 0.05324075 -0.1543211
Moved 770.9045 383 340.3768 0.05324075 -0.1224877
Moved 770.9214 383 380.4126 0.05324075 -0.019515
Moved 770.9368 383 432.5214 0.05324075 0.1145096
Moved 770.9523 383 490.0122 0.05324075 0.262377
Moved 770.9688 383 549.5 0.05324075 0.4153806
Ended 770.9916 383 579 0.05324075 0.4912551
Accept 771.0148 0 players
Began 771.7819 527 305 0.3865741 -0.2134774
Stationary 771.8011 527 305 0.3865741 -0.2134774
Stationary 771.8153 527 305 0.3865741 -0.2134774
Stationary 771.8329 527 305 0.3865741 -0.2134774
Moved 771.8462 533.5161 294.7605 0.4016575 -0.2398135
Moved 771.8614 538.1208 287.1321 0.4123167 -0.259434
Moved 771.877 542.6142 278.1573 0.422718 -0.2825172
Moved 771.8923 544.8716 273.2567 0.4279437 -0.2951217
