come and see our new car
come and see our new car
Basic
0.6 0.6
432 388.8
Moved 161.5759 195.2036 480.9491 -0.3814731 0.2390665
Ended 161.5878 189.6866 482.3284 -0.3942441 0.2426141
Candidates 161.7804 12 be made vw new mar mass na bsa ve nasa beer mad
Began 162.6942 416 356 0.1296297 -0.0823046
Stationary 162.715 416 356 0.1296297 -0.0823046
Stationary 162.7261 416 356 0.1296297 -0.0823046
Stationary 162.7419 416 356 0.1296297 -0.0823046
Stationary 162.7575 416 356 0.1296297 -0.0823046
Stationary 162.7736 416 356 0.1296297 -0.0823046
Moved 162.788 416 343.335 0.1296297 -0.1148793
Moved 162.8056 416 330.1077 0.1296297 -0.1488999
Moved 162.8186 416 314.9656 0.1296297 -0.1878458
Moved 162.8365 416 298.6151 0.1296297 -0.2298995
Moved 162.8526 416 291.0408 0.1296297 -0.2493806
Moved 162.8657 416 283.3466 0.1296297 -0.2691702
Moved 162.8805 416 277.7983 0.1296297 -0.2834405
Moved 162.896 416 274.989 0.1296297 -0.2906661
Moved 162.9116 416 271.9252 0.1296297 -0.2985462
Moved 162.9277 416 270.5926 0.1296297 -0.3019738
Moved 162.9504 416 267.1888 0.1296297 -0.3107285
Stationary 162.9613 416 267.1888 0.1296297 -0.3107285
Moved 162.9734 416 265.8621 0.1296297 -0.3141407
Moved 162.9883 416 264.5 0.1296297 -0.3176441
Stationary 163.0041 416 264.5 0.1296297 -0.3176441
Moved 163.0194 416 264 0.1296297 -0.31893
Stationary 163.0366 416 264 0.1296297 -0.31893
Ended 163.0515 416 264 0.1296297 -0.31893
Accept 163.1089 3 new
Began 163.3555 341 247 -0.04398147 -0.3626543
Stationary 163.3758 341 247 -0.04398147 -0.3626543
Stationary 163.3893 341 247 -0.04398147 -0.3626543
Stationary 163.404 341 247 -0.04398147 -0.3626543
Moved 163.4195 327.7541 247 -0.0746433 -0.3626543
Moved 163.436 314.2448 260.2797 -0.1059149 -0.3284986
Moved 163.4526 295.418 268.5492 -0.1494955 -0.3072295
Moved 163.4669 267.6738 286.8841 -0.213718 -0.2600719
Moved 163.4835 243.2733 301.9542 -0.2702007 -0.2213114
Moved 163.5052 203.1783 338.8068 -0.3630132 -0.1265257
Stationary 163.5166 203.1783 338.8068 -0.3630132 -0.1265257
Moved 163.5282 193.6353 348.3647 -0.3851035 -0.1019428
Moved 163.5439 188.8657 356.5572 -0.3961442 -0.08087142
Moved 163.5589 183.6973 365.5298 -0.4081081 -0.05779384
Moved 163.5746 179.6707 375.1017 -0.4174289 -0.03317468
Moved 163.5893 179.5 382.5 -0.4178241 -0.01414617
Moved 163.6049 180 393.4923 -0.4166667 0.01412627
Moved 163.6205 180 400.9544 -0.4166667 0.03331883
Moved 163.6359 183.8796 408.3254 -0.4076861 0.05227717
Moved 163.6517 190.6756 416.5134 -0.3919546 0.07333697
Moved 163.6669 196.1299 423.4124 -0.3793289 0.09108111
Moved 163.6831 212.8787 440.8787 -0.3405586 0.1360047
Moved 163.6981 239.2154 460.1499 -0.2795939 0.1855707
Moved 163.713 265.3491 475.8094 -0.2190993 0.2258472
Moved 163.7287 299.7487 496.4492 -0.1394706 0.278933
Moved 163.7445 317.4314 503.287 -0.09853845 0.2965199
Moved 163.7592 328.7421 508.871 -0.07235626 0.3108822
Moved 163.7787 339.7027 512.7635 -0.0469845 0.3208936
Moved 163.7912 347.7704 516.8622 -0.02830928 0.3314358
Moved 163.8059 353.2526 518.3132 -0.015619 0.3351676
Moved 163.8212 355 519.5 -0.01157408 0.3382201
Moved 163.8366 357 520.5 -0.006944438 0.3407921
Stationary 163.8515 357 520.5 -0.006944438 0.3407921
Moved 163.8664 356 520 -0.009259283 0.3395061
Ended 163.8823 356 520 -0.009259283 0.3395061
Candidates 164.0482 12 carry car cat care vary career cast vast carr barry case bat
Began 164.6619 412 319 0.1203704 -0.1774692
Stationary 164.6728 412 319 0.1203704 -0.1774692
Stationary 164.6829 412 319 0.1203704 -0.1774692
Stationary 164.6977 412 319 0.1203704 -0.1774692
Moved 164.7131 404.3383 319 0.1026349 -0.1774692
Moved 164.7299 391.7487 319 0.07349232 -0.1774692
Moved 164.7462 379.5 319 0.0451389 -0.1774692
Moved 164.7609 368.1298 319 0.01881887 -0.1774692
Moved 164.7813 358.422 319 -0.003652871 -0.1774692
Moved 164.7932 351.3506 319 -0.0200218 -0.1774692
Moved 164.8075 344.6193 319 -0.03560354 -0.1774692
Moved 164.8228 338.8361 319 -0.04899055 -0.1774692
Moved 164.8388 336.1729 319 -0.0551553 -0.1774692
Moved 164.8535 333.4489 319 -0.06146093 -0.1774692
Moved 164.8685 330.718 319 -0.0677823 -0.1774692
Moved 164.884 329.5 319 -0.07060184 -0.1774692
Moved 164.8995 328.3282 319 -0.07331446 -0.1774692
Moved 164.9152 327.0644 319 -0.07623985 -0.1774692
Ended 164.9299 325.696 319 -0.07940744 -0.1774692
Accept 164.959 1 car
PhraseEnd 165.6996
