are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Moved 3005.744 562.3331 573.1111 0.4683636 0.4761086
Moved 3005.775 517.3909 573 0.3643308 0.4758229
Moved 3005.806 475.2158 573 0.2667032 0.4758229
Moved 3005.836 444.6773 573 0.1960123 0.4758229
Moved 3005.867 417.906 573 0.1340417 0.4758229
Moved 3005.898 402.4543 573 0.09827396 0.4758229
Moved 3005.928 396.5114 573 0.08451711 0.4758229
Moved 3005.959 394.8578 580.9955 0.0806893 0.4963877
Moved 3005.99 395 582.0958 0.08101851 0.4992174
Ended 3006.021 395 586 0.08101851 0.5092591
Accept 3006.144 0 sure
Candidates 3006.144 13 your you type tour report support it toy root out rope for foot
Began 3007.219 443 406 0.1921296 0.04629618
Stationary 3007.25 443 406 0.1921296 0.04629618
Moved 3007.281 428.0759 421.4026 0.1575831 0.08591192
Moved 3007.312 413.0159 445.1713 0.1227221 0.1470455
Moved 3007.342 400.2335 476.4773 0.09313305 0.2275649
Moved 3007.373 392.0569 502.3008 0.0742058 0.2939835
Moved 3007.404 386.3559 527.8986 0.06100893 0.3598213
Moved 3007.434 383.1643 548.5209 0.05362113 0.4128623
Moved 3007.465 381 565.8099 0.04861106 0.4573298
Moved 3007.496 380 581.9067 0.04629632 0.498731
Moved 3007.527 380 597.1624 0.04629632 0.5379689
Moved 3007.557 380 607.9302 0.04629632 0.5656641
Moved 3007.588 380 616.6962 0.04629632 0.5882102
Moved 3007.619 380 624.4041 0.04629632 0.6080352
Moved 3007.649 380 630.3278 0.04629632 0.6232711
Moved 3007.68 380 640.2696 0.04629632 0.6488415
Moved 3007.711 380 648.8898 0.04629632 0.6710127
Moved 3007.742 380 655.6583 0.04629632 0.6884214
Moved 3007.772 380 660.799 0.04629632 0.7016434
Moved 3007.803 380 665.2831 0.04629632 0.7131765
Ended 3007.834 380 665.2831 0.04629632 0.7131765
Accept 3007.895 1 you
Began 3008.172 457 405 0.2245371 0.04372424
Moved 3008.203 449.6487 405 0.20752 0.04372424
Moved 3008.233 417.4419 421.5653 0.1329673 0.08633048
Moved 3008.264 379.7032 451.683 0.04560927 0.1637936
Moved 3008.295 347.2479 477.098 -0.02951885 0.2291614
Moved 3008.326 322.0622 501.9377 -0.0878189 0.2930497
Moved 3008.356 302.9702 517.8785 -0.1320135 0.3340496
Moved 3008.387 285.629 530.212 -0.1721552 0.3657716
Moved 3008.418 273.1753 539.8248 -0.2009832 0.3904957
Moved 3008.448 265.3986 544.6014 -0.2189847 0.4027812
Moved 3008.479 262.3283 547 -0.2260919 0.4089505
Moved 3008.51 261 548.2163 -0.2291666 0.4120789
Moved 3008.541 258.9591 548 -0.233891 0.4115225
Moved 3008.572 257.0396 548 -0.2383343 0.4115225
Moved 3008.602 253 533 -0.2476852 0.3729423
Moved 3008.633 242.9812 485.2081 -0.2708768 0.2500208
Moved 3008.664 242 444.4902 -0.2731481 0.1452936
Moved 3008.694 250.6432 412.2764 -0.2531408 0.06243929
Moved 3008.725 256.5519 392.6202 -0.2394631 0.01188309
Moved 3008.756 265.5 370 -0.21875 -0.04629637
Moved 3008.787 273.1675 352.665 -0.2010011 -0.09088233
Moved 3008.817 286.031 337.7113 -0.1712246 -0.1293434
Moved 3008.848 309.6676 325.0602 -0.1165102 -0.1618822
Moved 3008.879 338.1516 312.3994 -0.05057503 -0.194446
Moved 3008.909 372.3322 296.3616 0.02854675 -0.2356956
Moved 3008.94 402.1294 282.9353 0.09752163 -0.2702282
Moved 3008.971 444.8089 258.5955 0.1963169 -0.3328305
Moved 3009.002 471.7906 238.2095 0.2587745 -0.3852638
Moved 3009.032 489.144 216.2272 0.2989445 -0.4418025
Moved 3009.063 503.0818 193.8363 0.3312079 -0.4993923
Moved 3009.094 512.1303 179.7828 0.3521535 -0.535538
Moved 3009.125 516.9071 171.2788 0.3632109 -0.5574104
Moved 3009.155 519.5 167.5 0.3692129 -0.5671297
Moved 3009.186 520 167 0.3703704 -0.5684157
Moved 3009.217 512.9597 210.4181 0.3540734 -0.4567437
Moved 3009.248 497.9684 282.1818 0.3193713 -0.2721663
Moved 3009.278 494.4249 324.6268 0.3111688 -0.1629971
Moved 3009.309 494 366.6608 0.3101851 -0.05488478
Moved 3009.34 507.5435 413.9393 0.3415359 0.06671619
Moved 3009.37 516.5667 448.8889 0.3624228 0.1566073
Moved 3009.401 521.7108 471.6866 0.3743306 0.2152433
Moved 3009.432 523 491.1248 0.3773148 0.2652386
Moved 3009.463 512.8708 506.2351 0.3538677 0.3041026
Moved 3009.493 503.149 517.8807 0.3313636 0.3340553
Moved 3009.524 485.9235 527.6306 0.2914895 0.3591321
Moved 3009.555 473.9467 533.6844 0.2637655 0.3747028
Moved 3009.585 466.8958 536.5521 0.247444 0.3820784
Ended 3009.616 462.9047 539.1906 0.2382054 0.3888645
Candidates 3009.708 13 want any wacky range grant rabbit abu rant rabbi danny went same heavy
Began 3010.415 432 376 0.1666667 -0.03086435
Stationary 3010.446 432 376 0.1666667 -0.03086435
Stationary 3010.477 432 376 0.1666667 -0.03086435
Stationary 3010.508 432 376 0.1666667 -0.03086435
Moved 3010.538 432 386.028 0.1666667 -0.005072017
Moved 3010.569 432 408.7615 0.1666667 0.05339885
Moved 3010.6 443.2502 447.0009 0.1927089 0.1517511
Moved 3010.63 450.4781 479.8688 0.2094401 0.2362879
Moved 3010.661 455.1859 506.3013 0.2203378 0.3042729
Moved 3010.692 457 533.3555 0.2245371 0.3738566
Moved 3010.723 457 551.6197 0.2245371 0.4208324
Moved 3010.753 457 563.3177 0.2245371 0.4509199
Moved 3010.784 446.667 568.6661 0.200618 0.464676
Moved 3010.815 442.8156 570 0.1917028 0.4681069
Moved 3010.845 439.4532 571 0.1839195 0.4706789
Moved 3010.876 433.3152 566.5074 0.1697112 0.4591238
Moved 3010.907 422.2318 553.2318 0.1440551 0.4249789
Moved 3010.938 411.783 538.1744 0.1198679 0.386251
Moved 3010.969 399.7325 518.172 0.09197335 0.3348044
Moved 3010.999 390.8618 500.7236 0.07143935 0.289927
Moved 3011.03 386.4166 487.0831 0.0611496 0.2548434
Moved 3011.061 386 470.153 0.06018519 0.2112988
Moved 3011.091 403.8839 446.1493 0.1015831 0.1495609
Moved 3011.122 430.4879 414.8145 0.1631665 0.06896713
Moved 3011.153 455.7488 391.9698 0.2216409 0.01021032
Moved 3011.184 473.3089 375.6912 0.2622891 -0.03165861
Moved 3011.214 488.7586 360.2414 0.2980523 -0.07139559
Moved 3011.245 497.0448 349.9552 0.3172333 -0.09785184
Moved 3011.276 501.8782 345.1218 0.3284218 -0.1102836
Moved 3011.306 504.4121 341.5879 0.3342873 -0.1193727
Moved 3011.337 507.2836 337.7164 0.3409342 -0.1293302
Moved 3011.368 509.1488 336 0.3452519 -0.1337449
Moved 3011.399 510.7463 332.2537 0.3489498 -0.1433806
Moved 3011.429 516.0409 325.4386 0.3612058 -0.1609089
