I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Moved 1805.125 185.2712 520.2712 -0.4044648 0.3402036
Moved 1805.156 186 521.0921 -0.4027778 0.342315
Moved 1805.186 191.9195 521.9597 -0.3890753 0.3445465
Moved 1805.217 202.3788 522 -0.3648639 0.3446501
Moved 1805.248 213.3225 522 -0.3395311 0.3446501
Moved 1805.279 231.2034 511.5187 -0.2981403 0.317692
Moved 1805.309 252.8135 499.5352 -0.2481168 0.2868702
Moved 1805.34 278.8557 485.0801 -0.187834 0.2496916
Moved 1805.371 305.3687 466.1774 -0.1264614 0.2010736
Moved 1805.401 331.8759 445.9854 -0.06510213 0.1491394
Moved 1805.432 356.7138 431.1908 -0.007606944 0.1110874
Moved 1805.463 381.9249 411.9557 0.05075197 0.06161434
Moved 1805.493 407.6706 392.7471 0.1103486 0.01220946
Moved 1805.524 430.1 377.0714 0.1622686 -0.02810859
Moved 1805.555 451.6219 361.2836 0.2120876 -0.06871502
Moved 1805.586 466.7014 349.2559 0.246994 -0.09965056
Moved 1805.616 486.9915 335.6724 0.2939616 -0.1345875
Moved 1805.647 500.5329 327.8802 0.3253075 -0.1546291
Moved 1805.678 510.5 322 0.3483796 -0.1697531
Moved 1805.709 519.3563 317.8812 0.3688802 -0.1803466
Moved 1805.739 524.9612 314.0194 0.3818546 -0.1902794
Moved 1805.77 530.716 311.142 0.3951759 -0.19768
Moved 1805.801 533.2807 310 0.4011127 -0.2006174
Moved 1805.832 537.2487 308 0.4102978 -0.2057614
Moved 1805.862 540.1283 306 0.4169637 -0.2109054
Moved 1805.893 543.999 304.0005 0.4259237 -0.2160482
Moved 1805.924 547.1481 302 0.4332134 -0.2211935
Moved 1805.954 551.9004 299.5498 0.4442139 -0.2274954
Moved 1805.985 558.9657 297.6781 0.4605688 -0.2323094
Moved 1806.016 566.7003 297 0.4784728 -0.2340535
Moved 1806.046 576.2048 295.2651 0.500474 -0.2385157
Moved 1806.077 583.2268 295 0.5167288 -0.2391976
Moved 1806.108 587.9756 295 0.5277215 -0.2391976
Moved 1806.139 589.9955 295 0.5323969 -0.2391976
Ended 1806.169 595 295 0.5439815 -0.2391976
Candidates 1806.262 13 sell feel cell del fall all call al fell careful steel carl deal
Began 1807.49 370 365 0.02314816 -0.05915646
Stationary 1807.521 370 365 0.02314816 -0.05915646
Moved 1807.552 370 382.5155 0.02314816 -0.01410637
Moved 1807.583 389.2972 408.5944 0.06781757 0.05296919
Moved 1807.613 411.9251 448.5419 0.120197 0.1557148
Moved 1807.644 430.1768 479.0829 0.1624463 0.2342665
Moved 1807.675 443.0822 499.1234 0.1923201 0.285811
Moved 1807.705 451.1941 510.5922 0.2110975 0.315309
Ended 1807.736 455 513 0.2199073 0.321502
Accept 1807.798 1 feel
Began 1808.719 312 445 -0.1111111 0.1466049
Stationary 1808.75 312 445 -0.1111111 0.1466049
Stationary 1808.781 312 445 -0.1111111 0.1466049
Moved 1808.811 320.7249 445 -0.09091467 0.1466049
Moved 1808.842 337.3192 453.0798 -0.05250181 0.1673863
Moved 1808.873 364.9852 459.2463 0.01153986 0.1832467
Moved 1808.903 393.8589 463.5718 0.07837713 0.1943718
Moved 1808.934 419.8276 465.8698 0.1384898 0.2002822
Moved 1808.965 442.9553 467 0.1920262 0.2031892
