in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Moved 493.2537 435 373.9027 0.1736111 -0.03625854
Moved 493.2845 446.4637 405.5866 0.2001474 0.04523304
Moved 493.3152 450.6091 428.873 0.2097434 0.1051261
Moved 493.3459 452.1378 439.5513 0.213282 0.1325908
Moved 493.3767 453 447.1005 0.2152778 0.1520072
Moved 493.4074 454 450.9258 0.2175926 0.1618462
Moved 493.4381 458.3865 453.7955 0.2277466 0.1692269
Moved 493.4688 495.9123 456 0.3146118 0.174897
Moved 493.4995 510.057 456 0.3473542 0.174897
Moved 493.5303 534.5509 456 0.404053 0.174897
Moved 493.561 549.4609 447.3078 0.438567 0.1525406
Moved 493.5917 561.3574 444.5475 0.466105 0.1454411
Moved 493.6225 567.6755 442.6623 0.4807303 0.1405922
Moved 493.6532 570.1956 442 0.4865637 0.1388888
Moved 493.684 571 442 0.4884259 0.1388888
Moved 493.7146 555.0779 448.1526 0.4515691 0.1547136
Moved 493.7454 525 461.5 0.3819444 0.1890431
Moved 493.7762 491.7545 465.3606 0.3049871 0.1989727
Moved 493.8068 476.6132 465 0.2699379 0.1980452
Moved 493.8376 463.2647 465 0.2390388 0.1980452
Moved 493.8683 451.8797 465 0.2126844 0.1980452
Moved 493.899 439.2508 465 0.1834509 0.1980452
Moved 493.9297 419.5394 466 0.1378226 0.2006171
Moved 493.9605 396.4097 467 0.08428166 0.2031892
Moved 493.9912 371.6676 467 0.02700845 0.2031892
Moved 494.0219 350.8311 467 -0.02122432 0.2031892
Moved 494.0526 340.317 467 -0.04556258 0.2031892
Moved 494.0834 332.8009 460 -0.06296093 0.1851851
Moved 494.1141 331 459 -0.06712963 0.1826131
Ended 494.1449 331 459 -0.06712963 0.1826131
Accept 494.237 0 to
Candidates 494.237 13 your our it grow or tie fire type hire potter upper for tour
Began 495.1588 427 359 0.1550926 -0.07458848
Stationary 495.1896 427 359 0.1550926 -0.07458848
Moved 495.2203 405.6235 359 0.10561 -0.07458848
Moved 495.251 369.896 368.6624 0.02290746 -0.04973682
Moved 495.2818 335.3868 381.3066 -0.05697489 -0.01721567
Moved 495.3125 306.7263 398.8491 -0.1233188 0.02790404
Moved 495.3432 293.5096 409.1178 -0.153913 0.05431532
Moved 495.374 286.2604 414.8264 -0.1706935 0.06899794
Moved 495.4047 281.4936 419.5065 -0.1817279 0.08103503
Moved 495.4354 279 422.6144 -0.1875 0.08902887
Moved 495.4662 279 430.9804 -0.1875 0.1105463
Moved 495.4969 363.4734 456.5708 0.008040369 0.1763652
Moved 495.5276 445.7635 463 0.1985268 0.1929011
Moved 495.5583 484.7122 463 0.2886857 0.1929011
Moved 495.5891 514 463 0.3564815 0.1929011
Moved 495.6198 531.1459 451.5416 0.3961712 0.1634301
Moved 495.6505 539.3154 448.8948 0.4150819 0.1566225
Moved 495.6812 541.5 449 0.4201389 0.156893
Moved 495.7119 521.9624 458.0376 0.374913 0.1801378
Moved 495.7427 503.5372 464.3732 0.332262 0.196433
Moved 495.7734 462.7327 471.4356 0.2378072 0.2145977
Moved 495.8041 431.1009 477.2697 0.1645855 0.2296031
Moved 495.8348 412.8105 484.2758 0.1222465 0.2476229
Moved 495.8656 397.9524 491.0238 0.08785278 0.2649788
Moved 495.8963 385.4568 496.7716 0.05892774 0.2797623
Moved 495.9271 376.2094 501.9302 0.03752182 0.2930302
Moved 495.9577 364.6686 507.7771 0.01080702 0.3080686
Moved 495.9885 354.6904 511 -0.01229083 0.3163579
Moved 496.0192 346.9509 513 -0.03020619 0.321502
Moved 496.05 340.8082 513 -0.04442553 0.321502
Moved 496.0807 333.1152 503.1152 -0.06223331 0.2960782
Moved 496.1114 322.4608 489.768 -0.08689626 0.2617489
Moved 496.1421 314.5 475 -0.1053241 0.2237653
Moved 496.1729 309.7429 456.2 -0.116336 0.1754115
Moved 496.2036 310 436.0604 -0.1157407 0.1236121
Moved 496.2343 310 412.915 -0.1157407 0.06408181
Moved 496.265 307.9792 398.4272 -0.1204185 0.02681897
Moved 496.2957 303.2381 383.0953 -0.1313932 -0.01261503
Moved 496.3265 300.7488 374.2464 -0.1371556 -0.03537449
Moved 496.3572 292.6107 361.4808 -0.1559938 -0.06820781
Moved 496.3879 285.6629 354.6629 -0.1720766 -0.08574364
Moved 496.4187 279.9083 349.4542 -0.1853974 -0.09914061
Moved 496.4494 274.1605 344.1605 -0.1987026 -0.1127561
Moved 496.4801 269.0891 340.0891 -0.2104419 -0.1232276
Ended 496.5108 261 336 -0.2291666 -0.1337449
Accept 496.5723 0 your
Candidates 496.5723 13 does sites eyes writers sierra writes series words died suited dried supported arrows
Began 498.078 330 362 -0.06944443 -0.06687243
Moved 498.1088 309.5322 362 -0.1168237 -0.06687243
Moved 498.1395 281.6691 353.3684 -0.1813215 -0.0890731
Moved 498.1702 254.5554 355 -0.2440848 -0.08487654
Moved 498.201 226.2898 355 -0.3095143 -0.08487654
Moved 498.2317 205.7717 355 -0.3570101 -0.08487654
Moved 498.2623 187.5444 355 -0.3992028 -0.08487654
Moved 498.2931 175.3113 363.9377 -0.4275202 -0.06188852
Moved 498.3238 160.9254 365 -0.4608209 -0.05915646
Moved 498.3546 147.26 365 -0.4924535 -0.05915646
Moved 498.3853 137.5 365 -0.5150463 -0.05915646
Moved 498.416 129.8274 366 -0.5328069 -0.05658444
Moved 498.4468 124.1201 366 -0.5460182 -0.05658444
Moved 498.4775 117.5734 366 -0.5611727 -0.05658444
Moved 498.5082 111.1962 367.2679 -0.5759346 -0.05332327
Moved 498.5389 100.0835 367 -0.6016585 -0.05401234
Moved 498.5696 91.58124 367 -0.6213397 -0.05401234
Moved 498.6004 86.02533 367 -0.6342007 -0.05401234
Moved 498.6311 81.00284 367 -0.6458267 -0.05401234
Moved 498.6619 76.29535 367 -0.6567237 -0.05401234
Moved 498.6926 73.76472 368 -0.6625816 -0.05144041
Moved 498.7233 71.15659 368 -0.668619 -0.05144041
Moved 498.754 69.33276 368 -0.6728408 -0.05144041
Moved 498.7848 67.73553 368 -0.6765381 -0.05144041
Ended 498.8155 67.73553 368 -0.6765381 -0.05144041
Accept 498.877 0 does
Delete 498.877 LeftSwipe
Began 499.3071 435 344 0.1736111 -0.1131688
Stationary 499.3379 435 344 0.1736111 -0.1131688
Moved 499.3686 424.1458 355.8409 0.1484857 -0.08271386
Moved 499.3994 400.776 379.076 0.09438892 -0.0229527
Moved 499.43 377.113 403.1511 0.03961334 0.0389689
Moved 499.4608 360.7404 417.0496 0.001713932 0.07471606
Moved 499.4915 347.248 431.752 -0.02951855 0.1125308
Moved 499.5222 335.9149 443.0851 -0.05575259 0.1416798
