players must know all the rules
players must know all the rules
FixStart
List

0.6 0.6
432 388.8
Moved 296.6093 435 495 0.1736111 0.2752057
Moved 296.64 446.7446 471.5108 0.2007977 0.2147911
Moved 296.6707 456.3476 454.4207 0.2230268 0.170835
Moved 296.7014 464.9828 440.0344 0.2430157 0.1338333
Moved 296.7319 468.3626 431.9122 0.2508394 0.1129427
Moved 296.7629 471.3613 425.2773 0.2577808 0.09587782
Moved 296.7936 471 418.5255 0.2569444 0.07851196
Moved 296.8243 453.1197 409.5598 0.2155548 0.05545215
Moved 296.855 418.1445 406 0.1345937 0.04629618
Moved 296.8858 375.1855 420.621 0.03515154 0.08390155
Moved 296.9165 333.9769 441.2123 -0.06023874 0.136863
Moved 296.9472 299.8832 462.4953 -0.1391592 0.1916031
Moved 296.9779 253.7028 492.1288 -0.2460583 0.267821
Moved 297.0086 212.4263 520.9356 -0.3416057 0.3419125
Moved 297.0393 180.6842 540.6973 -0.4150827 0.3927399
Moved 297.07 165.4332 549.3401 -0.4503861 0.4149693
Moved 297.1008 159.0451 551 -0.4651734 0.4192385
Moved 297.1315 153.7318 552 -0.4774728 0.4218106
Moved 297.1623 152.5 552 -0.4803241 0.4218106
Moved 297.193 150 509.6121 -0.4861112 0.3127883
Moved 297.2237 150 485.162 -0.4861112 0.2499021
Moved 297.2544 157.9772 463.1594 -0.4676453 0.1933111
Moved 297.2851 160.352 446.5363 -0.4621482 0.1505561
Moved 297.3158 163.349 425.2081 -0.4552107 0.09569968
Moved 297.3466 168.6575 399.7127 -0.4429226 0.0301252
Moved 297.3773 170.099 392.5049 -0.4395855 0.01158659
Moved 297.408 174.2829 382.7171 -0.4299007 -0.01358778
Moved 297.4387 177.5 377 -0.4224537 -0.02829226
Moved 297.4694 180.3886 376 -0.415767 -0.03086435
Ended 297.5001 183 376 -0.4097222 -0.03086435
Accept 297.5616 0 the
Candidates 297.5616 13 grows rules yours files rulers triggered follows followed types giles topped tigers roles
Began 297.8688 129 498 -0.5347222 0.2829217
Stationary 297.8995 129 498 -0.5347222 0.2829217
Ended 297.9302 129 498 -0.5347222 0.2829217
Began 297.9916 160 501 -0.462963 0.2906378
Stationary 298.0224 160 501 -0.462963 0.2906378
Stationary 298.0531 160 501 -0.462963 0.2906378
Accept 298.0531 0 grows
Candidates 298.0531 7 g f h d j s k
Stationary 298.0838 160 501 -0.462963 0.2906378
Moved 298.1145 188.0155 501 -0.3981123 0.2906378
Moved 298.1453 208.1152 510.1593 -0.3515852 0.3141957
Moved 298.176 231.2472 514.0549 -0.2980389 0.3242153
Moved 298.2067 251.7226 516.6747 -0.2506422 0.3309534
Moved 298.2374 271.0726 519.439 -0.2058505 0.3380631
Moved 298.2681 284.1984 521 -0.1754667 0.3420781
Moved 298.2988 291.5 523.5 -0.1585648 0.3485081
Moved 298.3296 295.0599 523 -0.1503242 0.3472221
Stationary 298.3602 295.0599 523 -0.1503242 0.3472221
Moved 298.391 297.2058 523 -0.1453569 0.3472221
Moved 298.4212 298.0943 523 -0.1433003 0.3472221
Stationary 298.4524 298 523 -0.1435185 0.3472221
Moved 298.4832 299 523 -0.1412037 0.3472221
Stationary 298.5138 299 523 -0.1412037 0.3472221
Moved 298.5446 274.0795 512.2919 -0.19889 0.3196808
Moved 298.5753 192.9189 505.0557 -0.3867618 0.301069
Moved 298.606 109.4231 503 -0.580039 0.2957818
Moved 298.6367 56.01216 510.666 -0.7036756 0.3154989
Moved 298.6674 32.3013 513.2427 -0.7585618 0.3221262
Ended 298.6982 29 513 -0.7662036 0.321502
Began 298.7289 2 478 -0.8287036 0.2314814
Stationary 298.7596 2 478 -0.8287036 0.2314814
Stationary 298.7903 2 478 -0.8287036 0.2314814
Accept 298.7903 0 g
Candidates 298.7903 13 la glass las is his kda glad kids life less us fla law
Ended 298.821 2 478 -0.8287036 0.2314814
Accept 298.8824 0 la
Candidates 298.8824 13 f g d h s dh hh hs fgd j t had ss
Began 299.4354 324 456 -0.08333336 0.174897
Moved 299.4661 312.948 456 -0.1089168 0.174897
Moved 299.4968 276.5818 456 -0.1930977 0.174897
Moved 299.5275 234.5 456 -0.2905093 0.174897
Moved 299.5583 203.3156 456 -0.3626954 0.174897
Moved 299.589 170.2902 445.8817 -0.4391431 0.1488727
Moved 299.6197 92.47856 440.0189 -0.6192626 0.1337934
Ended 299.6504 43 434 -0.7337962 0.1183127
Accept 299.7119 0 f
Delete 299.7119 LeftSwipe
Began 300.0498 386 504 0.06018519 0.2983539
Stationary 300.0805 386 504 0.06018519 0.2983539
Moved 300.1112 335.1136 495.5236 -0.05760745 0.2765523
Moved 300.142 248.7285 487.8281 -0.2575729 0.2567593
Moved 300.1726 190.2181 485.7921 -0.3930136 0.2515229
Moved 300.2034 101.8114 480.4016 -0.5976588 0.2376584
Ended 300.2341 51 459 -0.7152778 0.1826131
Delete 300.2956 LeftSwipe
Began 300.5106 320.0355 476 -0.09251038 0.2263374
Moved 300.5413 208.2697 461.1857 -0.3512276 0.1882347
Moved 300.572 169.0028 457.2503 -0.4421232 0.1781128
Moved 300.6027 102.8433 447.8207 -0.5952702 0.1538596
Moved 300.6334 37.46832 432.6976 -0.7466011 0.1149628
Ended 300.6642 29.5 426.5 -0.7650462 0.09902258
Delete 300.7256 LeftSwipe
Began 300.9099 276 391 -0.1944444 0.007715971
Stationary 300.9406 276 391 -0.1944444 0.007715971
Moved 300.9713 262.2455 418.6599 -0.2262835 0.07885759
Moved 301.002 246.9297 457.2285 -0.2617368 0.1780568
Moved 301.0327 238.8204 493.8466 -0.2805082 0.272239
