is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 4603.121 278.2531 334.8481 -0.1892289 -0.1367075
Moved 4603.151 307.9217 315.9623 -0.1205516 -0.1852821
Moved 4603.182 331.9258 299.3387 -0.0649867 -0.2280382
Moved 4603.213 346.933 286.486 -0.03024757 -0.2610958
Moved 4603.244 355.8722 277.1278 -0.009555022 -0.2851652
Moved 4603.274 367 266.5 0.01620372 -0.3125
Moved 4603.305 375.2533 256.7468 0.0353085 -0.3375855
Moved 4603.336 379.9945 251.0055 0.04628361 -0.3523522
Moved 4603.367 386.7397 245.2604 0.06189734 -0.3671287
Moved 4603.397 392.8361 240.5819 0.07600943 -0.3791618
Moved 4603.428 397.96 236.04 0.08787037 -0.3908436
Moved 4603.459 405.5984 228.4016 0.1055518 -0.4104897
Moved 4603.49 412.4983 222.5017 0.1215239 -0.4256644
Moved 4603.52 417.3056 217.6943 0.1326518 -0.438029
Moved 4603.551 422.7176 214.2825 0.1451795 -0.4468044
Moved 4603.582 428.3607 212.8798 0.1582425 -0.4504122
Moved 4603.612 435.0275 211 0.1736747 -0.455247
Moved 4603.643 439.2286 211 0.1833995 -0.455247
Moved 4603.674 442 211 0.1898148 -0.455247
Moved 4603.705 427.6644 263.4388 0.1566306 -0.3203734
Moved 4603.735 412.1519 295.2657 0.120722 -0.2385142
Moved 4603.766 396.4295 323.255 0.08432765 -0.1665253
Moved 4603.797 383.3229 346.6849 0.0539881 -0.106263
Moved 4603.828 374.2226 362.6105 0.03292263 -0.06530212
Moved 4603.858 367.0381 378.8857 0.01629184 -0.02344226
Moved 4603.889 360.9532 393.1403 0.002206564 0.01322099
Moved 4603.92 356.4372 406.8141 -0.008247246 0.0483901
Moved 4603.951 354.1933 421.2605 -0.01344149 0.08554647
Moved 4603.981 354 436.0658 -0.01388888 0.1236259
Moved 4604.012 354 450.2811 -0.01388888 0.1601878
Moved 4604.043 363.9258 465.5078 0.009087424 0.1993513
Moved 4604.074 368.5922 478.8882 0.01988927 0.233766
Moved 4604.104 377.6023 493.0038 0.04074613 0.2700715
Moved 4604.135 385.511 505.0221 0.0590533 0.3009827
Moved 4604.166 389.6035 511.6035 0.06852666 0.3179102
Moved 4604.196 392.8403 518.2604 0.07601917 0.3350319
Moved 4604.227 397.0942 527.2828 0.08586625 0.3582375
Moved 4604.258 400.6411 534.2821 0.09407648 0.3762399
Ended 4604.289 401 537 0.09490739 0.3832304
Candidates 4604.35 13 any danny want fancy sent danger rent randy rant went candy abu amy
Began 4605.272 471 483 0.2569444 0.2443414
Stationary 4605.303 471 483 0.2569444 0.2443414
Stationary 4605.334 471 483 0.2569444 0.2443414
Stationary 4605.365 471 483 0.2569444 0.2443414
Stationary 4605.396 471 483 0.2569444 0.2443414
Stationary 4605.426 471 483 0.2569444 0.2443414
Stationary 4605.457 471 483 0.2569444 0.2443414
Stationary 4605.488 471 483 0.2569444 0.2443414
Stationary 4605.519 471 483 0.2569444 0.2443414
Moved 4605.549 471 492.0229 0.2569444 0.2675485
Moved 4605.58 471 497.1857 0.2569444 0.2808273
Moved 4605.61 471 502.295 0.2569444 0.2939686
Moved 4605.641 462.625 508.125 0.2375579 0.3089634
Moved 4605.672 458.1773 514.7341 0.2272623 0.325962
Moved 4605.703 455.5482 521.3554 0.2211764 0.3429922
Moved 4605.733 452.9942 528.0231 0.2152645 0.3601415
Moved 4605.764 450.7242 535.1031 0.2100097 0.3783514
Moved 4605.795 450 540.6514 0.2083333 0.3926219
Moved 4605.826 450 545.7579 0.2083333 0.4057558
Moved 4605.856 450 547.9319 0.2083333 0.4113474
Moved 4605.887 450 549 0.2083333 0.4140946
Moved 4605.918 450 551 0.2083333 0.4192385
