want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Moved 3455.809 531.2912 608.8608 0.3965074 0.5680574
Moved 3455.84 524.3339 603.3339 0.3804026 0.5538423
Moved 3455.871 519.4278 597.6417 0.3690459 0.5392017
Moved 3455.902 513.8976 589.7952 0.3562444 0.5190204
Moved 3455.932 509.6848 579.7393 0.3464927 0.4931565
Moved 3455.963 504.8451 568.6902 0.3352895 0.464738
Moved 3455.994 502.4976 559.4928 0.3298556 0.4410822
Moved 3456.024 499.7283 548.9131 0.3234451 0.4138712
Moved 3456.055 497.9658 538.8633 0.3193653 0.3880228
Moved 3456.086 497 525.9287 0.3171296 0.3547548
Moved 3456.116 497 511.6269 0.3171296 0.3179703
Moved 3456.147 497 499.8818 0.3171296 0.2877618
Moved 3456.178 497 487.0667 0.3171296 0.254801
Moved 3456.208 497 471.9813 0.3171296 0.2160011
Moved 3456.239 497 456.0266 0.3171296 0.1749653
Moved 3456.27 497 442.2564 0.3171296 0.1395483
Moved 3456.301 505.5 424.5 0.3368056 0.09387855
Moved 3456.332 507 411.562 0.3402778 0.06060168
Moved 3456.362 509.6789 395.9268 0.3464788 0.02038783
Moved 3456.393 511.4393 380.364 0.350554 -0.01964004
Moved 3456.424 513 366.0021 0.3541666 -0.05657902
Moved 3456.454 514.649 352.7547 0.3579839 -0.09065148
Moved 3456.485 516 339.9713 0.3611111 -0.1235306
Moved 3456.516 518.1675 328.1625 0.3661284 -0.1539032
Moved 3456.546 519 319.927 0.3680556 -0.175085
Moved 3456.577 519 310.9662 0.3680556 -0.1981322
Moved 3456.608 520 303.689 0.3703704 -0.2168492
Moved 3456.638 520 298.2831 0.3703704 -0.2307534
Moved 3456.669 520 294.4896 0.3703704 -0.2405103
Moved 3456.7 520 291.9066 0.3703704 -0.247154
Moved 3456.731 520 290.5283 0.3703704 -0.2506987
Ended 3456.761 520 289.6379 0.3703704 -0.2529888
Accept 3456.854 0 to
Candidates 3456.854 13 join john pin upon him job in on pub hpv jim jon kim
Began 3457.529 505 414 0.3356481 0.06687239
Stationary 3457.56 505 414 0.3356481 0.06687239
Moved 3457.591 492.0114 444.4318 0.305582 0.1451433
Moved 3457.621 488.619 477.6673 0.297729 0.2306257
Moved 3457.652 486 502.6112 0.2916667 0.2947818
Moved 3457.683 485 546.3107 0.2893518 0.4071775
Moved 3457.713 485 556.9592 0.2893518 0.4345658
Moved 3457.744 485 573.5 0.2893518 0.4771089
Moved 3457.775 485 592.9574 0.2893518 0.5271537
Moved 3457.805 493.0315 608.1577 0.3079433 0.566249
Moved 3457.836 496.7919 619.1675 0.3166479 0.5945665
Moved 3457.867 501.3516 626.5274 0.3272028 0.6134963
Moved 3457.897 505.9962 635.9923 0.337954 0.6378402
Moved 3457.928 511.5238 643.2856 0.3507495 0.6565989
Moved 3457.959 516.0571 648.5286 0.3612431 0.6700837
Moved 3457.99 518.9536 651.9536 0.3679482 0.6788929
Moved 3458.021 521 654.7073 0.3726852 0.6859753
Moved 3458.051 522 656 0.375 0.6893002
Moved 3458.082 524.2267 658 0.3801543 0.6944444
Moved 3458.113 525.7003 659 0.3835654 0.6970164
Moved 3458.143 527.4592 659 0.3876371 0.6970164
Moved 3458.174 529.2229 659 0.3917196 0.6970164
Moved 3458.205 530.3591 659 0.3943497 0.6970164
Moved 3458.235 532.4189 659 0.3991179 0.6970164
Moved 3458.266 533.3606 659 0.4012977 0.6970164
Expand 3458.266
Moved 3458.297 534.5 659 0.4039352 0.6970164
Moved 3458.328 535.1636 659 0.4054714 0.6970164
Moved 3458.358 536 652 0.4074074 0.6790121
Moved 3458.389 537 649.5 0.4097222 0.6725821
Moved 3458.42 538 647.3867 0.4120371 0.6671466
Moved 3458.45 539 644.8818 0.4143518 0.6607041
Moved 3458.481 540.8206 639.3588 0.418566 0.6464989
Moved 3458.512 542.5814 629.6745 0.422642 0.6215907
Moved 3458.542 544.3474 619.9579 0.42673 0.5965994
Moved 3458.573 545 610.7048 0.4282407 0.5728004
Moved 3458.604 545 601.5 0.4282407 0.5491254
Moved 3458.635 546 586.0084 0.4305556 0.5092807
Moved 3458.665 546 582.5673 0.4305556 0.5004303
Moved 3458.696 546 575.431 0.4305556 0.4820756
Moved 3458.727 546 570.7112 0.4305556 0.469936
Moved 3458.758 546 564.8875 0.4305556 0.4549575
Moved 3458.788 546 561.6241 0.4305556 0.446564
Moved 3458.819 546 557.736 0.4305556 0.4365638
Moved 3458.85 546 554.9688 0.4305556 0.4294463
Moved 3458.88 546 552.2033 0.4305556 0.4223335
Moved 3458.911 546 549.8071 0.4305556 0.4161705
Moved 3458.942 546 547.0458 0.4305556 0.4090683
Moved 3458.972 546 543.2809 0.4305556 0.3993849
Moved 3459.003 546 538.0416 0.4305556 0.3859094
Moved 3459.034 546 533.136 0.4305556 0.373292
Moved 3459.064 541.1757 525.9324 0.4193881 0.3547644
Moved 3459.095 537.5471 517.6414 0.4109887 0.3334397
Moved 3459.126 536.0919 511.2757 0.4076202 0.3170671
Moved 3459.157 533.3606 504.0817 0.4012977 0.298564
Moved 3459.188 530.5953 497.1906 0.3948964 0.2808398
Moved 3459.218 527.8336 488.5007 0.3885036 0.2584893
Moved 3459.249 524.3607 482.082 0.3804645 0.2419804
Moved 3459.28 520.5984 476.1969 0.3717556 0.2268438
Moved 3459.31 516.6716 469.6716 0.3626659 0.2100607
Moved 3459.341 513.1417 465.0709 0.3544945 0.1982275
Moved 3459.372 510.6342 461.6342 0.3486903 0.1893884
Moved 3459.402 507.8687 456.7373 0.3422885 0.1767934
Moved 3459.433 505.1042 454.1042 0.3358895 0.1700211
Moved 3459.464 504 451.5 0.3333333 0.163323
Moved 3459.495 501.9408 448.9409 0.3285667 0.1567408
Moved 3459.525 500.1701 447.1702 0.3244679 0.1521866
Moved 3459.556 498.7883 445.7883 0.3212692 0.1486323
Moved 3459.587 498 445 0.3194444 0.1466049
Moved 3459.617 495.1961 445 0.312954 0.1466049
Moved 3459.648 490.862 445 0.3029212 0.1466049
Moved 3459.679 482.9883 460.3489 0.2846951 0.1860826
Moved 3459.709 473.0201 479.7048 0.2616206 0.2358661
Moved 3459.74 464.5 502.5 0.2418981 0.2944958
