experience is hard to come by
experience is hard to come by
Basic
List

0.6 0.6
432 388.8
Stationary 3348.087 299 303 -0.1412037 -0.2186215
Stationary 3348.117 299 303 -0.1412037 -0.2186215
Moved 3348.148 310.2809 320.4606 -0.1150906 -0.1737124
Moved 3348.179 320.784 339.2628 -0.09077787 -0.1253529
Moved 3348.209 337.3686 355.9607 -0.05238761 -0.0824057
Moved 3348.24 348.0645 367.0645 -0.02762844 -0.05384649
Moved 3348.271 359.4324 373.2162 -0.001313885 -0.03802429
Moved 3348.302 370.3293 375 0.0239104 -0.03343629
Moved 3348.333 380.294 376.3235 0.04697691 -0.03003234
Moved 3348.363 384.0769 376 0.05573353 -0.03086435
Moved 3348.394 387.5 377 0.06365737 -0.02829226
Moved 3348.425 390.2548 378.2548 0.07003416 -0.02506491
Moved 3348.455 392.0047 378 0.074085 -0.02572024
Moved 3348.486 392 379 0.07407407 -0.02314815
Moved 3348.517 392 381.1456 0.07407407 -0.01762963
Moved 3348.548 365.5662 388.8113 0.01288474 0.002086506
Moved 3348.578 333.2659 396.3906 -0.06188457 0.02158063
Moved 3348.609 298.1696 399 -0.1431258 0.02829214
Moved 3348.64 269.4008 401.8923 -0.2097205 0.03573111
Moved 3348.67 241.2641 405.6373 -0.2748516 0.04536338
Moved 3348.701 215.1407 407.3859 -0.3353225 0.04986091
Moved 3348.732 196 407 -0.3796296 0.04886827
Moved 3348.763 181.5 408 -0.4131944 0.05144025
Moved 3348.793 168.1496 410 -0.4440981 0.05658428
Moved 3348.824 162.0418 411 -0.4582366 0.05915629
Moved 3348.855 158.5 412 -0.4664352 0.06172835
Moved 3348.886 158 414.3209 -0.4675925 0.06769765
Moved 3348.917 168.9484 422.3793 -0.4422491 0.08842417
Moved 3348.947 191.3749 438.0249 -0.390336 0.1286648
Moved 3348.978 210.2029 451.8019 -0.3467526 0.1640996
Moved 3349.009 237.0773 469.0516 -0.2845432 0.2084659
Moved 3349.039 265.818 492.3029 -0.2180139 0.2682686
Moved 3349.07 286.5 509 -0.1701389 0.3112139
Moved 3349.101 298.5954 515.7573 -0.1421403 0.3285937
Moved 3349.132 310.7309 523.3654 -0.1140489 0.3481619
Moved 3349.162 321.3463 527.8975 -0.08947621 0.3598186
Moved 3349.193 326.2143 529.2143 -0.0782077 0.3632054
Moved 3349.224 330.6652 529.6652 -0.06790459 0.3643652
Moved 3349.255 333.428 530 -0.06150917 0.3652262
Moved 3349.285 335 530 -0.05787035 0.3652262
Stationary 3349.316 335 530 -0.05787035 0.3652262
Moved 3349.347 321.5778 499.2622 -0.08894035 0.2861681
Moved 3349.377 307.5725 468.145 -0.12136 0.2061341
Moved 3349.408 297.6208 450.9312 -0.1443964 0.1618599
Moved 3349.439 289.2997 438.8328 -0.1636582 0.1307427
Moved 3349.47 280.8658 424.821 -0.1831811 0.09470409
Moved 3349.5 275.2098 411.8391 -0.1962737 0.06131446
Moved 3349.531 270.9227 403.3841 -0.2061974 0.0395681
Moved 3349.562 267.0644 395.0966 -0.2151288 0.01825234
Moved 3349.593 264.2844 387.5688 -0.2215638 -0.00110897
Moved 3349.623 261.5328 383.5328 -0.2279334 -0.01148977
Ended 3349.654 262 382 -0.2268519 -0.01543218
Candidates 3349.716 13 charts shared shares hard regard based regards created shades sheets answers used always
