he is still on our team
he is still on our team
FixStart
Radial

0.6 0.6
432 388.8
Moved 649.0479 523.351 497.947 0.3781273 0.2827854
Moved 649.0786 526 493.6104 0.3842592 0.2716315
Moved 649.1093 528.1535 489.8465 0.3892443 0.2619508
Moved 649.14 530.7067 486.2933 0.3951544 0.252812
Moved 649.1707 533.2582 484.7418 0.4010606 0.2488215
Moved 649.2015 542.5306 484 0.4225246 0.2469135
Ended 649.2322 548.5 484 0.4363426 0.2469135
Candidates 649.2936 13 still fail sell silk stroll feel seek dark del well will dull full
Began 649.7853 356 557 -0.009259283 0.4346707
Stationary 649.816 356 557 -0.009259283 0.4346707
Moved 649.8467 394.15 545.77 0.07905086 0.405787
Moved 649.8774 433.5277 538.3963 0.170203 0.3868217
Moved 649.9081 470.3438 533.8875 0.2554256 0.375225
Moved 649.9388 499.2918 528.7847 0.3224347 0.3621005
Ended 649.9696 517 526 0.3634259 0.3549381
Accept 650.0311 0 still
Began 650.3691 349 497 -0.02546296 0.2803498
Stationary 650.3998 349 497 -0.02546296 0.2803498
Stationary 650.4305 349 497 -0.02546296 0.2803498
Moved 650.4613 362.5881 517.8821 0.005990863 0.3340588
Moved 650.4919 370.97 528.364 0.02539357 0.3610185
Moved 650.5227 398.579 557.579 0.08930315 0.4361598
Moved 650.5534 420.9019 576.2016 0.1409765 0.4840575
Moved 650.5842 439.7577 591.2555 0.1846244 0.5227764
Moved 650.6149 451.5 599.5 0.2118056 0.5439814
Moved 650.6456 464.246 609.1845 0.2413103 0.56889
Moved 650.6763 478.0919 616.2368 0.2733608 0.5870286
Moved 650.707 488.7157 621.3578 0.297953 0.6002001
Moved 650.7377 497 624.5 0.3171296 0.6082818
Moved 650.7685 501.9189 627.9189 0.3285159 0.6170752
Moved 650.7992 507 630.5 0.3402778 0.6237139
Moved 650.8299 509.0503 631 0.3450239 0.6249998
Moved 650.8607 510.3019 631 0.3479211 0.6249998
Stationary 650.8914 510 631 0.3472221 0.6249998
Stationary 650.9221 510 631 0.3472221 0.6249998
Moved 650.9528 510 622.0018 0.3472221 0.6018563
Moved 650.9835 498 614.5 0.3194444 0.5825616
Moved 651.0143 486.0678 603.0678 0.2918237 0.5531579
Moved 651.045 464.6042 582.6042 0.2421395 0.5005252
Moved 651.0757 440.6638 556.7301 0.1867217 0.4339765
Moved 651.1065 422.0166 535.5187 0.143557 0.3794205
Moved 651.1372 406.6597 508.0428 0.1080086 0.3087521
Moved 651.1678 393.9081 483.8161 0.07849088 0.2464405
Moved 651.1987 387.3656 463.4622 0.06334623 0.19409
Moved 651.2294 382.2645 444.058 0.05153825 0.1441821
Moved 651.2601 380.3768 424.6373 0.04716843 0.09423158
Moved 651.2908 378.829 407.9742 0.0435857 0.05137404
Moved 651.3215 379 391.6375 0.04398147 0.009355545
Moved 651.3523 379 376.0627 0.04398147 -0.03070297
Moved 651.383 379 359.5 0.04398147 -0.07330247
Moved 651.4137 386.4565 349.674 0.06124179 -0.09857523
Moved 651.4444 388 340.4529 0.06481478 -0.1222918
Moved 651.4752 391.1801 329.0995 0.07217616 -0.151493
Moved 651.5059 394.9366 315.7217 0.08087188 -0.1859012
Moved 651.5366 398.0212 308.9576 0.08801202 -0.2032983
Moved 651.5674 400 303.4224 0.09259263 -0.2175349
Moved 651.5981 401 300.8691 0.09490739 -0.2241022
Moved 651.6288 404.7852 301 0.1036694 -0.2237656
Ended 651.6595 410 301 0.1157407 -0.2237656
Candidates 651.7517 13 in on ibm john inn job iv gov hiv him ion un gun
Began 652.3355 360 403 0 0.03858017
Stationary 652.3663 360 403 0 0.03858017
Stationary 652.397 360 403 0 0.03858017
Moved 652.4277 360 421.0268 0 0.08494537
Moved 652.4584 360 435.1807 0 0.1213494
Moved 652.4891 379.2137 453.2564 0.04447609 0.1678405
Moved 652.5198 395.1487 468.556 0.08136262 0.2071913
Moved 652.5505 410.8912 482.7426 0.1178036 0.2436795
Moved 652.5812 422.9226 494.9226 0.1456542 0.2750066
Moved 652.612 431.8895 503.8527 0.1664109 0.2979748
Moved 652.6428 437 509 0.1782407 0.3112139
Moved 652.6735 440.0746 514.1492 0.1853578 0.3244576
Moved 652.7042 442.2406 517.4813 0.1903719 0.3330278
Moved 652.7349 443 519.8714 0.1921296 0.3391753
Moved 652.7656 444 522.4304 0.1944444 0.345757
Moved 652.7964 444 523.5 0.1944444 0.3485081
Moved 652.8271 445.2127 526.2127 0.1972516 0.3554853
Moved 652.8578 448.6851 527.8425 0.2052896 0.3596772
Ended 652.8885 450 528.5 0.2083333 0.3613682
Accept 652.9807 1 on
Began 653.3802 321 395 -0.09027779 0.01800408
Stationary 653.4109 321 395 -0.09027779 0.01800408
Stationary 653.4417 321 395 -0.09027779 0.01800408
Moved 653.4724 327.2552 407.7801 -0.07579823 0.05087464
Moved 653.5031 349.3432 433.2493 -0.02466857 0.1163819
Moved 653.5338 376 461.5 0.03703703 0.1890431
Moved 653.5645 401.506 487.506 0.09607872 0.255931
Moved 653.5952 423.2815 506.6699 0.146485 0.3052207
Moved 653.6259 437.8565 519.1832 0.1802235 0.3374054
Moved 653.6567 453.3252 531.9376 0.2160305 0.3702099
Moved 653.6874 462.8422 538.8948 0.2380605 0.3881038
Moved 653.7181 471.5 546.5 0.2581018 0.4076646
Moved 653.7488 478.3027 550.5351 0.2738488 0.4180428
Moved 653.7796 482.3227 553.3227 0.2831543 0.4252125
Moved 653.8103 485.8789 555 0.2913863 0.4295266
Moved 653.8411 486 556 0.2916667 0.4320986
Stationary 653.8718 486 556 0.2916667 0.4320986
Stationary 653.9025 486 556 0.2916667 0.4320986
Stationary 653.9332 486 556 0.2916667 0.4320986
Moved 653.9639 470.6297 556 0.2560872 0.4320986
Moved 653.9947 447.6695 556 0.2029386 0.4320986
Moved 654.0254 438.741 556 0.1822709 0.4320986
Moved 654.0561 420.842 556 0.140838 0.4320986
Moved 654.0869 402.9549 556 0.09943267 0.4320986
Moved 654.1176 390.8965 557.4207 0.07151962 0.4357528
Moved 654.1483 373.2839 557 0.03074974 0.4346707
Moved 654.179 356.3885 557 -0.008359899 0.4346707
Moved 654.2098 342.917 557 -0.039544 0.4346707
Moved 654.2405 332.3384 557 -0.06403153 0.4346707
Moved 654.2712 319.0282 557 -0.09484206 0.4346707
Moved 654.3019 306.5 557 -0.1238426 0.4346707
Moved 654.3327 296.6845 557 -0.1465637 0.4346707
Moved 654.3633 289.1224 557 -0.1640684 0.4346707
Moved 654.3941 282.2118 557 -0.1800654 0.4346707
Moved 654.4248 277.0377 557 -0.1920424 0.4346707
Moved 654.4556 274.9684 557 -0.1968324 0.4346707
Moved 654.4863 272.7913 557 -0.2018719 0.4346707
Moved 654.517 270.5 557 -0.2071759 0.4346707
Moved 654.5477 270 557 -0.2083333 0.4346707
Moved 654.5785 268.5 557 -0.2118056 0.4346707
Ended 654.6092 269 559.3719 -0.2106481 0.4407714
Candidates 654.7014 13 our your got or it hour for out how pour port hot potter
Began 655.1316 279 529 -0.1875 0.3626543
Stationary 655.1623 279 529 -0.1875 0.3626543
Stationary 655.1931 279 529 -0.1875 0.3626543
Moved 655.2238 311.505 529 -0.1122569 0.3626543
Moved 655.2545 337.8034 529 -0.05138099 0.3626543
Moved 655.2852 382.0885 529 0.05113075 0.3626543
Moved 655.3159 414.4195 529 0.1259711 0.3626543
Moved 655.3466 434.841 529 0.1732431 0.3626543
Moved 655.3773 446.7541 529 0.2008198 0.3626543
Ended 655.4081 468.2607 529 0.2506035 0.3626543
Accept 655.4695 0 our
Began 655.8382 335 467 -0.05787035 0.2031892
Stationary 655.869 335 467 -0.05787035 0.2031892
Stationary 655.8997 335 467 -0.05787035 0.2031892
Moved 655.9305 335 484.8992 -0.05787035 0.2492263
Moved 655.961 346.2513 502.8449 -0.0318256 0.2953829
Moved 655.9919 351.9646 517.5841 -0.01860037 0.3332924
Moved 656.0226 358.6317 535.4739 -0.00316749 0.3793051
Moved 656.0533 360 550.5809 0 0.4181606
Moved 656.084 360 563.605 0 0.4516588
Moved 656.1148 360 572.2698 0 0.473945
Moved 656.1455 348.6353 584.4862 -0.02630706 0.5053657
Moved 656.1763 338.9753 593.0247 -0.04866828 0.5273268
Moved 656.207 330.2821 597.2393 -0.06879136 0.5381667
Moved 656.2377 324.5 600.5 -0.08217593 0.5465534
Moved 656.2684 319.8927 604.0536 -0.09284099 0.5556934
Moved 656.2991 315.8152 605.5924 -0.1022797 0.5596512
Moved 656.3299 311.7351 607 -0.1117242 0.5632715
Moved 656.3606 304.5426 607 -0.1283736 0.5632715
Moved 656.3914 294.3849 607 -0.1518869 0.5632715
Moved 656.4221 283.0767 607 -0.1780632 0.5632715
Moved 656.4528 271.8753 599.7817 -0.2039924 0.544706
Moved 656.4835 262.6872 596.7374 -0.2252612 0.536876
