I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Ended 1429.67 544 239.1411 0.4259259 -0.3828676
Candidates 1429.762 13 will wool still feel took roll grill tool room fell from toll till
Began 1430.346 204 343 -0.3611111 -0.1157408
Moved 1430.377 216.3683 343 -0.3324809 -0.1157408
Moved 1430.408 249.3683 343 -0.2560918 -0.1157408
Moved 1430.438 273.4928 350 -0.2002482 -0.09773669
Moved 1430.469 296.4131 350 -0.1471919 -0.09773669
Moved 1430.5 322.2788 350 -0.08731753 -0.09773669
Moved 1430.531 338.1593 341.377 -0.05055726 -0.1199152
Moved 1430.561 347.1568 341 -0.02972966 -0.1208849
Moved 1430.592 354.3278 339 -0.01313011 -0.1260288
Moved 1430.623 359.5343 338 -0.001078099 -0.1286009
Moved 1430.653 362.4095 337 0.005577604 -0.1311728
Moved 1430.684 364.9193 336.0806 0.01138737 -0.1335375
Moved 1430.715 367.7974 336 0.01804948 -0.1337449
Moved 1430.746 369.6643 335 0.02237111 -0.1363169
Moved 1430.776 370 333.8979 0.02314816 -0.1391515
Ended 1430.807 371 334 0.025463 -0.1388889
Accept 1430.838 0 will
Began 1431.299 370 304 0.02314816 -0.2160494
Stationary 1431.329 370 304 0.02314816 -0.2160494
Stationary 1431.36 370 304 0.02314816 -0.2160494
Stationary 1431.391 370 304 0.02314816 -0.2160494
Stationary 1431.422 370 304 0.02314816 -0.2160494
Moved 1431.452 370 291.7234 0.02314816 -0.2476251
Moved 1431.483 370 274.3286 0.02314816 -0.2923649
Moved 1431.514 370 255.6017 0.02314816 -0.3405306
Moved 1431.545 370 242.4752 0.02314816 -0.3742922
Moved 1431.575 375.4368 231.8933 0.03573328 -0.401509
Moved 1431.606 383.301 221.0485 0.05393754 -0.4294021
Moved 1431.637 391.4885 214.8372 0.07289002 -0.4453777
Moved 1431.667 403.312 206.844 0.1002593 -0.4659363
Moved 1431.698 411.9039 202.0481 0.1201479 -0.4782713
Ended 1431.729 419 199 0.1365741 -0.4861111
Began 1431.76 440 189 0.1851852 -0.5118313
Stationary 1431.79 440 189 0.1851852 -0.5118313
Moved 1431.821 449.1397 189 0.2063418 -0.5118313
Moved 1431.852 452.4803 189 0.2140749 -0.5118313
Candidates 1431.852 13 n b v nn m c nm bbc mm gm cc cnn cm
Moved 1431.883 457.0579 181.4711 0.2246712 -0.5311959
Moved 1431.913 462.8038 178.5981 0.2379718 -0.5385851
Moved 1431.944 468.5512 176 0.251276 -0.5452675
Moved 1431.975 473.8148 172.1852 0.2634603 -0.5550792
Ended 1432.005 477 171 0.2708333 -0.5581277
Accept 1432.067 0 n
Began 1432.159 497 170 0.3171296 -0.5606995
Stationary 1432.19 497 170 0.3171296 -0.5606995
Stationary 1432.221 497 170 0.3171296 -0.5606995
Stationary 1432.251 497 170 0.3171296 -0.5606995
Stationary 1432.282 497 170 0.3171296 -0.5606995
Stationary 1432.313 497 170 0.3171296 -0.5606995
Stationary 1432.344 497 170 0.3171296 -0.5606995
Stationary 1432.374 497 170 0.3171296 -0.5606995
Stationary 1432.405 497 170 0.3171296 -0.5606995
Stationary 1432.436 497 170 0.3171296 -0.5606995
Stationary 1432.466 497 170 0.3171296 -0.5606995
Stationary 1432.497 497 170 0.3171296 -0.5606995
Stationary 1432.528 497 170 0.3171296 -0.5606995
Stationary 1432.559 497 170 0.3171296 -0.5606995
Stationary 1432.589 497 170 0.3171296 -0.5606995
Stationary 1432.62 497 170 0.3171296 -0.5606995
Stationary 1432.651 497 170 0.3171296 -0.5606995
Stationary 1432.682 497 170 0.3171296 -0.5606995
Ended 1432.712 497 170 0.3171296 -0.5606995
Candidates 1432.774 7 g f h d j s k
Began 1433.542 424 339 0.1481481 -0.1260288
Stationary 1433.573 424 339 0.1481481 -0.1260288
Moved 1433.603 412.2284 339 0.1208991 -0.1260288
Moved 1433.634 390.1962 339 0.06989866 -0.1260288
Moved 1433.665 363.2148 345.8747 0.007441739 -0.108347
Moved 1433.695 331.3607 353.5464 -0.06629463 -0.08861518
Moved 1433.726 309.9763 357.7177 -0.1157955 -0.07788678
Moved 1433.757 296.618 360.5955 -0.1467177 -0.07048485
Moved 1433.788 288.6563 362.1146 -0.1651474 -0.06657784
Moved 1433.818 282.0651 363 -0.1804049 -0.06430049
Moved 1433.849 277.2957 364 -0.1914451 -0.06172839
Moved 1433.88 274.5 364 -0.1979167 -0.06172839
Moved 1433.911 271.7089 364 -0.2043775 -0.06172839
Moved 1433.941 268.8528 364 -0.2109888 -0.06172839
Moved 1433.972 265.9854 364 -0.2176263 -0.06172839
Moved 1434.003 263.5774 364 -0.2232005 -0.06172839
Moved 1434.033 263 364 -0.2245371 -0.06172839
Moved 1434.064 262 364 -0.2268519 -0.06172839
Ended 1434.095 262 364 -0.2268519 -0.06172839
Cancel 1434.156
Began 1435.047 460 354 0.2314815 -0.08744855
Stationary 1435.078 460 354 0.2314815 -0.08744855
Moved 1435.109 430.1962 354 0.1624913 -0.08744855
Moved 1435.14 407.5 364.5 0.1099537 -0.06044246
Moved 1435.17 373.924 365.346 0.03223141 -0.05826652
Moved 1435.201 340.4807 367 -0.04518355 -0.05401234
Moved 1435.232 315.584 368 -0.1028148 -0.05144041
Moved 1435.263 297.7373 368 -0.1441267 -0.05144041
Moved 1435.293 277.1465 368 -0.1917904 -0.05144041
Moved 1435.324 258.7202 368 -0.2344441 -0.05144041
Moved 1435.355 245.7393 368 -0.2644925 -0.05144041
Moved 1435.385 234.4987 368 -0.2905122 -0.05144041
Moved 1435.416 224 368 -0.3148148 -0.05144041
Moved 1435.447 217.271 368 -0.3303912 -0.05144041
Moved 1435.478 212.1581 368 -0.3422266 -0.05144041
Moved 1435.508 208.2263 368 -0.351328 -0.05144041
Moved 1435.539 205.3522 368 -0.3579809 -0.05144041
Moved 1435.57 202.4824 368 -0.3646241 -0.05144041
Moved 1435.601 199.9784 368 -0.3704204 -0.05144041
Moved 1435.631 198 368 -0.375 -0.05144041
Moved 1435.662 195.2303 368 -0.3814113 -0.05144041
Moved 1435.693 193.8001 368 -0.384722 -0.05144041
Ended 1435.724 193 368 -0.3865741 -0.05144041
Delete 1435.785 LeftSwipe
Began 1436.246 285 417 -0.1736111 0.0745884
Stationary 1436.277 285 417 -0.1736111 0.0745884
Moved 1436.307 307.012 417 -0.1226574 0.0745884
Moved 1436.338 334.7265 417 -0.05850355 0.0745884
Moved 1436.369 362.7054 417 0.006262561 0.0745884
Moved 1436.4 395.1475 417 0.08135994 0.0745884
Moved 1436.43 418.0441 404.6085 0.1343613 0.04271719
Moved 1436.461 430.9093 398.6544 0.1641418 0.02740322
Moved 1436.492 445.3382 390.2463 0.1975421 0.005777578
Moved 1436.522 456.3405 383.1063 0.2230105 -0.0125867
Moved 1436.553 464.9868 376.0132 0.2430249 -0.03083013
Moved 1436.584 471.7067 367.44 0.2585802 -0.05288073
Moved 1436.615 476.4496 352.3761 0.2695591 -0.09162533
Moved 1436.645 480.5943 338.6229 0.2791534 -0.1269986
Moved 1436.676 484.9275 328.6087 0.2891841 -0.1527555
Moved 1436.707 485.972 322.056 0.2916019 -0.1696092
Moved 1436.738 486.84 317.16 0.2936112 -0.1822018
Moved 1436.768 487 313.2843 0.2939814 -0.1921701
Moved 1436.799 487 309.5783 0.2939814 -0.2017019
Moved 1436.83 474.5898 296.453 0.2652541 -0.2354604
Moved 1436.86 462.9379 285.9503 0.2382821 -0.2624736
