the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Stationary 1554.783 246 488 -0.2638889 0.2572016
Stationary 1554.814 246 488 -0.2638889 0.2572016
Stationary 1554.844 246 488 -0.2638889 0.2572016
Stationary 1554.875 246 488 -0.2638889 0.2572016
Stationary 1554.906 246 488 -0.2638889 0.2572016
Stationary 1554.937 246 488 -0.2638889 0.2572016
Stationary 1554.967 246 488 -0.2638889 0.2572016
Stationary 1554.998 246 488 -0.2638889 0.2572016
Moved 1555.029 261.8268 488 -0.2272529 0.2572016
Moved 1555.059 286.2206 488 -0.1707856 0.2572016
Moved 1555.09 322.1159 488 -0.08769467 0.2572016
Moved 1555.121 363.7595 488 0.008702477 0.2572016
Moved 1555.152 384.4627 488 0.0566266 0.2572016
Moved 1555.182 398.1009 488 0.08819659 0.2572016
Moved 1555.213 405.8058 488 0.1060318 0.2572016
Moved 1555.244 412.5476 488 0.1216379 0.2572016
Moved 1555.274 417.6768 488 0.1335111 0.2572016
Moved 1555.305 420.433 488 0.1398913 0.2572016
Moved 1555.336 424.5878 488 0.1495089 0.2572016
Moved 1555.367 428.4561 473.6316 0.1584633 0.2202458
Moved 1555.397 433.9879 455.0424 0.1712683 0.1724342
Moved 1555.428 436.8717 427.283 0.1779438 0.1010363
Moved 1555.459 438 380.2989 0.1805556 -0.01980746
Moved 1555.489 440 354.7052 0.1851852 -0.08563485
Moved 1555.52 444.1197 335.4015 0.1947215 -0.1352843
Moved 1555.551 448.012 326.976 0.2037314 -0.1569548
Moved 1555.582 449.8713 323.1287 0.2080354 -0.16685
Moved 1555.612 451.432 320.568 0.2116482 -0.1734362
Moved 1555.643 452.5 318.5 0.2141203 -0.1787552
Moved 1555.674 453.1751 316.825 0.2156831 -0.1830635
Moved 1555.704 453.7839 316 0.2170923 -0.1851853
Moved 1555.735 454 315 0.2175926 -0.1877573
Ended 1555.766 454 315 0.2175926 -0.1877573
Candidates 1555.889 13 run win sun well sum el fun week sign rum serum sin erin
Began 1557.086 368 400 0.01851857 0.03086416
Ended 1557.117 368 400 0.01851857 0.03086416
