I can still feel your presence
I can still feel your presence
Basic
Radial

Moved 1890.504 245.8776 459.2448 -0.2641723 0.1832427
Moved 1890.534 243.5 464 -0.2696759 0.1954732
Moved 1890.565 243.3321 465.3358 -0.2700646 0.1989089
Moved 1890.596 241.7768 468.2233 -0.2736649 0.2063355
Moved 1890.627 242 470.7695 -0.2731481 0.2128846
Moved 1890.657 242 473.3157 -0.2731481 0.2194334
Moved 1890.688 249.7866 476.1124 -0.2551237 0.2266264
Moved 1890.719 281.6795 478 -0.1812975 0.2314814
Moved 1890.749 323.8003 468.1426 -0.08379554 0.2061281
Moved 1890.78 373.8999 437.7421 0.03217578 0.1279375
Moved 1890.811 408.491 413.006 0.1122476 0.06431592
Moved 1890.842 453.3332 380.7501 0.2160489 -0.01864688
Moved 1890.872 475.0519 365.6846 0.266324 -0.05739565
Moved 1890.903 495.9769 354.6337 0.3147613 -0.08581883
Moved 1890.934 509.402 349.4392 0.345838 -0.09917906
Ended 1890.964 516 348 0.3611111 -0.1028807
Candidates 1891.057 13 feel cell seek fell del sell dark geek farm creek greek bell gel
Began 1891.763 392 352 0.07407407 -0.09259266
Stationary 1891.794 392 352 0.07407407 -0.09259266
Moved 1891.825 427.8625 352 0.157089 -0.09259266
Moved 1891.855 457.7811 352 0.2263452 -0.09259266
Moved 1891.886 477.2027 352 0.2713025 -0.09259266
Moved 1891.917 492.737 360.0317 0.3072616 -0.07193491
Moved 1891.948 502.3915 360 0.32961 -0.07201654
Moved 1891.978 508.4808 361.2404 0.3437056 -0.06882616
Ended 1892.009 508.4808 361.2404 0.3437056 -0.06882616
Accept 1892.07 0 feel
Began 1892.593 351 503 -0.02083332 0.2957818
Stationary 1892.623 351 503 -0.02083332 0.2957818
Stationary 1892.654 351 503 -0.02083332 0.2957818
Moved 1892.685 381 503 0.04861106 0.2957818
Moved 1892.715 440.2594 503 0.1857857 0.2957818
Moved 1892.746 491.4627 503 0.3043117 0.2957818
Moved 1892.777 526.2503 497.604 0.3848386 0.2819032
Moved 1892.807 544.5607 494.6879 0.4272237 0.2744029
Moved 1892.838 553.1768 495 0.4471686 0.2752057
Moved 1892.869 557.1477 495 0.4563604 0.2752057
Moved 1892.9 559.5 495 0.4618056 0.2752057
Moved 1892.93 559 495 0.4606481 0.2752057
Stationary 1892.961 559 495 0.4606481 0.2752057
Stationary 1892.992 559 495 0.4606481 0.2752057
Moved 1893.023 538.6646 499.9548 0.4135754 0.2879494
Moved 1893.053 510.8743 511.8176 0.3492462 0.3184607
Moved 1893.084 485.3994 517.9001 0.2902765 0.3341053
Moved 1893.115 452.5502 526.85 0.2142366 0.3571243
Moved 1893.145 422.0048 530.9992 0.1435296 0.3677963
Moved 1893.176 399.4974 535.0558 0.09142915 0.3782299
Moved 1893.207 379.8286 536 0.04589955 0.3806583
Moved 1893.238 356.977 538.8604 -0.006997684 0.3880153
Moved 1893.268 343.9413 540.4117 -0.03717283 0.3920055
Moved 1893.299 333.1682 541 -0.06211052 0.3935184
Moved 1893.33 326.5666 541 -0.07739221 0.3935184
Ended 1893.36 324 542 -0.08333336 0.3960905
Candidates 1893.453 13 your type you tour for toy rope report hope root got route hot
Began 1894.251 318 346 -0.09722222 -0.1080248
Stationary 1894.282 318 346 -0.09722222 -0.1080248
Stationary 1894.313 318 346 -0.09722222 -0.1080248
Moved 1894.344 341.2574 354.5643 -0.04338562 -0.08599716
Moved 1894.374 387.4595 361.3459 0.06356359 -0.06855474
Moved 1894.405 395.4207 362.269 0.08199234 -0.06618068
Moved 1894.436 408.6171 363 0.1125395 -0.06430049
Moved 1894.466 416.3294 363 0.1303921 -0.06430049
Moved 1894.497 419.9801 363 0.1388428 -0.06430049
Ended 1894.528 420 363 0.1388889 -0.06430049
Accept 1894.589 0 your
Began 1895.664 584 453 0.5185185 0.167181
Stationary 1895.695 584 453 0.5185185 0.167181
Stationary 1895.726 584 453 0.5185185 0.167181
Stationary 1895.757 584 453 0.5185185 0.167181
Stationary 1895.787 584 453 0.5185185 0.167181
Stationary 1895.818 584 453 0.5185185 0.167181
Stationary 1895.849 584 453 0.5185185 0.167181
Moved 1895.88 571.9984 453 0.4907369 0.167181
Moved 1895.91 571.202 453 0.4888936 0.167181
Moved 1895.941 568.085 453 0.4816783 0.167181
Moved 1895.972 561.5 453 0.4664352 0.167181
Moved 1896.002 547.6456 460.4962 0.4343647 0.1864612
Moved 1896.033 528.2039 461.3107 0.3893609 0.1885561
Moved 1896.064 495.1899 463.708 0.3129396 0.1947222
Moved 1896.094 438.4174 468.4166 0.1815218 0.2068328
Moved 1896.125 401.4913 470.9672 0.09604474 0.213393
Moved 1896.156 374.0038 472.2497 0.03241618 0.2166915
Moved 1896.187 354.4016 474.7997 -0.01295929 0.2232502
Moved 1896.217 335.9633 476.3394 -0.05564039 0.2272103
Moved 1896.248 324.4123 476.8969 -0.08237887 0.2286442
Moved 1896.279 317.5553 477 -0.0982516 0.2289094
Moved 1896.309 312.5906 477 -0.109744 0.2289094
Moved 1896.34 308.7272 478 -0.118687 0.2314814
Moved 1896.371 306.1793 478 -0.124585 0.2314814
