a very traditional way to dress
a very traditional way to dress
FixStart
Radial

0.6 0.6
432 388.8
Moved 2227.531 417.7602 482 0.133704 0.2417695
Moved 2227.562 416.7604 482 0.1313898 0.2417695
Stationary 2227.593 417 482 0.1319444 0.2417695
Moved 2227.624 434.9911 482 0.1735906 0.2417695
Moved 2227.654 458.2735 468.6179 0.227485 0.2073506
Moved 2227.685 480.1317 461.2894 0.2780826 0.1885016
Moved 2227.716 501.3733 454.3219 0.3272529 0.1705809
Moved 2227.746 523.9062 448.7986 0.3794125 0.156375
Moved 2227.777 544.4644 444.7244 0.4270009 0.1458961
Moved 2227.808 568.3718 443 0.482342 0.1414608
Moved 2227.838 590.2186 443 0.5329134 0.1414608
Moved 2227.869 611.5688 443 0.5823354 0.1414608
Moved 2227.9 626.119 451.3055 0.6160163 0.1628228
Moved 2227.931 636.0296 457.0198 0.6389574 0.1775199
Moved 2227.961 642.7672 463.5345 0.6545538 0.1942758
Moved 2227.992 645.5155 467.5155 0.6609154 0.2045151
Moved 2228.023 646.5 468.5 0.6631945 0.2070472
Moved 2228.054 646 470.6887 0.662037 0.2126765
Moved 2228.084 632.5763 471 0.6309636 0.2134772
Moved 2228.115 595.9429 453.3695 0.546164 0.1681314
Moved 2228.146 563.7764 436.0599 0.4717048 0.1236107
Moved 2228.177 529.5679 412.8215 0.3925184 0.06384116
Moved 2228.207 507.5246 394.709 0.3414921 0.0172555
Moved 2228.238 486.093 373.392 0.291882 -0.03757202
Moved 2228.269 471.1452 352.4033 0.2572806 -0.09155548
Moved 2228.299 457.3728 328.871 0.2253999 -0.1520809
Moved 2228.33 448.364 304.9706 0.2045462 -0.213553
Moved 2228.361 443.5644 282.822 0.1934361 -0.2705197
Moved 2228.392 441 258.7421 0.1875 -0.3324536
Moved 2228.422 441 239.3392 0.1875 -0.3823581
Moved 2228.453 445.5257 221.6057 0.1979762 -0.4279689
Moved 2228.484 455.01 208.9867 0.2199306 -0.4604252
Moved 2228.514 463.2852 197.7148 0.2390861 -0.4894166
Moved 2228.545 472.0096 189.9904 0.2592815 -0.5092841
Moved 2228.576 476.515 185.7426 0.2697106 -0.5202095
Moved 2228.607 479.683 183.3169 0.2770441 -0.5264484
Moved 2228.637 482.4417 183 0.2834298 -0.5272635
Moved 2228.668 483.066 183 0.284875 -0.5272635
Stationary 2228.699 483 183 0.2847222 -0.5272635
Moved 2228.729 473.0403 183 0.2616674 -0.5272635
Moved 2228.76 458.8646 200.757 0.2288531 -0.4815922
Moved 2228.791 440.4685 214.6654 0.1862696 -0.4458194
Moved 2228.822 425.6287 228.3712 0.1519183 -0.410568
Moved 2228.853 413.6389 239.2407 0.1241642 -0.3826113
Moved 2228.883 407.2392 244.8804 0.1093499 -0.368106
Moved 2228.914 402.7374 249.2626 0.0989292 -0.356835
Moved 2228.945 397.9379 252.0311 0.08781909 -0.3497142
Moved 2228.975 392.4129 254.7936 0.07502992 -0.3426092
Moved 2229.006 388.5 257.5 0.06597221 -0.3356482
Moved 2229.037 385.6783 259.3218 0.05944043 -0.3309625
Moved 2229.068 383.2325 260 0.05377899 -0.3292181
Moved 2229.098 380.5 261.5 0.04745374 -0.3253601
Moved 2229.129 378.7084 261 0.04330655 -0.3266461
Moved 2229.16 377.2137 262 0.0398466 -0.3240741
Moved 2229.19 373.0523 263 0.0302137 -0.3215021
Moved 2229.221 358.436 267.4468 -0.003620287 -0.3100648
Moved 2229.252 342.0956 275.9454 -0.04144549 -0.2882062
Moved 2229.283 325.6063 288.0518 -0.07961501 -0.2570686
Moved 2229.313 313.3694 298.6306 -0.1079411 -0.2298597
Moved 2229.344 304.0845 305.9155 -0.129434 -0.2111228
Moved 2229.375 299.2721 313.1838 -0.1405739 -0.1924285
Moved 2229.406 307.1581 331.8198 -0.1223193 -0.1444963
Moved 2229.436 347.8658 359.3951 -0.02808854 -0.0735724
Moved 2229.467 402.6422 370.0403 0.09870867 -0.04619276
Moved 2229.498 449.534 371 0.2072546 -0.04372435
Moved 2229.528 491.3813 365.1457 0.3041235 -0.05878174
Moved 2229.559 533.3572 352.0759 0.4012898 -0.09239746
Moved 2229.59 573.3604 339.6584 0.4938897 -0.1243355
Ended 2229.621 595 333 0.5439815 -0.141461
Candidates 2229.713 13 traditional additional radical approval festival historical critical rational editorial such which rich quick
Began 2230.419 413 335 0.1226852 -0.1363169
Moved 2230.45 452.5813 335 0.2143086 -0.1363169
Moved 2230.481 537.4871 323.0872 0.4108498 -0.166957
Ended 2230.511 626.3679 309.1264 0.6165923 -0.2028643
Accept 2230.573 0 traditional
Began 2231.556 511 280 0.349537 -0.2777778
Stationary 2231.587 511 280 0.349537 -0.2777778
Stationary 2231.618 511 280 0.349537 -0.2777778
Moved 2231.648 499.1389 280 0.3220806 -0.2777778
Moved 2231.679 483.3238 297.7302 0.2854718 -0.2321755
Moved 2231.71 467.1345 310.1704 0.2479966 -0.200179
Moved 2231.74 446.3294 327.2118 0.1998365 -0.1563483
Moved 2231.771 430.6413 339.5419 0.1635215 -0.124635
Moved 2231.802 411.1525 353.8983 0.1184086 -0.08771009
Moved 2231.833 388.4472 368.3685 0.06585002 -0.05049254
Moved 2231.863 374.4321 379.4259 0.03340761 -0.02205279
Moved 2231.894 367.3981 385.0679 0.01712521 -0.007541366
Moved 2231.925 361.391 390.609 0.003219843 0.006710374
Moved 2231.956 355.8248 395.1168 -0.009664894 0.0183045
Moved 2231.986 346.512 403.488 -0.0312223 0.03983548
Moved 2232.017 338.1495 410.8505 -0.05057975 0.05877169
Moved 2232.048 332.9341 416.0659 -0.06265267 0.07218588
Moved 2232.078 330.2182 419.7818 -0.06893933 0.08174323
Moved 2232.109 329 421.5 -0.07175927 0.08616251
Moved 2232.14 328 422.9758 -0.07407407 0.08995836
Moved 2232.17 327 423.7369 -0.07638887 0.09191595
Stationary 2232.201 327 424 -0.07638887 0.09259254
Moved 2232.232 327 425 -0.07638887 0.09516452
Moved 2232.262 327 426.3601 -0.07638887 0.09866274
Stationary 2232.293 327 426.3601 -0.07638887 0.09866274
Moved 2232.324 326 407.7034 -0.07870371 0.05067727
Moved 2232.355 323.6273 372.646 -0.08419593 -0.03949083
Moved 2232.386 320.5619 326.1146 -0.09129186 -0.1591704
Moved 2232.417 321 303.3699 -0.09027779 -0.21767
Moved 2232.447 321 286.26 -0.09027779 -0.2616771
Moved 2232.478 321 272.2806 -0.09027779 -0.2976322
Moved 2232.509 331.1938 263.7093 -0.06668106 -0.3196778
