in sharp contrast to your words
in sharp contrast to your words
Basic
List

0.6 0.6
432 388.8
Moved 1853.763 312 580 -0.1111111 0.4938271
Moved 1853.794 312 582.9731 -0.1111111 0.5014739
Moved 1853.824 312 584.3836 -0.1111111 0.5051018
Moved 1853.855 312 585.5 -0.1111111 0.5079731
Ended 1853.886 312 585.5 -0.1111111 0.5079731
Accept 1853.947 1 your
Began 1854.408 191 475 -0.3912037 0.2237653
Stationary 1854.439 191 475 -0.3912037 0.2237653
Moved 1854.469 204.7764 483.0362 -0.359314 0.2444346
Moved 1854.5 235.4372 495.3302 -0.2883399 0.276055
Moved 1854.531 264.2256 503.9752 -0.2217 0.2982899
Moved 1854.562 291.7162 508 -0.1580643 0.3086419
Moved 1854.592 322.8683 510 -0.08595302 0.3137859
Moved 1854.623 347.5 510 -0.02893518 0.3137859
Moved 1854.654 369.7458 510 0.02255966 0.3137859
Moved 1854.684 389.7169 501.2854 0.06878902 0.2913718
Moved 1854.715 408.3679 498.5264 0.1119628 0.2842757
Moved 1854.746 421.774 496.0377 0.1429953 0.2778746
Moved 1854.776 436.2341 494.2943 0.1764678 0.2733907
Moved 1854.807 452.4376 493 0.2139758 0.2700616
Moved 1854.838 464.9185 492 0.242867 0.2674896
Moved 1854.869 471.3277 492 0.2577029 0.2674896
Moved 1854.899 476.8484 492 0.2704824 0.2674896
Moved 1854.93 480.1822 491 0.2781995 0.2649176
Moved 1854.961 482.5 491 0.2835648 0.2649176
Moved 1854.991 482 490 0.2824074 0.2623456
Moved 1855.022 482 488.6434 0.2824074 0.2588564
Moved 1855.053 473.4715 486.1472 0.2626656 0.252436
Moved 1855.084 449.5 481 0.2071759 0.2391974
Moved 1855.114 425.4124 480 0.1514176 0.2366254
Moved 1855.145 400.61 479 0.09400477 0.2340534
Moved 1855.176 375.7802 479 0.03652821 0.2340534
Moved 1855.206 354.9659 479 -0.01165306 0.2340534
Moved 1855.237 334.6107 478.2301 -0.05877157 0.2320732
Moved 1855.268 322.8518 477 -0.08599127 0.2289094
Moved 1855.299 310.7875 474.6969 -0.1139178 0.2229858
Moved 1855.329 300.9099 473.2275 -0.1367826 0.2192064
Moved 1855.36 289.3211 468.2141 -0.1636085 0.2063117
Moved 1855.391 285.1979 465.4653 -0.173153 0.1992419
Moved 1855.421 276.9578 457.9578 -0.1922273 0.1799326
Moved 1855.452 272.1228 450.6842 -0.2034194 0.1612247
Moved 1855.483 266.591 435.9775 -0.2162244 0.123399
Moved 1855.514 260.1299 408.3899 -0.2311807 0.05244306
Moved 1855.544 257.5 392.5 -0.2372685 0.01157403
Moved 1855.575 254.8953 376.5811 -0.243298 -0.02936979
Moved 1855.606 254 365.4421 -0.2453704 -0.05801934
Moved 1855.636 254 357.1923 -0.2453704 -0.07923809
Moved 1855.667 254 351.9359 -0.2453704 -0.0927575
Moved 1855.698 254 346.4099 -0.2453704 -0.1069706
Moved 1855.729 254 343.4561 -0.2453704 -0.1145679
Moved 1855.759 254 340.7021 -0.2453704 -0.1216511
Moved 1855.79 252.2788 338.2788 -0.2493546 -0.1278838
Moved 1855.821 246.5113 336.5038 -0.2627053 -0.1324491
Moved 1855.851 234.7744 335 -0.289874 -0.1363169
Moved 1855.882 220.016 335 -0.3240371 -0.1363169
Moved 1855.913 208.6956 335 -0.3502417 -0.1363169
Moved 1855.943 199.1496 343.4882 -0.3723388 -0.1144853
Moved 1855.974 193.0607 345.9697 -0.3864335 -0.1081028
Moved 1856.005 190.5 347.5 -0.3923611 -0.1041667
Ended 1856.036 190.5 347.5 -0.3923611 -0.1041667
Candidates 1856.158 13 words word writers weird woods writes epa ross roads artists eyes quoted wis
Began 1857.049 608 397 0.5740741 0.02314815
Stationary 1857.08 608 397 0.5740741 0.02314815
Moved 1857.11 659.8261 397 0.694042 0.02314815
Ended 1857.141 668 405 0.7129629 0.04372424
Accept 1857.203 0 words
PhraseEnd 1857.203
