the punishment should fit the crime
the punishment should fit the crime
Basic
Radial

0.6 0.6
432 388.8
Moved 945.8159 423.9591 442.3197 0.1480534 0.1397111
Ended 945.8466 426 443 0.1527777 0.1414608
Accept 945.9081 0 punishment
Began 946.277 272 445 -0.2037037 0.1466049
Stationary 946.3077 272 445 -0.2037037 0.1466049
Moved 946.3384 261.7634 445 -0.2273995 0.1466049
Moved 946.3691 253.1461 445 -0.247347 0.1466049
Moved 946.3998 245.5988 439.3972 -0.2648176 0.1321943
Moved 946.4306 238.6506 437.3253 -0.2809013 0.1268655
Moved 946.4613 233.9046 437 -0.2918874 0.1260288
Moved 946.4921 231.9496 435.9496 -0.2964129 0.1233272
Moved 946.5228 229.5 436 -0.3020833 0.1234567
Stationary 946.5535 229.5 436 -0.3020833 0.1234567
Moved 946.5842 230 436 -0.3009259 0.1234567
Moved 946.615 230 434.8839 -0.3009259 0.1205861
Moved 946.6458 250.9929 430.7163 -0.2523313 0.109867
Moved 946.6765 273.1331 424.9556 -0.2010807 0.09505044
Moved 946.7072 300.45 422.355 -0.1378471 0.08836146
Moved 946.7379 330.5267 421 -0.06822517 0.08487643
Moved 946.7686 350.3003 420 -0.02245297 0.08230445
Moved 946.7994 369.9276 420 0.02298067 0.08230445
Moved 946.8301 383.3784 424.7298 0.05411675 0.0944696
Moved 946.8608 394.0946 429.5473 0.07892261 0.1068603
Moved 946.8916 400.8381 431.4191 0.09453277 0.1116745
Moved 946.9223 405.2922 432.2922 0.1048432 0.1139203
Moved 946.9531 411.6157 433.8078 0.1194807 0.1178183
Moved 946.9838 418.3322 439.3322 0.1350282 0.1320271
Moved 947.0145 424.0888 449.1776 0.1483537 0.1573498
Moved 947.0453 433.3417 461.4272 0.1697725 0.1888559
Moved 947.076 449.8476 482.7714 0.2079805 0.2437535
Moved 947.1067 463.3734 501.0601 0.2392902 0.2907923
Moved 947.1375 472.8503 512.8503 0.2612275 0.3211169
Moved 947.1682 480.7482 524.2471 0.2795098 0.3504296
Moved 947.1989 489.2421 533.3632 0.2991716 0.3738765
Moved 947.2297 493.9957 539.9914 0.3101752 0.3909243
Moved 947.2604 494 546.5 0.3101851 0.4076646
Moved 947.2911 494 552.7383 0.3101851 0.4237095
Moved 947.3219 479.0441 558.478 0.2755651 0.4384721
