they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Moved 2412.377 423.8571 484.2 0.1478172 0.2474278
Moved 2412.408 445.3316 498.2953 0.1975268 0.2836812
Moved 2412.439 483.6328 520.436 0.2861871 0.3406276
Moved 2412.47 508.8433 533.4216 0.3445447 0.3740267
Moved 2412.5 521.9114 539.9335 0.3747949 0.3907755
Moved 2412.531 526.5231 543.5231 0.3854702 0.4000079
Moved 2412.562 528 545 0.3888889 0.4038065
Moved 2412.593 529 547.2679 0.3912036 0.4096395
Stationary 2412.623 529 547 0.3912036 0.4089505
Stationary 2412.654 529 547 0.3912036 0.4089505
Moved 2412.685 525.2247 547 0.3824645 0.4089505
Moved 2412.716 514.2949 534.1634 0.3571641 0.3759345
Moved 2412.746 501.122 520.1568 0.3266712 0.3399094
Moved 2412.777 485.6665 494.0663 0.2908946 0.2728043
Moved 2412.808 475.082 472.1641 0.2663936 0.2164713
Moved 2412.839 466.5 450 0.2465278 0.1594649
Moved 2412.869 458.7139 426.8557 0.2285044 0.09993729
Moved 2412.9 452.9768 405.942 0.215224 0.04614696
Moved 2412.931 450.1158 386.8107 0.2086014 -0.003058979
Moved 2412.961 447.7183 365.4647 0.2030516 -0.05796126
Moved 2412.992 445.7406 344.1841 0.1984736 -0.1126953
Moved 2413.023 446 320.6497 0.199074 -0.1732263
Moved 2413.054 446 302.9398 0.199074 -0.2187764
Moved 2413.084 446 291.2776 0.199074 -0.2487717
Moved 2413.115 446 281.7775 0.199074 -0.2732062
Moved 2413.146 446 273.135 0.199074 -0.2954347
Moved 2413.177 446 266.4354 0.199074 -0.3126661
Moved 2413.207 450.6905 260.6599 0.2099316 -0.327521
Moved 2413.238 453 254.9183 0.2152778 -0.3422883
Moved 2413.269 453 250.5857 0.2152778 -0.3534319
Moved 2413.3 453 248.0232 0.2152778 -0.3600227
Moved 2413.33 453 244.1447 0.2152778 -0.3699983
Moved 2413.361 432.3951 242 0.1675813 -0.3755144
Moved 2413.392 412 242 0.1203704 -0.3755144
Moved 2413.423 394.0995 252.386 0.07893403 -0.3488016
Moved 2413.453 363.9944 271.0044 0.009246269 -0.3009146
Moved 2413.484 330.4153 300.842 -0.06848315 -0.2241718
Moved 2413.515 313.7649 315.9557 -0.1070257 -0.1852992
Moved 2413.546 302.0097 331.2379 -0.1342368 -0.1459932
Moved 2413.576 292.7524 342.4952 -0.1556657 -0.1170391
Moved 2413.607 286.0093 348.9907 -0.1712747 -0.1003327
Moved 2413.638 280.9311 353.5345 -0.18303 -0.08864602
Moved 2413.668 276.1913 356.4044 -0.1940017 -0.08126459
Moved 2413.699 273.7254 359.2746 -0.1997097 -0.07388228
Moved 2413.73 272.5 360.5 -0.2025463 -0.07073053
Ended 2413.761 273 361.1001 -0.2013889 -0.06918707
Accept 2413.915 0 might
Candidates 2413.915 13 find found sound fund funds sounds finds ground doing round young signs grounds
Began 2414.437 374 338 0.03240744 -0.1286009
Stationary 2414.468 374 338 0.03240744 -0.1286009
Moved 2414.499 369.9403 361.5671 0.02300998 -0.06798575
Moved 2414.529 365 382.482 0.01157403 -0.01419248
Moved 2414.56 365 405.5059 0.01157403 0.04502539
Moved 2414.591 374.4143 432.243 0.03336648 0.1137936
Moved 2414.622 383.0359 459.4292 0.05332401 0.183717
Moved 2414.652 390.616 480.4373 0.07087032 0.2377502
Moved 2414.683 395.0735 496.2941 0.08118869 0.2785342
Moved 2414.714 397 502.8816 0.0856481 0.2954773
Moved 2414.744 397 506.5939 0.0856481 0.3050253
Moved 2414.775 397 508.1556 0.0856481 0.3090421
Stationary 2414.806 397 508.1556 0.0856481 0.3090421
Stationary 2414.837 397 508.1556 0.0856481 0.3090421
Moved 2414.867 398.071 508 0.08812745 0.3086419
Moved 2414.898 399.0154 508 0.09031336 0.3086419
Moved 2414.929 402.3552 508 0.09804437 0.3086419
Moved 2414.96 407.4389 499.7806 0.1098123 0.2875014
Moved 2414.99 414.9725 495.5138 0.1272511 0.2765272
Moved 2415.021 430.0616 490.3877 0.1621798 0.2633427
Moved 2415.052 447.3654 488.5192 0.2022347 0.258537
Moved 2415.083 465.2795 488 0.2437026 0.2572016
Moved 2415.113 486.4613 488 0.2927346 0.2572016
Moved 2415.144 502.942 488 0.3308842 0.2572016
Moved 2415.175 518.321 496.6642 0.3664837 0.2794861
Moved 2415.206 531.0054 499.201 0.3958458 0.2860108
Moved 2415.236 540.222 502.074 0.4171806 0.2934003
Moved 2415.267 546.8796 503.9398 0.4325916 0.298199
Moved 2415.298 550.1821 505.5911 0.4402364 0.302446
Moved 2415.329 554.6337 507.3168 0.4505409 0.3068847
Moved 2415.359 557.1899 509 0.456458 0.3112139
Moved 2415.39 559.0291 511.0291 0.4607154 0.3164327
Stationary 2415.421 559 511 0.4606481 0.3163579
Moved 2415.451 559 512 0.4606481 0.31893
Stationary 2415.482 559 512 0.4606481 0.31893
Moved 2415.513 538.8817 513 0.4140779 0.321502
Moved 2415.544 519.5115 514 0.3692396 0.324074
Moved 2415.574 502.8648 514 0.3307056 0.324074
Moved 2415.605 484.9889 510.4871 0.2893262 0.3150387
Moved 2415.636 469.6857 504.9476 0.253902 0.3007911
Moved 2415.667 453.2805 501.0561 0.2159272 0.290782
Moved 2415.698 440.7497 498.1874 0.1869206 0.2834038
Moved 2415.728 431.3282 495 0.1651117 0.2752057
Moved 2415.759 428 495 0.1574074 0.2752057
Moved 2415.79 426.9117 495 0.1548881 0.2752057
Moved 2415.82 425.5 495 0.1516204 0.2752057
Moved 2415.851 426 495 0.1527777 0.2752057
Ended 2415.882 440.4868 508.1698 0.1863121 0.3090786
Accept 2415.974 0 find
Candidates 2415.974 13 you your toy out it root report roy to got output hot foot
Began 2416.896 369 417 0.02083332 0.0745884
Stationary 2416.927 369 417 0.02083332 0.0745884
Moved 2416.958 369 429.5783 0.02083332 0.10694
Moved 2416.989 362.631 455.1888 0.006090204 0.1728106
Moved 2417.019 355.9412 478.5293 -0.009395332 0.2328427
Moved 2417.05 352.6779 500.2545 -0.01694928 0.2887204
Moved 2417.081 348.5904 520.6384 -0.02641112 0.341148
Moved 2417.112 343.8546 536.3635 -0.03737365 0.3815933
Moved 2417.142 337.2325 549.9459 -0.05270258 0.4165273
Moved 2417.173 331.088 560.3679 -0.06692583 0.443333
Moved 2417.204 327.6713 567.6574 -0.07483498 0.4620817
Moved 2417.235 324.0795 572.8411 -0.08314937 0.4754142
Moved 2417.265 322.2336 577.5328 -0.08742218 0.4874813
Moved 2417.296 320 581.2819 -0.09259259 0.497124
