the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Moved 3202.023 427.08 483.84 0.1552777 0.246502
Moved 3202.054 427 481.0409 0.1550926 0.2393026
Moved 3202.084 427 473.5613 0.1550926 0.220065
Moved 3202.115 412.9897 466.3264 0.1226612 0.2014567
Moved 3202.146 398.9178 456.3507 0.09008746 0.1757991
Moved 3202.177 381.1487 448.4922 0.04895518 0.1555869
Moved 3202.207 356.7182 438.0193 -0.007596761 0.1286505
Moved 3202.238 334.827 429.9423 -0.05827084 0.1078763
Moved 3202.269 317.0028 423.2011 -0.09953047 0.09053775
Moved 3202.3 298.5349 416.2377 -0.1422803 0.07262779
Moved 3202.33 280.9154 410.3661 -0.1830663 0.05752602
Moved 3202.361 266.2672 405.3168 -0.2169741 0.04453918
Moved 3202.392 251 398.5 -0.2523148 0.02700609
Moved 3202.422 241.7597 393.8799 -0.2737043 0.01512312
Moved 3202.453 231.2035 388.0678 -0.2981401 0.0001743693
Moved 3202.484 223.3871 383.3871 -0.3162336 -0.01186457
Moved 3202.515 217.4704 380.7352 -0.3299295 -0.01868511
Moved 3202.545 211.7779 377.778 -0.3431066 -0.02629135
Moved 3202.576 206.9031 376.9031 -0.3543909 -0.02854131
Moved 3202.607 204.0311 377 -0.3610391 -0.02829226
Moved 3202.638 201.5152 377 -0.366863 -0.02829226
Moved 3202.668 199.8233 385.2369 -0.3707794 -0.007106835
Moved 3202.699 200 400.1152 -0.3703704 0.03116031
Moved 3202.73 200 415.0814 -0.3703704 0.06965366
Moved 3202.76 211.0052 434.0105 -0.3448953 0.1183397
Moved 3202.791 222.6281 454.7134 -0.3179906 0.171588
Moved 3202.822 231.2523 471.5046 -0.2980271 0.2147751
Moved 3202.853 241.8081 485.7601 -0.2735924 0.2514406
Moved 3202.883 254.2818 501.1022 -0.244718 0.2909007
Moved 3202.914 267.4534 513.7628 -0.2142282 0.3234638
Moved 3202.945 277.5 523.5 -0.1909722 0.3485081
Moved 3202.976 286.2407 533.2407 -0.1707391 0.3735615
Moved 3203.006 295.7284 540.7963 -0.1487769 0.3929946
Moved 3203.037 302.6037 546.6038 -0.1328617 0.4079314
Moved 3203.068 308.5217 550.2609 -0.1191627 0.4173375
Moved 3203.099 313.2188 554.2188 -0.1082899 0.4275173
Moved 3203.129 315 555 -0.1041667 0.4295266
Moved 3203.16 316.5 555 -0.1006944 0.4295266
Moved 3203.191 316 555 -0.1018519 0.4295266
Moved 3203.221 302.9198 536.5597 -0.1321302 0.3820979
Moved 3203.252 293.3122 517.6245 -0.1543699 0.3333961
Moved 3203.283 285.4638 501.9277 -0.1725374 0.2930238
Moved 3203.314 276.3232 482.6463 -0.1936964 0.2434317
Moved 3203.344 269.456 466.8239 -0.2095927 0.2027362
Moved 3203.375 264.1575 455.315 -0.2218576 0.1731353
Moved 3203.406 260.0908 445.2269 -0.2312714 0.1471883
Moved 3203.437 255.3306 434.496 -0.2422902 0.1195883
Moved 3203.467 252.2937 425.881 -0.2493202 0.09743058
Moved 3203.498 249.5 416.5 -0.255787 0.07330243
Moved 3203.529 246.9222 407.7666 -0.2617542 0.05084002
Moved 3203.56 244.0475 401.095 -0.2684085 0.0336806
Moved 3203.59 243 397.173 -0.2708333 0.02359316
Ended 3203.621 243 394.7115 -0.2708333 0.01726209
Candidates 3203.713 13 users used yard uses trusted parts posted trustees posts updated use riders guard
Began 3204.266 308 391 -0.1203704 0.007715971
Stationary 3204.297 308 391 -0.1203704 0.007715971
Moved 3204.328 320.6439 391 -0.09110218 0.007715971
Moved 3204.359 329.6588 403.545 -0.07023438 0.03998195
Moved 3204.389 338.1656 416.6093 -0.0505426 0.07358354
Moved 3204.42 346.788 431.98 -0.03058329 0.1131174
Moved 3204.451 352.9217 443.8434 -0.01638492 0.1436302
Moved 3204.481 356.0311 452.0932 -0.00918736 0.1648487
Moved 3204.512 356 457.8029 -0.009259283 0.1795342
Moved 3204.543 356 462.5614 -0.009259283 0.1917731
Moved 3204.574 356 467 -0.009259283 0.2031892
Moved 3204.604 336.0553 472.3779 -0.0554275 0.2170211
Moved 3204.635 320.577 478.1208 -0.09125695 0.2317922
Moved 3204.666 307.3318 481.8672 -0.1219171 0.241428
Moved 3204.697 297.7155 485.6423 -0.1441771 0.2511375
Moved 3204.728 280.5094 492.7453 -0.1840059 0.2694065
Moved 3204.758 276.4425 494.1859 -0.1934202 0.2731117
Moved 3204.789 270.9461 495 -0.2061434 0.2752057
Moved 3204.82 265.7915 497 -0.2180753 0.2803498
Moved 3204.85 262.5284 498 -0.2256288 0.2829217
Moved 3204.881 258.6621 499 -0.2345785 0.2854938
Moved 3204.912 256.0968 500 -0.2405167 0.2880658
Moved 3204.943 254.6368 501.3632 -0.2438963 0.291572
Moved 3204.973 253.9169 502.0831 -0.2455627 0.2934234
Moved 3205.004 254 507.9703 -0.2453704 0.3085654
Ended 3205.035 254 510.5 -0.2453704 0.3150719
Accept 3205.096 2 yard
Began 3205.527 526 508 0.3842592 0.3086419
Stationary 3205.557 526 508 0.3842592 0.3086419
Stationary 3205.588 526 508 0.3842592 0.3086419
Stationary 3205.619 526 508 0.3842592 0.3086419
Moved 3205.649 526 496.8925 0.3842592 0.2800731
Moved 3205.68 526 493.0165 0.3842592 0.2701042
Moved 3205.711 526 489.2813 0.3842592 0.2604971
Moved 3205.742 526 485.4863 0.3842592 0.2507362
Moved 3205.772 526 480.5234 0.3842592 0.2379718
Moved 3205.803 526 476.8871 0.3842592 0.228619
Moved 3205.834 526 473.0182 0.3842592 0.2186683
Moved 3205.865 533.529 470.471 0.4016875 0.2121167
Moved 3205.895 535 467.5966 0.4050927 0.2047236
Moved 3205.926 537 464.7229 0.4097222 0.1973325
Moved 3205.957 538 463.1518 0.4120371 0.1932915
Moved 3205.988 539 460.3298 0.4143518 0.1860334
Moved 3206.018 539 457.4574 0.4143518 0.1786455
Moved 3206.049 539 453.5856 0.4143518 0.1686872
Moved 3206.08 524.0442 447.0221 0.379732 0.1518057
Moved 3206.111 504.9717 435.5553 0.3355827 0.122313
Moved 3206.141 486.5785 424.7892 0.2930058 0.09462242
Moved 3206.172 464.5 412.5 0.2418981 0.06301432
Moved 3206.203 447.1772 402.5886 0.2017991 0.03752206
Moved 3206.233 429.9283 392.9642 0.1618712 0.01276789
Moved 3206.264 416.4702 385.2351 0.1307181 -0.007111388
Moved 3206.295 406.8646 380.4323 0.1084828 -0.01946422
Moved 3206.326 397.2104 375.4736 0.08613527 -0.0322181
Moved 3206.356 387.5932 370.8644 0.06387313 -0.04407318
Moved 3206.387 380.9783 367.9927 0.0485608 -0.05145909
Moved 3206.418 376.888 365.444 0.0390927 -0.0580144
Moved 3206.448 371.1391 363.5696 0.02578497 -0.06283551
Moved 3206.479 367.387 361.6935 0.01709948 -0.06766079
Moved 3206.51 365.1274 362 0.01186907 -0.06687243
Moved 3206.541 362.2983 361 0.005320112 -0.06944452
Moved 3206.572 359.4304 361 -0.001318554 -0.06944452
Moved 3206.602 357.546 360 -0.005680521 -0.07201654
Moved 3206.633 354.9884 360 -0.011601 -0.07201654
Moved 3206.664 353.111 360 -0.01594673 -0.07201654
Moved 3206.694 351.2388 360 -0.02028063 -0.07201654
Moved 3206.725 349.5 360 -0.02430553 -0.07201654
Moved 3206.756 346.8243 368.23 -0.03049935 -0.05084866
Moved 3206.787 342.9589 371.0411 -0.03944699 -0.04361855
Moved 3206.817 341.0843 373.9157 -0.04378632 -0.0362251
Moved 3206.848 340 376.3085 -0.04629632 -0.03007088
Moved 3206.879 339 378.2966 -0.04861111 -0.0249573
Ended 3206.909 339 379.5 -0.04861111 -0.02186214
Candidates 3207.032 13 old of pc polls looks pg pools long looking oh pills ph off
Began 3207.493 305 390 -0.1273148 0.005143954
Stationary 3207.524 305 390 -0.1273148 0.005143954
Stationary 3207.555 305 390 -0.1273148 0.005143954
Moved 3207.586 316.7005 405.8341 -0.1002304 0.04586961
Moved 3207.616 327.6062 421.7274 -0.07498572 0.08674739
Moved 3207.647 334.99 436.9799 -0.0578936 0.125977
Moved 3207.678 340.7275 448.455 -0.04461224 0.1554912
Moved 3207.708 345 458 -0.03472224 0.180041
Moved 3207.739 346.2534 464.5068 -0.03182079 0.1967767
Moved 3207.77 347 472.3727 -0.0300926 0.217008
Moved 3207.801 348 477.9918 -0.0277778 0.2314604
Moved 3207.831 348.5631 482.1263 -0.0264742 0.2420942
Moved 3207.862 349 485.4454 -0.02546296 0.250631
Moved 3207.893 350 488.3102 -0.02314816 0.2579995
Moved 3207.924 350 491.1827 -0.02314816 0.2653877
Moved 3207.954 351 493.7253 -0.02083332 0.2719271
Ended 3207.985 351 494 -0.02083332 0.2726337
Accept 3208.047 1 of
Began 3208.508 495 507 0.3125 0.3060699
Stationary 3208.538 495 507 0.3125 0.3060699
Stationary 3208.569 495 507 0.3125 0.3060699
Stationary 3208.6 495 507 0.3125 0.3060699
Stationary 3208.631 495 507 0.3125 0.3060699
Stationary 3208.661 495 507 0.3125 0.3060699
Stationary 3208.692 495 507 0.3125 0.3060699
Stationary 3208.723 495 507 0.3125 0.3060699
Stationary 3208.753 495 507 0.3125 0.3060699
Moved 3208.784 482.699 507 0.2840254 0.3060699
Moved 3208.815 475.9551 498.9775 0.2684145 0.285436
Moved 3208.846 468.0162 496.3387 0.2500376 0.2786489
Moved 3208.876 459.7441 494.5814 0.2308892 0.274129
Moved 3208.907 452.4224 494 0.2139407 0.2726337
Moved 3208.938 445.6887 491.8444 0.1983533 0.2670893
Moved 3208.969 439.5448 491 0.1841314 0.2649176
Moved 3208.999 432.2017 489 0.1671335 0.2597736
Moved 3209.03 424.5745 488 0.149478 0.2572016
Moved 3209.061 415.9651 484.655 0.1295489 0.2485983
Moved 3209.092 404.5793 484 0.1031929 0.2469135
Moved 3209.122 392.7453 482 0.07579942 0.2417695
Moved 3209.153 382.5058 482 0.05209674 0.2417695
Moved 3209.184 374.7172 482 0.03406763 0.2417695
Moved 3209.215 365.9886 482 0.01386245 0.2417695
Moved 3209.245 357.3809 482 -0.006062686 0.2417695
Moved 3209.276 350.507 487.2256 -0.02197464 0.2552097
Moved 3209.307 344.1248 491.2917 -0.03674805 0.2656679
Moved 3209.337 339.6744 493.1628 -0.04704997 0.2704803
Moved 3209.368 333.0644 494 -0.06235103 0.2726337
Moved 3209.399 331.6614 495 -0.06559853 0.2752057
Moved 3209.43 327.5789 496.4211 -0.0750488 0.2788607
Moved 3209.46 322.7056 497.2944 -0.08632958 0.2811069
Moved 3209.491 315.5095 498.1635 -0.1029873 0.2833423
Moved 3209.522 309.7933 499 -0.1162193 0.2854938
Moved 3209.552 301.7759 501.6121 -0.134778 0.292212
Moved 3209.583 296.022 503.489 -0.1480972 0.2970395
Moved 3209.614 292.6507 506.3492 -0.1559011 0.3043962
Moved 3209.645 290.5 510 -0.1608796 0.3137859
Ended 3209.676 290.5 510 -0.1608796 0.3137859
Candidates 3209.829 13 our it or pour pre your other pure poor port out the outer
Began 3210.26 274 445 -0.199074 0.1466049
Stationary 3210.29 274 445 -0.199074 0.1466049
Moved 3210.321 284.0137 445 -0.1758943 0.1466049
Moved 3210.352 302.936 445 -0.1320925 0.1466049
Moved 3210.382 322.9821 459.4911 -0.08568952 0.1838762
Moved 3210.413 335.9506 465.4753 -0.05566984 0.1992678
Moved 3210.444 345.3183 471.2122 -0.03398543 0.2140231
Moved 3210.475 350.4726 473.7363 -0.02205426 0.220515
Moved 3210.505 357.5 476.5 -0.005787015 0.2276234
Moved 3210.536 363.7887 478 0.008770128 0.2314814
Moved 3210.567 372.8092 479 0.02965103 0.2340534
Moved 3210.597 380.1547 479 0.04665434 0.2340534
Moved 3210.628 390.6104 479 0.0708575 0.2340534
Moved 3210.659 402 468.5 0.09722222 0.2070472
Moved 3210.69 413.5884 466.2058 0.1240473 0.2011466
Moved 3210.72 422.8805 463.0398 0.1455567 0.1930035
