I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 390.8648 239.3227 687.6773 -0.2793457 0.7707748
Moved 390.8956 236.4472 691 -0.2860019 0.7793208
Moved 390.9263 236 694 -0.287037 0.7870369
Moved 390.957 235 696.9532 -0.2893518 0.7946329
Ended 390.9877 235 697 -0.2893518 0.7947529
Accept 391.0491 2 meet
Began 391.5715 369 520 0.02083332 0.3395061
Stationary 391.6022 369 520 0.02083332 0.3395061
Moved 391.633 369 535.2426 0.02083332 0.3787103
Moved 391.6637 369 549.5757 0.02083332 0.4155754
Moved 391.6944 379.3204 566.6019 0.04472306 0.4593671
Moved 391.7251 385.6224 594.8008 0.05931109 0.531895
Moved 391.7558 389.352 613.0558 0.06794433 0.5788472
Moved 391.7866 392.0451 628.2256 0.07417858 0.6178641
Moved 391.8173 393 638.8381 0.07638891 0.6451596
Moved 391.848 393 645.9663 0.07638891 0.6634936
Moved 391.8787 393 651.7211 0.07638891 0.6782949
Moved 391.9095 393 654.8348 0.07638891 0.6863033
Moved 391.9402 393 656.3745 0.07638891 0.6902633
Moved 391.9709 394.209 656 0.07918755 0.6893002
Moved 392.0004 395.1668 656 0.08140455 0.6893002
Moved 392.0323 397.4399 656 0.08666644 0.6893002
Moved 392.063 403.9212 656 0.1016695 0.6893002
Moved 392.0937 408.9756 656 0.1133694 0.6893002
Moved 392.1244 422.5 656 0.144676 0.6893002
Moved 392.1552 433.6489 648 0.1704836 0.6687242
Moved 392.1859 444.1301 646 0.1947457 0.6635801
Moved 392.2166 456.6088 643 0.2236316 0.6558642
Moved 392.2473 466.2377 640.6906 0.2459207 0.6499241
Moved 392.278 480.1803 638 0.2781951 0.643004
Moved 392.3088 489.4746 635.8418 0.2997097 0.6374531
Moved 392.3395 497.0764 636 0.3173065 0.6378599
Moved 392.3702 502.2112 636 0.3291926 0.6378599
Moved 392.4009 506.9536 636 0.3401704 0.6378599
Stationary 392.4317 507 636 0.3402778 0.6378599
Moved 392.4624 508.5 636 0.34375 0.6378599
Moved 392.4931 508 644 0.3425926 0.6584361
Moved 392.5238 496.7448 647 0.316539 0.6661521
Moved 392.5545 488.5065 648 0.2974688 0.6687242
Moved 392.5852 477.9638 648 0.2730643 0.6687242
Moved 392.616 464.642 648 0.2422269 0.6687242
Moved 392.6467 452.0085 648 0.2129826 0.6687242
Moved 392.6774 441.5 648 0.1886574 0.6687242
Moved 392.7081 431.5005 648 0.1655105 0.6687242
Moved 392.7389 416.1035 637.6811 0.1298692 0.6421838
Moved 392.7696 407.9792 639.6597 0.1110631 0.6472729
Moved 392.8003 402.2688 640 0.0978444 0.6481481
Moved 392.8311 399.3942 640 0.09119023 0.6481481
Moved 392.8618 394.8266 640 0.08061717 0.6481481
Moved 392.8925 392.9788 640 0.07633984 0.6481481
Moved 392.9232 393 644.9155 0.07638891 0.6607907
Ended 392.9539 393 648 0.07638891 0.6687242
Candidates 393.0768 13 you your toy tour out it for root got our to fit or
Began 393.5377 338 547 -0.05092591 0.4089505
Stationary 393.5684 338 547 -0.05092591 0.4089505
Stationary 393.5991 338 547 -0.05092591 0.4089505
Moved 393.6298 349.2604 547 -0.0248601 0.4089505
Moved 393.6605 359.8035 547 -0.0004549325 0.4089505
Moved 393.6912 375.7537 547 0.03646681 0.4089505
Moved 393.722 392.3155 547 0.07480443 0.4089505
Moved 393.7527 406.4579 547 0.1075414 0.4089505
Moved 393.7834 417.3973 547 0.1328641 0.4089505
Moved 393.8141 427.3849 547 0.1559836 0.4089505
Moved 393.8447 434.7049 547 0.172928 0.4089505
Ended 393.8756 447 555 0.2013889 0.4295266
Accept 393.937 0 you
Began 394.3671 387 593 0.06250004 0.5272633
Stationary 394.3979 387 593 0.06250004 0.5272633
Moved 394.4286 373.047 593 0.03020137 0.5272633
Moved 394.4593 359.2054 593 -0.001839449 0.5272633
Moved 394.49 339.0705 593 -0.04844795 0.5272633
Moved 394.5208 317.2383 593 -0.09898539 0.5272633
Moved 394.5515 295.2248 593 -0.1499425 0.5272633
Moved 394.5822 278.5297 593 -0.1885886 0.5272633
Moved 394.6129 265.6778 593 -0.2183384 0.5272633
Moved 394.6437 255.2606 593 -0.2424523 0.5272633
Moved 394.6744 245.5843 593 -0.2648512 0.5272633
Moved 394.7051 239.4884 593 -0.2789621 0.5272633
Moved 394.7358 231.566 593 -0.297301 0.5272633
Moved 394.7665 224.827 585.3947 -0.3129004 0.5077022
Moved 394.7972 220.041 585.041 -0.3239793 0.5067925
Moved 394.828 216.5364 585 -0.3320917 0.5066872
Moved 394.8587 214.8314 585 -0.3360384 0.5066872
Moved 394.8894 212.5 585 -0.3414352 0.5066872
Moved 394.9202 212 595.6398 -0.3425926 0.5340528
Moved 394.9509 212 603.8797 -0.3425926 0.5552461
Moved 394.9816 212 610.9938 -0.3425926 0.5735435
Moved 395.0123 229.4607 616.7303 -0.3021744 0.5882981
Moved 395.043 241.1454 621.7558 -0.2751264 0.6012236
Moved 395.0738 256.743 625.7486 -0.2390208 0.6114932
Moved 395.1045 272.1112 630.2445 -0.2034463 0.6230568
Moved 395.1352 286.4286 634.9714 -0.1703043 0.6352144
Moved 395.166 305.4022 640.1149 -0.1263839 0.6484436
Moved 395.1967 323.6045 646.8022 -0.08424877 0.6656435
Moved 395.2274 339.0017 655.401 -0.04860724 0.6877596
Moved 395.2581 350.0135 665.0135 -0.02311677 0.7124833
Moved 395.2888 358.4163 675.6245 -0.003665934 0.7397749
Moved 395.3195 364.0778 684.2333 0.009439291 0.7619168
Moved 395.3503 367.9005 689.9005 0.0182882 0.776493
Moved 395.381 369.4522 696.3567 0.02188007 0.7930983
Moved 395.4117 371.3192 699.3192 0.02620181 0.8007181
Moved 395.4424 373.1888 702.1888 0.0305297 0.8080986
Moved 395.4731 374 703.8006 0.03240744 0.8122441
Moved 395.5039 375.6046 706 0.0361219 0.8179011
Moved 395.5345 377.4772 707 0.04045645 0.820473
Moved 395.5654 379.5 709 0.0451389 0.8256172
Moved 395.5961 379 710.5 0.04398147 0.8294752
Moved 395.6268 379 711 0.04398147 0.8307611
Moved 395.6575 379.6049 711.6049 0.04538159 0.8323169
Moved 395.6882 380.5 712.5 0.04745374 0.8346192
Ended 395.7189 380 713.0104 0.04629632 0.835932
Candidates 395.8111 13 say are at art gay st day fat fatty fast assay sat ay
Began 396.8864 388 574 0.06481478 0.478395
Stationary 396.9171 388 574 0.06481478 0.478395
Moved 396.9479 374.7612 588.6518 0.03416936 0.5160797
Moved 396.9786 364.1559 601.4067 0.009620288 0.5488855
Moved 397.0093 350.7582 616.0523 -0.0213931 0.5865542
Moved 397.04 338.2615 630.4232 -0.05032057 0.6235163
Moved 397.0708 327.2138 643.3434 -0.07589389 0.6567472
Moved 397.1015 320.8987 651.152 -0.09051238 0.6768312
Moved 397.1322 312.1341 659.8659 -0.1108006 0.6992434
Moved 397.1629 307.1971 666.6058 -0.122229 0.7165787
Moved 397.1936 302.3256 673.3488 -0.1335056 0.7339218
Moved 397.2244 299.7769 676.2231 -0.1394054 0.7413146
Moved 397.2551 300 679.1127 -0.1388889 0.7487465
Ended 397.2858 300 679.1127 -0.1388889 0.7487465
Accept 397.3473 2 at
Began 397.6852 380 618 0.04629632 0.5915637
Stationary 397.7159 380 618 0.04629632 0.5915637
Stationary 397.7466 380 618 0.04629632 0.5915637
Moved 397.7774 380 600.84 0.04629632 0.547428
Moved 397.8081 380 584.7601 0.04629632 0.50607
Moved 397.8388 388.229 563.6985 0.06534487 0.4518993
Moved 397.8695 396.4795 542.0547 0.08444329 0.3962311
Moved 397.9003 405.0805 521.8389 0.1043531 0.3442358
Moved 397.931 416.7469 503.443 0.1313585 0.2969212
Moved 397.9617 427.2365 489.9543 0.1556401 0.2622281
Moved 397.9924 437.0462 479.2718 0.1783476 0.2347524
Moved 398.0232 444.4883 471.5117 0.1955748 0.2147935
Moved 398.0539 450.179 465.8209 0.2087478 0.2001566
Moved 398.0846 453.9575 462.0425 0.2174942 0.1904383
Moved 398.1153 456.5 459.5 0.2233796 0.1838991
Moved 398.1461 457 457.6663 0.2245371 0.1791826
Moved 398.1766 459.2047 457 0.2296406 0.1774691
Moved 398.2075 460.0785 456 0.2316632 0.174897
Moved 398.2382 460 454.6266 0.2314815 0.1713646
Moved 398.269 461 455 0.2337964 0.172325
Moved 398.2997 462.5 455 0.2372685 0.172325
Moved 398.3304 463.5 455 0.2395834 0.172325
Moved 398.3611 467.0214 476.3301 0.2477346 0.2271863
Moved 398.3918 481.8798 528.0258 0.2821292 0.3601484
Moved 398.4225 492.4985 573.9796 0.3067096 0.4783425
Moved 398.4533 494 608.3496 0.3101851 0.5667427
Moved 398.4839 494 634.4076 0.3101851 0.6337642
Moved 398.5147 494.8119 654.0593 0.3120645 0.6843088
Moved 398.5454 496 667.3854 0.3148148 0.7185838
Moved 398.5762 497 678.6415 0.3171296 0.7475346
Moved 398.6069 498.0945 693.4724 0.3196632 0.78568
Moved 398.6376 498 702.8624 0.3194444 0.8098311
Moved 398.6683 499 710.6863 0.3217593 0.8299544
Moved 398.6991 500.3372 716.6743 0.3248546 0.8453557
Moved 398.7298 501.2061 723.6184 0.3268661 0.8632159
Moved 398.7605 503.0811 728.1622 0.3312062 0.8749025
Moved 398.7912 504.7166 732.4332 0.3349921 0.8858876
Moved 398.822 505.4928 735.4928 0.3367888 0.893757
Moved 398.8527 507.1804 737.1804 0.3406954 0.8980976
Moved 398.8834 507 738.3734 0.3402778 0.9011661
Stationary 398.9141 507 738.3734 0.3402778 0.9011661
Stationary 398.9448 507 738 0.3402778 0.9002057
Moved 398.9756 495.7454 727.9959 0.3142255 0.874475
Moved 399.0063 480.7653 711.7653 0.2795493 0.8327295
Moved 399.037 442.0801 659.478 0.1900002 0.6982458
