they might find your comment offensive
they might find your comment offensive
Basic
Radial

0.6 0.6
432 388.8
Moved 1209.68 318.4409 339.6523 -0.09620164 -0.1243512
Moved 1209.711 298.2828 356.7576 -0.1428639 -0.08035596
Moved 1209.741 281.4209 368.8422 -0.181896 -0.04927411
Moved 1209.772 266.1662 382.8338 -0.2172079 -0.01328763
Moved 1209.803 256.2853 392.7147 -0.2400803 0.01212607
Ended 1209.833 254 397 -0.2453704 0.02314815
Candidates 1209.926 13 find sound signs fund funds found sounds around since drive ground finds aims
Began 1210.417 251 392 -0.2523148 0.01028803
Stationary 1210.448 251 392 -0.2523148 0.01028803
Moved 1210.479 267.0969 392 -0.2150536 0.01028803
Moved 1210.51 289 392 -0.1643519 0.01028803
Moved 1210.54 331.4021 404.9072 -0.06619886 0.04348562
Moved 1210.571 376.6208 413.3039 0.0384741 0.06508203
Moved 1210.602 427.5427 424.9085 0.1563488 0.09492925
Ended 1210.633 454 433 0.2175926 0.1157406
Accept 1210.694 0 find
Began 1211.063 365 523 0.01157403 0.3472221
Stationary 1211.094 365 523 0.01157403 0.3472221
Stationary 1211.124 365 523 0.01157403 0.3472221
Stationary 1211.155 365 523 0.01157403 0.3472221
Stationary 1211.186 365 523 0.01157403 0.3472221
Stationary 1211.217 365 523 0.01157403 0.3472221
Stationary 1211.247 365 523 0.01157403 0.3472221
Moved 1211.278 355.5963 523 -0.01019364 0.3472221
Stationary 1211.309 355.5963 523 -0.01019364 0.3472221
Stationary 1211.339 356 523 -0.009259283 0.3472221
Stationary 1211.37 356 523 -0.009259283 0.3472221
Moved 1211.401 379.0276 523 0.04404525 0.3472221
Moved 1211.432 404.0899 523 0.1020599 0.3472221
Moved 1211.463 428.8215 523 0.159309 0.3472221
Moved 1211.493 446.2318 523 0.1996105 0.3472221
Moved 1211.524 463.4726 523 0.2395199 0.3472221
Moved 1211.555 473.5004 523 0.2627325 0.3472221
Moved 1211.585 484.1391 523 0.2873591 0.3472221
Moved 1211.616 494.0898 523 0.3103929 0.3472221
Moved 1211.647 502.243 523 0.3292661 0.3472221
Moved 1211.678 507.5669 523 0.34159 0.3472221
Moved 1211.708 510.883 523 0.3492662 0.3472221
Moved 1211.739 511.5 523 0.3506944 0.3472221
Moved 1211.77 511 523 0.349537 0.3472221
Stationary 1211.801 511 523 0.349537 0.3472221
Moved 1211.831 498.0737 523 0.319615 0.3472221
Moved 1211.862 483.7111 523 0.2863682 0.3472221
Moved 1211.893 468.6687 523 0.2515479 0.3472221
Moved 1211.923 456.5 533.5 0.2233796 0.3742283
Moved 1211.954 447.5946 532.1014 0.2027653 0.370631
Moved 1211.985 440.0736 532.9755 0.1853556 0.3728792
Moved 1212.016 433.3246 533 0.1697329 0.3729423
Moved 1212.046 427.4083 533 0.1560376 0.3729423
Moved 1212.077 421.5017 533 0.142365 0.3729423
Moved 1212.108 414.7679 533 0.1267776 0.3729423
Moved 1212.139 408.0172 533 0.111151 0.3729423
Moved 1212.169 398.4348 533 0.08896957 0.3729423
Moved 1212.2 387.4706 533 0.06358942 0.3729423
Moved 1212.231 378.2319 533 0.04220356 0.3729423
Moved 1212.262 370.419 533 0.02411803 0.3729423
Moved 1212.292 360.9438 533 0.00218461 0.3729423
Moved 1212.323 350.3275 526 -0.02238999 0.3549381
Moved 1212.354 338.179 524.5447 -0.05051156 0.3511953
Moved 1212.385 330.134 524.0335 -0.06913434 0.3498803
Moved 1212.415 323.3236 523 -0.08489897 0.3472221
Moved 1212.446 316.5916 521 -0.1004824 0.3420781
Moved 1212.477 310 518.5 -0.1157407 0.335648
Moved 1212.507 304.8322 515.9161 -0.1277031 0.3290023
Moved 1212.538 299.0417 513.0417 -0.1411072 0.3216092
Ended 1212.569 299 513 -0.1412037 0.321502
Candidates 1212.661 13 your tour out route type it row tie rope report root you toy
Began 1213.706 270 445 -0.2083333 0.1466049
Stationary 1213.737 270 445 -0.2083333 0.1466049
Moved 1213.768 295.8121 445 -0.1485832 0.1466049
Moved 1213.798 320.7851 445 -0.09077529 0.1466049
Moved 1213.829 368.2147 453.6466 0.01901547 0.1688441
Moved 1213.86 426.4341 466.3517 0.1537828 0.2015218
Ended 1213.891 451.5022 472.0593 0.2118106 0.2162019
Accept 1213.952 0 your
Began 1214.229 280 347 -0.1851852 -0.1054527
Stationary 1214.259 280 347 -0.1851852 -0.1054527
Moved 1214.29 280 341.0316 -0.1851852 -0.1208035
Moved 1214.321 270 334 -0.2083333 -0.1388889
