the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Stationary 2241.754 440 527 0.1851852 0.3575102
Stationary 2241.785 440 527 0.1851852 0.3575102
Stationary 2241.815 440 527 0.1851852 0.3575102
Stationary 2241.846 440 527 0.1851852 0.3575102
Stationary 2241.877 440 527 0.1851852 0.3575102
Stationary 2241.907 440 527 0.1851852 0.3575102
Stationary 2241.938 440 527 0.1851852 0.3575102
Stationary 2241.969 440 527 0.1851852 0.3575102
Stationary 2242 440 527 0.1851852 0.3575102
Moved 2242.03 440 516.9865 0.1851852 0.3317553
Moved 2242.061 440 510.6459 0.1851852 0.3154473
Moved 2242.092 429.7806 485.0978 0.1615293 0.2497372
Moved 2242.122 413.8743 456.5989 0.124709 0.1764374
Moved 2242.153 404.2539 438.5078 0.1024396 0.1299068
Moved 2242.184 391.0277 419.2333 0.07182339 0.08033246
Moved 2242.215 378.6343 405.3075 0.04313509 0.04451512
Moved 2242.245 368.1478 396.3182 0.0188606 0.0213946
Moved 2242.276 351.397 386.6985 -0.01991441 -0.003347593
Moved 2242.307 332.1667 381.0476 -0.06442889 -0.01788182
Moved 2242.337 308.0464 377.299 -0.1202631 -0.02752327
Moved 2242.368 290.5405 377 -0.160786 -0.02829226
Moved 2242.399 276.8584 375.7717 -0.1924574 -0.03145155
Moved 2242.43 266.6077 376 -0.2161859 -0.03086435
Moved 2242.46 258.508 376 -0.2349352 -0.03086435
Moved 2242.491 250.9202 376 -0.2524995 -0.03086435
Moved 2242.522 246.5838 376 -0.2625374 -0.03086435
Moved 2242.552 243.7094 376 -0.2691913 -0.03086435
Moved 2242.583 242.5 376 -0.2719907 -0.03086435
Ended 2242.614 243 376 -0.2708333 -0.03086435
Candidates 2242.706 13 is if id of us odds pass odd off pigs usa ic rights
Began 2243.535 361 488 0.002314846 0.2572016
Stationary 2243.566 361 488 0.002314846 0.2572016
Moved 2243.597 371.4121 427.9396 0.02641688 0.1027252
Moved 2243.628 381 395 0.04861106 0.01800408
Moved 2243.658 389.5247 371.7757 0.06834427 -0.04172917
Moved 2243.689 395.0533 355.7866 0.08114199 -0.08285334
Moved 2243.72 398.929 347.142 0.09011348 -0.1050876
Moved 2243.75 400.3605 342.279 0.0934271 -0.1175953
Moved 2243.781 403.3494 337.6506 0.1003458 -0.1294995
Moved 2243.812 404.2155 333.7845 0.1023506 -0.139443
Moved 2243.843 405 330.9091 0.1041667 -0.1468389
Moved 2243.873 405.6111 329.3889 0.1055813 -0.1507489
Moved 2243.904 406 327.9554 0.1064815 -0.1544357
Ended 2243.935 407 327 0.1087963 -0.1568931
Accept 2243.996 3 of
Began 2244.303 460 522 0.2314815 0.3446501
Stationary 2244.334 460 522 0.2314815 0.3446501
Stationary 2244.365 460 522 0.2314815 0.3446501
Stationary 2244.396 460 522 0.2314815 0.3446501
Stationary 2244.426 460 522 0.2314815 0.3446501
Moved 2244.457 469 516.0104 0.2523148 0.3292447
Moved 2244.488 470.2927 515 0.2553072 0.326646
Moved 2244.518 471.1667 514 0.2573304 0.324074
Moved 2244.549 472 512.8924 0.2592593 0.3212252
Moved 2244.58 473.3734 513 0.2624386 0.321502
Stationary 2244.611 473.3734 513 0.2624386 0.321502
Moved 2244.641 474 512 0.2638889 0.31893
Moved 2244.672 475.2755 511 0.2668414 0.3163579
Stationary 2244.703 475.2755 511 0.2668414 0.3163579
Moved 2244.733 475.755 510 0.2679513 0.3137859
Moved 2244.764 476 510 0.2685185 0.3137859
Moved 2244.795 477.4163 509 0.2717969 0.3112139
Moved 2244.826 483.8553 504.7149 0.286702 0.3001925
Moved 2244.856 492.5768 500.2822 0.3068906 0.2887915
Moved 2244.887 500.4661 497.267 0.325153 0.2810363
Moved 2244.918 507.2136 496 0.3407722 0.2777777
Moved 2244.948 511.4839 493.5161 0.3506571 0.2713891
Moved 2244.979 514.0216 492.9784 0.3565316 0.2700061
Moved 2245.01 516.892 493 0.3631759 0.2700616
Moved 2245.041 518.3258 491.6742 0.3664949 0.2666517
Moved 2245.071 519.3751 492 0.3689237 0.2674896
Moved 2245.102 521.0724 491 0.3728529 0.2649176
Moved 2245.133 522.0055 491 0.3750128 0.2649176
Stationary 2245.164 522.0055 491 0.3750128 0.2649176
Moved 2245.194 524.189 491 0.380067 0.2649176
Moved 2245.225 525.1045 491 0.3821864 0.2649176
Stationary 2245.256 525.1045 491 0.3821864 0.2649176
Stationary 2245.286 525 491 0.3819444 0.2649176
Moved 2245.317 479.8115 491 0.2773415 0.2649176
Moved 2245.348 440.0963 491 0.185408 0.2649176
Moved 2245.378 411.647 500.353 0.1195533 0.2889736
Moved 2245.409 393.4812 500.9037 0.07750283 0.2903902
Moved 2245.44 380.096 502 0.04651854 0.2932098
Moved 2245.471 368.7386 502 0.02022833 0.2932098
Moved 2245.501 355.5 502 -0.01041666 0.2932098
Moved 2245.532 348.8666 502 -0.0257718 0.2932098
Moved 2245.563 343.1198 502 -0.03907457 0.2932098
Moved 2245.594 340.1888 503 -0.04585936 0.2957818
Moved 2245.624 337.7675 503 -0.05146409 0.2957818
Moved 2245.655 334.8094 503 -0.05831147 0.2957818
Moved 2245.686 330.9393 504 -0.06727005 0.2983539
Moved 2245.716 328.0676 504 -0.07391766 0.2983539
Moved 2245.747 326.9664 504 -0.0764666 0.2983539
Moved 2245.778 323.6431 504 -0.08415957 0.2983539
Moved 2245.809 322.626 504 -0.0865138 0.2983539
Moved 2245.839 322 504 -0.08796295 0.2983539
Moved 2245.87 322 504.6208 -0.08796295 0.2999505
Ended 2245.901 322 505 -0.08796295 0.3009258
Candidates 2246.023 13 your our it pour poor or out ppt pr upper pt pot lite
