why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 2738.328 393.7736 469.2264 0.07817964 0.2089157
Moved 2738.359 385.5383 477.4617 0.05911638 0.230097
Moved 2738.39 378.2919 489.0621 0.04234244 0.2599333
Moved 2738.42 372.1116 498.7769 0.02803604 0.2849198
Moved 2738.451 366.4009 508.3986 0.01481692 0.3096671
Moved 2738.482 362.6662 517.0006 0.006171862 0.3317916
Moved 2738.512 360 523.0876 0 0.3474476
Moved 2738.543 359 527.0771 -0.002314796 0.3577085
Ended 2738.574 359 529 -0.002314796 0.3626543
Candidates 2738.697 13 daily adult assault supply apply fault silly result style failure apple strike stroke
Began 2739.987 362 462 0.004629592 0.1903292
Stationary 2740.017 362 462 0.004629592 0.1903292
Ended 2740.048 362 462 0.004629592 0.1903292
NextCandidatePanel 2740.11
Began 2740.877 403 424 0.09953707 0.09259254
Moved 2740.908 377.9637 456.0544 0.04158279 0.1750369
Moved 2740.939 340.3829 514.0491 -0.04540994 0.3242002
Moved 2740.969 294.9306 609.1465 -0.1506236 0.5687923
Moved 2741 285.7982 627.4036 -0.1717634 0.61575
Moved 2741.031 273.7388 657.1529 -0.1996786 0.6922655
Moved 2741.062 263.2598 684.0356 -0.2239356 0.7614082
Moved 2741.092 217.6509 730.9576 -0.3295118 0.8820924
Ended 2741.123 205 741.5 -0.3587963 0.9092078
Accept 2741.184 6 silly
Began 2741.737 209 531 -0.349537 0.3677982
Stationary 2741.768 209 531 -0.349537 0.3677982
Stationary 2741.799 209 531 -0.349537 0.3677982
Stationary 2741.829 209 531 -0.349537 0.3677982
Stationary 2741.86 209 531 -0.349537 0.3677982
Moved 2741.891 203.8022 531 -0.3615689 0.3677982
Moved 2741.921 197.5502 531 -0.3760412 0.3677982
Moved 2741.952 194.9851 531 -0.3819789 0.3677982
Moved 2741.983 192.1112 531 -0.3886315 0.3677982
Moved 2742.013 189.241 531 -0.3952754 0.3677982
Moved 2742.044 185.3622 531 -0.4042541 0.3677982
Moved 2742.075 182.8324 531 -0.4101103 0.3677982
Moved 2742.106 179.956 531 -0.4167684 0.3677982
Moved 2742.136 178.5228 531 -0.420086 0.3677982
Moved 2742.167 176.6255 531 -0.424478 0.3677982
Moved 2742.198 175.6845 531 -0.4266561 0.3677982
Moved 2742.229 174.9588 531 -0.428336 0.3677982
Stationary 2742.259 175 531 -0.4282407 0.3677982
Stationary 2742.29 175 531 -0.4282407 0.3677982
Moved 2742.321 185.2398 531 -0.4045376 0.3677982
Moved 2742.351 213.3915 531 -0.3393716 0.3677982
