the collapse of the Roman empire
the collapse of the Roman empire
Basic
List

0.6 0.6
432 388.8
Moved 1288.591 460 528.4398 0.2314815 0.3612133
Moved 1288.622 460 531.314 0.2314815 0.3686058
Moved 1288.653 461 539.1117 0.2337964 0.3886617
Moved 1288.683 461 548.0526 0.2337964 0.4116577
Moved 1288.714 461 557.3393 0.2337964 0.4355434
Moved 1288.745 461 570.2551 0.2337964 0.4687631
Moved 1288.776 461 573.3893 0.2337964 0.4768244
Moved 1288.806 461 579.4189 0.2337964 0.4923325
Moved 1288.837 461 584.5802 0.2337964 0.5056074
Moved 1288.868 461 588.9125 0.2337964 0.5167501
Moved 1288.898 461 592.3253 0.2337964 0.525528
Moved 1288.929 461 595.8931 0.2337964 0.5347043
Moved 1288.96 461 598.7659 0.2337964 0.5420932
Moved 1288.991 461 602.6348 0.2337964 0.552044
Moved 1289.021 461 606.2352 0.2337964 0.5613045
Moved 1289.052 461 609.0424 0.2337964 0.5685245
Moved 1289.083 461 612.9138 0.2337964 0.5784819
Moved 1289.114 461 616.7775 0.2337964 0.5884194
Moved 1289.144 461 621.7168 0.2337964 0.6011233
Moved 1289.175 462.1622 623.1622 0.2364865 0.6048408
Moved 1289.206 462 625.0285 0.2361111 0.6096411
Moved 1289.236 463.4633 626.4633 0.2394985 0.6133315
Ended 1289.267 465.0325 627.0325 0.2431308 0.6147955
Expand 1289.267
Accept 1289.359 2 collapse
Began 1289.851 484 425 0.287037 0.09516452
Stationary 1289.882 484 425 0.287037 0.09516452
Stationary 1289.913 484 425 0.287037 0.09516452
Stationary 1289.943 484 425 0.287037 0.09516452
Moved 1289.974 492.716 413.5679 0.3072131 0.06576102
Moved 1290.005 495.5853 408.8293 0.3138549 0.05357334
Moved 1290.036 497.456 404.0881 0.3181851 0.04137867
Moved 1290.066 497 399.9733 0.3171296 0.03079555
Moved 1290.097 497 395.1078 0.3171296 0.01828143
Moved 1290.128 497 389.4673 0.3171296 0.003773999
Moved 1290.158 488.7159 385.3579 0.2979534 -0.006795616
Moved 1290.189 484.6448 381.6448 0.2885296 -0.01634566
Moved 1290.22 479.9005 376.9005 0.2775474 -0.02854814
Moved 1290.251 474.1469 373.0734 0.2642288 -0.03839147
Moved 1290.281 470.5 369.5 0.2557871 -0.04758238
Moved 1290.312 462.0969 364.3979 0.2363354 -0.06070494
Moved 1290.343 453.4548 360.8182 0.2163306 -0.06991202
Moved 1290.374 443.8506 356.9004 0.1940986 -0.0799887
Moved 1290.404 434.2432 353.4144 0.1718592 -0.08895481
Moved 1290.435 424.1642 349.0821 0.1485283 -0.1000975
Moved 1290.466 414.683 345.6707 0.1265809 -0.1088717
Moved 1290.497 405.3993 341.7997 0.1050909 -0.1188279
Moved 1290.527 398.8237 341 0.0898697 -0.1208849
Moved 1290.558 393.4026 341 0.07732073 -0.1208849
Moved 1290.589 388.5254 341 0.06603102 -0.1208849
Moved 1290.62 384.938 341 0.0577268 -0.1208849
Moved 1290.65 382.0933 354.6268 0.05114188 -0.08583657
Moved 1290.681 382 378.0721 0.05092591 -0.02553477
Moved 1290.712 389.2653 394.6508 0.06774366 0.01710582
Moved 1290.742 399.8559 415.3304 0.09225905 0.07029423
Moved 1290.773 403.877 427.59 0.1015672 0.1018261
Moved 1290.804 413.6834 448.4459 0.124267 0.1554679
Moved 1290.835 422 464 0.1435185 0.1954732
Moved 1290.865 433.1707 482.7561 0.1693767 0.2437142
Moved 1290.896 442.5216 495.6956 0.1910223 0.2769947
Moved 1290.927 452.12 508.16 0.2132407 0.3090535
Moved 1290.958 458.7621 515.7621 0.2286159 0.3286061
Moved 1290.988 466.3694 524.3694 0.2462255 0.3507442
Moved 1291.019 477.3034 532.9776 0.2715357 0.3728847
Moved 1291.05 484.5815 539.1938 0.2883829 0.388873
Moved 1291.081 490.1521 544.4347 0.3012779 0.4023525
Moved 1291.111 494.589 548.589 0.3115486 0.4130374
Moved 1291.142 497.4649 550 0.3182057 0.4166666
Moved 1291.173 499.5 551 0.3229167 0.4192385
Stationary 1291.203 499.5 551 0.3229167 0.4192385
Moved 1291.234 499 551 0.3217593 0.4192385
Stationary 1291.265 499 551 0.3217593 0.4192385
Moved 1291.296 483.912 538.0933 0.2868333 0.3860424
Moved 1291.326 459.3345 518.516 0.2299409 0.3356892
Moved 1291.357 428.7086 491.6442 0.1590475 0.2665745
Moved 1291.388 407.5 470.5 0.1099537 0.2121912
Moved 1291.419 388.1787 452.1787 0.06522844 0.1650687
Moved 1291.449 373.0917 440.2734 0.03030479 0.1344479
Moved 1291.48 361.7989 429.7989 0.004164179 0.1075073
Moved 1291.511 351.41 421.0084 -0.01988426 0.084898
Moved 1291.542 340.0997 411.5748 -0.0460656 0.06063465
Moved 1291.572 329.6325 402.9744 -0.07029518 0.03851423
Moved 1291.603 322.341 397.5607 -0.08717368 0.02459008
Moved 1291.634 317.5218 392.5217 -0.09832928 0.01162996
Moved 1291.664 311.7766 388.3882 -0.1116284 0.0009985323
Moved 1291.695 308.5141 387 -0.1191804 -0.002572055
Moved 1291.726 305.9613 385 -0.1250896 -0.007716127
Moved 1291.757 304.5065 383.5065 -0.1284572 -0.01155743
Moved 1291.787 303 383 -0.1319445 -0.01286016
Moved 1291.818 301.5 383 -0.1354167 -0.01286016
Stationary 1291.849 301.5 383 -0.1354167 -0.01286016
Ended 1291.88 302 383 -0.1342593 -0.01286016
Candidates 1292.003 13 this big bid of bug good mid though food photos both high god
Began 1292.832 399 422 0.09027779 0.08744851
Moved 1292.863 399 441.403 0.09027779 0.1373533
Moved 1292.894 379.7729 474.7381 0.04577061 0.2230917
Moved 1292.925 363.026 516.9351 0.007004539 0.3316232
Moved 1292.955 353.4095 545.0444 -0.01525576 0.4039208
Moved 1292.986 347.805 556.39 -0.02822921 0.4331018
Moved 1293.017 339.4781 574.0439 -0.0475045 0.4785078
Moved 1293.047 331.8387 584.8818 -0.06518821 0.5063831
Moved 1293.078 324.8032 592.7952 -0.08147409 0.5267366
Moved 1293.109 319.0468 598.9532 -0.09479905 0.5425749
Moved 1293.14 313.2878 602.7123 -0.1081302 0.5522434
Moved 1293.17 309.2766 604.8618 -0.1174154 0.5577719
Moved 1293.201 305.2679 607 -0.1266946 0.5632715
Moved 1293.232 300.7896 608 -0.1370612 0.5658435
Moved 1293.263 295.7378 608 -0.1487551 0.5658435
Moved 1293.293 286.8182 608 -0.1694024 0.5658435
Moved 1293.324 276.3249 599.1625 -0.1936923 0.5431133
Moved 1293.355 265.8473 593.4236 -0.2179462 0.5283529
Moved 1293.385 257.0254 587.3503 -0.2383672 0.5127321
Moved 1293.416 249.6079 582.804 -0.2555373 0.5010388
Moved 1293.447 242.8633 577.9316 -0.2711497 0.4885072
Moved 1293.478 237.6257 574.3129 -0.2832738 0.4791996
Moved 1293.509 232.115 571.5575 -0.2960302 0.4721128
Moved 1293.539 225.3576 571 -0.3116723 0.4706789
Moved 1293.57 217.3918 571 -0.3301115 0.4706789
Moved 1293.601 209.0065 571 -0.3495221 0.4706789
Moved 1293.631 200.1376 580.2416 -0.3700518 0.4944485
Moved 1293.662 193.0148 584.4926 -0.3865399 0.5053822
Moved 1293.693 186.2585 589.3708 -0.4021794 0.517929
Moved 1293.724 181.2281 593.772 -0.4138239 0.5292488
Moved 1293.754 178.2409 596 -0.4207386 0.5349793
Moved 1293.785 175.3611 599.6389 -0.4274048 0.5443386
Moved 1293.816 171.8458 602.1542 -0.4355422 0.5508081
Moved 1293.847 168.9299 606.1403 -0.4422919 0.5610602
Moved 1293.877 165.055 609.8901 -0.4512616 0.5707048
Moved 1293.908 160.3677 616.4485 -0.4621119 0.5875732
Moved 1293.939 157.6512 621.6975 -0.4683999 0.6010737
Moved 1293.97 154.7736 627.4528 -0.4750611 0.6158764
Moved 1294 153 631.0973 -0.4791667 0.6252501
Moved 1294.031 152 633.5 -0.4814814 0.6314299
Moved 1294.062 150.5329 635.4671 -0.4848775 0.6364893
Expand 1294.062
Moved 1294.093 151 637.3481 -0.4837963 0.6413274
Ended 1294.123 151 639 -0.4837963 0.6455761
Accept 1294.185 3 of
Began 1294.861 387 540 0.06250004 0.3909464
Stationary 1294.892 387 540 0.06250004 0.3909464
Stationary 1294.922 387 540 0.06250004 0.3909464
Stationary 1294.953 387 540 0.06250004 0.3909464
Moved 1294.984 376.6245 522.0612 0.03848254 0.3448077
Moved 1295.015 369.8683 507.6708 0.02284328 0.3077952
Moved 1295.045 366.0696 494.2786 0.01405011 0.2733503
Moved 1295.076 363.5 482.5 0.008101861 0.2430555
Moved 1295.107 364 468.3934 0.009259283 0.206773
Moved 1295.137 364 461.6121 0.009259283 0.1893313
Moved 1295.168 364 454.8686 0.009259283 0.171987
Moved 1295.199 364 448.734 0.009259283 0.1562088
Moved 1295.23 364 442 0.009259283 0.1388888
Moved 1295.26 371 436.249 0.025463 0.1240972
Moved 1295.291 374.2516 430.4968 0.03298978 0.1093025
Moved 1295.322 376.7863 421.855 0.03885706 0.08707544
Moved 1295.353 380.65 410.4001 0.04780094 0.05761334
Moved 1295.383 384.5198 400.4406 0.05675892 0.03199723
Moved 1295.414 388.0189 392.9434 0.0648585 0.01271448
Moved 1295.445 392.8009 385.199 0.07592808 -0.007204126
Moved 1295.476 394.7694 381.2306 0.08048475 -0.01741111
Moved 1295.506 397.6412 377.3588 0.08713246 -0.02736951
Moved 1295.537 399.1806 374.8194 0.09069581 -0.03390073
Moved 1295.568 400 372.9395 0.09259263 -0.03873581
Moved 1295.598 401.3729 371.6271 0.09577056 -0.04211135
Moved 1295.629 401 370.8224 0.09490739 -0.04418118
Moved 1295.66 401 370 0.09490739 -0.04629637
