I listen to the tape everyday
I listen to the tape everyday
FixStart
List

0.6 0.6
432 388.8
Ended 366.1297 228 548 -0.3055556 0.4115225
Accept 366.1911 1 everyday
Began 366.3448 179 482 -0.4189815 0.2417695
Stationary 366.3756 179 482 -0.4189815 0.2417695
Moved 366.4063 262.7174 488.2365 -0.2251911 0.2578098
Moved 366.4371 377.2715 501.6449 0.03998021 0.2922965
Moved 366.4678 463.1249 510.3438 0.2387151 0.31467
Moved 366.4986 529.8865 514.9886 0.3932559 0.3266168
Moved 366.5293 562.8276 516.2175 0.4695083 0.3297775
Ended 366.5601 578 519 0.5046296 0.3369341
PhraseEnd 366.6216
