is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 1500.347 109.5412 411 -0.5797658 0.05915629
Moved 1500.378 103.4081 411 -0.5939628 0.05915629
Moved 1500.409 96.73588 411 -0.6094077 0.05915629
Moved 1500.439 89.98949 411 -0.6250243 0.05915629
Moved 1500.47 85.2442 411 -0.6360087 0.05915629
Moved 1500.501 82.62257 411 -0.6420774 0.05915629
Moved 1500.531 79.74004 418 -0.6487499 0.07716041
Moved 1500.562 77.9395 419.0605 -0.6529178 0.079888
Moved 1500.593 77 419 -0.6550926 0.07973251
Moved 1500.624 77 420.5288 -0.6550926 0.08366451
Moved 1500.654 88.15537 425.7888 -0.62927 0.09719334
Moved 1500.685 109.4529 438.3627 -0.5799702 0.1295337
Moved 1500.716 159.7502 464.6519 -0.4635413 0.1971498
Moved 1500.747 232.6022 493.5341 -0.2949024 0.2714353
Moved 1500.777 269.2326 508.093 -0.2101098 0.3088812
Moved 1500.808 298.8763 518.1629 -0.14149 0.3347811
Moved 1500.839 320.617 526.8564 -0.09116437 0.3571408
Moved 1500.87 337.9547 534.6516 -0.05103081 0.3771902
Moved 1500.9 350.7945 540.3972 -0.02130911 0.391968
Moved 1500.931 360.7041 545.3521 0.001629889 0.404712
Moved 1500.962 375.4238 550.2119 0.03570328 0.4172116
Moved 1500.992 386.9332 552.9777 0.06234537 0.4243253
Moved 1501.023 395.5522 555.8507 0.08229673 0.4317147
Moved 1501.054 404.4046 558.3511 0.1027884 0.4381458
Moved 1501.085 415.8861 562.4431 0.129366 0.4486703
Moved 1501.115 427.385 565.0963 0.1559839 0.4554943
Moved 1501.146 437.9064 568.7266 0.1803389 0.4648317
Moved 1501.177 449.0165 574.0082 0.2060568 0.4784162
Moved 1501.207 460.1111 581.1111 0.2317387 0.4966848
Moved 1501.238 470.9692 586.4846 0.2568732 0.5105056
Moved 1501.269 478.2919 591.528 0.2738239 0.5234771
Moved 1501.3 485.9132 597.2755 0.2914658 0.5382599
Moved 1501.33 491.5093 601.5093 0.3044198 0.5491494
Moved 1501.361 496.3799 604.3798 0.3156941 0.5565323
Moved 1501.392 499.95 607 0.3239584 0.5632715
