I want to hold your hand
Basic
0.6 0.6
432 388.8
Moved 1733.412 494.6235 515.6235 0.3116284 0.3282496
Moved 1733.443 500.5899 519.59 0.3254397 0.3384515
Moved 1733.474 506.9167 523.9166 0.3400848 0.3495797
Moved 1733.504 511.1819 526.1819 0.3499582 0.3554062
Moved 1733.535 515.8117 528.9059 0.3606753 0.3624122
Moved 1733.566 518.2155 531.2155 0.3662395 0.3683524
Moved 1733.596 522.0088 533.0088 0.3750203 0.3729649
Moved 1733.627 524.5 534.5 0.3807871 0.3768003
Moved 1733.658 525.0467 535.0467 0.3820525 0.3782064
Moved 1733.689 526.3542 535 0.3850793 0.3780863
Moved 1733.719 527.3108 536 0.3872935 0.3806583
Moved 1733.75 527 537.1155 0.3865741 0.3835274
Stationary 1733.781 527 537 0.3865741 0.3832304
Stationary 1733.812 527 537 0.3865741 0.3832304
Stationary 1733.842 527 537 0.3865741 0.3832304
Stationary 1733.873 527 537 0.3865741 0.3832304
Moved 1733.904 517.5 537 0.3645833 0.3832304
Moved 1733.934 512.977 537 0.3541134 0.3832304
Moved 1733.965 507.5416 526.8124 0.3415315 0.3570278
Moved 1733.996 501.1033 515.7583 0.326628 0.3285964
Moved 1734.026 493.287 494.9565 0.3085346 0.2750939
Moved 1734.057 488.3945 464.5502 0.2972094 0.1968884
Moved 1734.088 488 431.0811 0.2962963 0.1108053
Moved 1734.119 488 405.5472 0.2962963 0.04513156
Moved 1734.149 497.3019 385.0404 0.3178284 -0.007612204
Moved 1734.18 500.3217 362.5522 0.3248188 -0.06545204
Moved 1734.211 505.895 345.5252 0.3377198 -0.1092459
Moved 1734.242 509 332.7599 0.3449074 -0.1420784
Moved 1734.272 510 326.8787 0.3472221 -0.1572049
Moved 1734.303 511 322.2134 0.349537 -0.1692041
Moved 1734.334 511 319.5 0.349537 -0.1761832
Moved 1734.364 511 316.767 0.349537 -0.1832124
Moved 1734.395 511 314.3544 0.349537 -0.1894176
Moved 1734.426 511 311.6349 0.349537 -0.1964122
Moved 1734.457 511 309.9558 0.349537 -0.2007309
Moved 1734.487 500.5 309 0.3252315 -0.2031893
Moved 1734.518 499.6025 308 0.3231539 -0.2057614
Moved 1734.549 491.2247 308 0.3037609 -0.2057614
Moved 1734.579 478.1178 321.5881 0.2734209 -0.1708125
Moved 1734.61 463.6948 333.2543 0.2400344 -0.1408068
Moved 1734.641 442.9208 347.9329 0.1919464 -0.1030534
Moved 1734.672 418.5 361.5 0.1354167 -0.06815843
Moved 1734.702 398.1255 367.4686 0.08825352 -0.05280703
Moved 1734.733 377.6643 372.6194 0.04088948 -0.03955927
Moved 1734.764 356.5521 375.3497 -0.007981212 -0.03253694
Moved 1734.794 337.4757 379.0749 -0.05213951 -0.02295561
Moved 1734.825 319.3647 381.8051 -0.09406323 -0.01593358
Moved 1734.856 303.5767 383.2372 -0.1306094 -0.01225004
Moved 1734.887 283.2747 384.9656 -0.1776047 -0.007804509
Moved 1734.917 263.184 386.688 -0.2241112 -0.003374555
Moved 1734.948 246.9156 388.4169 -0.2617695 0.001072118
Moved 1734.979 230.2747 389 -0.3002901 0.002572016
Moved 1735.009 216.3036 389 -0.3326305 0.002572016
Moved 1735.04 206.1971 389 -0.3560252 0.002572016
Moved 1735.071 199.5179 389 -0.3714863 0.002572016
Ended 1735.102 196.9876 389 -0.3773435 0.002572016
Began 1736.085 364 541 0.009259283 0.3935184
Stationary 1736.115 364 541 0.009259283 0.3935184
Stationary 1736.146 364 541 0.009259283 0.3935184
Stationary 1736.177 364 541 0.009259283 0.3935184
Stationary 1736.208 364 541 0.009259283 0.3935184
Stationary 1736.238 364 541 0.009259283 0.3935184
Moved 1736.269 364 528.6445 0.009259283 0.3617398
Moved 1736.3 372.9685 520.0472 0.03001978 0.3396274
Moved 1736.33 375.7062 515.9407 0.03635705 0.3290654
Moved 1736.361 378.0699 508.8601 0.04182855 0.310854
Moved 1736.392 380.8032 504.1968 0.04815549 0.2988601
Moved 1736.422 383.1909 499.6182 0.05368263 0.2870838
Moved 1736.453 384.9668 495.0663 0.05779356 0.2753763
Moved 1736.484 388.6909 488.9272 0.06641427 0.2595863
Moved 1736.515 392.8287 482.1713 0.07599245 0.2422099
Moved 1736.545 397.4584 476.5416 0.08670937 0.2277303
Moved 1736.576 402.6248 472.4584 0.09866853 0.2172283
Moved 1736.607 407.5368 469.7316 0.1100388 0.210215
Moved 1736.637 412.9756 470 0.1226286 0.2109053
Moved 1736.668 419.1121 470 0.1368336 0.2109053
Moved 1736.699 429.2852 470 0.1603824 0.2109053
Moved 1736.73 441.0666 479.6266 0.1876541 0.2356651
Moved 1736.76 453.5 485 0.2164352 0.2494856
Moved 1736.791 465.7251 488.945 0.2447341 0.2596321
Moved 1736.822 480.0089 493.3363 0.2777983 0.2709266
Moved 1736.853 493.5647 498.7823 0.3091776 0.2849339
Moved 1736.883 507.1609 501.8322 0.3406503 0.2927781
Moved 1736.914 519.0107 507.0054 0.3680804 0.3060837
Moved 1736.945 528.6608 511.2203 0.3904186 0.3169245
Moved 1736.975 534.8823 515.9412 0.40482 0.3290667
Moved 1737.006 539.5903 518.2952 0.4157183 0.3351213
Moved 1737.037 542.0966 520.0966 0.4215198 0.3397544
Moved 1737.068 542.8297 521 0.4232169 0.3420781
Moved 1737.098 543 522.2704 0.4236111 0.3453457
Moved 1737.129 543 524.3081 0.4236111 0.3505866
Moved 1737.16 520.7575 527.0347 0.3721238 0.3575994
Moved 1737.19 512.6 527 0.3532408 0.3575102
Moved 1737.221 492.0474 527 0.3056653 0.3575102
Moved 1737.252 470.5534 527 0.2559105 0.3575102
Moved 1737.283 447.0693 527 0.2015493 0.3575102
