a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 756.9531 313.0594 417.0594 -0.1086588 0.0747413
Moved 756.9838 321.6159 424.9619 -0.08885214 0.09506661
Moved 757.0146 330.2298 433.2298 -0.06891251 0.1163317
Moved 757.0453 341.1328 441.8496 -0.04367406 0.138502
Moved 757.076 349.463 449.463 -0.02439131 0.1580837
Moved 757.1068 356.9514 454.4757 -0.007056843 0.1709765
Moved 757.1375 365.4083 460.2042 0.01251916 0.1857102
Moved 757.1682 373.9186 464.9593 0.0322189 0.1979405
Moved 757.1989 384.4218 469.7109 0.05653193 0.2101617
Moved 757.2297 392.5823 471.8956 0.07542193 0.2157807
Moved 757.2604 403.3101 474.77 0.1002548 0.2231738
Moved 757.2911 414.5553 477.6389 0.1262855 0.2305525
Moved 757.3219 424.4261 480.1065 0.1491344 0.2368994
Moved 757.3525 436.0703 483.0176 0.1760887 0.2443867
Moved 757.3834 446.5575 485.8893 0.2003646 0.251773
Moved 757.4141 455.27 487.7567 0.2205324 0.2565757
Moved 757.4448 465.4886 490 0.2441865 0.2623456
Moved 757.4756 469.5297 491.1766 0.2535411 0.2653718
Moved 757.5063 475.0852 493.0426 0.2664009 0.2701712
Moved 757.537 480.3786 494.6893 0.2786541 0.2744064
Moved 757.5677 485.4459 496.4459 0.290384 0.2789244
Moved 757.5985 490.3203 497 0.3016675 0.2803498
Moved 757.6292 493.1893 498 0.3083086 0.2829217
Moved 757.66 495.7665 499 0.3142743 0.2854938
Moved 757.6907 496.5 499 0.3159723 0.2854938
Moved 757.7214 497 500.0766 0.3171296 0.2882628
Moved 757.7521 497 501.2487 0.3171296 0.2912775
Moved 757.7829 497 503.9313 0.3171296 0.2981772
Moved 757.8137 479.1808 508.6064 0.2758815 0.3102015
Moved 757.8444 460.2724 511 0.232112 0.3163579
Moved 757.8751 445.3344 512 0.1975334 0.31893
Moved 757.9058 426.7176 513 0.1544389 0.321502
Moved 757.9365 411.4327 514.9279 0.1190572 0.3264605
Moved 757.9672 398.7811 515.8047 0.08977095 0.3287159
Moved 757.998 389.5818 516 0.0684765 0.329218
Moved 758.0287 379.0977 518.2256 0.04420767 0.3349423
Moved 758.0595 370.7992 520.1004 0.02499819 0.3397643
Moved 758.0902 362.8445 522 0.006584426 0.3446501
Moved 758.1209 354.5 524.5 -0.0127315 0.3510802
Moved 758.1517 345.9084 527.3639 -0.03261954 0.3584461
Moved 758.1824 338.2387 529.2538 -0.05037342 0.3633069
Moved 758.2131 332.559 531.8137 -0.06352077 0.369891
Moved 758.2439 327.6245 533.6877 -0.07494335 0.3747112
Moved 758.2747 324.4449 535.5551 -0.08230348 0.3795141
Moved 758.3054 323 537.4346 -0.08564815 0.3843482
Moved 758.3361 321.0262 538 -0.09021724 0.3858024
Stationary 758.3668 321 538 -0.09027779 0.3858024
Moved 758.3976 337.1194 538 -0.05296424 0.3858024
Moved 758.4283 354.1984 538 -0.01342957 0.3858024
Moved 758.459 376.7592 538 0.03879438 0.3858024
Moved 758.4897 395.8999 538 0.08310159 0.3858024
Moved 758.5205 410.2769 532.0123 0.1163818 0.3704018
Moved 758.5512 424.0127 529.5975 0.1481776 0.3641909
Moved 758.582 437.0818 526.7296 0.17843 0.3568146
Moved 758.6127 445.4579 526 0.1978192 0.3549381
Moved 758.6434 451.4999 524.25 0.2118054 0.3504372
Moved 758.6741 457.0714 524 0.2247021 0.3497942
Moved 758.7049 461.41 523 0.2347454 0.3472221
Moved 758.7356 464.2845 522 0.2413993 0.3446501
Moved 758.7664 466.8561 521 0.2473521 0.3420781
Moved 758.7971 469.7285 520.2715 0.2540011 0.3402045
Moved 758.8278 472.6038 520 0.260657 0.3395061
Moved 758.8585 476.9618 519 0.2707449 0.3369341
Moved 758.8893 485.0323 517 0.2894267 0.33179
Moved 758.92 492.6573 515.1142 0.3070772 0.3269398
Moved 758.9507 498.7613 514.2387 0.3212066 0.324688
Moved 758.9814 502.1937 514 0.3291521 0.324074
Moved 759.0122 505 512.8569 0.3356481 0.321134
Moved 759.043 507.5 513 0.3414352 0.321502
Moved 759.0737 508.2281 513 0.3431205 0.321502
Moved 759.1044 509.3734 513 0.3457719 0.321502
Moved 759.1351 510 511.5 0.3472221 0.317644
Moved 759.1658 511.374 512 0.3504027 0.31893
Moved 759.1966 512.2078 512 0.3523328 0.31893
Moved 759.2274 512 510.9562 0.3518519 0.3162453
Moved 759.2581 512 507.5352 0.3518519 0.3074464
Moved 759.2888 512 498.7078 0.3518519 0.2847421
Moved 759.3195 495.425 482.7437 0.3134837 0.2436821
Moved 759.3503 482.1178 462.5649 0.2826801 0.1917821
Moved 759.381 467.786 442.5004 0.2495045 0.1401758
Moved 759.4117 454.5 421 0.21875 0.08487643
Moved 759.4424 442.6743 400.4138 0.1913758 0.03192851
Moved 759.4732 431.2869 376.7889 0.1650159 -0.02883534
Moved 759.5039 422.3768 354.5073 0.1443909 -0.08614395
Moved 759.5347 416.3039 338.3757 0.130333 -0.1276347
Moved 759.5654 407.6507 312.952 0.1103025 -0.1930249
Moved 759.5961 401.9371 291.56 0.09707669 -0.2480453
Moved 759.6269 397.0768 274.3842 0.08582601 -0.2922219
Moved 759.6576 393.5252 261.6259 0.07760454 -0.3250363
Moved 759.6884 390.6565 249.626 0.07096409 -0.3559003
Moved 759.7191 387.7758 242.3274 0.06429583 -0.3746724
Moved 759.7498 386.1893 237.3785 0.06062339 -0.3874009
Moved 759.7805 385 233.3848 0.05787035 -0.3976729
Moved 759.8112 382.5103 230.5103 0.05210717 -0.4050663
Moved 759.842 375.8612 230 0.03671567 -0.4063786
Moved 759.8727 354.5856 253.3558 -0.01253342 -0.3463071
Moved 759.9034 332.3275 280.4829 -0.06405676 -0.2765358
Moved 759.9341 316.5674 301.8057 -0.1005385 -0.2216934
Moved 759.9649 299.5 324 -0.1400463 -0.164609
Moved 759.9957 285.4525 342.7665 -0.1725637 -0.1163413
Moved 760.0264 271.1596 360.8084 -0.205649 -0.0699373
Moved 760.0571 254.9279 379.072 -0.2432224 -0.02296291
Moved 760.0878 241.7533 393.4961 -0.2737193 0.01413596
Moved 760.1186 226.8857 405.8914 -0.3081349 0.04601698
Moved 760.1493 213.5705 415.2577 -0.3389571 0.07010715
Moved 760.1799 202.1018 422.9321 -0.365505 0.08984593
Moved 760.2108 193.4856 427.0096 -0.38545 0.1003332
Moved 760.2415 182.4658 431.7671 -0.4109589 0.1125695
Moved 760.2722 174.2496 434 -0.4299778 0.1183127
Moved 760.303 166.5095 436.8301 -0.4478947 0.1255918
Moved 760.3337 161.3592 438 -0.4598167 0.1286007
Moved 760.3644 157.487 439 -0.4687802 0.1311728
Moved 760.3951 154.6178 440 -0.4754218 0.1337448
Moved 760.426 153.0531 442.9469 -0.4790437 0.1413242
Moved 760.4567 153 446.8159 -0.4791667 0.1512754
Moved 760.4874 162.5923 453.0555 -0.4569623 0.1673237
Moved 760.5181 219.2779 458 -0.3257455 0.180041
Moved 760.5489 242.3424 458 -0.2723556 0.180041
Moved 760.5796 277.5427 444.1055 -0.1908734 0.1443043
Moved 760.6104 310.0537 436.4866 -0.1156163 0.1247083
Moved 760.6411 337.0084 430.2479 -0.05322123 0.1086622
Moved 760.6718 364.1412 424.5718 0.009586216 0.09406313
Moved 760.7025 387.7989 419.9113 0.06434917 0.08207623
Moved 760.7333 408.6798 414.1068 0.1126848 0.06714691
Moved 760.764 426.0312 408.9896 0.1528501 0.05398566
Moved 760.7947 444.3074 403.2309 0.1951559 0.03917404
Moved 760.8255 463.4276 397.5242 0.2394157 0.02449632
Moved 760.8562 478.1533 393.3387 0.2735029 0.01373118
Moved 760.8869 491.5732 389.3567 0.3045676 0.003489388
Moved 760.9177 502.5446 385.4851 0.3299644 -0.006468384
Moved 760.9484 515.5004 381.6249 0.3599545 -0.016397
Moved 760.9791 521.84 378.1066 0.3746297 -0.02544599
Moved 761.0099 526.8192 376.1808 0.3861555 -0.03039913
Moved 761.0406 530.6943 374 0.3951257 -0.03600823
Moved 761.0714 534.5 371.5 0.4039352 -0.04243827
Moved 761.1021 536.1066 370.8934 0.4076542 -0.04399861
Ended 761.1328 538 370 0.4120371 -0.04629637
Began 761.809 227 538 -0.3078704 0.3858024
Stationary 761.8397 227 538 -0.3078704 0.3858024
Stationary 761.8704 227 538 -0.3078704 0.3858024
Stationary 761.9011 227 538 -0.3078704 0.3858024
Stationary 761.9319 227 538 -0.3078704 0.3858024
Moved 761.9626 227 526.9965 -0.3078704 0.3575011
Moved 761.9933 208.3526 510.6937 -0.3510356 0.31557
Moved 762.024 197.651 491.1718 -0.375808 0.2653594
Moved 762.0548 184.0219 464.7884 -0.4073566 0.197501
Moved 762.0854 172.5762 439.9405 -0.4338515 0.1335917
Moved 762.1162 162.5558 415.1489 -0.4570467 0.06982721
