I listen to the tape everyday
Basic
0.6 0.6
432 388.8
Moved 1477.818 409.4795 348.2246 0.1145359 -0.102303
Moved 1477.848 417.0428 338.9429 0.1320437 -0.1261758
Moved 1477.879 423 332 0.1458333 -0.144033
Moved 1477.91 428.3063 323.5405 0.1581165 -0.1657909
Moved 1477.94 432.8745 315.3765 0.168691 -0.1867889
Moved 1477.971 436.5967 307.2098 0.1773072 -0.2077936
Moved 1478.002 438.9886 300.0342 0.182844 -0.2262496
Moved 1478.033 442 292.8736 0.1898148 -0.2446667
Moved 1478.063 444.4517 287.0967 0.1954899 -0.2595251
Moved 1478.094 447.1655 279.5037 0.2017719 -0.2790544
Moved 1478.125 449.6024 275.7952 0.2074129 -0.2885926
Moved 1478.156 452.3264 269.0207 0.2137186 -0.3060168
Moved 1478.186 454.0546 264.8907 0.2177191 -0.316639
Moved 1478.217 455.7787 261.2213 0.2217101 -0.3260771
Moved 1478.248 457.0794 258.8411 0.2247209 -0.3321987
Moved 1478.278 458 257.0889 0.2268519 -0.3367054
Moved 1478.309 459 255 0.2291666 -0.3420782
Moved 1478.34 459 252.6479 0.2291666 -0.3481278
Moved 1478.37 460 252 0.2314815 -0.3497943
Moved 1478.401 461.2259 250.774 0.2343192 -0.3529475
Moved 1478.432 461 250 0.2337964 -0.3549383
Moved 1478.463 462.3542 248.6458 0.2369311 -0.3584215
Stationary 1478.493 462.3542 248.6458 0.2369311 -0.3584215
Moved 1478.524 463.0354 248 0.238508 -0.3600824
Stationary 1478.555 463 248 0.2384259 -0.3600824
Stationary 1478.586 463 248 0.2384259 -0.3600824
Moved 1478.616 464.2155 248 0.2412395 -0.3600824
Stationary 1478.647 464 248 0.2407408 -0.3600824
Stationary 1478.678 464 248 0.2407408 -0.3600824
Moved 1478.708 465.1693 248 0.2434473 -0.3600824
Stationary 1478.739 465.1693 248 0.2434473 -0.3600824
Stationary 1478.77 465 248 0.2430555 -0.3600824
Stationary 1478.8 465 248 0.2430555 -0.3600824
Stationary 1478.831 465 248 0.2430555 -0.3600824
Stationary 1478.862 465 248 0.2430555 -0.3600824
Stationary 1478.893 465 248 0.2430555 -0.3600824
Stationary 1478.924 465 248 0.2430555 -0.3600824
Stationary 1478.954 465 248 0.2430555 -0.3600824
Stationary 1478.985 465 248 0.2430555 -0.3600824
Stationary 1479.016 465 248 0.2430555 -0.3600824
Moved 1479.046 455.4121 248 0.2208613 -0.3600824
Moved 1479.077 449.0923 248 0.2062322 -0.3600824
Moved 1479.108 443.6377 248 0.1936058 -0.3600824
Moved 1479.139 437.1872 248 0.178674 -0.3600824
Moved 1479.169 431.3481 248 0.1651577 -0.3600824
Moved 1479.2 425.966 248 0.1526991 -0.3600824
Moved 1479.231 419.5138 248 0.1377635 -0.3600824
Moved 1479.261 412.5964 246.5321 0.1217508 -0.3638578
Moved 1479.292 407.1955 247 0.1092488 -0.3626543
Moved 1479.323 400.7484 247 0.09432484 -0.3626543
Moved 1479.354 396.6488 247 0.0848353 -0.3626543
Moved 1479.384 392.927 247 0.07621983 -0.3626543
Ended 1479.415 393 247 0.07638891 -0.3626543
Began 1480.675 370 582 0.02314816 0.4989711
Stationary 1480.705 370 582 0.02314816 0.4989711
Stationary 1480.736 370 582 0.02314816 0.4989711
Stationary 1480.767 370 582 0.02314816 0.4989711
Stationary 1480.798 370 582 0.02314816 0.4989711
Stationary 1480.828 370 582 0.02314816 0.4989711
Stationary 1480.859 370 582 0.02314816 0.4989711
Moved 1480.89 370 571.6163 0.02314816 0.4722641
Moved 1480.921 370 567.7668 0.02314816 0.4623631
Moved 1480.951 370 563.653 0.02314816 0.4517822
Moved 1480.982 370 558.8806 0.02314816 0.4395075
Moved 1481.013 362 553.4343 0.004629592 0.4254997
Moved 1481.043 359.8245 547.4736 -0.0004062057 0.4101686
Moved 1481.074 356.1073 540.3218 -0.009010931 0.391774
Moved 1481.105 351.7643 533.1465 -0.0190641 0.3733191
Moved 1481.136 347.6555 526.311 -0.02857526 0.355738
Moved 1481.166 343.216 520.432 -0.03885185 0.3406172
Moved 1481.197 339 515 -0.04861111 0.326646
Moved 1481.228 334.5429 510.5429 -0.05892843 0.3151823
Moved 1481.259 331.2792 506.5585 -0.06648327 0.3049342
Moved 1481.289 326.3033 502.3033 -0.07800152 0.29399
Moved 1481.32 321.8483 499.9241 -0.08831421 0.2878706
Moved 1481.351 320.5653 498.5652 -0.09128407 0.2843756
Moved 1481.381 319 498 -0.09490739 0.2829217
Moved 1481.412 318 498 -0.09722222 0.2829217
Stationary 1481.443 318 498 -0.09722222 0.2829217
Stationary 1481.474 318 498 -0.09722222 0.2829217
Stationary 1481.504 318 498 -0.09722222 0.2829217
Moved 1481.535 318 507.9606 -0.09722222 0.3085406
Moved 1481.566 331.6275 512.4183 -0.06567701 0.3200059
Moved 1481.596 338.8019 515.934 -0.04906958 0.3290482
Moved 1481.627 348.2948 519.3237 -0.02709538 0.3377666
Moved 1481.658 359.2323 522.0464 -0.001777013 0.3447696
Moved 1481.689 371.8777 523.7755 0.02749453 0.3492168
Moved 1481.719 385.5 524 0.05902777 0.3497942
Moved 1481.75 400.5359 524 0.0938331 0.3497942
Moved 1481.781 421.6079 524 0.142611 0.3497942
Moved 1481.812 437.9218 524 0.1803746 0.3497942
Moved 1481.842 449.3727 516.1568 0.2068813 0.3296213
Moved 1481.873 460 513.5 0.2314815 0.3227879
Moved 1481.904 470.7063 507.5292 0.2562645 0.307431
Moved 1481.934 480.8809 502.0794 0.2798168 0.293414
Moved 1481.965 486.7547 498.4969 0.2934137 0.2841998
Moved 1481.996 495.1805 494.9398 0.3129178 0.2750508
Moved 1482.027 502.3659 491.2114 0.3295507 0.2654612
Moved 1482.057 509 489.5 0.3449074 0.2610596
Moved 1482.088 519.6661 487.0668 0.3695976 0.2548013
Ended 1482.119 526.4116 483.153 0.3852121 0.244735
Began 1482.856 291 540 -0.1597222 0.3909464
Stationary 1482.887 291 540 -0.1597222 0.3909464
Stationary 1482.917 291 540 -0.1597222 0.3909464
Stationary 1482.948 291 540 -0.1597222 0.3909464
Stationary 1482.979 291 540 -0.1597222 0.3909464
Stationary 1483.01 291 540 -0.1597222 0.3909464
Stationary 1483.04 291 540 -0.1597222 0.3909464
Stationary 1483.071 291 540 -0.1597222 0.3909464
Moved 1483.102 301.5991 540 -0.1351874 0.3909464
Moved 1483.132 303.157 540 -0.1315809 0.3909464
Moved 1483.163 305.5 540 -0.1261574 0.3909464
Moved 1483.194 307.5 540 -0.1215278 0.3909464
Moved 1483.225 310.1253 540 -0.1154507 0.3909464
Moved 1483.255 313.6889 540 -0.1072016 0.3909464
Moved 1483.286 319.1288 540 -0.09460931 0.3909464
Moved 1483.317 324.8632 533.3191 -0.08133515 0.373763
Moved 1483.348 332.0013 530.3329 -0.06481175 0.3660824
Moved 1483.378 340.181 527.6063 -0.04587724 0.3590697
Moved 1483.409 347.3539 524.882 -0.02927333 0.3520627
Moved 1483.44 353.5907 520.9395 -0.01483629 0.3419226
Moved 1483.471 361.764 515.4907 0.004083315 0.3279079
Moved 1483.501 367.9686 510.0314 0.01844575 0.3138668
