the union will go on strike
Basic
0.6 0.6
432 388.8
Moved 1248.897 529.2803 445.5983 0.3918526 0.1481438
Moved 1248.928 534.5122 420.8782 0.4039634 0.08456324
Moved 1248.959 539.0525 402.8425 0.4144733 0.03817515
Moved 1248.989 540.8973 393.3082 0.4187437 0.01365269
Ended 1249.02 541 391.6531 0.4189815 0.009395889
Began 1249.266 365 420 0.01157403 0.08230445
Moved 1249.297 342.404 420 -0.04073143 0.08230445
Moved 1249.327 316.6853 430.1461 -0.1002654 0.1084003
Moved 1249.358 294.808 433.0274 -0.1509074 0.1158112
Moved 1249.389 277.697 433.5757 -0.1905162 0.1172215
Moved 1249.419 268.1059 434 -0.2127177 0.1183127
Moved 1249.45 263.6818 435 -0.2229588 0.1208847
Moved 1249.481 261.5 436.5 -0.2280093 0.1247428
Moved 1249.511 262 437.7093 -0.2268519 0.127853
Moved 1249.542 262 442.1662 -0.2268519 0.1393163
Moved 1249.573 278.3078 451.8462 -0.1891024 0.1642134
Moved 1249.604 309.5844 467.2727 -0.1167028 0.2038907
Moved 1249.634 360.7059 492.7033 0.001633962 0.2692986
Moved 1249.665 410.0802 515.6524 0.1159264 0.328324
Moved 1249.696 445 530.5 0.1967593 0.3665122
Moved 1249.726 477.1071 547.2291 0.2710811 0.4095398
Moved 1249.757 496.3279 555.1093 0.3155739 0.4298078
Moved 1249.788 509.7097 559.9274 0.3465503 0.4422001
Moved 1249.819 517.3167 562.3292 0.364159 0.4483774
Ended 1249.849 517.3167 562.3292 0.364159 0.4483774
Began 1250.126 522 571 0.375 0.4706789
Moved 1250.156 514.7889 548.4777 0.3583076 0.4127512
Moved 1250.187 483.6017 474.2651 0.2861149 0.2218753
Moved 1250.218 464.683 411.9854 0.2423217 0.06169076
Moved 1250.249 458.0715 369.465 0.2270174 -0.04767249
Moved 1250.279 457 343.5864 0.2245371 -0.1142324
Moved 1250.31 457 318.6559 0.2245371 -0.1783542
Moved 1250.341 457 300.4221 0.2245371 -0.225252
Moved 1250.371 457 285.5578 0.2245371 -0.2634831
Moved 1250.402 464.9731 265.1885 0.2429931 -0.3158732
Moved 1250.433 466 250.4031 0.2453704 -0.3539016
Ended 1250.464 467 238.3483 0.2476852 -0.3849067
Began 1251.232 339 445 -0.04861111 0.1466049
Moved 1251.262 321.9135 445 -0.08816332 0.1466049
Moved 1251.293 290.0006 438.7004 -0.1620357 0.1304023
Moved 1251.324 265.6843 434.2406 -0.2183233 0.1189315
Moved 1251.354 252.4966 431.6993 -0.2488505 0.1123953
Moved 1251.385 242.6521 430 -0.2716385 0.1080246
Moved 1251.416 236.8951 430 -0.2849651 0.1080246
Moved 1251.446 232.3235 430 -0.2955475 0.1080246
Moved 1251.477 231 443.2958 -0.2986111 0.1422217
Moved 1251.508 244.0538 462.7484 -0.268394 0.1922541
Moved 1251.539 278.7693 493.4154 -0.1880341 0.2711301
Moved 1251.569 310.6278 511.3139 -0.1142874 0.3171653
Moved 1251.6 335.3987 520.7996 -0.05694757 0.3415626
Moved 1251.631 357.3399 525.4771 -0.006157557 0.3535933
Moved 1251.661 363.7021 527 0.008569757 0.3575102
Moved 1251.692 363 528.5 0.006944438 0.3613682
Moved 1251.723 363 528 0.006944438 0.3600822
Moved 1251.754 351.1761 528 -0.02042557 0.3600822
Moved 1251.784 340.451 515.5883 -0.04525219 0.328159
Moved 1251.815 325.7712 501.7712 -0.07923324 0.2926214
Moved 1251.846 312.3637 485.3637 -0.1102692 0.2504209
Moved 1251.876 301.8103 472.0129 -0.1346983 0.2160826
Moved 1251.907 293.9861 463.986 -0.1528101 0.1954372
Moved 1251.938 290.7874 461 -0.1602144 0.1877571
Moved 1251.969 291 460 -0.1597222 0.1851851
Moved 1251.999 311.0194 460 -0.1133809 0.1851851
Moved 1252.03 349.637 469.4697 -0.02398854 0.2095414
Moved 1252.06 385.4977 474.346 0.0590225 0.2220833
Moved 1252.091 423.7505 482.6348 0.1475707 0.2434021
Moved 1252.122 458.0803 492.5302 0.2270378 0.2688532
Moved 1252.153 482.1596 502.5277 0.2827769 0.294567
Moved 1252.183 493.5 509 0.3090277 0.3112139
Moved 1252.214 497.3757 511.3757 0.3179992 0.3173241
Moved 1252.245 498 503.8248 0.3194444 0.2979033
Moved 1252.276 444.1003 411.2006 0.1946766 0.05967238
Moved 1252.306 423.7104 354.2623 0.1474778 -0.086774
Moved 1252.337 418.8377 320.0521 0.1361983 -0.1747632
Moved 1252.368 419 294.3505 0.1365741 -0.2408682
Moved 1252.399 419 278.1999 0.1365741 -0.2824078
Moved 1252.429 419 267.6711 0.1365741 -0.3094879
Moved 1252.46 419 257.5155 0.1365741 -0.3356084
Moved 1252.491 427.2402 251.5195 0.1556487 -0.3510301
Moved 1252.521 429.1118 247.8883 0.159981 -0.3603696
Moved 1252.552 434.1767 248 0.1717053 -0.3600824
Moved 1252.583 441.5 289 0.1886574 -0.2546296
Moved 1252.614 447.7487 337.6151 0.203122 -0.129591
Moved 1252.644 453.5054 387.7907 0.2164477 -0.0005383354
Moved 1252.675 458.7918 411.3342 0.2286847 0.06001598
Moved 1252.706 463.6694 427.6775 0.2399754 0.1020511
Moved 1252.736 467.0814 440.1628 0.2478737 0.1341636
Moved 1252.767 472.837 453.6741 0.2611969 0.1689148
Moved 1252.798 474.9415 461.7658 0.2660682 0.1897269
Moved 1252.829 477 469.619 0.2708333 0.2099254
Moved 1252.859 477 475.3738 0.2708333 0.2247269
Moved 1252.89 457.4583 480.3854 0.2255978 0.2376168
Moved 1252.921 413.051 483 0.1228031 0.2443414
Moved 1252.951 371.0179 483 0.02550453 0.2443414
Moved 1252.982 329.9702 483.8687 -0.06951347 0.2465756
Moved 1253.013 294.9723 488.8037 -0.1505271 0.2592687
Moved 1253.044 273.9785 492.2888 -0.1991237 0.2682323
Moved 1253.074 256.1998 498.4802 -0.2402783 0.2841567
Moved 1253.105 240.2048 504.5181 -0.2773036 0.2996863
Moved 1253.136 234.5861 507.207 -0.2903099 0.3066022
Moved 1253.166 226.4932 512.2534 -0.3090435 0.3195817
Moved 1253.197 220.709 516.2911 -0.322433 0.3299667
Moved 1253.228 217.6692 517.6654 -0.3294694 0.3335015
Moved 1253.259 215.8893 518 -0.3335897 0.3343621
Moved 1253.289 212 519 -0.3425926 0.3369341
Ended 1253.32 212 520.0367 -0.3425926 0.3396006
PhraseEnd 1254.119
