healthy food is good for you
Basic
0.6 0.6
432 388.8
Stationary 375.7545 420 386 0.1388889 -0.005144111
Stationary 375.7852 420 386 0.1388889 -0.005144111
Stationary 375.816 420 386 0.1388889 -0.005144111
Stationary 375.8467 420 386 0.1388889 -0.005144111
Stationary 375.8774 420 386 0.1388889 -0.005144111
Stationary 375.9081 420 386 0.1388889 -0.005144111
Moved 375.9388 443 409 0.1921296 0.05401234
Moved 375.9696 485.4754 447.8787 0.2904522 0.1540088
Moved 376.0003 528.3219 481.8243 0.3896341 0.2413177
Moved 376.031 550.2708 500.2256 0.4404415 0.2886461
Moved 376.0617 559.0964 507.0964 0.4608712 0.3063177
Moved 376.0925 563.4286 511.8574 0.4708996 0.3185632
Moved 376.1232 564.5 512.5 0.4733796 0.3202159
Moved 376.1538 564 513 0.4722223 0.321502
Moved 376.1846 539.6591 499.9703 0.4158776 0.2879893
Moved 376.2153 490.5495 470.7681 0.3021978 0.2128807
Moved 376.2461 431.4225 436.2535 0.1653298 0.1241087
Moved 376.2768 391.0002 412.0001 0.07175972 0.06172863
Moved 376.3075 363.1801 392.7867 0.007361472 0.0123115
Moved 376.3383 344.2667 380.76 -0.03641978 -0.01862145
Moved 376.369 333.756 374.378 -0.0607499 -0.03503619
Moved 376.3997 327.3662 371.3663 -0.07554109 -0.0427823
Moved 376.4304 327 371 -0.07638887 -0.04372435
Ended 376.4611 327 371 -0.07638887 -0.04372435
Began 376.9834 348 385 -0.0277778 -0.007716127
Stationary 377.0142 348 385 -0.0277778 -0.007716127
Stationary 377.0449 348 385 -0.0277778 -0.007716127
Stationary 377.0755 348 385 -0.0277778 -0.007716127
Stationary 377.1063 348 385 -0.0277778 -0.007716127
Stationary 377.137 348 385 -0.0277778 -0.007716127
Stationary 377.1677 348 385 -0.0277778 -0.007716127
Moved 377.1984 362.3108 395.222 0.00534902 0.01857502
Moved 377.2292 452.4251 444.9043 0.2139469 0.1463587
Moved 377.2599 488.3484 463.3047 0.297103 0.1936848
Moved 377.2906 507.7597 470.2532 0.3420364 0.2115565
Moved 377.3214 515.3556 473.6778 0.3596195 0.2203646
Moved 377.3521 520 476.5557 0.3703704 0.2277666
Moved 377.3828 520 478.4362 0.3703704 0.2326033
Moved 377.4135 520 481.9325 0.3703704 0.2415958
Moved 377.4442 483.1987 491.3235 0.2851821 0.2657496
Moved 377.475 433.4037 497.7064 0.1699158 0.2821666
Moved 377.5057 402.3662 500 0.09806991 0.2880658
Moved 377.5364 382.7951 500 0.0527665 0.2880658
Moved 377.5671 363.8441 500 0.008898377 0.2880658
Moved 377.5979 344.4861 493.6805 -0.0359119 0.2718119
Moved 377.6286 330.5 490.5 -0.06828706 0.2636316
Moved 377.6593 314.4599 487.692 -0.1054168 0.2564093
Moved 377.69 300.0813 485.8162 -0.1387008 0.2515849
Moved 377.7208 286.6917 483.9384 -0.1696951 0.246755
Moved 377.7515 280.4335 484 -0.1841816 0.2469135
Moved 377.7822 276.5559 484 -0.1931577 0.2469135
Ended 377.8129 276 484 -0.1944444 0.2469135
Began 378.2738 382 501 0.05092591 0.2906378
Stationary 378.3045 382 501 0.05092591 0.2906378
Stationary 378.3351 382 501 0.05092591 0.2906378
Stationary 378.3658 382 501 0.05092591 0.2906378
Moved 378.3966 396.7456 511.8304 0.08505931 0.3184938
Moved 378.4274 405.3578 516.5718 0.1049948 0.3306888
Moved 378.4581 411.3147 519.3148 0.1187841 0.3377436
Moved 378.4888 421 522.5 0.1412037 0.3459361
Moved 378.5195 440.4006 528.0573 0.1861124 0.3602295
Moved 378.5503 466.5567 531.9366 0.246659 0.3702073
Moved 378.581 478.4043 533 0.274084 0.3729423
Moved 378.6117 484.5756 533 0.2883694 0.3729423
Moved 378.6425 490.4902 534 0.3020608 0.3755144
Moved 378.6732 495.121 534 0.3127801 0.3755144
Moved 378.7039 498.9858 535 0.3217263 0.3780863
Moved 378.7346 501.5305 535 0.3276168 0.3780863
Moved 378.7653 502 535 0.3287037 0.3780863
Moved 378.7961 504.2778 535 0.3339763 0.3780863
Moved 378.8268 505 535.8398 0.3356481 0.3802462
Moved 378.8575 506 536 0.337963 0.3806583
Stationary 378.8882 506 536 0.337963 0.3806583
Stationary 378.919 506 536 0.337963 0.3806583
Moved 378.9496 488.101 536 0.2965302 0.3806583
Moved 378.9804 465.9369 536 0.2452243 0.3806583
Moved 379.0111 456.1202 536 0.2225004 0.3806583
Moved 379.0418 441.5 525.5 0.1886574 0.3536522
Moved 379.0726 432.6898 528 0.1682634 0.3600822
Moved 379.1033 430 528 0.162037 0.3600822
Ended 379.134 428.5681 528 0.1587223 0.3600822
PhraseEnd 379.9635
