electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1415.818 341.486 323.514 -0.04285659 -0.165859
Moved 1415.849 321.3682 339.8799 -0.08942549 -0.1237658
Moved 1415.879 305.5906 355.4094 -0.1259477 -0.08382349
Moved 1415.91 286.1238 372.8762 -0.1710096 -0.03889877
Moved 1415.941 272.7421 385.6063 -0.2019859 -0.006156654
Moved 1415.972 258.5 398 -0.2349537 0.02572008
Moved 1416.002 248.9313 407.0687 -0.2571035 0.049045
Moved 1416.033 241.2288 414.6567 -0.2749332 0.06856153
Moved 1416.064 232.7122 422.7626 -0.2946477 0.08940983
Moved 1416.094 225.2991 428.4673 -0.3118077 0.1040825
Moved 1416.125 212.2852 435.3574 -0.3419323 0.1218038
Moved 1416.156 203.9146 438.0427 -0.3613087 0.1287105
Moved 1416.187 197.1877 438 -0.3768803 0.1286007
Moved 1416.217 192.1612 438 -0.3885157 0.1286007
Moved 1416.248 190 438 -0.3935185 0.1286007
Moved 1416.279 189 440.1765 -0.3958333 0.1341987
Moved 1416.31 189 445.3663 -0.3958333 0.1475469
Moved 1416.34 202.6116 463.2135 -0.3643251 0.1934503
Moved 1416.371 218.849 482.3239 -0.3267384 0.2426024
Moved 1416.402 231.7016 496.0419 -0.2969871 0.2778854
Moved 1416.432 249.0261 512.2695 -0.2568841 0.3196232
Moved 1416.463 265.9982 526.2487 -0.2175968 0.3555777
Moved 1416.494 276.2421 535.2421 -0.193884 0.3787091
Moved 1416.525 282.9778 540.9778 -0.1782921 0.3934613
Moved 1416.555 288.9851 543.9926 -0.1643864 0.4012153
Moved 1416.586 292.8637 545.8638 -0.155408 0.4060281
Moved 1416.617 295.7364 547 -0.1487584 0.4089505
Moved 1416.648 298.2114 547 -0.1430291 0.4089505
Moved 1416.678 301.1525 548 -0.1362212 0.4115225
Moved 1416.709 303.5 548 -0.130787 0.4115225
Moved 1416.74 304.975 548 -0.1273727 0.4115225
Moved 1416.77 305.5 548 -0.1261574 0.4115225
Moved 1416.801 305 548 -0.1273148 0.4115225
Moved 1416.832 305 534.3625 -0.1273148 0.3764466
Moved 1416.863 292.8775 517.5356 -0.1553761 0.3331677
Moved 1416.893 281.2234 495.4469 -0.1823531 0.2763551
Moved 1416.924 272.6032 475.2753 -0.2023073 0.2244735
Moved 1416.955 264.3329 456.9988 -0.2214516 0.1774659
Moved 1416.986 255.249 437.7469 -0.2424792 0.12795
Moved 1417.016 248.5207 418.0826 -0.258054 0.07737301
Moved 1417.047 241.7739 402.5478 -0.2736716 0.03741708
Moved 1417.078 237.5086 389.0345 -0.2835449 0.002660673
Moved 1417.108 232.0124 376.0372 -0.2962676 -0.03076852
Moved 1417.139 226.2906 363.5813 -0.3095124 -0.0628053
Moved 1417.17 222.273 353.819 -0.3188125 -0.08791417
Moved 1417.201 219.7962 347.5925 -0.3245457 -0.1039289
Moved 1417.231 215.8569 339.7137 -0.3336647 -0.124193
Moved 1417.262 212.9875 333.975 -0.3403068 -0.1389533
Moved 1417.293 210.1163 329.2327 -0.3469529 -0.1511506
