in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Moved 562.795 358.5 527 -0.003472219 0.3575102
Moved 562.8257 356.6573 528 -0.007737676 0.3600822
Moved 562.8564 353.2689 528.8655 -0.01558125 0.3623084
Moved 562.8871 346.5197 530 -0.03120452 0.3652262
Moved 562.9179 338.5603 531 -0.04962887 0.3677982
Moved 562.9486 330.5615 531 -0.06814475 0.3677982
Moved 562.9793 324.9313 531 -0.0811776 0.3677982
Moved 563.0101 318.1782 531 -0.09680966 0.3677982
Moved 563.0408 314.2238 531 -0.1059634 0.3677982
Moved 563.0715 311.7583 531 -0.1116706 0.3677982
Moved 563.1022 309.5 531 -0.1168982 0.3677982
Moved 563.1329 307.9433 531 -0.1205016 0.3677982
Moved 563.1636 306.0681 531 -0.1248424 0.3677982
Moved 563.1944 300.6892 531 -0.1372936 0.3677982
Moved 563.2251 280.6402 509.9351 -0.1837033 0.313619
Moved 563.2559 252.3651 478.2015 -0.2491549 0.2319997
Moved 563.2866 230.4876 451.7001 -0.2997971 0.1638377
Moved 563.3173 209.3178 426.1472 -0.3488014 0.09811527
Moved 563.348 194.7258 407.271 -0.382579 0.04956527
Moved 563.3787 185.0631 395.7509 -0.4049464 0.01993524
Moved 563.4094 178.4858 388.4858 -0.4201718 0.001249431
Moved 563.4401 173.2882 381.5764 -0.4322033 -0.0165218
Moved 563.4709 168.8265 376.4133 -0.4425313 -0.02980134
Moved 563.5016 165.5373 372.5373 -0.4501451 -0.03977034
Moved 563.5323 162.9682 371 -0.4560921 -0.04372435
Moved 563.563 163 369.5312 -0.4560185 -0.04750216
Moved 563.5938 161.8907 368.8907 -0.4585864 -0.04914955
Stationary 563.6245 161.8907 368.8907 -0.4585864 -0.04914955
Stationary 563.6552 162 369 -0.4583334 -0.04886839
Moved 563.686 180.2998 369 -0.4159726 -0.04886839
Moved 563.7167 189.7621 376.9207 -0.3940693 -0.02849634
Moved 563.7474 197.2577 378 -0.3767183 -0.02572024
Moved 563.7781 203.6088 380 -0.3620167 -0.02057613
Moved 563.8088 208.164 382.164 -0.3514722 -0.01501036
Moved 563.8396 211.5672 382.7836 -0.3435945 -0.01341675
Moved 563.8703 213.5799 384 -0.3389355 -0.01028807
Moved 563.9011 217.8966 385 -0.328943 -0.007716127
Moved 563.9318 223.9218 391.9218 -0.3149959 0.01008677
Moved 563.9625 235.137 402.137 -0.2890347 0.03636062
Moved 563.9932 248.4887 412.0933 -0.2581279 0.06196823
Moved 564.0239 263.9478 422.8198 -0.2223431 0.08955708
Moved 564.0546 279.181 434.7448 -0.187081 0.1202283
Moved 564.0854 290.9836 442.9877 -0.1597601 0.1414293
Moved 564.1161 302.3207 452.4565 -0.1335169 0.1657832
Moved 564.1469 312.2014 460.4676 -0.110645 0.1863878
