watch out for low flying objects
Basic
0.6 0.6
432 388.8
Moved 864.2772 457.5948 466 0.2259138 0.2006171
Moved 864.3086 459.4646 467 0.2302421 0.2031892
Moved 864.3394 460 469.333 0.2314815 0.2091897
Moved 864.3701 461 470.0983 0.2337964 0.2111581
Moved 864.4009 462.2334 470 0.2366515 0.2109053
Moved 864.4316 463 471 0.2384259 0.2134772
Moved 864.4623 464 471 0.2407408 0.2134772
Moved 864.493 465.0071 472 0.2430719 0.2160493
Stationary 864.5237 465.0071 472 0.2430719 0.2160493
Moved 864.5543 466 472 0.2453704 0.2160493
Moved 864.5853 467.2052 472 0.2481602 0.2160493
Stationary 864.616 467.2052 472 0.2481602 0.2160493
Moved 864.6468 468.1432 472 0.2503316 0.2160493
Moved 864.6775 469.1864 472 0.2527463 0.2160493
Moved 864.7082 470.5 472 0.2557871 0.2160493
Moved 864.739 472 462.3468 0.2592593 0.1912211
Moved 864.7697 476.3801 456.4298 0.2693985 0.1760026
Moved 864.8004 480.1501 449.8499 0.2781253 0.1590788
Moved 864.8312 483.5775 443.8449 0.2860592 0.1436339
Moved 864.8619 487.4401 439.5599 0.2950003 0.1326127
Moved 864.8926 490.315 434.37 0.3016551 0.1192643
Moved 864.9234 493.185 431.815 0.3082986 0.1126928
Moved 864.9542 494.7211 430.2789 0.3118544 0.1087418
Moved 864.9849 496.5 429 0.3159723 0.1054526
Moved 865.0156 496 427.9845 0.3148148 0.1028407
Stationary 865.0464 496 428 0.3148148 0.1028806
Moved 865.0771 490.0547 428 0.3010526 0.1028806
Moved 865.1078 477.1648 445.8351 0.2712148 0.1487529
Moved 865.1385 460.9217 461.4957 0.2336151 0.1890322
Moved 865.1694 443.0232 476.8373 0.1921833 0.2284909
Moved 865.2001 425.8907 492.0911 0.1525247 0.2677241
Moved 865.2308 409.5846 504.6493 0.1147791 0.3000238
Moved 865.2615 395.5 516 0.08217593 0.329218
Moved 865.2923 381.8588 524.856 0.05059898 0.3519957
Moved 865.3231 375.6989 531.301 0.03634016 0.3685725
Moved 865.3538 371.9744 538.0513 0.02771845 0.3859342
Moved 865.3845 369.4747 542.0506 0.02193222 0.3962206
Moved 865.4153 367.6129 545.3871 0.01762251 0.4048021
Moved 865.446 365.7409 548.2591 0.01328915 0.4121889
Moved 865.4767 364.87 551.13 0.01127322 0.4195729
Moved 865.5074 364.3377 552.6623 0.0100411 0.423514
Moved 865.5382 363.5 553.5 0.008101861 0.4256686
Moved 865.569 362.5 554 0.005787015 0.4269547
Moved 865.5997 363 555.3729 0.006944438 0.4304856
Moved 865.6304 362 556.3698 0.004629592 0.4330497
Moved 865.6612 361 556.6498 0.002314846 0.4337699
Moved 865.6918 360.4824 557 0.001116693 0.4346707
