insurance is important for bad drivers
Basic
0.6 0.6
432 388.8
Moved 331.7343 264 557.2363 -0.2222222 0.4352785
Moved 331.765 264 562.8998 -0.2222222 0.449845
Ended 331.7957 264 564.3829 -0.2222222 0.4536595
Began 332.8097 505 518 0.3356481 0.3343621
Stationary 332.8404 505 518 0.3356481 0.3343621
Stationary 332.8712 505 518 0.3356481 0.3343621
Moved 332.9019 491.053 518 0.3033635 0.3343621
Moved 332.9326 476.5722 518 0.269843 0.3343621
Moved 332.9633 456.5012 518 0.2233824 0.3343621
Moved 332.9941 435.7424 506.0284 0.1753296 0.3035708
Moved 333.0248 408 492.5 0.1111111 0.2687756
Moved 333.0556 383.2134 477.563 0.05373468 0.2303574
Moved 333.0862 366.7708 466.6166 0.01567314 0.2022032
Moved 333.117 352.6187 458.0792 -0.01708622 0.1802446
Moved 333.1477 339.7716 450.1811 -0.04682496 0.1599307
Moved 333.1784 323.1064 442.7021 -0.08540173 0.1406948
Moved 333.2092 311.9103 435.9552 -0.1113187 0.1233415
Moved 333.2398 300.3293 428.3293 -0.1381267 0.1037275
Moved 333.2706 289.0352 420.8212 -0.1642703 0.0844165
Moved 333.3013 280.2254 411.2254 -0.1846634 0.05973608
Moved 333.3321 270.9234 402.9234 -0.2061959 0.03838315
Moved 333.3628 262.2941 396.9705 -0.2261711 0.02307224
Moved 333.3935 253.6609 391.1072 -0.2461554 0.007991869
Moved 333.4243 244.0475 384.3651 -0.2684085 -0.009349265
Moved 333.455 237.623 379.623 -0.2832801 -0.02154589
Moved 333.4857 232.5934 377.2967 -0.2949227 -0.02752916
Moved 333.5164 226.4267 374.4267 -0.3091975 -0.03491084
Moved 333.5472 218.2582 372 -0.328106 -0.04115226
Moved 333.5779 216.69 370.69 -0.3317361 -0.04452167
Moved 333.6086 213.129 369.129 -0.3399791 -0.04853652
Moved 333.6394 210.2588 368.2588 -0.3466232 -0.05077479
Moved 333.6701 208.3856 368 -0.3509593 -0.05144041
Ended 333.7008 208 368 -0.3518518 -0.05144041
Began 334.3769 452 551 0.2129629 0.4192385
Stationary 334.4076 452 551 0.2129629 0.4192385
Stationary 334.4383 452 551 0.2129629 0.4192385
Stationary 334.4691 452 551 0.2129629 0.4192385
Moved 334.4997 452 537.4799 0.2129629 0.3844647
Moved 334.5305 452 524.6821 0.2129629 0.3515486
Moved 334.5612 452 510.6631 0.2129629 0.3154913
Moved 334.5919 452 492.7463 0.2129629 0.2694091
Moved 334.6227 452 478.7568 0.2129629 0.233428
Moved 334.6534 452 469.7338 0.2129629 0.2102206
Moved 334.6841 452 455.5936 0.2129629 0.1738519
Moved 334.7148 452 438.2916 0.2129629 0.1293506
Moved 334.7455 452 421.9133 0.2129629 0.08722541
Moved 334.7763 452 408.3383 0.2129629 0.05231025
Moved 334.807 452 390.4657 0.2129629 0.006341738
Moved 334.8377 452 373.666 0.2129629 -0.03686732
Moved 334.8685 452 347.9279 0.2129629 -0.1030663
Moved 334.8992 436.1388 320.2498 0.1762472 -0.1742546
Moved 334.9299 429.0781 305.1562 0.159903 -0.2130757
Moved 334.9606 424.6033 294.8099 0.1495446 -0.2396866
Moved 334.9914 420.7367 286.2101 0.1405942 -0.2618053
Moved 335.0221 420 282.8639 0.1388889 -0.2704119
Moved 335.0529 419 279.7167 0.1365741 -0.2785065
Moved 335.0836 418 269.1176 0.1342593 -0.3057677
Moved 335.1143 418 266.2382 0.1342593 -0.3131734
Moved 335.145 417 262.7503 0.1319444 -0.3221442
Moved 335.1758 417 260.1971 0.1319444 -0.3287113
Moved 335.2065 417 258.326 0.1319444 -0.3335236
Moved 335.2372 417 256 0.1319444 -0.3395062
Moved 335.2679 426.4196 256 0.1537492 -0.3395062
Moved 335.2987 435.7778 270.7778 0.1754115 -0.3014975
Moved 335.3294 448.1369 283.9643 0.2040206 -0.2675816
Moved 335.3601 463.161 307.935 0.2387986 -0.2059286
Moved 335.3908 480.545 349.3775 0.2790394 -0.0993377
Moved 335.4215 487.2802 372.8405 0.2946299 -0.03899068
Moved 335.4523 492.0165 384.0331 0.3055938 -0.01020298
Moved 335.483 498.0006 399.6681 0.3194458 0.0300104
Moved 335.5137 506.2702 421.3871 0.3385884 0.0858722
Moved 335.5445 511.5896 437.7687 0.3509018 0.1280059
Moved 335.5752 515.1663 450.6651 0.3591812 0.1611755
Moved 335.6059 520.0078 463.0156 0.3703884 0.1929414
Moved 335.6367 526.0818 478.6228 0.3844488 0.2330833
Moved 335.6674 529.4117 486.8234 0.3921566 0.2541752
Moved 335.6981 532.2819 494.5638 0.3988005 0.2740838
Moved 335.7289 536.648 504.296 0.4089074 0.299115
Moved 335.7595 542.3911 515.0867 0.4222017 0.3268689
Moved 335.7903 546.5694 522.5694 0.4318736 0.3461146
Moved 335.821 549.0687 528.2062 0.4376591 0.3606125
Moved 335.8517 552.9498 536.7991 0.4466429 0.3827137
Moved 335.8824 556.2554 546.5108 0.454295 0.4076923
Moved 335.9132 556 548.4061 0.4537037 0.4125671
Moved 335.9439 556 552.272 0.4537037 0.4225101
Moved 335.9746 556 554.0784 0.4537037 0.4271564
Moved 336.0053 541.9589 554 0.4212011 0.4269547
Moved 336.036 533.9711 554 0.4027108 0.4269547
Moved 336.0668 524.2495 554 0.3802071 0.4269547
Moved 336.0976 513.7719 542.0789 0.3559534 0.3962933
Moved 336.1283 507.6325 537.8163 0.341742 0.3853299
Moved 336.159 504.3108 534.3108 0.3340528 0.3763137
Moved 336.1898 501.4384 531.4384 0.3274038 0.3689259
Moved 336.2205 500 530 0.324074 0.3652262
Moved 336.2512 497.8454 527.8455 0.3190866 0.3596847
Moved 336.282 497 527 0.3171296 0.3575102
Moved 336.3126 494.2723 525.2723 0.3108155 0.3530665
Moved 336.3434 491.4001 525 0.3041669 0.3523662
Moved 336.3741 486.8252 525 0.2935768 0.3523662
Moved 336.4048 478.0224 524 0.2732 0.3497942
Moved 336.4356 463.6955 522.1391 0.2400358 0.3450079
Moved 336.4663 441.8824 518.5378 0.1895427 0.3357454
Moved 336.4969 421.3709 515.7079 0.1420624 0.3284667
Moved 336.5277 403.5613 511.9373 0.1008364 0.3187688
Moved 336.5584 384.3376 507.1125 0.05633712 0.3063594
Moved 336.5892 363.8963 501.1689 0.009019176 0.2910722
Moved 336.6199 331.4915 494.2131 -0.06599188 0.2731817
Moved 336.6507 321.4226 491.5493 -0.08929953 0.2663304
Moved 336.6814 304.5191 488.9038 -0.1284279 0.2595262
Moved 336.7121 294.2557 486.4186 -0.1521858 0.2531341
Moved 336.7428 283.8811 483.627 -0.1762012 0.2459542
Moved 336.7736 275.256 483 -0.1961666 0.2443414
Moved 336.8043 268.7589 480.8795 -0.2112062 0.2388874
Moved 336.835 261.3247 480 -0.2284151 0.2366254
Moved 336.8658 254.9233 478.4617 -0.243233 0.2326688
Moved 336.8965 249.1779 478 -0.2565327 0.2314814
Moved 336.9272 245.1006 477.0503 -0.2659709 0.2290387
Moved 336.9579 242.1981 477 -0.2726896 0.2289094
Moved 336.9887 240.767 477 -0.2760023 0.2289094
Moved 337.0194 237.452 476 -0.2836759 0.2263374
Moved 337.0501 235.9503 476 -0.287152 0.2263374
Stationary 337.0808 235.9503 476 -0.287152 0.2263374
Moved 337.1116 235 476 -0.2893518 0.2263374
Stationary 337.1423 235 476 -0.2893518 0.2263374
Stationary 337.173 235 476 -0.2893518 0.2263374
Stationary 337.2038 235 476 -0.2893518 0.2263374
Moved 337.2345 250.085 476 -0.2544329 0.2263374
Moved 337.2652 263.6047 476 -0.2231373 0.2263374
Moved 337.2959 279.3877 476 -0.1866026 0.2263374
Moved 337.3267 297.8032 476 -0.1439742 0.2263374
Moved 337.3574 315.8335 486.1389 -0.1022372 0.2524148
Moved 337.3882 330.4257 488.6851 -0.06845906 0.2589637
Moved 337.4188 344.2442 491.561 -0.03647173 0.2663606
Moved 337.4496 354.2441 494 -0.01332372 0.2726337
Moved 337.4803 359.9287 496 -0.0001650055 0.2777777
Moved 337.511 363.8257 497 0.00885566 0.2803498
Moved 337.5417 364 497 0.009259283 0.2803498
Stationary 337.5724 364 497 0.009259283 0.2803498
Moved 337.6032 343.4817 486.7578 -0.03823683 0.2540064
Moved 337.6339 308.9111 465.9333 -0.1182614 0.2004457
Moved 337.6646 279.065 446.5917 -0.1873495 0.1506987
Moved 337.6954 261 436.5 -0.2291666 0.1247428
Moved 337.7261 241.0356 423.8775 -0.2753805 0.09227744
Moved 337.7569 226.2204 412.3763 -0.3096751 0.06269616
Moved 337.7876 216.9321 404.9547 -0.3311757 0.04360776
Moved 337.8183 210.9553 400.4777 -0.3450109 0.03209275
Moved 337.849 206.6005 396.6005 -0.3550914 0.02212046
Moved 337.8798 203.7253 393.7253 -0.3617471 0.01472548
Moved 337.9105 200.8542 392 -0.3683932 0.01028803
Moved 337.9412 200 390.3108 -0.3703704 0.005943314
Moved 337.9719 200 389.5 -0.3703704 0.003857946
Moved 338.0027 198.8178 388.8178 -0.3731069 0.002103382
Moved 338.0334 199 388.1094 -0.3726852 0.0002813928
Moved 338.0641 199 387.5 -0.3726852 -0.001286047
Moved 338.0948 208.4 384.8 -0.350926 -0.008230523
Moved 338.1256 221.3549 381.058 -0.3209376 -0.0178549
Moved 338.1563 236.2447 376.9185 -0.2864707 -0.02850199
Moved 338.187 252.4807 370.1731 -0.2488873 -0.04585109
Moved 338.2178 277.8282 360.8687 -0.1902126 -0.06978212
Moved 338.2485 307 350.5 -0.1226852 -0.09645069
Moved 338.2792 328.3453 342.6156 -0.07327467 -0.1167295
Moved 338.3099 346.5172 335.8061 -0.03121028 -0.1342437
Moved 338.3407 366.4482 329.1379 0.0149263 -0.1513943
Moved 338.3714 381.6122 323.3551 0.05002837 -0.1662678
Moved 338.4021 398.5187 314.0888 0.08916358 -0.1901008
Moved 338.4328 413.8753 306.6499 0.1247114 -0.2092339
Moved 338.4636 422.0921 300.954 0.1437316 -0.2238839
Moved 338.4943 429.7627 295.2374 0.1614877 -0.2385871
Moved 338.525 436.925 288.075 0.1780672 -0.2570088
Moved 338.5558 443.3493 281.6507 0.1929383 -0.2735322
Moved 338.5865 447.8025 276.1975 0.2032465 -0.2875578
Moved 338.6172 449 270.5499 0.2060185 -0.3020838
Moved 338.648 450 265.4014 0.2083333 -0.3153257
Moved 338.6787 450 261.5063 0.2083333 -0.3253438
Moved 338.7094 451 259.9562 0.2106482 -0.3293309
Moved 338.7401 451 257.5 0.2106482 -0.3356482
Moved 338.7709 451 256.8281 0.2106482 -0.3373763
Stationary 338.8016 451 256.8281 0.2106482 -0.3373763
Moved 338.8323 451 267.2679 0.2106482 -0.3105249
Moved 338.863 436.7502 288.666 0.1776626 -0.2554887
Moved 338.8938 430.1077 313.5153 0.1622864 -0.1915761
Moved 338.9245 423.6519 337.0443 0.1473423 -0.131059
Moved 338.9552 418.3275 376.035 0.1350173 -0.03077409
Moved 338.9859 412.587 401.4454 0.1217293 0.03458172
Moved 339.0166 408.8477 417.3809 0.1130733 0.07556801
Moved 339.0474 403.7563 436.3529 0.1012878 0.1243644
Moved 339.0781 398.0036 456.4874 0.08797119 0.1761507
Moved 339.1089 391.9001 474.5665 0.0738428 0.2226502
Moved 339.1396 387.1707 488.5732 0.06289522 0.2586758
Moved 339.1703 381.4874 501.0251 0.04973938 0.2907025
Moved 339.201 375.7383 512.1542 0.03643125 0.3193265
Moved 339.2318 370.5052 523.4843 0.0243176 0.3484678
Moved 339.2625 365.8676 532.2648 0.01358241 0.3710513
Moved 339.2932 361.0639 542.8082 0.002462765 0.3981691
Moved 339.3239 354.3797 552.4305 -0.01301001 0.4229178
Moved 339.3547 347.5 560.5 -0.02893518 0.4436727
Moved 339.3854 343.5421 565.4579 -0.03809691 0.4564245
Moved 339.4162 338.7949 570.2051 -0.04908596 0.4686346
Moved 339.4469 334.0463 572.9769 -0.06007811 0.4757635
Moved 339.4776 330.2955 575.3522 -0.06876046 0.481873
Moved 339.5083 325.6452 577 -0.07952507 0.4861111
Moved 339.539 320.7762 579 -0.0907958 0.4912551
Moved 339.5698 319 580 -0.09490739 0.4938271
Ended 339.6005 317.8444 580 -0.09758234 0.4938271
Began 340.3073 311 367 -0.113426 -0.05401234
Stationary 340.338 311 367 -0.113426 -0.05401234
Stationary 340.3687 311 367 -0.113426 -0.05401234
Stationary 340.3994 311 367 -0.113426 -0.05401234
Moved 340.4302 324.1239 374.2891 -0.08304644 -0.0352646
Moved 340.4609 333.7373 381.7373 -0.06079321 -0.01610791
Moved 340.4916 346.897 390.1176 -0.03033106 0.005446422
Moved 340.5223 357.7505 397.0503 -0.00520726 0.02327742
Moved 340.5531 371.1418 404.4567 0.02579113 0.04232689
Moved 340.5838 385.3975 414.2981 0.05879045 0.06763905
Moved 340.6145 394.9089 420.1817 0.08080771 0.08277179
Moved 340.6453 406 428.5 0.1064815 0.1041665
Moved 340.676 415.1492 434.7662 0.1276602 0.1202833
Moved 340.7068 425.5182 443.3887 0.1516625 0.1424605
Moved 340.7375 436.602 452.9515 0.1773194 0.1670562
Moved 340.7682 448.0992 462.5743 0.2039332 0.1918064
Moved 340.7989 459.5781 471.5781 0.2305049 0.2149643
Moved 340.8297 474.5503 483.2919 0.2651627 0.2450923
Moved 340.8604 485.0679 494.2543 0.289509 0.2732879
Moved 340.891 498.7457 507.7457 0.3211707 0.3079879
