the back yard of our house
Basic
0.6 0.6
432 388.8
Moved 2003.291 324.5 235 -0.08217593 -0.3935186
Moved 2003.322 324 235 -0.08333336 -0.3935186
Stationary 2003.353 324 235 -0.08333336 -0.3935186
Stationary 2003.383 324 235 -0.08333336 -0.3935186
Moved 2003.414 314.7615 245.7156 -0.1047188 -0.3659579
Moved 2003.445 312.0327 254.8693 -0.1110355 -0.3424144
Moved 2003.476 312 264.0646 -0.1111111 -0.3187641
Moved 2003.506 312 273.4977 -0.1111111 -0.2945018
Moved 2003.537 317.9304 285.236 -0.09738331 -0.2643107
Moved 2003.568 324.1618 294.7427 -0.08295883 -0.2398594
Moved 2003.599 331.9031 305.2041 -0.0650392 -0.2129525
Moved 2003.629 339.8334 314.125 -0.04668201 -0.1900078
Moved 2003.66 349.2909 322.2909 -0.02478962 -0.169005
Moved 2003.691 363.9182 330.6121 0.00906984 -0.1476026
Moved 2003.721 375.6116 336.9587 0.036138 -0.131279
Moved 2003.752 387.0278 343.7709 0.06256431 -0.1137581
Moved 2003.783 398.925 349.9437 0.09010415 -0.09788136
Moved 2003.814 410.1299 356.42 0.1160415 -0.0812244
Moved 2003.844 418.2788 361.1859 0.1349046 -0.06896651
Moved 2003.875 428.3855 368.5391 0.1582998 -0.05005369
Moved 2003.906 437.7025 376.135 0.1798669 -0.03051703
Moved 2003.937 446.887 385.1826 0.2011272 -0.007246433
Moved 2003.967 454.0457 391.0457 0.2176983 0.007833433
Moved 2003.998 460.8103 399.2155 0.2333572 0.02884641
Moved 2004.029 469.398 408.3981 0.2532362 0.05246409
Moved 2004.059 475.7185 414.7185 0.2678669 0.06872039
Moved 2004.09 483.1446 421.8585 0.2850569 0.08708439
Moved 2004.121 489.0235 430.0352 0.2986655 0.1081152
Moved 2004.151 495.4746 437.2119 0.3135986 0.1265738
Moved 2004.182 502.3924 445.3924 0.3296121 0.1476141
Moved 2004.213 506.7513 452.627 0.3397021 0.1662215
Moved 2004.244 512.1939 458.1939 0.3523007 0.1805398
Moved 2004.274 519.9811 465.9811 0.3703267 0.2005687
Ended 2004.305 523 468 0.3773148 0.2057612
Began 2004.766 388 578 0.06481478 0.488683
Stationary 2004.797 388 578 0.06481478 0.488683
Stationary 2004.827 388 578 0.06481478 0.488683
Stationary 2004.858 388 578 0.06481478 0.488683
Stationary 2004.889 388 578 0.06481478 0.488683
Moved 2004.92 388 566.9073 0.06481478 0.4601525
Moved 2004.95 388 559.7538 0.06481478 0.4417535
Moved 2004.981 388 553.6953 0.06481478 0.4261708
Moved 2005.012 388 549 0.06481478 0.4140946
Moved 2005.042 388 544.7367 0.06481478 0.4031293
Moved 2005.073 388 540.0194 0.06481478 0.3909964
Moved 2005.104 388 537.5 0.06481478 0.3845164
Moved 2005.135 379.8934 533.8419 0.04604965 0.3751078
