the bathroom is good for reading
Basic
0.6 0.6
432 388.8
Moved 680.5771 213.5894 386.5179 -0.3389134 -0.003812146
Moved 680.6078 227.5649 391.7825 -0.3065627 0.009728498
Moved 680.6385 243.5486 397.5162 -0.2695633 0.02447591
Moved 680.6692 254.4764 402.8691 -0.2442676 0.03824344
Moved 680.7 266.1105 407.7035 -0.2173369 0.05067762
Moved 680.7307 274.7372 411.579 -0.1973677 0.06064564
Moved 680.7614 279.448 414.448 -0.186463 0.06802465
Moved 680.7921 283.9659 416.983 -0.1760048 0.07454456
Moved 680.8229 286.8548 418.8547 -0.1693177 0.07935885
Moved 680.8536 289.7267 420.7267 -0.1626697 0.08417353
Moved 680.8843 291.16 421 -0.1593518 0.08487643
Moved 680.915 293.5 423.5 -0.1539352 0.09130646
Moved 680.9457 297.7275 427.7275 -0.1441493 0.1021796
Moved 680.9764 306.9029 434.4514 -0.12291 0.1194737
Moved 681.0071 317.0595 441.6357 -0.09939929 0.1379519
Moved 681.0378 333.8451 454.7042 -0.06054376 0.1715642
Moved 681.0686 354.2368 469.7894 -0.01334076 0.2103637
Moved 681.0994 359.6615 472.7744 -0.0007835031 0.2180409
Moved 681.1301 373.4848 480.2424 0.03121485 0.237249
Moved 681.1608 384.8276 488.5517 0.0574712 0.2586206
Moved 681.1915 397.6222 497.4667 0.08708845 0.28155
Moved 681.2222 408.1725 503.5862 0.1115105 0.2972896
Moved 681.2526 421.4018 511.2009 0.1421338 0.3168748
Moved 681.2836 431.9015 516.9507 0.1664385 0.3316634
Moved 681.3144 440.0319 521.6879 0.1852591 0.3438475
Moved 681.3451 446.669 524.7794 0.2006228 0.3517987
Moved 681.3758 451.7641 527 0.2124169 0.3575102
Moved 681.4066 454.6395 529 0.2190728 0.3626543
Moved 681.4373 457.5 530 0.2256945 0.3652262
Moved 681.468 459 532.0159 0.2291666 0.3704111
Moved 681.4987 461.8843 533 0.2358433 0.3729423
Moved 681.5294 465.5268 535.7634 0.244275 0.3800499
Moved 681.5601 470.4713 538.2357 0.2557207 0.3864085
Moved 681.5909 480.5438 543.1813 0.2790366 0.3991287
Moved 681.6216 486 545.5 0.2916667 0.4050925
Moved 681.6523 488.9291 547 0.298447 0.4089505
Moved 681.683 489 547 0.2986111 0.4089505
Moved 681.7137 490.5 547 0.3020833 0.4089505
Stationary 681.7444 490.5 547 0.3020833 0.4089505
Moved 681.7752 481.7869 533.4372 0.2819141 0.3740667
Moved 681.806 465.4223 506.1335 0.2440331 0.3038412
Moved 681.8367 445.8275 473.0204 0.1986747 0.2186739
Moved 681.8674 431.4533 440.3787 0.1654012 0.1347187
Moved 681.8981 420.802 408.4061 0.1407454 0.0524849
Moved 681.9288 412.2296 370.9948 0.1209018 -0.04373778
Moved 681.9595 407.2037 345.4257 0.1092677 -0.109502
Moved 681.9903 404.5 324.5 0.1030092 -0.163323
Moved 682.021 404 303.7971 0.1018518 -0.2165713
Moved 682.0517 404 288.8013 0.1018518 -0.2551408
Moved 682.0824 404 276.3837 0.1018518 -0.287079
Moved 682.1132 404 265.2953 0.1018518 -0.3155985
Moved 682.1439 413.325 250.3392 0.1234377 -0.3540657
Moved 682.1746 414.1934 241.2263 0.1254477 -0.3775044
Moved 682.2053 417.0683 232.7952 0.1321025 -0.3991894
Moved 682.236 417.5873 228.8254 0.133304 -0.4093996
Moved 682.2668 418 225.5459 0.1342593 -0.4178347
Moved 682.2975 419 222.6742 0.1365741 -0.4252207
Moved 682.3282 420 221.0806 0.1388889 -0.4293196
Moved 682.3589 420 220.5 0.1388889 -0.4308128
Moved 682.3896 420 219.7511 0.1388889 -0.432739
Moved 682.4203 420 232.1102 0.1388889 -0.4009511
