why do you ask silly questions
Basic
0.6 0.6
432 388.8
Moved 379.6783 178.3992 331 -0.4203721 -0.146605
Moved 379.709 186.1485 339 -0.4024339 -0.1260288
Moved 379.7398 192.3381 342.446 -0.3881062 -0.1171655
Moved 379.7705 197.63 346.315 -0.3758564 -0.1072146
Moved 379.8012 200.7019 350.7019 -0.3687455 -0.09593139
Moved 379.832 205.4483 356.4483 -0.3577585 -0.08115156
Moved 379.8627 210.186 363.7791 -0.3467916 -0.06229667
Moved 379.8934 214.1422 369.1422 -0.3376338 -0.04850254
Moved 379.9242 218.9526 375.929 -0.3264985 -0.03104693
Moved 379.9549 226.5582 386.4109 -0.308893 -0.004087142
Moved 379.9856 235.436 396.1541 -0.2883425 0.02097232
Moved 380.0164 242.8001 402.5334 -0.271296 0.03738003
Moved 380.0471 251.1429 409.5715 -0.2519841 0.0554821
Moved 380.0779 256.4419 412.4419 -0.2397178 0.06286491
Moved 380.1086 264.8428 414 -0.2202713 0.06687239
Moved 380.1393 275.3282 414 -0.1959997 0.06687239
Moved 380.17 288.4991 414 -0.1655112 0.06687239
Moved 380.2007 297.975 414 -0.1435763 0.06687239
Moved 380.2315 317.654 403.5865 -0.09802311 0.0400887
Moved 380.2622 341.6482 395.838 -0.04248098 0.02015922
Moved 380.2929 368.0526 390.0994 0.01864016 0.00539968
Moved 380.3237 387.9454 386.6758 0.06468842 -0.003405951
Moved 380.3544 406.0252 385 0.1065399 -0.007716127
Moved 380.3852 424.6765 384 0.1497142 -0.01028807
Moved 380.4159 438.0212 384 0.1806048 -0.01028807
Moved 380.4466 446.2355 384 0.1996192 -0.01028807
Moved 380.4774 452.9673 384 0.2152021 -0.01028807
Moved 380.5081 458.7192 391.8596 0.2285168 0.009926965
Moved 380.5388 464.4739 393.7369 0.2418377 0.0147555
Moved 380.5696 469.5558 396.2779 0.2536015 0.02129084
Moved 380.6003 475.3018 399.1509 0.2669023 0.0286802
Moved 380.631 481.0366 402.0183 0.2801773 0.03605525
Moved 380.6618 483.6664 403 0.2862647 0.03858017
Moved 380.6926 484 404.5 0.287037 0.04243823
Moved 380.7233 485 404 0.2893518 0.04115226
Stationary 380.7541 485 404 0.2893518 0.04115226
Moved 380.7847 468.5912 408.4818 0.2513686 0.05267932
Moved 380.8155 439.6684 418.2376 0.1844176 0.07777155
Moved 380.8462 408.6557 425.4575 0.112629 0.09634136
Moved 380.877 385.467 428.3619 0.05895138 0.1038114
Moved 380.9077 364.703 432.8996 0.01088649 0.1154824
Moved 380.9384 345.3807 438.7699 -0.03384093 0.130581
Moved 380.9691 332.428 442.643 -0.06382396 0.1405427
Moved 380.9999 326.7821 443 -0.07689322 0.1414608
Moved 381.0306 321.9804 444 -0.08800824 0.1440329
Moved 381.0614 319.1187 445 -0.09463256 0.1466049
Moved 381.0921 317.2441 446 -0.09897187 0.1491768
Moved 381.1229 315.8689 446 -0.1021553 0.1491768
Moved 381.1536 314.5 447 -0.1053241 0.1517489
Moved 381.1843 312.9522 448 -0.108907 0.1543209
Moved 381.2151 311.626 449.374 -0.1119768 0.1578548
Stationary 381.2458 311.626 449.374 -0.1119768 0.1578548
Moved 381.2765 311 450.1575 -0.113426 0.15987
Ended 381.3073 311 453.417 -0.113426 0.1682535
Began 382.5981 192 396 -0.3888888 0.02057605
Stationary 382.6289 192 396 -0.3888888 0.02057605
Stationary 382.6596 192 396 -0.3888888 0.02057605
Stationary 382.6903 192 396 -0.3888888 0.02057605
Stationary 382.7211 192 396 -0.3888888 0.02057605
Stationary 382.7518 192 396 -0.3888888 0.02057605
Stationary 382.7825 192 396 -0.3888888 0.02057605
Stationary 382.8133 192 396 -0.3888888 0.02057605
Moved 382.844 204.8872 413.8872 -0.3590573 0.06658224
Moved 382.8747 212.5283 422.5283 -0.3413697 0.08880717
Moved 382.9055 220.1588 430.1588 -0.3237064 0.108433
Moved 382.9362 223.8483 432.9241 -0.315166 0.1155455
Moved 382.9669 228.5938 436.7969 -0.304181 0.1255063
Moved 382.9977 232.3447 438.6724 -0.2954984 0.1303301
Moved 383.0284 237.2843 442.2843 -0.2840642 0.1396201
Moved 383.0591 246.2115 445.0705 -0.2633992 0.1467862
Moved 383.0899 255.8094 447.9365 -0.2411819 0.1541575
Moved 383.1206 264.2599 449.815 -0.2216205 0.1589891
Moved 383.1514 273.5345 450 -0.2001516 0.1594649
Moved 383.1821 285.2183 450 -0.1731059 0.1594649
Moved 383.2128 303.8004 450 -0.1300918 0.1594649
Moved 383.2435 320.9095 450 -0.09048716 0.1594649
Moved 383.2743 347 450 -0.0300926 0.1594649
Moved 383.305 377.625 454.8055 0.04079859 0.1718249
Moved 383.3358 405.6542 464.7963 0.1056811 0.1975211
Moved 383.3665 425.8785 474.2928 0.1524966 0.2219465
Moved 383.3972 447.4183 485.5247 0.2023571 0.2508351
Moved 383.428 463.5576 495.5345 0.2397165 0.2765806
Moved 383.4587 478.8882 504.1329 0.2752042 0.2986957
Moved 383.4894 488.7713 509.8475 0.2980817 0.3133938
Moved 383.5201 496.3746 515.5831 0.315682 0.3281457
Moved 383.5509 501.3457 519.3457 0.3271892 0.3378232
Moved 383.5816 503 522.135 0.3310186 0.3449973
Moved 383.6124 505.0544 523 0.3357742 0.3472221
Moved 383.6431 505 524 0.3356481 0.3497942
Stationary 383.6739 505 524 0.3356481 0.3497942
Stationary 383.7046 505 524 0.3356481 0.3497942
Moved 383.7353 493.4954 511.2431 0.3090171 0.3169832
Moved 383.7661 486.752 498.5039 0.2934074 0.2842178
Moved 383.7968 479.8023 475.308 0.27732 0.2245575
Moved 383.8275 478.4693 467.3464 0.2742345 0.2040802
Moved 383.8583 478 454.4062 0.2731481 0.1707978
Moved 383.889 478 441.8889 0.2731481 0.1386031
Moved 383.9197 478 429.0945 0.2731481 0.1056956
Moved 383.9505 482.5662 417.0431 0.283718 0.07469922
Moved 383.9812 489.0422 407.4367 0.2987088 0.04999145
Moved 384.0119 493.8005 398.7993 0.3097233 0.02777578
Moved 384.0427 497.8929 392.1606 0.3191965 0.01070117
Moved 384.0734 502.8241 386.3519 0.3306113 -0.004239102
Moved 384.1042 506.6974 381.6053 0.3395772 -0.01644739
Moved 384.1349 510.1587 378.8413 0.3475895 -0.0235563
Moved 384.1656 514.0869 374.9131 0.3566826 -0.03365976
Moved 384.1964 518.9112 372.0444 0.36785 -0.04103798
Moved 384.2271 522.6639 370 0.3765367 -0.04629637
Moved 384.2578 525.3995 367.6005 0.3828693 -0.05246794
Moved 384.2886 528.2705 367 0.389515 -0.05401234
Moved 384.3193 530.1459 366 0.3938561 -0.05658444
Moved 384.35 531.5 365 0.3969907 -0.05915646
Moved 384.3807 531 365 0.3958333 -0.05915646
Stationary 384.4115 531 365 0.3958333 -0.05915646
Moved 384.4419 509.5388 380.8768 0.3461545 -0.01832114
Moved 384.473 495.196 393.2026 0.3129538 0.01338119
Moved 384.5037 478.3554 408.6446 0.2739708 0.05309819
Moved 384.5345 460.3005 425.1596 0.2321771 0.09557508
Moved 384.5652 445.9894 437.2064 0.1990495 0.1265595
Moved 384.5959 434.2237 446.8322 0.1718141 0.1513173
Moved 384.6267 425.3654 453.6346 0.1513088 0.1688131
Moved 384.6574 415.2169 460.3915 0.1278169 0.1861921
Moved 384.6881 405.5312 465.3126 0.1053963 0.1988491
Moved 384.7188 397.7836 469.0721 0.08746197 0.2085188
Moved 384.7496 392.1035 472.8965 0.07431358 0.2183552
Moved 384.7803 384.3698 477.6302 0.05641143 0.2305304
Moved 384.8111 379.2271 481.7729 0.04450719 0.2411853
Moved 384.8418 373.5063 486.4937 0.03126462 0.2533272
Moved 384.8725 367.7593 491.2407 0.01796126 0.2655368
Moved 384.9032 362.5023 497.4977 0.005792379 0.2816299
Moved 384.934 357.9414 503.5879 -0.004765342 0.2972939
Moved 384.9647 352.1907 512.214 -0.01807714 0.3194803
Moved 384.9955 347.4301 517.5699 -0.0290971 0.333256
Moved 385.0262 346 521.7831 -0.03240739 0.3440922
Moved 385.0569 344.3492 525.3016 -0.03622874 0.353142
Moved 385.0877 344 530.1219 -0.03703703 0.3655399
Ended 385.1184 344 532 -0.03703703 0.3703703
Began 386.4093 107 513 -0.5856481 0.321502
Stationary 386.4401 107 513 -0.5856481 0.321502
Stationary 386.4708 107 513 -0.5856481 0.321502
Stationary 386.5015 107 513 -0.5856481 0.321502
Stationary 386.5322 107 513 -0.5856481 0.321502
Stationary 386.563 107 513 -0.5856481 0.321502
Moved 386.5937 118.7036 513 -0.5585566 0.321502
Moved 386.6244 125.6851 513 -0.5423957 0.321502
Moved 386.6552 134.9744 513 -0.5208926 0.321502
Moved 386.6859 150.3441 520 -0.4853145 0.3395061
Moved 386.7166 163.1672 523.5418 -0.4556314 0.3486156
Moved 386.7474 170.1189 525.0594 -0.4395395 0.3525191
Moved 386.7781 177.8963 525 -0.4215363 0.3523662
Moved 386.8088 186.2893 526.8223 -0.402108 0.3570532
Moved 386.8395 194.0811 527 -0.3840715 0.3575102
Moved 386.8703 204.9819 527 -0.3588383 0.3575102
Moved 386.901 218.3327 527 -0.3279335 0.3575102
Moved 386.9318 229.6797 527 -0.3016675 0.3575102
Moved 386.9625 243.5 527 -0.2696759 0.3575102
Moved 386.9933 264.1834 517.6361 -0.2217976 0.3334261
Moved 387.024 281.3687 511.5438 -0.1820169 0.3177565
Moved 387.0547 300.6998 505.8 -0.137269 0.3029836
Moved 387.0854 316.9066 501.3867 -0.09975313 0.2916322
Moved 387.1162 334.9438 497.5093 -0.05800034 0.2816598
Moved 387.1469 352.1255 495.6458 -0.0182279 0.2768666
Moved 387.1776 369.1178 496 0.02110611 0.2777777
Moved 387.2084 381.3711 496 0.04947016 0.2777777
Moved 387.2391 392.6467 496 0.07557094 0.2777777
Moved 387.2699 404.0948 496 0.1020714 0.2777777
Moved 387.3006 416.2566 505.0513 0.1302235 0.3010579
Moved 387.3314 426.8042 507.9348 0.1546394 0.3084741
Moved 387.3621 436.4126 510.8042 0.176881 0.3158544
Moved 387.3929 445.0233 514.6744 0.1968133 0.3258087
Moved 387.4236 451.3573 517.1786 0.2114752 0.3322495
Moved 387.4543 456.101 520.0505 0.222456 0.3396359
Moved 387.485 457.9145 521 0.2266538 0.3420781
Moved 387.5158 458 522.3561 0.2268519 0.3455662
Moved 387.5464 458 524.3362 0.2268519 0.3506588
Moved 387.5772 458 527.2026 0.2268519 0.3580312
Moved 387.6079 438.625 531.15 0.1820023 0.3681841
Moved 387.6386 425.8407 533.5942 0.152409 0.3744705
Moved 387.6694 403.7303 535.4671 0.1012276 0.3792877
Moved 387.7002 383.9438 535 0.05542547 0.3780863
Moved 387.7309 357.9223 535 -0.004809499 0.3780863
Moved 387.7617 338.5796 529.5797 -0.04958421 0.3641451
Moved 387.7924 316.8295 523.7073 -0.0999318 0.3490415
Moved 387.8231 296.7933 518.4225 -0.1463118 0.3354487
Moved 387.8538 280.7304 512.923 -0.1834944 0.3213039
Moved 387.8846 263.4152 508.1384 -0.2235759 0.308998
Moved 387.9153 249.7958 503.3979 -0.2551022 0.2968053
Moved 387.946 242.6547 499.3273 -0.2716326 0.2863356
Moved 387.9767 239.8246 496.8246 -0.2781837 0.2798987
Moved 388.0075 237.9539 494.9539 -0.2825141 0.2750871
Moved 388.0383 237 492.1668 -0.2847222 0.2679187
Moved 388.069 236 488 -0.287037 0.2572016
Moved 388.0997 233.6658 476.3289 -0.2924403 0.2271834
Moved 388.1304 230.7946 455.5625 -0.2990865 0.1737718
Moved 388.1611 228.9163 434.5813 -0.3034346 0.1198078
Moved 388.1919 229 413.0593 -0.3032407 0.06445288
Moved 388.2227 229 394.147 -0.3032407 0.01581
Moved 388.2534 229 375.9271 -0.3032407 -0.03105187
Moved 388.2841 229 361.9846 -0.3032407 -0.06691222
Moved 388.3149 229 352.9026 -0.3032407 -0.09027112
Moved 388.3456 229 345.7126 -0.3032407 -0.1087638
Moved 388.3763 229 340.4855 -0.3032407 -0.1222081
Moved 388.407 229 336.9633 -0.3032407 -0.1312673
Moved 388.4378 235.4275 335.0818 -0.2883622 -0.1361066
Moved 388.4686 236 335 -0.287037 -0.1363169
Moved 388.4993 241.965 340.895 -0.2732292 -0.1211549
Moved 388.53 261.5742 365.7317 -0.2278374 -0.05727446
Moved 388.5607 282.1676 393.2514 -0.1801676 0.0135067
Moved 388.5915 298.357 415.1426 -0.1426922 0.06981116
Moved 388.6222 311.5 432.5 -0.1122685 0.1144546
Moved 388.6529 318.6071 444.5176 -0.09581701 0.1453642
Moved 388.6837 323.1751 453.5255 -0.08524273 0.1685325
Moved 388.7144 326.0496 462.1489 -0.07858883 0.190712
Moved 388.7451 329.1291 468.6937 -0.07146036 0.2075453
Moved 388.7759 332.439 475.8779 -0.06379867 0.2260234
Moved 388.8066 336.3007 482.6014 -0.05485952 0.2433162
Moved 388.8374 343.3245 492.4868 -0.03860066 0.2687415
Moved 388.8681 349.4591 500.4592 -0.02440015 0.2892468
Moved 388.8988 353.6006 508.8018 -0.01481339 0.3107042
Moved 388.9296 355 513.471 -0.01157408 0.3227134
Moved 388.9603 357 518.0146 -0.006944438 0.3343997
Moved 388.991 360.7469 520.8735 0.001728932 0.3417527
Moved 389.0218 367.2445 523.7482 0.01676967 0.3491464
Moved 389.0525 378.4611 527.2306 0.04273405 0.3581033
Moved 389.0832 388.45 529.1125 0.06585658 0.3629435
Moved 389.1139 400.9708 531.9941 0.09483984 0.3703552
Moved 389.1447 412.4639 533.866 0.1214442 0.3751696
Moved 389.1754 424 534 0.1481481 0.3755144
Moved 389.2062 434.1389 536 0.1716178 0.3806583
Moved 389.2369 443.5703 536 0.1934498 0.3806583
Moved 389.2676 452.0812 537 0.2131509 0.3832304
Moved 389.2984 461.6672 538.5334 0.2353408 0.3871744
Moved 389.3291 476.0408 541.4081 0.2686129 0.3945683
Moved 389.3598 492.6896 544.2816 0.3071518 0.4019588
Moved 389.3906 502.5939 547.1485 0.3300785 0.4093325
Moved 389.4213 507.7178 548 0.3419393 0.4115225
Moved 389.452 511.5896 548 0.3509019 0.4115225
Moved 389.4828 514.0422 548 0.3565792 0.4115225
Moved 389.5135 516.994 548 0.3634121 0.4115225
Moved 389.5442 517 530.795 0.3634259 0.3672709
Moved 389.575 511.1139 510.1139 0.3498006 0.3140789
Moved 389.6057 503.7732 487.8661 0.3328084 0.2568572
Moved 389.6364 497.673 468.1281 0.3186876 0.2060908
Moved 389.6672 490.0475 445.1267 0.301036 0.1469308
Moved 389.6979 481.4177 422.9747 0.2810595 0.08995534
Moved 389.7287 476 407 0.2685185 0.04886827
Moved 389.7595 468.4314 388.2942 0.2509986 0.0007565423
Moved 389.7902 459.5378 372.0757 0.2304117 -0.04095768
Moved 389.8209 450.9293 354.8763 0.2104845 -0.08519467
Moved 389.8516 440.8525 338.2419 0.1871586 -0.1279788
Moved 389.8824 430.7566 322.9277 0.1637885 -0.1673672
Moved 389.9131 421.1769 306.6281 0.1416132 -0.2092898
Moved 389.9438 413.5483 293.2471 0.1239543 -0.2437059
Moved 389.9745 406.8477 282.1302 0.1084437 -0.272299
Moved 390.0053 399.209 269.6119 0.09076148 -0.3044961
Moved 390.036 393.5353 260.606 0.07762809 -0.3276595
Moved 390.0667 388.9949 252.9949 0.06711781 -0.3472355
Moved 390.0975 385.1358 246.2716 0.05818476 -0.3645278
Moved 390.1282 380.5273 239.5272 0.04751682 -0.3818745
Moved 390.1589 377.3889 233.7777 0.04025201 -0.3966623
Moved 390.1897 375.8885 230.8884 0.03677885 -0.4040935
Moved 390.2204 374 231 0.03240744 -0.4038066
Moved 390.2512 370.2957 231 0.02383272 -0.4038066
Moved 390.2819 365.5 249.5 0.01273145 -0.3562243
Moved 390.3127 359.4504 272.9236 -0.001272261 -0.2959782
Moved 390.3434 356.8651 290.944 -0.007256617 -0.2496297
Moved 390.3741 351.9628 307.1302 -0.01860465 -0.2079986
Moved 390.4048 345.3921 320.2158 -0.03381456 -0.1743423
Moved 390.4356 339.1948 332.6104 -0.0481601 -0.1424632
Moved 390.4663 331.1856 341.8145 -0.06670003 -0.1187901
Moved 390.497 319.3928 352.4554 -0.09399811 -0.09142141
Moved 390.5278 308.4436 360.1339 -0.1193435 -0.07167219
Moved 390.5585 290.458 369.771 -0.1609768 -0.04688529
Moved 390.5893 271.7237 375.9361 -0.2043433 -0.03102864
Moved 390.62 258.9952 379.001 -0.2338074 -0.02314571
Moved 390.6507 244.6327 381 -0.267054 -0.01800419
Moved 390.6815 233.7738 382 -0.2921904 -0.01543218
Moved 390.7122 226.767 383 -0.3084097 -0.01286016
Moved 390.743 222.7535 383 -0.3177002 -0.01286016
Moved 390.7737 220.0071 383 -0.3240577 -0.01286016
Moved 390.8044 217.5 383 -0.3298611 -0.01286016
Moved 390.8351 215.5 383 -0.3344907 -0.01286016
Moved 390.8659 213.7197 383 -0.3386119 -0.01286016
Stationary 390.8966 214 383 -0.3379629 -0.01286016
Moved 390.9273 214 385.0761 -0.3379629 -0.007520408
Ended 390.9581 227.3399 393.8932 -0.3070837 0.01515746
PhraseEnd 392.4949
