that is a very odd question
Basic
0.6 0.6
432 388.8
Moved 693.8508 268.9656 474.9885 -0.2107278 0.2237358
Moved 693.8817 286.2267 480.0648 -0.1707714 0.236792
Moved 693.9124 304.286 484.796 -0.1289676 0.2489609
Moved 693.9431 322.8548 487.7709 -0.08598431 0.2566124
Moved 693.9738 336.0074 489.2015 -0.05553832 0.2602918
Moved 694.0046 353.8325 492.1387 -0.0142767 0.2678465
Moved 694.0353 370.0365 495.0073 0.0232326 0.2752245
Moved 694.0661 380.6193 495 0.04772981 0.2752057
Moved 694.0968 392.5537 496 0.07535576 0.2777777
Moved 694.1275 400.1594 497 0.09296159 0.2803498
Moved 694.1583 407.7603 498 0.1105562 0.2829217
Moved 694.189 411.2671 498.7557 0.1186738 0.2848653
Moved 694.2197 421.6086 500 0.1426125 0.2880658
Moved 694.2505 432.6183 501.4046 0.1680979 0.2916785
Moved 694.2813 439.5606 502 0.184168 0.2932098
Moved 694.312 446.6901 503.845 0.2006714 0.2979552
Moved 694.3427 451.7084 504 0.212288 0.2983539
Moved 694.3735 454 504.5823 0.2175926 0.2998516
Moved 694.4042 455.0138 505 0.2199394 0.3009258
Stationary 694.4349 455 505 0.2199073 0.3009258
Moved 694.4656 455 506.8502 0.2199073 0.3056845
Moved 694.4964 438.3786 510.4485 0.181432 0.3149395
Moved 694.5272 427.2113 514.1577 0.1555816 0.3244796
Moved 694.5579 404.2632 518.0818 0.1024612 0.3345726
Moved 694.5886 389.2277 520 0.06765664 0.3395061
Moved 694.6194 373.9064 521 0.03219068 0.3420781
Moved 694.6501 353.0237 523 -0.01614884 0.3472221
Moved 694.6808 345.8406 523 -0.0327763 0.3472221
Moved 694.7116 333.6023 523 -0.06110579 0.3472221
Moved 694.7424 324.8449 523 -0.08137751 0.3472221
Moved 694.7731 315.0659 523 -0.1040142 0.3472221
Moved 694.8038 303.5388 523 -0.1306972 0.3472221
Moved 694.8346 292.0814 514.7703 -0.1572191 0.3260552
Moved 694.8653 277.1237 508.5619 -0.1918431 0.3100871
Moved 694.8961 266.7526 500.7526 -0.2158505 0.2900014
Moved 694.9268 257.1419 492.1419 -0.2380975 0.2678546
