taking the train is usually faster
Basic
0.6 0.6
432 388.8
Began 834.1039 380 528 0.04629632 0.3600822
Stationary 834.1347 380 528 0.04629632 0.3600822
Stationary 834.1654 380 528 0.04629632 0.3600822
Stationary 834.1962 380 528 0.04629632 0.3600822
Moved 834.2269 366.7772 528 0.01568794 0.3600822
Moved 834.2576 360.0569 528 0.0001316269 0.3600822
Moved 834.2883 353.2948 528 -0.01552135 0.3600822
Moved 834.319 347.3967 528 -0.02917424 0.3600822
Moved 834.3498 340.4689 528 -0.04521086 0.3600822
Moved 834.3805 334.5903 528 -0.05881881 0.3600822
Moved 834.4113 329.9958 521 -0.06945411 0.3420781
Moved 834.442 324.4141 520.4714 -0.08237475 0.3407184
Moved 834.4727 318.1963 520 -0.09676795 0.3395061
Moved 834.5034 311.4697 520 -0.1123386 0.3395061
Moved 834.5341 304.384 519 -0.1287407 0.3369341
Moved 834.5649 295.8959 518 -0.148389 0.3343621
Moved 834.5955 290.0903 516.5226 -0.161828 0.3305621
Moved 834.6263 285.7487 516 -0.1718779 0.329218
Moved 834.657 281.3492 515.1746 -0.1820619 0.3270952
Moved 834.6877 277.5 515 -0.1909722 0.326646
Moved 834.7185 273 515 -0.2013889 0.326646
Moved 834.7491 271.5 513.5 -0.2048611 0.3227879
Moved 834.78 271.0392 514 -0.2059277 0.324074
Moved 834.8106 269.6956 514 -0.209038 0.324074
Moved 834.8414 267.9781 514 -0.2130135 0.324074
Stationary 834.8721 268 514 -0.212963 0.324074
Stationary 834.9028 268 514 -0.212963 0.324074
Moved 834.9336 265.5852 514 -0.2185528 0.324074
Stationary 834.9643 266 514 -0.2175926 0.324074
Moved 834.995 262.5 514 -0.2256944 0.324074
Moved 835.0258 258.1365 511.1365 -0.2357952 0.316709
Moved 835.0565 245.8766 503.3259 -0.2641746 0.2966201
Moved 835.0872 230.7957 492.6365 -0.299084 0.2691268
Moved 835.1179 215.2829 478.9567 -0.3349933 0.2339421
Moved 835.1486 200.8681 462.8682 -0.3683608 0.1925621
Moved 835.1794 190.8005 451.4006 -0.3916656 0.1630674
Moved 835.2101 180.2601 440.2601 -0.4160647 0.1344137
Moved 835.2408 170.5588 430.5588 -0.4385213 0.1094618
Moved 835.2715 161.9607 420.2809 -0.4584243 0.08302708
Moved 835.3022 156 410 -0.4722222 0.05658428
Moved 835.333 150.8894 403.8894 -0.4840524 0.04086773
Moved 835.3637 147.0734 396.1467 -0.4928857 0.02095344
Moved 835.3945 144.204 390.408 -0.4995279 0.006193231
Moved 835.4252 143 386.7416 -0.5023148 -0.003236763
Moved 835.4559 142 380.5701 -0.5046296 -0.01910975
Moved 835.4866 142 377.9215 -0.5046296 -0.02592204
Moved 835.5173 142 376 -0.5046296 -0.03086435
Moved 835.548 142 374.5309 -0.5046296 -0.03464287
Moved 835.5788 159.3444 375 -0.4644806 -0.03343629
Moved 835.6095 170.8157 384.6313 -0.4379266 -0.008664268
Moved 835.6403 183.9692 393.3128 -0.4074787 0.0136645
Moved 835.671 204.4635 409.8259 -0.3600381 0.05613637
Moved 835.7017 231.6792 433.7326 -0.297039 0.1176249
Moved 835.7324 242.9626 443.5922 -0.27092 0.1429841
Moved 835.7631 268.1349 463.3944 -0.2126506 0.1939155
Moved 835.7939 293.0746 480.7164 -0.15492 0.2384679
Moved 835.8246 319.8918 496.2732 -0.09284308 0.2784804
Moved 835.8553 349.5 513 -0.02430553 0.321502
Moved 835.886 380.2892 526.1446 0.04696568 0.3553101
Moved 835.9167 409.9708 536.6912 0.115673 0.3824361
Moved 835.9475 431.6058 543.5353 0.1657541 0.4000392
Moved 835.9782 443.9437 549.4719 0.194314 0.4153082
Moved 836.009 455.7095 553.1774 0.2215498 0.4248388
Moved 836.0397 468.1465 557.0488 0.2503391 0.4347963
Moved 836.0704 476.7506 559.9169 0.270256 0.442173
Moved 836.1011 483.3003 561.4334 0.2854173 0.4460735
Moved 836.1318 488.6099 562.3049 0.2977081 0.448315
Moved 836.1626 494.3438 562 0.3109811 0.4475308
Moved 836.1933 498.7986 562 0.321293 0.4475308
Moved 836.224 501.6121 562 0.3278058 0.4475308
Moved 836.2547 504 562 0.3333333 0.4475308
Moved 836.2855 506 553.6534 0.337963 0.4260633
Moved 836.3162 507 550.2355 0.3402778 0.4172722
Moved 836.347 507 544.4999 0.3402778 0.4025203
Moved 836.3776 507 534.5331 0.3402778 0.3768856
Moved 836.4084 497.0235 523.0469 0.3171839 0.3473429
Moved 836.4391 490.0111 510.0185 0.3009516 0.3138335
Moved 836.4698 481.4156 493.8313 0.2810548 0.2721997
Moved 836.5005 465.8643 464.1959 0.2450562 0.1959769
Moved 836.5313 453.9771 442.1588 0.2175396 0.1392973
Moved 836.562 443.5466 411.7909 0.1933949 0.06119049
Moved 836.5927 437.9762 385.893 0.1805006 -0.005419264
Moved 836.6235 433.2242 359.0086 0.1695003 -0.07456642
Moved 836.6542 432 342.6031 0.1666667 -0.1167618
Moved 836.6849 431 325.6605 0.1643519 -0.1603382
Moved 836.7156 430 310.4084 0.162037 -0.1995669
Moved 836.7463 430 295.3253 0.162037 -0.2383611
Moved 836.7771 430 274.9731 0.162037 -0.290707
Moved 836.8077 430 254.8389 0.162037 -0.3424927
Moved 836.8385 441.6305 235.7932 0.1889594 -0.3914784
Moved 836.8693 447.5189 221.9622 0.2025901 -0.427052
Moved 836.9 451.7042 209.1831 0.2122783 -0.45992
