id,mode,cand,block,phrase,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,All,Top1(ratio),Top2(ratio),Top3(ratio),Top4(ratio),Top5(ratio),Top6(ratio),Top7(ratio),Top8(ratio),Top9(ratio),Top10(ratio),Top11(ratio),Top12(ratio),Top13(ratio)
5,FixStart,Radial,1,10,51,56,58,58,59,59,59,59,59,59,59,59,59,60,0.85,0.933333,0.966667,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
5,FixStart,Radial,2,20,48,54,57,58,58,58,58,59,59,59,59,59,59,62,0.774194,0.870968,0.919355,0.935484,0.935484,0.935484,0.935484,0.951613,0.951613,0.951613,0.951613,0.951613,0.951613
5,FixStart,Radial,3,30,50,52,55,57,57,59,59,59,59,59,59,59,59,63,0.793651,0.825397,0.873016,0.904762,0.904762,0.936508,0.936508,0.936508,0.936508,0.936508,0.936508,0.936508,0.936508
5,FixStart,Radial,4,40,47,52,55,56,57,58,60,60,60,61,61,61,61,65,0.723077,0.8,0.846154,0.861538,0.876923,0.892308,0.923077,0.923077,0.923077,0.938462,0.938462,0.938462,0.938462
6,Basic,Radial,1,10,44,50,52,54,55,59,59,60,60,61,61,62,63,73,0.60274,0.684932,0.712329,0.739726,0.753425,0.808219,0.808219,0.821918,0.821918,0.835616,0.835616,0.849315,0.863014
6,Basic,Radial,2,20,42,49,51,51,52,52,52,53,53,54,54,54,54,70,0.6,0.7,0.728571,0.728571,0.742857,0.742857,0.742857,0.757143,0.757143,0.771429,0.771429,0.771429,0.771429
6,Basic,Radial,3,30,38,48,50,53,53,53,53,55,55,55,57,57,57,69,0.550725,0.695652,0.724638,0.768116,0.768116,0.768116,0.768116,0.797101,0.797101,0.797101,0.826087,0.826087,0.826087
6,Basic,Radial,4,40,46,51,52,52,52,53,53,54,54,56,56,57,58,71,0.647887,0.71831,0.732394,0.732394,0.732394,0.746479,0.746479,0.760563,0.760563,0.788732,0.788732,0.802817,0.816901
6,FixStart,Radial,1,10,39,47,49,51,52,52,53,53,54,55,56,56,56,67,0.58209,0.701493,0.731343,0.761194,0.776119,0.776119,0.791045,0.791045,0.80597,0.820895,0.835821,0.835821,0.835821
6,FixStart,Radial,2,20,41,47,51,52,52,52,54,54,54,54,54,55,55,55,0.745455,0.854545,0.927273,0.945455,0.945455,0.945455,0.981818,0.981818,0.981818,0.981818,0.981818,1,1
6,FixStart,Radial,3,30,40,46,50,50,50,51,51,51,51,51,52,52,53,56,0.714286,0.821429,0.892857,0.892857,0.892857,0.910714,0.910714,0.910714,0.910714,0.910714,0.928571,0.928571,0.946429
6,FixStart,Radial,4,40,44,49,51,53,55,55,55,55,55,55,57,57,57,57,0.77193,0.859649,0.894737,0.929825,0.964912,0.964912,0.964912,0.964912,0.964912,0.964912,1,1,1
7,Basic,Radial,1,10,34,40,43,50,52,53,53,55,55,55,55,56,57,65,0.523077,0.615385,0.661538,0.769231,0.8,0.815385,0.815385,0.846154,0.846154,0.846154,0.846154,0.861538,0.876923
7,Basic,Radial,2,20,40,47,47,49,51,53,55,55,55,57,59,59,60,63,0.634921,0.746032,0.746032,0.777778,0.809524,0.84127,0.873016,0.873016,0.873016,0.904762,0.936508,0.936508,0.952381
7,Basic,Radial,3,30,39,46,47,48,49,51,53,53,54,54,54,54,54,58,0.672414,0.793103,0.810345,0.827586,0.844828,0.87931,0.913793,0.913793,0.931035,0.931035,0.931035,0.931035,0.931035
7,Basic,Radial,4,40,36,45,46,49,49,49,49,51,53,53,53,53,54,58,0.62069,0.775862,0.793103,0.844828,0.844828,0.844828,0.844828,0.87931,0.913793,0.913793,0.913793,0.913793,0.931035
7,FixStart,Radial,1,10,41,53,54,56,58,58,58,59,59,59,59,59,59,63,0.650794,0.84127,0.857143,0.888889,0.920635,0.920635,0.920635,0.936508,0.936508,0.936508,0.936508,0.936508,0.936508
7,FixStart,Radial,2,20,47,51,54,57,57,59,59,59,59,59,59,59,59,60,0.783333,0.85,0.9,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
7,FixStart,Radial,3,30,41,49,50,50,52,53,53,53,53,53,53,53,53,58,0.706897,0.844828,0.862069,0.862069,0.896552,0.913793,0.913793,0.913793,0.913793,0.913793,0.913793,0.913793,0.913793
7,FixStart,Radial,4,40,47,51,53,60,60,61,62,62,62,63,63,63,63,67,0.701493,0.761194,0.791045,0.895522,0.895522,0.910448,0.925373,0.925373,0.925373,0.940298,0.940298,0.940298,0.940298
8,Basic,List,1,10,45,55,62,63,63,64,64,65,65,66,66,66,66,66,0.681818,0.833333,0.939394,0.954545,0.954545,0.969697,0.969697,0.984848,0.984848,1,1,1,1
8,Basic,List,2,20,42,46,50,52,52,52,53,53,53,53,53,53,53,55,0.763636,0.836364,0.909091,0.945455,0.945455,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
8,Basic,List,3,30,45,49,49,50,51,52,52,54,54,54,55,55,55,56,0.803571,0.875,0.875,0.892857,0.910714,0.928571,0.928571,0.964286,0.964286,0.964286,0.982143,0.982143,0.982143
8,Basic,List,4,40,41,49,50,51,52,52,52,53,53,53,54,54,54,56,0.732143,0.875,0.892857,0.910714,0.928571,0.928571,0.928571,0.946429,0.946429,0.946429,0.964286,0.964286,0.964286
8,FixStart,List,1,10,43,45,46,51,51,52,52,52,52,53,53,53,53,53,0.811321,0.849057,0.867925,0.962264,0.962264,0.981132,0.981132,0.981132,0.981132,1,1,1,1
