id,mode,cand,block,phrase,WPM,N(words),correct,uncorrected,cancel,uncorrectCancel,delete,noexpand,wrongCancel(noexpand)
3,Basic,Radial,4,33,17.8096,6,6,0,1,0,0,0,0
3,Basic,Radial,4,34,18.9304,5,5,0,0,0,0,0,0
3,Basic,Radial,4,35,23.9521,4,4,0,0,0,0,0,0
3,Basic,Radial,4,36,20.031,5,5,0,1,0,0,1,0
3,Basic,Radial,4,37,23.3484,5,5,0,0,0,0,0,0
3,Basic,Radial,4,38,25.4359,7,7,0,0,0,0,0,0
3,Basic,Radial,4,39,26.0943,7,7,0,0,0,0,0,0
3,Basic,Radial,4,40,16.9295,7,7,0,1,0,0,1,0
4,FixStart,Radial,1,1,15.0196,9,9,0,0,0,0,0,0
4,FixStart,Radial,1,2,18.0426,6,6,0,0,0,0,0,0
4,FixStart,Radial,1,3,16.649,8,8,0,0,0,0,0,0
4,FixStart,Radial,1,4,17.5954,6,6,0,0,0,0,0,0
4,FixStart,Radial,1,5,13.7861,6,6,0,1,0,0,1,0
4,FixStart,Radial,1,6,14.9727,6,6,0,0,0,0,0,0
4,FixStart,Radial,1,7,16.6201,5,5,0,0,0,0,0,0
4,FixStart,Radial,1,8,17.015,5,5,0,0,0,0,0,0
4,FixStart,Radial,1,9,18.4963,5,5,0,0,0,0,0,0
4,FixStart,Radial,1,10,15.324,8,8,0,1,0,0,1,0
4,FixStart,Radial,2,11,17.5531,6,6,0,0,0,0,0,0
4,FixStart,Radial,2,12,17.2081,6,6,0,0,0,0,0,0
4,FixStart,Radial,2,13,12.7657,5,5,0,1,0,0,0,0
4,FixStart,Radial,2,14,19.6312,5,5,0,0,0,0,0,0
4,FixStart,Radial,2,15,16.2184,6,6,0,0,0,0,0,0
4,FixStart,Radial,2,16,17.5496,5,5,0,0,0,0,0,0
4,FixStart,Radial,2,17,12.7607,8,8,0,1,1,0,1,1
4,FixStart,Radial,2,18,18.4841,4,4,0,0,0,0,0,0
4,FixStart,Radial,2,19,17.9773,5,5,0,0,0,0,0,0
4,FixStart,Radial,2,20,16.2691,7,7,0,0,0,0,0,0
4,FixStart,Radial,3,21,17.5953,6,6,0,0,0,0,0,0
