id,mode,cand,block,part(#/50),GestureSpeed(keyW/s)
1,Basic,Radial,1,19,34.1835
1,Basic,Radial,1,20,30.9291
1,Basic,Radial,1,21,30.6211
1,Basic,Radial,1,22,30.3181
1,Basic,Radial,1,23,31.6178
1,Basic,Radial,1,24,34.0063
1,Basic,Radial,1,25,35.215
1,Basic,Radial,1,26,35.0086
1,Basic,Radial,1,27,35.306
1,Basic,Radial,1,28,35.0544
1,Basic,Radial,1,29,36.3586
1,Basic,Radial,1,30,35.1341
1,Basic,Radial,1,31,30.7536
1,Basic,Radial,1,32,30.4748
1,Basic,Radial,1,33,31.777
1,Basic,Radial,1,34,32.3981
1,Basic,Radial,1,35,33.4259
1,Basic,Radial,1,36,34.1983
1,Basic,Radial,1,37,34.0706
1,Basic,Radial,1,38,33.6948
1,Basic,Radial,1,39,33.3223
1,Basic,Radial,1,40,31.0673
1,Basic,Radial,1,41,30.1291
1,Basic,Radial,1,42,27.6764
1,Basic,Radial,1,43,26.0983
1,Basic,Radial,1,44,25.5241
1,Basic,Radial,1,45,25.6323
1,Basic,Radial,1,46,23.7685
1,Basic,Radial,1,47,20.0026
1,Basic,Radial,1,48,17.4825
1,Basic,Radial,1,49,13.6587
1,Basic,Radial,1,50,6.96492
1,Basic,Radial,2,1,33.6769
1,Basic,Radial,2,2,38.121
1,Basic,Radial,2,3,41.5206
1,Basic,Radial,2,4,44.0812
1,Basic,Radial,2,5,46.3884
1,Basic,Radial,2,6,47.0094
1,Basic,Radial,2,7,46.7488
1,Basic,Radial,2,8,46.5496
1,Basic,Radial,2,9,43.5166
1,Basic,Radial,2,10,41.7357
1,Basic,Radial,2,11,40.0273
1,Basic,Radial,2,12,42.199
1,Basic,Radial,2,13,43.8204
1,Basic,Radial,2,14,42.6551
1,Basic,Radial,2,15,41.8798
1,Basic,Radial,2,16,41.6655
1,Basic,Radial,2,17,43.5219
1,Basic,Radial,2,18,42.1015
1,Basic,Radial,2,19,42.8182
1,Basic,Radial,2,20,42.1838
1,Basic,Radial,2,21,39.4511
1,Basic,Radial,2,22,40.3356
1,Basic,Radial,2,23,39.0423
1,Basic,Radial,2,24,38.7416
1,Basic,Radial,2,25,38.0128
1,Basic,Radial,2,26,38.3269
1,Basic,Radial,2,27,37.9034
1,Basic,Radial,2,28,39.0597
1,Basic,Radial,2,29,38.0444
1,Basic,Radial,2,30,37.3728
1,Basic,Radial,2,31,37.4765
1,Basic,Radial,2,32,36.6758
1,Basic,Radial,2,33,35.2519
1,Basic,Radial,2,34,36.8508
1,Basic,Radial,2,35,36.74
1,Basic,Radial,2,36,36.7323
1,Basic,Radial,2,37,36.9933
1,Basic,Radial,2,38,36.6864
1,Basic,Radial,2,39,37.7667
1,Basic,Radial,2,40,35.8067
1,Basic,Radial,2,41,32.676
1,Basic,Radial,2,42,31.5307
1,Basic,Radial,2,43,30.5329
1,Basic,Radial,2,44,30.1926
1,Basic,Radial,2,45,28.427
1,Basic,Radial,2,46,25.9004
1,Basic,Radial,2,47,22.6308
1,Basic,Radial,2,48,19.9982
1,Basic,Radial,2,49,15.1185
1,Basic,Radial,2,50,6.08159
1,Basic,Radial,3,1,24.7608
1,Basic,Radial,3,2,33.7938
1,Basic,Radial,3,3,38.8598
1,Basic,Radial,3,4,42.5282
1,Basic,Radial,3,5,43.4878
1,Basic,Radial,3,6,42.8612
1,Basic,Radial,3,7,41.9966
1,Basic,Radial,3,8,42.1138
1,Basic,Radial,3,9,43.5875
1,Basic,Radial,3,10,42.1956
1,Basic,Radial,3,11,41.3373
1,Basic,Radial,3,12,42.6515
1,Basic,Radial,3,13,42.604
1,Basic,Radial,3,14,42.5999
1,Basic,Radial,3,15,45.3743
1,Basic,Radial,3,16,43.5489
1,Basic,Radial,3,17,43.2751
1,Basic,Radial,3,18,41.8802
1,Basic,Radial,3,19,38.9681
1,Basic,Radial,3,20,36.5018
1,Basic,Radial,3,21,36.2649
1,Basic,Radial,3,22,36.5792
1,Basic,Radial,3,23,35.8286
1,Basic,Radial,3,24,36.5795
1,Basic,Radial,3,25,39.1938
1,Basic,Radial,3,26,37.3549
1,Basic,Radial,3,27,37.9329
1,Basic,Radial,3,28,39.1935
1,Basic,Radial,3,29,39.9214
1,Basic,Radial,3,30,39.7685
1,Basic,Radial,3,31,38.7956
1,Basic,Radial,3,32,38.6895
1,Basic,Radial,3,33,38.2485
1,Basic,Radial,3,34,37.079
1,Basic,Radial,3,35,38.0099
1,Basic,Radial,3,36,38.0519
1,Basic,Radial,3,37,36.0929
1,Basic,Radial,3,38,32.834
1,Basic,Radial,3,39,31.9758
1,Basic,Radial,3,40,31.5737
1,Basic,Radial,3,41,31.761
1,Basic,Radial,3,42,30.5084
1,Basic,Radial,3,43,29.338
1,Basic,Radial,3,44,27.1958
1,Basic,Radial,3,45,25.5242
1,Basic,Radial,3,46,23.4591
1,Basic,Radial,3,47,20.5129
1,Basic,Radial,3,48,17.5724
1,Basic,Radial,3,49,12.5314
1,Basic,Radial,3,50,5.49783
1,Basic,Radial,4,1,30.8226
1,Basic,Radial,4,2,38.1852
1,Basic,Radial,4,3,42.7023
1,Basic,Radial,4,4,44.9749
1,Basic,Radial,4,5,45.5049
1,Basic,Radial,4,6,44.5227
1,Basic,Radial,4,7,44.0946
1,Basic,Radial,4,8,42.4026
1,Basic,Radial,4,9,43.2916
1,Basic,Radial,4,10,42.0949
1,Basic,Radial,4,11,39.857
1,Basic,Radial,4,12,39.8205
1,Basic,Radial,4,13,40.4894
1,Basic,Radial,4,14,39.5713
1,Basic,Radial,4,15,39.6761
1,Basic,Radial,4,16,41.9392
1,Basic,Radial,4,17,40.9513
1,Basic,Radial,4,18,38.442
1,Basic,Radial,4,19,34.3112
1,Basic,Radial,4,20,32.8151
1,Basic,Radial,4,21,31.5134
1,Basic,Radial,4,22,33.3987
1,Basic,Radial,4,23,35.7468
1,Basic,Radial,4,24,35.4815
1,Basic,Radial,4,25,34.8838
1,Basic,Radial,4,26,36.4106
1,Basic,Radial,4,27,38.0732
1,Basic,Radial,4,28,39.7634
1,Basic,Radial,4,29,38.0945
1,Basic,Radial,4,30,38.2101
1,Basic,Radial,4,31,36.7467
1,Basic,Radial,4,32,35.7997
1,Basic,Radial,4,33,35.7429
1,Basic,Radial,4,34,34.6988
1,Basic,Radial,4,35,33.5547
1,Basic,Radial,4,36,31.6215
1,Basic,Radial,4,37,31.2062
1,Basic,Radial,4,38,32.3732
1,Basic,Radial,4,39,32.7693
1,Basic,Radial,4,40,32.4855
1,Basic,Radial,4,41,31.4765
1,Basic,Radial,4,42,28.9387
1,Basic,Radial,4,43,28.8687
1,Basic,Radial,4,44,28.0746
1,Basic,Radial,4,45,27.404
1,Basic,Radial,4,46,24.5496
1,Basic,Radial,4,47,21.5577
1,Basic,Radial,4,48,18.1218
1,Basic,Radial,4,49,13.3585
1,Basic,Radial,4,50,5.335
2,FixStart,List,1,1,26.7984
2,FixStart,List,1,2,32.0603
2,FixStart,List,1,3,34.4448
2,FixStart,List,1,4,34.4831
2,FixStart,List,1,5,31.8
2,FixStart,List,1,6,34.6091
2,FixStart,List,1,7,36.4542
2,FixStart,List,1,8,36.6042
2,FixStart,List,1,9,37.7887
2,FixStart,List,1,10,36.5919
2,FixStart,List,1,11,38.0533
2,FixStart,List,1,12,37.1833
2,FixStart,List,1,13,36.658
2,FixStart,List,1,14,33.6496
2,FixStart,List,1,15,32.7453
2,FixStart,List,1,16,35.9433
2,FixStart,List,1,17,38.4147
2,FixStart,List,1,18,37.2823
2,FixStart,List,1,19,38.9489
2,FixStart,List,1,20,40.7423
2,FixStart,List,1,21,41.5867
2,FixStart,List,1,22,41.4482
2,FixStart,List,1,23,38.7755
2,FixStart,List,1,24,38.9107
2,FixStart,List,1,25,38.4853
2,FixStart,List,1,26,36.5012
2,FixStart,List,1,27,37.7164
2,FixStart,List,1,28,38.6251
2,FixStart,List,1,29,38.0606
2,FixStart,List,1,30,36.5931
2,FixStart,List,1,31,35.6092
2,FixStart,List,1,32,38.3529
2,FixStart,List,1,33,39.7531
2,FixStart,List,1,34,40.1691
2,FixStart,List,1,35,37.3786
2,FixStart,List,1,36,35.7609
2,FixStart,List,1,37,35.0758
2,FixStart,List,1,38,33.4618
2,FixStart,List,1,39,35.1111
2,FixStart,List,1,40,36.0943
2,FixStart,List,1,41,35.9365
2,FixStart,List,1,42,36.2796
2,FixStart,List,1,43,37.3505
2,FixStart,List,1,44,34.4326
2,FixStart,List,1,45,30.4935
2,FixStart,List,1,46,27.8146
2,FixStart,List,1,47,23.8414
2,FixStart,List,1,48,18.7696
2,FixStart,List,1,49,13.9553
2,FixStart,List,1,50,5.02705
2,FixStart,List,2,1,25.5369
2,FixStart,List,2,2,30.9365
2,FixStart,List,2,3,34.5597
2,FixStart,List,2,4,33.8655
2,FixStart,List,2,5,35.3637
2,FixStart,List,2,6,34.3954
2,FixStart,List,2,7,33.6614
2,FixStart,List,2,8,32.7542
2,FixStart,List,2,9,34.3171
2,FixStart,List,2,10,35.9063
2,FixStart,List,2,11,37.7043
2,FixStart,List,2,12,37.9954
2,FixStart,List,2,13,38.3083
2,FixStart,List,2,14,38.4953
2,FixStart,List,2,15,37.7516
2,FixStart,List,2,16,36.4422
