id,scale,size,sentence,WPM,words
3,1x3,1,the quick brown fox jumps over the lazy dog,31.7445,9
3,1x3,1,my favorite place to visit,32.996,5
3,1x3,1,never too rich and never too thin,40.8117,7
3,1x3,1,the five boxing wizards jump quickly,35.0963,6
3,1x3,1,one heck of a question,36.15,5
3,1x3,0.75,he is just like everyone else,34.5856,6
3,1x3,0.75,the world is a stage,31.1324,5
3,1x3,0.75,a problem with the engine,27.2851,5
3,1x3,0.75,the five boxing wizards jump quickly,31.1038,6
3,1x3,0.75,question that must be answered,32.5056,5
3,1x3,0.75,the power of denial,29.7534,4
3,1x3,0.75,watch out for low flying objects,33.0835,6
3,1x3,0.75,my watch fell in the water,32.6531,6
3,1x3,0.75,the quick brown fox jumps over the lazy dog,27.3595,9
3,1x3,0.75,the facts get in the way,29.1439,6
3,1x3,1.25,yes you are very smart,33.2034,5
3,1x3,1.25,you must be getting old,38.187,5
3,1x3,1.25,the five boxing wizards jump quickly,32.6188,6
3,1x3,1.25,if at first you do not succeed,32.7884,7
3,1x3,1.25,time to go shopping,39.879,4
3,1x3,1.25,do not say anything,32.5696,4
3,1x3,1.25,the force is with you,34.157,5
3,1x3,1.25,the quick brown fox jumps over the lazy dog,32.1415,9
3,1x3,1.25,please provide your date of birth,34.3142,6
3,1x3,1.25,an offer you cannot refuse,36.702,5
4,1x3,1,we run the risk of failure,20.1384,6
4,1x3,1,the quick brown fox jumps over the lazy dog,17.8003,9
4,1x3,1,an offer you cannot refuse,23.2076,5
4,1x3,1,the five boxing wizards jump quickly,15.3496,6
4,1x3,1,he is just like everyone else,18.5378,6
4,1x3,1,love means many things,17.389,4
4,1x3,1,my watch fell in the water,19.432,6
4,1x3,1,breathing is difficult,14.3416,3
4,1x3,1,if at first you do not succeed,18.5471,7
4,1x3,1,please provide your date of birth,17.5136,6
4,1x3,0.75,the world is a stage,21.7687,5
4,1x3,0.75,the force is with you,21.4578,5
4,1x3,0.75,watch out for low flying objects,18.8559,6
4,1x3,0.75,you must be getting old,18.3109,5
4,1x3,0.75,my favorite place to visit,17.8214,5
4,1x3,0.75,yes you are very smart,25.741,5
4,1x3,0.75,a problem with the engine,20.9996,5
4,1x3,0.75,the five boxing wizards jump quickly,18.4521,6
4,1x3,0.75,the quick brown fox jumps over the lazy dog,19.721,9
4,1x3,0.75,the facts get in the way,21.1967,6
4,1x3,1.25,time to go shopping,25.8181,4
4,1x3,1.25,one heck of a question,21.7034,5
4,1x3,1.25,never too rich and never too thin,20.8016,7
4,1x3,1.25,are you talking to me,21.3036,5
4,1x3,1.25,all work and no play,17.2625,5
4,1x3,1.25,the quick brown fox jumps over the lazy dog,18.1505,9
4,1x3,1.25,the power of denial,16.0394,4
4,1x3,1.25,do not say anything,17.9782,4
4,1x3,1.25,the five boxing wizards jump quickly,17.7442,6
4,1x3,1.25,question that must be answered,18.5653,5
4,1x1,1,we run the risk of failure,21.9172,6
4,1x1,1,the quick brown fox jumps over the lazy dog,19.2747,9
4,1x1,1,an offer you cannot refuse,21.9771,5
4,1x1,1,the five boxing wizards jump quickly,17.4147,6
4,1x1,1,he is just like everyone else,19.361,6
4,1x1,1,love means many things,20.2428,4
4,1x1,1,my watch fell in the water,19.9839,6
4,1x1,1,breathing is difficult,16.0024,3
4,1x1,1,if at first you do not succeed,20.1585,7
4,1x1,1,please provide your date of birth,20.431,6
4,1x1,0.75,the world is a stage,23.1319,5
4,1x1,0.75,the force is with you,24.3363,5
4,1x1,0.75,watch out for low flying objects,24.1227,6
4,1x1,0.75,you must be getting old,22.9943,5
4,1x1,0.75,my favorite place to visit,18.6035,5
4,1x1,0.75,yes you are very smart,20.4334,5
4,1x1,0.75,a problem with the engine,19.7394,5
4,1x1,0.75,the five boxing wizards jump quickly,18.6311,6
4,1x1,0.75,the quick brown fox jumps over the lazy dog,17.7161,9
4,1x1,0.75,the facts get in the way,19.5665,6
4,1x1,1.25,time to go shopping,28.9278,4
4,1x1,1.25,one heck of a question,23.7724,5
4,1x1,1.25,never too rich and never too thin,24.2035,7
4,1x1,1.25,are you talking to me,24.5306,5
4,1x1,1.25,all work and no play,21.1612,5
4,1x1,1.25,the quick brown fox jumps over the lazy dog,20.7606,9
4,1x1,1.25,the power of denial,20.5263,4
4,1x1,1.25,do not say anything,21.6161,4
4,1x1,1.25,the five boxing wizards jump quickly,20.4557,6
4,1x1,1.25,question that must be answered,25.3711,5
5,1x1,0.75,the five boxing wizards jump quickly,23.7833,6
5,1x1,0.75,an offer you cannot refuse,24.5142,5
5,1x1,0.75,time to go shopping,23.8959,4
5,1x1,0.75,do not say anything,24.2827,4
5,1x1,0.75,the quick brown fox jumps over the lazy dog,22.6676,9
5,1x1,0.75,yes you are very smart,21.8663,5
5,1x1,0.75,my watch fell in the water,23.9462,6
5,1x1,0.75,please provide your date of birth,20.573,6
5,1x1,0.75,he is just like everyone else,22.8441,6
5,1x1,0.75,we run the risk of failure,21.8564,6
5,1x1,1.25,the quick brown fox jumps over the lazy dog,22.8389,9
5,1x1,1.25,the five boxing wizards jump quickly,23.7807,6
5,1x1,1.25,are you talking to me,25.452,5
5,1x1,1.25,all work and no play,22.4215,5
5,1x1,1.25,the world is a stage,23.3327,5
5,1x1,1.25,the force is with you,26.9692,5
5,1x1,1.25,a problem with the engine,21.0793,5
5,1x1,1.25,question that must be answered,24.9601,5
5,1x1,1.25,the power of denial,26.1198,4
5,1x1,1.25,you must be getting old,29.7831,5
5,1x1,1,the facts get in the way,27.7724,6
5,1x1,1,love means many things,19.8825,4
5,1x1,1,the quick brown fox jumps over the lazy dog,23.5509,9
5,1x1,1,watch out for low flying objects,21.185,6
5,1x1,1,one heck of a question,21.3713,5
5,1x1,1,breathing is difficult,21.2817,3
5,1x1,1,if at first you do not succeed,25.9403,7
5,1x1,1,the five boxing wizards jump quickly,21.4776,6
5,1x1,1,never too rich and never too thin,24.0116,7
5,1x1,1,my favorite place to visit,20.4832,5
5,1x3,0.75,my watch fell in the water,31.0618,6
5,1x3,0.75,the quick brown fox jumps over the lazy dog,28.1102,9
5,1x3,0.75,the five boxing wizards jump quickly,25.5167,6
5,1x3,0.75,never too rich and never too thin,26.0326,7
5,1x3,0.75,love means many things,24.8852,4
5,1x3,0.75,he is just like everyone else,23.9151,6
5,1x3,0.75,one heck of a question,21.5942,5
5,1x3,0.75,breathing is difficult,20.847,3
5,1x3,0.75,we run the risk of failure,22.8655,6
5,1x3,0.75,the facts get in the way,24.0994,6
5,1x3,1.25,watch out for low flying objects,24.3746,6
5,1x3,1.25,the five boxing wizards jump quickly,28.8188,6
5,1x3,1.25,the force is with you,26.8557,5
5,1x3,1.25,the world is a stage,27.2851,5
5,1x3,1.25,please provide your date of birth,26.6611,6
5,1x3,1.25,the power of denial,27.9405,4
5,1x3,1.25,the quick brown fox jumps over the lazy dog,27.2415,9
5,1x3,1.25,all work and no play,30.2923,5
5,1x3,1.25,a problem with the engine,27.503,5
5,1x3,1.25,my favorite place to visit,25.2615,5
5,1x3,1,an offer you cannot refuse,28.6107,5
5,1x3,1,time to go shopping,26.6573,4
5,1x3,1,yes you are very smart,25.6236,5
5,1x3,1,the quick brown fox jumps over the lazy dog,26.4195,9
5,1x3,1,if at first you do not succeed,27.0738,7
5,1x3,1,you must be getting old,26.4875,5
5,1x3,1,are you talking to me,29.826,5
5,1x3,1,question that must be answered,27.9655,5
5,1x3,1,the five boxing wizards jump quickly,24.7777,6
5,1x3,1,do not say anything,28.9634,4
6,1x3,0.75,the five boxing wizards jump quickly,44.0204,6
6,1x3,0.75,the music is better than it sounds,44.7163,7
6,1x3,0.75,frequently asked questions,53.4571,3
6,1x3,0.75,the quick brown fox jumps over the lazy dog,42.6147,9
6,1x3,0.75,we accept personal checks,45.1685,4
6,1x3,0.75,coming up with killer sound bites,46.9957,6
6,1x3,0.75,my bare face in the wind,43.7604,6
6,1x3,0.75,he is still on our team,45.3396,6
6,1x3,0.75,call for more details,43.2507,4
6,1x3,0.75,are you talking to me,45.1201,5
6,1x3,1.25,he is just like everyone else,44.9769,6
6,1x3,1.25,just in time for the party,47.63,6
6,1x3,1.25,healthy food is good for you,46.9589,6
6,1x3,1.25,what a monkey sees a monkey will do,53.7112,8
6,1x3,1.25,the five boxing wizards jump quickly,45.8574,6
6,1x3,1.25,the quick brown fox jumps over the lazy dog,43.5789,9
6,1x3,1.25,come and see our new car,45.2204,6
6,1x3,1.25,you must be getting old,49.561,5
6,1x3,1.25,watch out for low flying objects,46.8053,6
6,1x3,1.25,the dow jones index has risen,43.6424,6
6,1x3,1,did you have a good time,44.3466,6
6,1x3,1,reading week is just about here,48.1491,6
6,1x3,1,parking lot is full of trucks,47.593,6
6,1x3,1,the quick brown fox jumps over the lazy dog,48.0165,9
6,1x3,1,the force is with you,52.5482,5
6,1x3,1,the five boxing wizards jump quickly,52.0708,6
6,1x3,1,our fax number has changed,51.0396,5
6,1x3,1,stay away from strangers,40.762,4
6,1x3,1,love means many things,42.4458,4
6,1x3,1,popularity is desired by all,45.654,5
6,1x1,0.75,the five boxing wizards jump quickly,46.3604,6
6,1x1,0.75,the music is better than it sounds,48.9784,7
6,1x1,0.75,frequently asked questions,54.3469,3
6,1x1,0.75,the quick brown fox jumps over the lazy dog,48.9698,9
