id,scale,size,gamma,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12
1,1x1,0.75,110,0.833333,0.933333,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,111,0.833333,0.933333,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,112,0.833333,0.933333,0.95,0.95,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,113,0.833333,0.933333,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,114,0.85,0.933333,0.95,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,115,0.85,0.933333,0.95,0.95,0.966667,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,116,0.85,0.933333,0.95,0.95,0.966667,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,117,0.85,0.933333,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,118,0.85,0.933333,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,119,0.85,0.933333,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333
1,1x1,0.75,120,0.85,0.933333,0.95,0.95,0.966667,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,121,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,122,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,123,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,124,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,125,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,126,0.85,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,127,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,128,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,129,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,130,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,131,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,132,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,133,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1,1
1,1x1,0.75,134,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,135,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
1,1x1,0.75,136,0.833333,0.933333,0.95,0.95,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,0.983333,1
