id,scale,size,word,algorithm,distance
1,1x1,1,lazy,DTW,0.445837
1,1x1,1,dog,SHARK2,1.13047
1,1x1,1,dog,DTW,0.338311
1,1x1,1,do,SHARK2,1.29038
1,1x1,1,do,DTW,0.601718
1,1x1,1,not,SHARK2,0.553531
1,1x1,1,not,DTW,0.214473
1,1x1,1,say,SHARK2,0.567928
1,1x1,1,say,DTW,0.211628
1,1x1,1,anything,SHARK2,0.333092
1,1x1,1,anything,DTW,0.323653
1,1x1,1,the,SHARK2,0.291085
1,1x1,1,the,DTW,0.189852
1,1x1,1,facts,SHARK2,0.580171
1,1x1,1,facts,DTW,0.451102
1,1x1,1,get,SHARK2,0.48503
1,1x1,1,get,DTW,0.431825
1,1x1,1,in,SHARK2,0.378801
1,1x1,1,in,DTW,0.372048
1,1x1,1,the,SHARK2,0.457998
1,1x1,1,the,DTW,0.272641
1,1x1,1,way,SHARK2,0.364194
1,1x1,1,way,DTW,0.171898
1,1x1,1,are,SHARK2,0.616019
1,1x1,1,are,DTW,0.543048
1,1x1,1,you,SHARK2,0.766367
1,1x1,1,you,DTW,0.277001
1,1x1,1,talking,SHARK2,1.08791
1,1x1,1,talking,DTW,0.327655
1,1x1,1,to,SHARK2,0.828248
1,1x1,1,to,DTW,0.814498
1,1x1,1,me,SHARK2,0.740501
1,1x1,1,me,DTW,0.396505
1,1x1,1,an,SHARK2,0.632206
1,1x1,1,an,DTW,0.382697
1,1x1,1,offer,SHARK2,0.351292
1,1x1,1,offer,DTW,0.24809
1,1x1,1,you,SHARK2,0.835725
1,1x1,1,you,DTW,0.490219
1,1x1,1,cannot,SHARK2,0.576091
1,1x1,1,cannot,DTW,0.430496
1,1x1,1,refuse,SHARK2,0.591598
1,1x1,1,refuse,DTW,0.336856
1,1x1,0.75,the,SHARK2,0.797498
1,1x1,0.75,the,DTW,0.300494
1,1x1,0.75,quick,SHARK2,0.604271
1,1x1,0.75,quick,DTW,0.453821
1,1x1,0.75,brown,SHARK2,0.357349
1,1x1,0.75,brown,DTW,0.3511
1,1x1,0.75,fox,SHARK2,0.619943
1,1x1,0.75,fox,DTW,0.396314
1,1x1,0.75,jumps,SHARK2,0.453837
1,1x1,0.75,jumps,DTW,0.245028
1,1x1,0.75,over,SHARK2,0.508418
1,1x1,0.75,over,DTW,0.397367
1,1x1,0.75,the,SHARK2,0.551686
1,1x1,0.75,the,DTW,0.475344
1,1x1,0.75,lazy,SHARK2,0.261485
1,1x1,0.75,lazy,DTW,0.249483
1,1x1,0.75,dog,SHARK2,0.484823
1,1x1,0.75,dog,DTW,0.371977
1,1x1,0.75,the,SHARK2,0.678644
1,1x1,0.75,the,DTW,0.374339
1,1x1,0.75,five,SHARK2,0.415708
1,1x1,0.75,five,DTW,0.240004
1,1x1,0.75,boxing,SHARK2,0.602142
1,1x1,0.75,boxing,DTW,0.551143
1,1x1,0.75,wizards,SHARK2,0.489997
1,1x1,0.75,wizards,DTW,0.304326
1,1x1,0.75,jump,SHARK2,0.706415
1,1x1,0.75,jump,DTW,0.531199
1,1x1,0.75,quickly,SHARK2,0.622665
1,1x1,0.75,quickly,DTW,0.384661
1,1x1,0.75,if,SHARK2,0.573441
1,1x1,0.75,if,DTW,0.318419
1,1x1,0.75,at,SHARK2,0.687985
1,1x1,0.75,at,DTW,0.226582
1,1x1,0.75,first,SHARK2,0.442196
1,1x1,0.75,first,DTW,0.236266
1,1x1,0.75,you,SHARK2,0.321129
1,1x1,0.75,you,DTW,0.193316
1,1x1,0.75,do,SHARK2,0.136466
1,1x1,0.75,do,DTW,0.108143
1,1x1,0.75,not,SHARK2,0.440314
1,1x1,0.75,not,DTW,0.253164
1,1x1,0.75,succeed,SHARK2,0.573612
1,1x1,0.75,succeed,DTW,0.183059
1,1x1,0.75,the,SHARK2,0.502267
1,1x1,0.75,the,DTW,0.308413
1,1x1,0.75,power,SHARK2,0.360784
1,1x1,0.75,power,DTW,0.213466
1,1x1,0.75,of,SHARK2,0.253488
1,1x1,0.75,of,DTW,0.167828
1,1x1,0.75,denial,SHARK2,0.766039
1,1x1,0.75,denial,DTW,0.575532
1,1x1,0.75,question,SHARK2,0.993616
1,1x1,0.75,question,DTW,0.416743
1,1x1,0.75,that,SHARK2,0.326189
1,1x1,0.75,that,DTW,0.229228
1,1x1,0.75,must,SHARK2,0.464331
1,1x1,0.75,must,DTW,0.273662
1,1x1,0.75,be,SHARK2,0.42545
1,1x1,0.75,be,DTW,0.379351
1,1x1,0.75,answered,SHARK2,1.13212
1,1x1,0.75,answered,DTW,0.707917
1,1x1,0.75,he,SHARK2,0.352461
1,1x1,0.75,he,DTW,0.159589
1,1x1,0.75,is,SHARK2,0.205717
1,1x1,0.75,is,DTW,0.110254
1,1x1,0.75,just,SHARK2,0.800715
1,1x1,0.75,just,DTW,0.392428
1,1x1,0.75,like,SHARK2,0.752999
1,1x1,0.75,like,DTW,0.515335
1,1x1,0.75,everyone,SHARK2,0.517974
1,1x1,0.75,everyone,DTW,0.459664
1,1x1,0.75,else,SHARK2,0.606362
1,1x1,0.75,else,DTW,0.345343
1,1x1,0.75,all,SHARK2,0.742313
1,1x1,0.75,all,DTW,0.633332
1,1x1,0.75,work,SHARK2,0.266153
1,1x1,0.75,work,DTW,0.22714
1,1x1,0.75,and,SHARK2,0.661068
1,1x1,0.75,and,DTW,0.498013
1,1x1,0.75,no,SHARK2,0.929242
1,1x1,0.75,no,DTW,0.376793
1,1x1,0.75,play,SHARK2,1.07813
1,1x1,0.75,play,DTW,0.551759
1,1x1,0.75,never,SHARK2,0.539465
1,1x1,0.75,never,DTW,0.46184
1,1x1,0.75,too,SHARK2,0.435649
1,1x1,0.75,too,DTW,0.331713
1,1x1,0.75,rich,SHARK2,0.335393
1,1x1,0.75,rich,DTW,0.232923
1,1x1,0.75,and,SHARK2,0.499006
1,1x1,0.75,and,DTW,0.28238
1,1x1,0.75,never,SHARK2,0.41648
1,1x1,0.75,never,DTW,0.281671
1,1x1,0.75,too,SHARK2,0.494895
1,1x1,0.75,too,DTW,0.406233
1,1x1,0.75,thin,SHARK2,0.508043
1,1x1,0.75,thin,DTW,0.453998
1,1x1,0.75,my,SHARK2,0.587753
1,1x1,0.75,my,DTW,0.212342
1,1x1,0.75,watch,SHARK2,0.436204
1,1x1,0.75,watch,DTW,0.279623
1,1x1,0.75,fell,SHARK2,0.72791
1,1x1,0.75,fell,DTW,0.503394
1,1x1,0.75,in,SHARK2,0.364364
