id,scale,size,algorithm,sampleNum,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
2,1x1,1,DTW,32,0.722222,0.851852,0.888889,0.944444,0.944444,0.944444,0.944444,0.962963,0.962963,0.981481
2,1x1,1,standard,64,0.592593,0.833333,0.851852,0.87037,0.944444,0.962963,0.981481,0.981481,0.981481,0.981481
2,1x1,1,DTW,64,0.722222,0.833333,0.888889,0.925926,0.925926,0.944444,0.944444,0.962963,0.962963,0.981481
2,1x3,0.5,standard,16,0.827586,0.913793,0.931034,0.948276,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
2,1x3,0.5,DTW,16,0.793103,0.896552,0.948276,0.982759,0.982759,0.982759,0.982759,0.982759,0.982759,0.982759
2,1x3,0.5,standard,32,0.810345,0.913793,0.931034,0.931034,0.948276,0.965517,0.965517,0.965517,0.965517,0.982759
2,1x3,0.5,DTW,32,0.775862,0.87931,0.913793,0.965517,0.982759,0.982759,0.982759,0.982759,0.982759,0.982759
2,1x3,0.5,standard,64,0.810345,0.87931,0.931034,0.931034,0.931034,0.965517,0.965517,0.965517,0.965517,0.982759
2,1x3,0.5,DTW,64,0.758621,0.862069,0.896552,0.948276,0.965517,0.982759,0.982759,0.982759,0.982759,0.982759
2,1x3,0.75,standard,16,0.827586,0.896552,0.965517,0.982759,1,1,1,1,1,1
2,1x3,0.75,DTW,16,0.810345,0.87931,0.896552,0.913793,0.948276,0.965517,0.965517,0.965517,0.982759,0.982759
2,1x3,0.75,standard,32,0.827586,0.896552,0.913793,0.982759,1,1,1,1,1,1
2,1x3,0.75,DTW,32,0.827586,0.87931,0.896552,0.931034,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
2,1x3,0.75,standard,64,0.827586,0.913793,0.913793,1,1,1,1,1,1,1
2,1x3,0.75,DTW,64,0.827586,0.862069,0.896552,0.913793,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
2,1x3,1,standard,16,0.82,0.9,0.9,0.92,0.94,0.94,0.96,0.96,0.96,0.96
2,1x3,1,DTW,16,0.82,0.88,0.92,0.92,0.92,0.92,0.92,0.96,0.96,0.96
2,1x3,1,standard,32,0.82,0.88,0.9,0.92,0.92,0.92,0.94,0.96,0.96,0.96
2,1x3,1,DTW,32,0.82,0.82,0.9,0.9,0.92,0.92,0.92,0.94,0.96,0.96
2,1x3,1,standard,64,0.82,0.88,0.9,0.92,0.92,0.92,0.94,0.94,0.96,0.96
2,1x3,1,DTW,64,0.82,0.82,0.9,0.9,0.92,0.92,0.92,0.92,0.96,0.96
3,1x1,0.5,standard,16,0.392857,0.625,0.660714,0.714286,0.732143,0.75,0.785714,0.839286,0.839286,0.857143
3,1x1,0.5,DTW,16,0.571429,0.714286,0.821429,0.857143,0.910714,0.910714,0.946429,0.946429,0.946429,0.946429
3,1x1,0.5,standard,32,0.410714,0.553571,0.642857,0.696429,0.732143,0.75,0.767857,0.803571,0.839286,0.839286
3,1x1,0.5,DTW,32,0.607143,0.714286,0.803571,0.839286,0.892857,0.892857,0.910714,0.928571,0.946429,0.946429
3,1x1,0.5,standard,64,0.410714,0.535714,0.642857,0.678571,0.732143,0.75,0.767857,0.785714,0.821429,0.839286
3,1x1,0.5,DTW,64,0.589286,0.732143,0.803571,0.839286,0.875,0.875,0.910714,0.928571,0.946429,0.946429
3,1x1,0.75,standard,16,0.672727,0.745455,0.8,0.818182,0.854545,0.890909,0.890909,0.909091,0.909091,0.927273
3,1x1,0.75,DTW,16,0.854545,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
3,1x1,0.75,standard,32,0.654545,0.745455,0.781818,0.836364,0.854545,0.872727,0.890909,0.890909,0.909091,0.927273
3,1x1,0.75,DTW,32,0.854545,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
