id,scale,size,algorithm,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
4,1x3,0.5,DTW*freq,0.909091,0.909091,0.945455,0.963636,0.981818,0.981818,0.981818,0.981818,1,1
4,1x3,0.75,SHARK2,0.62069,0.87931,0.896552,0.931034,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
4,1x3,0.75,DTW,0.706897,0.793103,0.827586,0.896552,0.931034,0.965517,0.965517,0.965517,0.965517,0.965517
4,1x3,0.75,DTW*freq,0.775862,0.87931,0.931034,0.948276,0.948276,0.965517,0.965517,0.965517,0.965517,0.965517
4,1x3,1,SHARK2,0.679245,0.830189,0.90566,0.90566,0.90566,0.90566,0.924528,0.943396,0.943396,0.943396
4,1x3,1,DTW,0.754717,0.830189,0.867925,0.90566,0.924528,0.924528,0.924528,0.943396,0.943396,0.943396
4,1x3,1,DTW*freq,0.830189,0.943396,0.962264,0.962264,0.962264,0.962264,0.962264,0.962264,0.962264,0.981132
5,1x1,0.5,SHARK2,0.368421,0.54386,0.561404,0.596491,0.614035,0.649123,0.649123,0.666667,0.684211,0.684211
5,1x1,0.5,DTW,0.385965,0.491228,0.614035,0.666667,0.666667,0.684211,0.684211,0.684211,0.719298,0.736842
5,1x1,0.5,DTW*freq,0.631579,0.649123,0.701754,0.719298,0.719298,0.754386,0.77193,0.77193,0.789474,0.789474
5,1x1,0.75,SHARK2,0.491228,0.561404,0.666667,0.736842,0.736842,0.754386,0.77193,0.789474,0.807018,0.807018
5,1x1,0.75,DTW,0.596491,0.666667,0.701754,0.754386,0.77193,0.789474,0.807018,0.859649,0.877193,0.894737
5,1x1,0.75,DTW*freq,0.631579,0.807018,0.824561,0.877193,0.912281,0.912281,0.912281,0.912281,0.947368,0.947368
5,1x1,1,SHARK2,0.480769,0.692308,0.730769,0.75,0.788462,0.788462,0.807692,0.826923,0.826923,0.826923
5,1x1,1,DTW,0.653846,0.75,0.865385,0.884615,0.884615,0.884615,0.942308,0.942308,0.942308,0.961538
5,1x1,1,DTW*freq,0.692308,0.769231,0.865385,0.923077,0.942308,0.942308,0.961538,0.961538,0.961538,0.961538
5,1x3,0.5,SHARK2,0.45614,0.614035,0.701754,0.754386,0.754386,0.77193,0.824561,0.824561,0.842105,0.859649
5,1x3,0.5,DTW,0.561404,0.666667,0.77193,0.824561,0.859649,0.859649,0.877193,0.877193,0.877193,0.894737
5,1x3,0.5,DTW*freq,0.719298,0.824561,0.859649,0.877193,0.877193,0.894737,0.894737,0.894737,0.894737,0.894737
5,1x3,0.75,SHARK2,0.563636,0.727273,0.8,0.818182,0.854545,0.872727,0.872727,0.890909,0.890909,0.890909
5,1x3,0.75,DTW,0.654545,0.781818,0.836364,0.854545,0.854545,0.854545,0.872727,0.872727,0.890909,0.890909
5,1x3,0.75,DTW*freq,0.781818,0.854545,0.854545,0.854545,0.890909,0.890909,0.909091,0.909091,0.909091,0.909091
5,1x3,1,SHARK2,0.555556,0.685185,0.814815,0.833333,0.833333,0.888889,0.925926,0.925926,0.925926,0.925926
5,1x3,1,DTW,0.592593,0.740741,0.814815,0.851852,0.851852,0.87037,0.907407,0.944444,0.944444,0.944444
5,1x3,1,DTW*freq,0.759259,0.814815,0.814815,0.87037,0.888889,0.944444,0.944444,0.944444,0.981481,0.981481
