ID,Age,Gender,Dominant,Thumb(mm),Index(mm),Phone,Usage,X,Y,Height,Width,Height(mm),Width(mm),Dist2Right(mm)
4,21,Male,Right,65,76,720P,Index,0.516297,0.638359,0.340781,0.857594,32.44,45.9208,25.9003
4,21,Male,Right,65,76,1440P,Index,0.53337,0.697879,0.311484,0.859747,35.1678,54.6008,29.6348
4,21,Male,Right,65,76,720P,Index,0.48314,0.633337,0.427858,0.850176,40.7291,45.5235,27.6758
4,21,Male,Right,65,76,1440P,Index,0.516857,0.66885,0.34884,0.758731,39.3854,48.1855,30.6835
6,20,Male,Right,64,69,720P,Thumb,0.531264,0.824037,0.181613,0.391694,17.2883,20.9737,25.0989
6,20,Male,Right,64,69,1440P,Thumb,0.50118,0.73025,0.240188,0.535822,27.1181,34.029,31.6791
6,20,Male,Right,64,69,720P,Thumb,0.433001,0.79336,0.178171,0.459954,16.9606,24.6287,30.3605
6,20,Male,Right,64,69,1440P,Thumb,0.510072,0.700459,0.28416,0.496413,32.0828,31.5262,31.1144
6,20,Male,Right,64,69,720P,Thumb,0.480556,0.793525,0.169748,0.377778,16.1588,20.2285,27.8142
6,20,Male,Right,64,69,1440P,Thumb,0.525925,0.749354,0.255754,0.494483,28.8756,31.4036,30.1075
6,20,Male,Right,64,69,720P,Thumb,0.531363,0.78895,0.189616,0.403354,18.0502,21.598,25.0936
6,20,Male,Right,64,69,1440P,Thumb,0.533435,0.728633,0.261281,0.484978,29.4997,30.8,29.6306
6,20,Male,Right,64,69,720P,Index,0.512895,0.79007,0.191078,0.381035,18.1893,20.4029,26.0825
6,20,Male,Right,64,69,1440P,Index,0.504137,0.736344,0.305187,0.549879,34.4569,34.9217,31.4913
6,20,Male,Right,64,69,720P,Index,0.566501,0.680252,0.303591,0.531956,28.8997,28.4841,23.2121
6,20,Male,Right,64,69,1440P,Index,0.485493,0.759494,0.311879,0.677972,35.2124,43.0566,32.6753
6,20,Male,Right,64,69,720P,Index,0.529588,0.681219,0.3265,0.654176,31.0805,35.0285,25.1887
6,20,Male,Right,64,69,1440P,Index,0.476294,0.762871,0.293219,0.617884,33.1056,39.2406,33.2595
6,20,Male,Right,64,69,720P,Index,0.497915,0.662736,0.315154,0.55619,30.0004,29.7818,26.8847
6,20,Male,Right,64,69,1440P,Index,0.507598,0.727361,0.319324,0.706444,36.053,44.8648,31.2715
6,20,Male,Right,64,69,720P,Index,0.529527,0.69752,0.296602,0.570965,28.2344,30.5729,25.1919
6,20,Male,Right,64,69,1440P,Index,0.501558,0.74102,0.330461,0.67994,37.3104,43.1816,31.6551
6,20,Male,Right,64,69,720P,Index,0.554334,0.691125,0.355249,0.633296,33.8172,33.9105,23.8636
6,20,Male,Right,64,69,1440P,Index,0.485742,0.740301,0.282359,0.660321,31.8795,41.9357,32.6595
7,20,Male,Right,70,79,720P,Thumb,0.472762,0.802227,0.281016,0.608813,26.7507,32.5995,28.2315
7,20,Male,Right,70,79,1440P,Thumb,0.448967,0.809309,0.236586,0.560219,26.7115,35.5784,34.995
7,20,Male,Right,70,79,720P,Thumb,0.490014,0.80279,0.27592,0.623325,26.2657,33.3766,27.3077
7,20,Male,Right,70,79,1440P,Thumb,0.484088,0.761662,0.259473,0.586532,29.2955,37.2495,32.7645
7,20,Male,Right,70,79,720P,Thumb,0.532834,0.778059,0.293617,0.569788,27.9503,30.5098,25.0149
7,20,Male,Right,70,79,1440P,Thumb,0.461462,0.772143,0.244074,0.560826,27.557,35.617,34.2015
7,20,Male,Right,70,79,720P,Thumb,0.532419,0.818484,0.268219,0.577522,25.5325,30.924,25.0371
7,20,Male,Right,70,79,1440P,Thumb,0.49931,0.693035,0.266352,0.586297,30.0722,37.2345,31.7978
7,20,Male,Right,70,79,720P,Index,0.525255,0.743445,0.255641,0.559018,24.3352,29.9332,25.4207
7,20,Male,Right,70,79,1440P,Index,0.466147,0.71059,0.260289,0.548803,29.3877,34.8534,33.9039
7,20,Male,Right,70,79,720P,Index,0.563187,0.738359,0.315953,0.671892,30.0765,35.9771,23.3896
7,20,Male,Right,70,79,1440P,Index,0.520422,0.718986,0.344129,0.657824,38.8535,41.7771,30.4571
7,20,Male,Right,70,79,720P,Index,0.528565,0.755646,0.314317,0.577593,29.9208,30.9278,25.2435
7,20,Male,Right,70,79,1440P,Index,0.494455,0.701266,0.331406,0.722994,37.4171,45.9159,32.1062
7,20,Male,Right,70,79,720P,Index,0.495827,0.753688,0.318313,0.635085,30.3011,34.0062,26.9964
7,20,Male,Right,70,79,1440P,Index,0.504135,0.664516,0.345023,0.73523,38.9545,46.693,31.4914
7,20,Male,Right,70,79,720P,Index,0.514319,0.784973,0.346225,0.623525,32.9582,33.3873,26.0063
7,20,Male,Right,70,79,1440P,Index,0.513465,0.644877,0.343535,0.754597,38.7865,47.923,30.8988
7,20,Male,Right,70,79,720P,Index,0.558262,0.746138,0.348348,0.623688,33.1603,33.396,23.6533
7,20,Male,Right,70,79,1440P,Index,0.562631,0.632777,0.318305,0.642016,35.9379,40.7732,27.7764
8,21,Male,Right,74,84,720P,Thumb,0.499381,0.689413,0.286861,0.609071,27.3072,32.6133,26.8061
8,21,Male,Right,74,84,1440P,Thumb,0.51755,0.700045,0.233098,0.611151,26.3177,38.813,30.6395
8,21,Male,Right,74,84,720P,Thumb,0.532378,0.68107,0.277766,0.599133,26.4413,32.0812,25.0393
8,21,Male,Right,74,84,1440P,Thumb,0.53223,0.707115,0.254762,0.596929,28.7636,37.9098,29.7071
8,21,Male,Right,74,84,720P,Thumb,0.54151,0.687221,0.252948,0.533647,24.0789,28.5747,24.5503
8,21,Male,Right,74,84,1440P,Thumb,0.497849,0.680053,0.266449,0.585942,30.0832,37.212,31.8906
8,21,Male,Right,74,84,720P,Thumb,0.525965,0.699496,0.27243,0.605343,25.9334,32.4137,25.3827
8,21,Male,Right,74,84,1440P,Thumb,0.537231,0.679848,0.294102,0.615232,33.2052,39.0722,29.3895
8,21,Male,Right,74,84,720P,Index,0.509924,0.672418,0.279211,0.565229,26.5789,30.2658,26.2416
8,21,Male,Right,74,84,1440P,Index,0.529129,0.723988,0.239469,0.591437,27.037,37.561,29.9041
8,21,Male,Right,74,84,720P,Index,0.568105,0.702282,0.285983,0.712446,27.2236,38.1486,23.1263
8,21,Male,Right,74,84,1440P,Index,0.484246,0.737824,0.287625,0.646883,32.474,41.0822,32.7545
8,21,Male,Right,74,84,720P,Index,0.578709,0.712793,0.297461,0.688174,28.3162,36.8489,22.5584
8,21,Male,Right,74,84,1440P,Index,0.581089,0.715727,0.283477,0.675225,32.0056,42.8822,26.6042
8,21,Male,Right,74,84,720P,Index,0.594053,0.677494,0.30173,0.721299,28.7226,38.6227,21.7368
8,21,Male,Right,74,84,1440P,Index,0.57807,0.730389,0.302285,0.695942,34.1292,44.1979,26.7959
8,21,Male,Right,74,84,720P,Index,0.560894,0.749143,0.280464,0.605121,26.6982,32.4018,23.5124
8,21,Male,Right,74,84,1440P,Index,0.486078,0.732764,0.314535,0.633065,35.5123,40.2047,32.6381
8,21,Male,Right,74,84,720P,Index,0.577697,0.71143,0.302547,0.686461,28.8003,36.7572,22.6126
8,21,Male,Right,74,84,1440P,Index,0.542525,0.677031,0.290273,0.667353,32.773,42.3822,29.0533
9,24,Male,Right,68,80,720P,Thumb,0.535417,0.676492,0.332672,0.573611,31.668,30.7146,24.8766
