questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Ended 1603.278 415.9591 205.8364 0.129535 -0.4968247
Candidates 1603.339 5 wisdom equation quotation question reputation
Began 1603.762 381 383 0.04861106 0.04595589
Moved 1603.82 381 399.0351 0.04861106 0.09508306
Moved 1603.866 421.8774 529.4577 0.1432346 0.4946621
Ended 1603.91 423 591.3666 0.1458333 0.6843339
Accept 1603.952 wisdom
Began 1604.317 525 507 0.3819444 0.4258579
Stationary 1604.373 525 507 0.3819444 0.4258579
Stationary 1604.416 525 507 0.3819444 0.4258579
Stationary 1604.46 525 507 0.3819444 0.4258579
Stationary 1604.505 525 507 0.3819444 0.4258579
Stationary 1604.55 525 507 0.3819444 0.4258579
Stationary 1604.594 525 507 0.3819444 0.4258579
Stationary 1604.639 525 507 0.3819444 0.4258579
Moved 1604.684 511.7823 494.1735 0.351348 0.386561
Moved 1604.729 493.5204 469.7806 0.3090749 0.3118278
Moved 1604.774 476.4648 450.3486 0.2695944 0.2522935
Moved 1604.82 445.5058 432.2529 0.19793 0.1968532
Moved 1604.877 394.5141 416.5047 0.07989366 0.1486051
Moved 1604.921 361.6269 402.7351 0.003765921 0.1064188
Moved 1604.969 346.5 395.5 -0.03125002 0.08425245
Moved 1605.015 334.8931 391.2977 -0.05811775 0.07137785
Moved 1605.062 325.0095 387.0048 -0.0809966 0.05822547
Ended 1605.108 322 386 -0.08796295 0.05514706
Candidates 1605.19 5 of off pd odd pig
Began 1605.624 420 431 0.1388889 0.1930147
Moved 1605.677 420 464.1561 0.1388889 0.2945959
Ended 1605.724 420 606 0.1388889 0.7291666
Accept 1605.766 of
Began 1606.147 376 507 0.03703703 0.4258579
Stationary 1606.205 376 507 0.03703703 0.4258579
Stationary 1606.248 376 507 0.03703703 0.4258579
Stationary 1606.29 376 507 0.03703703 0.4258579
Stationary 1606.333 376 507 0.03703703 0.4258579
Moved 1606.378 362.5304 493.5304 0.005857348 0.3845907
Moved 1606.423 354.365 488.3651 -0.01304393 0.3687656
Moved 1606.476 347.0666 485 -0.02993852 0.3584559
Moved 1606.521 341.0948 483 -0.04376213 0.3523284
Moved 1606.565 337.7879 483 -0.05141695 0.3523284
Moved 1606.609 336.6282 481.6282 -0.05410144 0.3481257
Moved 1606.654 337 479.5313 -0.05324075 0.3417014
Moved 1606.699 366.5 452.5 0.0150463 0.2588848
Moved 1606.743 396.0682 395.7955 0.08349111 0.08515774
Moved 1606.789 406.0735 354.4851 0.1066517 -0.04140602
Moved 1606.855 408 342.5452 0.1111111 -0.07798663
Moved 1606.901 408 341 0.1111111 -0.08272059
Moved 1606.948 357.2871 370.1816 -0.006279896 0.006683761
Moved 1606.995 295.9711 412.0173 -0.1482151 0.134857
Moved 1607.039 273.1136 426.9319 -0.201126 0.1805511
Moved 1607.086 259.4669 449.0661 -0.2327154 0.2483643
Moved 1607.134 264.0733 475.7644 -0.2220526 0.3301605
Ended 1607.18 272.5 487 -0.2025463 0.3645834
Candidates 1607.279 5 the there threw rubber tiger
Began 1607.671 363 404 0.006944438 0.1102942
Moved 1607.725 363 437.8752 0.006944438 0.2140786
Moved 1607.769 366.8744 613.801 0.01591285 0.7530667
Ended 1607.811 366.8744 613.801 0.01591285 0.7530667
Accept 1607.854 the
Began 1608.24 379 506 0.04398147 0.4227941
Stationary 1608.292 379 506 0.04398147 0.4227941
Moved 1608.339 370.8913 439.3693 0.02521137 0.2186559
Moved 1608.384 362.8334 384.917 0.006558696 0.05182907
Moved 1608.43 359 346.8465 -0.002314796 -0.06480844
Moved 1608.475 355.7429 333.2286 -0.009854485 -0.1065301
Moved 1608.52 350.3392 327.3392 -0.02236297 -0.1245736
Moved 1608.565 342.0774 322 -0.04148746 -0.1409313
Moved 1608.616 331.1818 316.0606 -0.06670882 -0.1591281
Moved 1608.67 313.3105 300.3105 -0.1080774 -0.2073819
Moved 1608.718 300.7436 286.7435 -0.1371677 -0.2489474
Moved 1608.762 293.0794 280.0794 -0.1549089 -0.2693646
Moved 1608.806 288.0888 276.0888 -0.166461 -0.2815907
Moved 1608.85 286 272.7949 -0.1712963 -0.2916822
Moved 1608.901 283.5 272 -0.1770833 -0.2941176
Moved 1608.947 283 270.5389 -0.1782407 -0.2985939
Moved 1608.991 281.8932 271 -0.1808028 -0.2971814
Moved 1609.035 280.9433 269.9432 -0.1830017 -0.300419
Stationary 1609.081 280.9433 269.9432 -0.1830017 -0.300419
Moved 1609.157 278.8823 268.8823 -0.1877725 -0.3036696
Stationary 1609.203 279 269 -0.1875 -0.3033088
Ended 1609.247 279 269 -0.1875 -0.3033088
Candidates 1609.295 5 tv ic tc uv etc
Backspace 1611.505
Began 1612.798 297 409 -0.1458333 0.1256129
Stationary 1612.85 297 409 -0.1458333 0.1256129
Moved 1612.894 285.7296 409 -0.1719221 0.1256129
Moved 1612.939 269.7814 409 -0.2088394 0.1256129
Moved 1612.987 244.3021 424.0117 -0.2678193 0.1716046
Moved 1613.033 223.6082 439.1598 -0.3157216 0.218014
Moved 1613.078 212.3958 449.2084 -0.3416764 0.2488002
Moved 1613.122 209.1013 453 -0.3493025 0.2604167
Moved 1613.166 207.1736 455 -0.3537648 0.2665441
Moved 1613.211 201.7494 462.3759 -0.3663208 0.2891418
Moved 1613.263 189.713 484.4783 -0.3941829 0.3568577
Moved 1613.308 181.2142 495.7858 -0.4138559 0.3915005
Moved 1613.354 176.5 500.5 -0.4247685 0.4059436
Moved 1613.399 176 501 -0.4259259 0.4074755
Moved 1613.442 212.9302 489.3146 -0.3404394 0.3716748
Moved 1613.486 327.252 453.4195 -0.07580543 0.2617019
Moved 1613.534 394.938 439.7552 0.08087506 0.2198382
Moved 1613.587 428.0728 439 0.1575759 0.2175246
Moved 1613.631 441 448.5091 0.1875 0.2466578
Moved 1613.675 443 451.8113 0.1921296 0.2567748
Moved 1613.746 382.1199 476.0778 0.05120357 0.3311208
Moved 1613.791 312.2436 483.4797 -0.1105472 0.3537981
Moved 1613.835 269.8486 484 -0.2086839 0.3553922
Moved 1613.88 248.702 475.234 -0.2576343 0.3285356
Moved 1613.926 242.2826 471.5652 -0.2724939 0.3172955
Moved 1613.972 229.9681 439.9043 -0.3009998 0.220295
Moved 1614.018 222.6872 394.185 -0.3178536 0.08022365
Moved 1614.063 222 358.0548 -0.3194444 -0.03046924
Moved 1614.109 222 347.3831 -0.3194444 -0.06316465
Moved 1614.163 238.0909 357.1515 -0.2821969 -0.03323677
Moved 1614.233 314.813 420.3363 -0.1045996 0.1603441
Moved 1614.277 358.1079 459.1079 -0.004379898 0.2791296
Moved 1614.321 375.9237 475.9237 0.0368604 0.3306486
Moved 1614.364 401.5526 485.9503 0.09618649 0.3613672
Moved 1614.407 437.6806 488 0.1798162 0.3676471
Moved 1614.455 488 466 0.2962963 0.300245
Moved 1614.5 520.5558 442.9521 0.371657 0.2296328
Moved 1614.545 543.4207 415.9655 0.4245848 0.1469531
Moved 1614.59 550.8693 403.5511 0.4418271 0.108919
Moved 1614.634 553 387.614 0.4467593 0.06009196
Moved 1614.704 467.5756 299.084 0.2490177 -0.2111396
Moved 1614.75 429.4297 254.6084 0.160717 -0.3474008
Moved 1614.801 410.7119 234.5339 0.1173887 -0.4089034
Moved 1614.849 403.9372 230 0.1017066 -0.422794
Moved 1614.901 394.1917 273.4529 0.07914732 -0.2896664
