usage,type,key,x,y
Indirect,start,a,-0.548611,0.111111
Indirect,start,a,-0.430556,-0.0208333
Indirect,start,a,-0.546296,-0.0601852
Indirect,start,a,-0.490741,0.011574
Indirect,start,a,-0.49537,-0.194444
Indirect,start,a,-0.5,0.0601852
Indirect,start,a,-0.356482,-0.0648149
Indirect,start,a,-0.486111,-0.0277779
Indirect,start,a,-0.324074,0.0601852
Indirect,start,a,-0.460648,0.074074
Indirect,start,a,-0.375,0.0300925
Indirect,start,a,-0.43287,-0.127315
Indirect,start,a,-0.421296,0.0231481
Indirect,start,a,-0.37963,-0.00231485
Indirect,start,a,-0.405093,0.0879629
Indirect,start,a,-0.428241,0.0208333
Indirect,start,a,-0.388889,-0.141204
Indirect,start,a,-0.375,-0.0416667
Indirect,start,a,-0.303241,-0.138889
Indirect,start,a,-0.386574,-0.0648149
Indirect,start,a,-0.416667,0.12963
Indirect,start,a,-0.472222,-0.00694451
Indirect,start,a,-0.356482,0.0324073
Indirect,start,a,-0.328704,0.263889
Indirect,start,a,-0.328704,0.113426
Indirect,start,a,-0.493056,0.00231481
Indirect,start,a,-0.539352,0.0486111
Indirect,start,a,-0.247685,0.127315
Indirect,start,a,-0.488426,0.136574
Indirect,start,a,-0.439815,-0.00925926
Indirect,start,a,-0.333333,0.0694444
Indirect,start,a,-0.326389,0.12963
Indirect,start,a,-0.398148,0.171296
Indirect,start,a,-0.324074,0.0578703
Indirect,start,a,-0.266204,-0.0393519
Indirect,start,a,-0.527778,-0.0532408
Indirect,start,a,-0.388889,0.074074
Indirect,start,a,-0.409722,0.00231481
Indirect,start,a,-0.444444,0.0810184
Indirect,start,a,-0.44213,0.0925925
Indirect,start,a,-0.50463,-0.0439816
Indirect,start,a,-0.460648,-0.141204
Indirect,start,a,-0.398148,-0.122685
Indirect,start,a,-0.331018,0.0856481
Indirect,start,a,-0.224537,0.0162037
Indirect,start,a,-0.525463,-0.12037
Indirect,start,a,-0.449074,-0.0995371
Indirect,start,a,-0.349537,-0.0208333
Indirect,start,a,-0.37963,0.0439814
Indirect,start,a,-0.321759,0.00462956
Indirect,start,a,-0.430556,-0.0601852
Indirect,start,a,-0.393518,-0.0324074
Indirect,start,a,-0.333333,0.0787037
