id,algorithm,block,mode,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,all,top1(ratio),top2(ratio),top3(ratio),top4(ratio),top5(ratio),top6(ratio),top7(ratio),top8(ratio),top9(ratio),top10(ratio),top11(ratio),top12(ratio)
7,DTW,4,Basic,19,22,23,24,25,27,27,27,27,27,27,28,29,0.655172,0.758621,0.793103,0.827586,0.862069,0.931035,0.931035,0.931035,0.931035,0.931035,0.931035,0.965517
7,DTW,5,Basic,30,31,31,33,33,34,34,34,34,34,34,34,35,0.857143,0.885714,0.885714,0.942857,0.942857,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429
7,DTW,6,Basic,18,24,26,26,26,28,29,29,29,30,30,30,39,0.461538,0.615385,0.666667,0.666667,0.666667,0.717949,0.74359,0.74359,0.74359,0.769231,0.769231,0.769231
7,DTW,7,Basic,23,26,28,29,30,30,30,30,30,30,30,30,35,0.657143,0.742857,0.8,0.828571,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143
7,DTW,8,Basic,24,31,31,31,31,31,32,33,33,33,35,35,40,0.6,0.775,0.775,0.775,0.775,0.775,0.8,0.825,0.825,0.825,0.875,0.875
7,DTW,1,FixStart,29,32,32,33,33,33,33,33,33,33,33,33,35,0.828571,0.914286,0.914286,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857
7,DTW,2,FixStart,31,33,33,33,33,33,33,33,34,34,34,34,35,0.885714,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.971429,0.971429,0.971429,0.971429
7,DTW,3,FixStart,22,28,30,30,31,31,31,31,31,31,31,31,33,0.666667,0.848485,0.909091,0.909091,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394,0.939394
7,DTW,4,FixStart,26,29,29,29,30,31,31,31,31,31,31,31,31,0.83871,0.935484,0.935484,0.935484,0.967742,1,1,1,1,1,1,1
7,DTW,5,FixStart,27,29,29,29,29,29,30,30,30,30,30,30,30,0.9,0.966667,0.966667,0.966667,0.966667,0.966667,1,1,1,1,1,1
