user_id,usage,phrase_id,word_id,precision
1,Direct,51,3,0.709579
1,Direct,51,4,0.739818
1,Direct,51,5,0.527058
1,Direct,52,1,0.258621
1,Direct,52,2,0.703453
1,Direct,52,3,0.397389
1,Direct,52,4,0.965542
1,Direct,52,5,0.408372
1,Direct,53,1,0.563261
1,Direct,53,2,0.700615
1,Direct,53,3,0.611946
1,Direct,53,4,0.31179
1,Direct,53,5,0.457808
1,Direct,53,6,0.529612
1,Direct,54,1,0.540767
1,Direct,54,2,0.286759
1,Direct,54,3,0.282353
1,Direct,54,4,0.462724
1,Direct,54,5,0.422237
1,Direct,54,6,0.554115
1,Direct,54,7,0.407729
1,Direct,54,8,0.5199
1,Direct,55,1,0.498552
1,Direct,55,2,0.364011
1,Direct,55,3,0.621487
1,Direct,55,4,0.45576
1,Direct,55,5,0.278773
1,Direct,55,6,0.486249
1,Direct,55,7,0.456975
1,Direct,56,1,0.570873
1,Direct,56,2,0.382852
1,Direct,56,3,0.345111
1,Direct,56,4,0.389096
1,Direct,56,5,0.463804
1,Direct,56,6,0.478566
1,Direct,57,1,0.252345
1,Direct,57,2,0.263698
1,Direct,57,3,0.177866
1,Direct,57,4,0.677198
1,Direct,57,5,0.645543
1,Direct,57,6,0.804116
1,Direct,58,1,0.334191
1,Direct,58,2,0.49143
1,Direct,58,3,0.655919
1,Direct,58,4,0.61035
1,Direct,58,5,0.192697
1,Direct,58,6,0.51719
1,Direct,58,7,0.324734
1,Direct,58,8,0.57238
1,Direct,59,1,0.537297
1,Direct,59,2,0.256641
1,Direct,59,3,0.506514
1,Direct,59,4,0.423063
1,Direct,59,5,0.612858
1,Direct,59,6,0.831554
1,Direct,60,1,0.510443
1,Direct,60,2,0.529923
1,Direct,60,3,0.403839
1,Direct,60,4,0.516625
1,Direct,60,5,0.470836
1,Direct,61,1,0.685456
1,Direct,61,2,0.260284
1,Direct,61,3,0.326541
1,Direct,61,4,0.411984
1,Direct,61,5,0.415386
1,Direct,61,6,0.321046
1,Direct,61,7,0.465607
1,Direct,62,1,0.488964
1,Direct,62,2,0.445912
1,Direct,62,3,0.476844
1,Direct,62,4,0.351827
1,Direct,63,1,0.374731
1,Direct,63,2,0.548305
1,Direct,63,3,0.704267
1,Direct,63,4,0.591107
1,Direct,63,5,0.722128
1,Direct,64,1,0.375125
1,Direct,64,2,0.640136
1,Direct,64,3,0.566269
1,Direct,64,4,0.508009
1,Direct,65,1,0.401763
1,Direct,65,2,0.59192
1,Direct,65,3,0.214944
1,Direct,65,4,0.331202
1,Direct,65,5,0.286239
1,Direct,66,1,0.68572
1,Direct,66,2,0.291693
1,Direct,66,3,0.219125
1,Direct,66,4,0.656218
1,Direct,66,5,0.650731
1,Direct,67,1,0.195869
1,Direct,67,2,0.458733
1,Direct,67,3,0.688176
1,Direct,67,4,0.646427
1,Direct,67,5,0.503656
1,Direct,68,1,0.580861
1,Direct,68,2,0.323978
1,Direct,68,3,0.714939
1,Direct,68,4,0.809642
1,Direct,68,5,0.604155
1,Direct,69,1,0.672468
1,Direct,69,2,0.540026
1,Direct,69,3,0.71123
1,Direct,70,1,0.228347
1,Direct,70,2,0.328312
1,Direct,70,3,0.298174
1,Direct,70,4,0.175597
1,Direct,70,5,0.777815
1,Direct,71,1,0.429753
1,Direct,71,2,0.443108
1,Direct,71,3,0.792092
1,Direct,71,4,0.450335
1,Direct,71,5,0.617891
1,Direct,72,1,0.521252
1,Direct,72,2,0.41085
1,Direct,72,3,0.335395
1,Direct,72,4,0.57736
1,Direct,72,5,0.461472
1,Direct,72,6,0.320787
1,Direct,72,7,0.976713
1,Direct,73,1,0.628619
1,Direct,73,2,0.538061
1,Direct,73,3,0.599335
1,Direct,74,1,0.509281
1,Direct,74,2,0.330969
1,Direct,74,3,0.363717
1,Direct,74,4,0.569094
1,Direct,74,5,0.335585
1,Direct,74,6,0.388985
1,Direct,74,7,0.310204
1,Direct,74,8,1.04414
1,Direct,74,9,0.264617
1,Direct,75,1,0.272608
1,Direct,75,2,0.269165
1,Direct,75,3,0.344598
1,Direct,75,4,0.965305
1,Direct,75,5,0.349405
1,Direct,75,6,0.47205
1,Direct,76,1,0.214254
1,Direct,76,2,0.543783
1,Direct,76,3,0.251018
1,Direct,76,4,0.937129
1,Direct,76,5,0.388209
1,Direct,77,1,0.706194
1,Direct,77,2,0.409745
1,Direct,77,3,0.396384
1,Direct,77,4,0.413602
1,Direct,77,5,0.373057
1,Direct,78,1,0.475742
1,Direct,78,2,0.685737
